A,unknown,"The first letter of the English and of many other alphabets. The capital A of the alphabets of Middle and Western Europe, as also the small letter (a), besides the forms in Italic, black letter, etc., are all descended from the old Latin A, which was borrowed from the Greek Alpha, of the same form; and this was made from the first letter (/) of the Phoenician alphabet, the equivalent of the Hebrew Aleph, and itself from the Egyptian origin. The Aleph was a consonant letter, with a guttural breath sound that was not an element of Greek articulation; and the Greeks took it to represent their vowel Alpha with the a sound, the Phoenician alphabet having no vowel symbols."""
A,unknown,"The name of the sixth tone in the model major scale (that in C), or the first tone of the minor scale, which is named after it the scale in A minor. The second string of the violin is tuned to the A in the treble staff. -- A sharp (A/) is the name of a musical tone intermediate between A and B. -- A flat (A/) is the name of a tone intermediate between A and G."""
A,unknown,"An adjective, commonly called the indefinite article, and signifying one or any, but less emphatically."""
A,unknown,"In each; to or for each; as, """"twenty leagues a day"""", """"a hundred pounds a year"""", """"a dollar a yard"""", etc."""
A,unknown,In; on; at; by.
A,unknown,"In process of; in the act of; into; to; -- used with verbal substantives in -ing which begin with a consonant. This is a shortened form of the preposition an (which was used before the vowel sound); as in a hunting, a building, a begging."""
A,unknown,Of.
A,unknown,"A barbarous corruption of have, of he, and sometimes of it and of they."""
A,unknown,"An expletive, void of sense, to fill up the meter"""
A-,unknown,"A, as a prefix to English words, is derived from various sources. (1) It frequently signifies on or in (from an, a forms of AS. on), denoting a state, as in afoot, on foot, abed, amiss, asleep, aground, aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2) AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS. a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old English y- or i- (corrupted from the AS. inseparable particle ge-, cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no essential addition to the meaning, as in aware. (5) French a (L. ad to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7) Greek insep. prefix / without, or privative, not, as in abyss, atheist; akin to E. un-."""
A 1,unknown,A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3.
Aam,noun,"A Dutch and German measure of liquids, varying in different cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at Hamburg 38 1/4."""
Aard-vark,noun,"An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue."""
Aard-wolf,noun,"A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles."""
Aaronic,adjective,Alt. of Aaronical
Aaronical,adjective,"Pertaining to Aaron, the first high priest of the Jews."""
Aaron's rod,unknown,"A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two."""
Aaron's rod,unknown,"A plant with a tall flowering stem; esp. the great mullein, or hag-taper, and the golden-rod."""
Ab-,unknown,"A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6)."""
Ab,noun,"The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August."""
Abaca,noun,"The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."""
Abacinate,verb,To blind by a red-hot metal plate held before the eyes.
Abacination,noun,The act of abacinating.
Abaciscus,noun,One of the tiles or squares of a tessellated pavement; an abaculus.
Abacist,noun,One who uses an abacus in casting accounts; a calculator.
Aback,verb,Toward the back or rear; backward.
Aback,verb,Behind; in the rear.
Aback,verb,Backward against the mast; -- said of the sails when pressed by the wind.
Aback,noun,An abacus.
Abactinal,adjective,Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal.
Abaction,noun,Stealing cattle on a large scale.
Abactor,noun,One who steals and drives away cattle or beasts by herds or droves.
Abaculi,unknown,of Abaculus
Abaculus,noun,"A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."""
Abacuses,unknown,of Abacus
Abaci,unknown,of Abacus
Abacus,noun,"A table or tray strewn with sand, anciently used for drawing, calculating, etc."""
Abacus,noun,"A calculating table or frame; an instrument for performing arithmetical calculations by balls sliding on wires, or counters in grooves, the lowest line representing units, the second line, tens, etc. It is still employed in China."""
Abacus,noun,"The uppermost member or division of the capital of a column, immediately under the architrave. See Column."""
Abacus,noun,"A tablet, panel, or compartment in ornamented or mosaic work."""
Abacus,noun,"A board, tray, or table, divided into perforated compartments, for holding cups, bottles, or the like; a kind of cupboard, buffet, or sideboard."""
Abada,noun,The rhinoceros.
Abaddon,noun,"The destroyer, or angel of the bottomless pit; -- the same as Apollyon and Asmodeus."""
Abaddon,noun,Hell; the bottomless pit.
Abaft,unknown,"Behind; toward the stern from; as, abaft the wheelhouse."""
Abaft,verb,"Toward the stern; aft; as, to go abaft."""
Abaisance,noun,Obeisance.
Abaiser,noun,Ivory black or animal charcoal.
Abaist,unknown,Abashed; confounded; discomfited.
Abalienate,verb,To transfer the title of from one to another; to alienate.
Abalienate,verb,To estrange; to withdraw.
Abalienate,verb,To cause alienation of (mind).
Abalienation,noun,The act of abalienating; alienation; estrangement.
Abalone,noun,"A univalve mollusk of the genus Haliotis. The shell is lined with mother-of-pearl, and used for ornamental purposes; the sea-ear. Several large species are found on the coast of California, clinging closely to the rocks."""
Aband,verb,To abandon.
Aband,verb,To banish; to expel.
Abandoned,unknown,of Abandon
Abandoning,noun,of Abandon
Abandon,verb,To cast or drive out; to banish; to expel; to reject.
Abandon,verb,"To give up absolutely; to forsake entirely ; to renounce utterly; to relinquish all connection with or concern on; to desert, as a person to whom one owes allegiance or fidelity; to quit; to surrender."""
Abandon,verb,Reflexively: To give (one's self) up without attempt at self-control; to yield (one's self) unrestrainedly; -- often in a bad sense.
Abandon,verb,"To relinquish all claim to; -- used when an insured person gives up to underwriters all claim to the property covered by a policy, which may remain after loss or damage by a peril insured against."""
Abandon,verb,Abandonment; relinquishment.
