B,unknown,"is the second letter of the English alphabet. (See Guide to Pronunciation, // 196, 220.) It is etymologically related to p, v, f, w and m , letters representing sounds having a close organic affinity to its own sound; as in Eng. bursar and purser; Eng. bear and Lat. ferre; Eng. silver and Ger. silber; Lat. cubitum and It. gomito; Eng. seven, Anglo-Saxon seofon, Ger. sieben, Lat. septem, Gr.""""epta`, Sanskrit saptan. The form of letter B is Roman, from Greek B (Beta), of Semitic origin. The small b was formed by gradual change from the capital B."""
Ba,verb,To kiss.
Baa,verb,"To cry baa, or bleat as a sheep."""
Baas,unknown,of Baa
Baa,noun,The cry or bleating of a sheep; a bleat.
Baaing,noun,The bleating of a sheep.
Baalim,unknown,of Baal
Baal,noun,The supreme male divinity of the Phoenician and Canaanitish nations.
Baal,noun,The whole class of divinities to whom the name Baal was applied.
Baalism,noun,Worship of Baal; idolatry.
Baalist,noun,Alt. of Baalite
Baalite,noun,A worshiper of Baal; a devotee of any false religion; an idolater.
Baba,noun,A kind of plum cake.
Babbitt,verb,To line with Babbitt metal.
Babbitt metal,unknown,"A soft white alloy of variable composition (as a nine parts of tin to one of copper, or of fifty parts of tin to five of antimony and one of copper) used in bearings to diminish friction."""
Babbled,unknown,of Babble
Babbling,noun,of Babble
Babble,verb,To utter words indistinctly or unintelligibly; to utter inarticulate sounds; as a child babbles.
Babble,verb,To talk incoherently; to utter unmeaning words.
Babble,verb,To talk much; to chatter; to prate.
Babble,verb,"To make a continuous murmuring noise, as shallow water running over stones."""
Babble,verb,"To utter in an indistinct or incoherent way; to repeat, as words, in a childish way without understanding."""
Babble,verb,"To disclose by too free talk, as a secret."""
Babble,noun,Idle talk; senseless prattle; gabble; twaddle.
Babble,noun,Inarticulate speech; constant or confused murmur.
Babblement,noun,Babble.
Babbler,noun,An idle talker; an irrational prater; a teller of secrets.
Babbler,noun,A hound too noisy on finding a good scent.
Babbler,noun,"A name given to any one of family (Timalinae) of thrushlike birds, having a chattering note."""
Babblery,noun,Babble.
Babe,noun,An infant; a young child of either sex; a baby.
Babe,noun,A doll for children.
Babehood,noun,Babyhood.
Babel,noun,"The city and tower in the land of Shinar, where the confusion of languages took place."""
Babel,noun,"Hence: A place or scene of noise and confusion; a confused mixture of sounds, as of voices or languages."""
Babery,noun,Finery of a kind to please a child.
Babian,noun,Alt. of Babion
Babion,noun,A baboon.
Babillard,noun,The lesser whitethroat of Europe; -- called also babbling warbler.
Babingtonite,noun,"A mineral occurring in triclinic crystals approaching pyroxene in angle, and of a greenish black color. It is a silicate of iron, manganese, and lime."""
Babiroussa,noun,Alt. of Babirussa
Babirussa,noun,"A large hoglike quadruped (Sus, / Porcus, babirussa) of the East Indies, sometimes domesticated; the Indian hog. Its upper canine teeth or tusks are large and recurved."""
Babish,adjective,Like a babe; a childish; babyish.
Babism,noun,"The doctrine of a modern religious sect, which originated in Persia in 1843, being a mixture of Mohammedan, Christian, Jewish and Parsee elements."""
Babist,noun,A believer in Babism.
Bablah,noun,"The ring of the fruit of several East Indian species of acacia; neb-neb. It contains gallic acid and tannin, and is used for dyeing drab."""
Baboo,noun,Alt. of Babu
Babu,noun,"A Hindoo gentleman; a native clerk who writes English; also, a Hindoo title answering to Mr. or Esquire."""
Baboon,noun,"One of the Old World Quadrumana, of the genera Cynocephalus and Papio; the dog-faced ape. Baboons have dog-like muzzles and large canine teeth, cheek pouches, a short tail, and naked callosities on the buttocks. They are mostly African. See Mandrill, and Chacma, and Drill an ape."""
Baboonery,noun,Baboonish behavior.
Baboonish,adjective,Like a baboon.
Babies,unknown,of Baby
Baby,noun,An infant or young child of either sex; a babe.
Baby,noun,A small image of an infant; a doll.
Baby,adjective,"Pertaining to, or resembling, an infant; young or little; as, baby swans."""
Babied,unknown,of Baby
Babying,noun,of Baby
Baby,verb,To treat like a young child; to keep dependent; to humor; to fondle.
Baby farm,unknown,A place where the nourishment and care of babies are offered for hire.
Baby farmer,unknown,One who keeps a baby farm.
Baby farming,unknown,The business of keeping a baby farm.
Babyhood,noun,The state or period of infancy.
Babyhouse,adjective,A place for children's dolls and dolls' furniture.
Babyish,adjective,Like a baby; childish; puerile; simple.
Babyism,noun,The state of being a baby.
Babyism,noun,A babyish manner of acting or speaking.
Baby jumper,unknown,"A hoop suspended by an elastic strap, in which a young child may be held secure while amusing itself by jumping on the floor."""
Babylonian,adjective,"Of or pertaining to the real or to the mystical Babylon, or to the ancient kingdom of Babylonia; Chaldean."""
Babylonian,noun,An inhabitant of Babylonia (which included Chaldea); a Chaldean.
Babylonian,noun,An astrologer; -- so called because the Chaldeans were remarkable for the study of astrology.
Babylonic,adjective,Alt. of Babylonical
Babylonical,adjective,"Pertaining to Babylon, or made there; as, Babylonic garments, carpets, or hangings."""
