C,unknown,"C is the third letter of the English alphabet. It is from the Latin letter C, which in old Latin represented the sounds of k, and g (in go); its original value being the latter. In Anglo-Saxon words, or Old English before the Norman Conquest, it always has the sound of k. The Latin C was the same letter as the Greek /, /, and came from the Greek alphabet. The Greeks got it from the Ph/nicians. The English name of C is from the Latin name ce, and was derived, probably, through the French. Etymologically C is related to g, h, k, q, s (and other sibilant sounds). Examples of these relations are in L. acutus, E. acute, ague; E. acrid, eager, vinegar; L. cornu, E. horn; E. cat, kitten; E. coy, quiet; L. circare, OF. cerchier, E. search."""
C,unknown,"The keynote of the normal or """"natural"""" scale, which has neither flats nor sharps in its signature; also, the third note of the relative minor scale of the same."""
C,unknown,"C after the clef is the mark of common time, in which each measure is a semibreve (four fourths or crotchets); for alla breve time it is written /."""
C,unknown,"The """"C clef,"""" a modification of the letter C, placed on any line of the staff, shows that line to be middle C."""
C,unknown,"As a numeral, C stands for Latin centum or 100, CC for 200, etc."""
Caaba,noun,"The small and nearly cubical stone building, toward which all Mohammedans must pray."""
Caas,noun,Case.
Cab,noun,"A kind of close carriage with two or four wheels, usually a public vehicle."""
Cab,noun,"The covered part of a locomotive, in which the engineer has his station."""
Cab,noun,"A Hebrew dry measure, containing a little over two (2.37) pints."""
Cabal,noun,Tradition; occult doctrine. See Cabala
Cabal,noun,A secret.
Cabal,noun,"A number of persons united in some close design, usually to promote their private views and interests in church or state by intrigue; a secret association composed of a few designing persons; a junto."""
Cabal,noun,The secret artifices or machinations of a few persons united in a close design; intrigue.
Caballed,unknown,of Cabal
Caballing,noun,of Cabal
Cabal,verb,To unite in a small party to promote private views and interests by intrigue; to intrigue; to plot.
Cabala,noun,"A kind of occult theosophy or traditional interpretation of the Scriptures among Jewish rabbis and certain mediaeval Christians, which treats of the nature of god and the mystery of human existence. It assumes that every letter, word, number, and accent of Scripture contains a hidden sense; and it teaches the methods of interpretation for ascertaining these occult meanings. The cabalists pretend even to foretell events by this means."""
Cabala,noun,Secret science in general; mystic art; mystery.
Cabalism,noun,The secret science of the cabalists.
Cabalism,noun,A superstitious devotion to the mysteries of the religion which one professes.
Cabalist,noun,"One versed in the cabala, or the mysteries of Jewish traditions."""
Cabalistic,adjective,Alt. of Cabalistical
Cabalistical,adjective,Of or pertaining to the cabala; containing or conveying an occult meaning; mystic.
Cabalistically,verb,In a cabalistic manner.
Cabalize,verb,To use cabalistic language.
Caballer,noun,One who cabals.
Caballine,adjective,Of or pertaining to a horse.
Caballine,noun,Caballine aloes.
Cabaret,noun,A tavern; a house where liquors are retailed.
Cabaret,noun,"a type of restaurant where liquor and dinner is served, and entertainment is provided, as by musicians, dancers, or comedians, and providing space for dancing by the patrons; -- similar to a nightclub. The term cabaret is often used in the names of such an establishment."""
Cabaret,noun,the type of entertainment provided in a cabaret{2}.
Cabas,noun,"A flat basket or frail for figs, etc.; hence, a lady's flat workbasket, reticule, or hand bag; -- often written caba."""
Cabassou,noun,A species of armadillo of the genus Xenurus (X. unicinctus and X. hispidus); the tatouay.
Cabbage,noun,"An esculent vegetable of many varieties, derived from the wild Brassica oleracea of Europe. The common cabbage has a compact head of leaves. The cauliflower, Brussels sprouts, etc., are sometimes classed as cabbages."""
Cabbage,noun,"The terminal bud of certain palm trees, used, like, cabbage, for food. See Cabbage tree, below."""
Cabbage,noun,The cabbage palmetto. See below.
Cabbage,verb,"To form a head like that the cabbage; as, to make lettuce cabbage."""
Cabbaged,unknown,of Cabbage
Cabbaging,noun,of Cabbage
Cabbage,verb,"To purloin or embezzle, as the pieces of cloth remaining after cutting out a garment; to pilfer."""
Cabbage,noun,Cloth or clippings cabbaged or purloined by one who cuts out garments.
Cabbler,noun,One who works at cabbling.
Cabbling,noun,"The process of breaking up the flat masses into which wrought iron is first hammered, in order that the pieces may be reheated and wrought into bar iron."""
Cabeca,noun,Alt. of Cabesse
Cabesse,noun,The finest kind of silk received from India.
Caber,noun,A pole or beam used in Scottish games for tossing as a trial of strength.
