D,unknown,"The fourth letter of the English alphabet, and a vocal consonant. The English letter is from Latin, which is from Greek, which took it from Ph/nician, the probable ultimate origin being Egyptian. It is related most nearly to t and th; as, Eng. deep, G. tief; Eng. daughter, G. tochter, Gr. qyga`thr, Skr. duhitr. See Guide to Pronunciation, Ã178, 179, 229."""
D,unknown,"The nominal of the second tone in the model major scale (that in C), or of the fourth tone in the relative minor scale of C (that in A minor), or of the key tone in the relative minor of F."""
D,unknown,"As a numeral D stands for 500. in this use it is not the initial of any word, or even strictly a letter, but one half of the sign / (or / ) the original Tuscan numeral for 1000."""
Dab,noun,A skillful hand; a dabster; an expert.
Dab,noun,"A name given to several species of flounders, esp. to the European species, Pleuronectes limanda. The American rough dab is Hippoglossoides platessoides."""
Dabbed,unknown,of Dab
Dabbing,noun,of Dab
Dab,verb,"To strike or touch gently, as with a soft or moist substance; to tap; hence, to besmear with a dabber."""
Dab,verb,To strike by a thrust; to hit with a sudden blow or thrust.
Dab,noun,A gentle blow with the hand or some soft substance; a sudden blow or hit; a peck.
Dab,noun,A small mass of anything soft or moist.
Dabb,noun,"A large, spine-tailed lizard (Uromastix spinipes), found in Egypt, Arabia, and Palestine; -- called also dhobb, and dhabb."""
Dabber,noun,"That with which one dabs; hence, a pad or other device used by printers, engravers, etc., as for dabbing type or engraved plates with ink."""
Dabbled,unknown,of Dabble
Dabbling,noun,of Dabble
Dabble,verb,To wet by little dips or strokes; to spatter; to sprinkle; to moisten; to wet.
Dabble,verb,"To play in water, as with the hands; to paddle or splash in mud or water."""
Dabble,verb,To work in slight or superficial manner; to do in a small way; to tamper; to meddle.
Dabbler,noun,One who dabbles.
Dabbler,noun,One who dips slightly into anything; a superficial meddler.
Dabblingly,verb,In a dabbling manner.
Dabchick,noun,"A small water bird (Podilymbus podiceps), allied to the grebes, remarkable for its quickness in diving; -- called also dapchick, dobchick, dipchick, didapper, dobber, devil-diver, hell-diver, and pied-billed grebe."""
Daboia,noun,A large and highly venomous Asiatic viper (Daboia xanthica).
Dabster,noun,One who is skilled; a master of his business; a proficient; an adept.
Dacapo,unknown,"From the beginning; a direction to return to, and end with, the first strain; -- indicated by the letters D. C. Also, the strain so repeated."""
Dace,noun,A small European cyprinoid fish (Squalius leuciscus or Leuciscus vulgaris); -- called also dare.
Dachshund,noun,"One of a breed of small dogs with short crooked legs, and long body; -- called also badger dog. There are two kinds, the rough-haired and the smooth-haired."""
Dacian,adjective,Of or pertaining to Dacia or the Dacians.
Dacian,noun,A native of ancient Dacia.
Dacoit,noun,"One of a class of robbers, in India, who act in gangs."""
Dacoity,noun,The practice of gang robbery in India; robbery committed by dacoits.
Dacotahs,noun,Same as Dacotas.
Dactyl,noun,"A poetical foot of three sylables (-- ~ ~), one long followed by two short, or one accented followed by two unaccented; as, L. tegm/n/, E. mer\b6ciful; -- so called from the similarity of its arrangement to that of the joints of a finger."""
Dactyl,noun,A finger or toe; a digit.
Dactyl,noun,The claw or terminal joint of a leg of an insect or crustacean.
Dactylar,adjective,Pertaining to dactyl; dactylic.
Dactylar,adjective,"Of or pertaining to a finger or toe, or to the claw of an insect crustacean."""
Dactylet,noun,A dactyl.
Dactylic,adjective,"Pertaining to, consisting chiefly or wholly of, dactyls; as, dactylic verses."""
Dactylic,noun,"A line consisting chiefly or wholly of dactyls; as, these lines are dactylics."""
Dactylic,noun,Dactylic meters.
Dactylioglyph,noun,An engraver of gems for rings and other ornaments.
Dactylioglyph,noun,The inscription of the engraver's name on a finger ring or gem.
Dactylioglyphi,noun,The art or process of gem engraving.
Dactyliography,noun,The art of writing or engraving upon gems.
Dactyliography,noun,"In general, the literature or history of the art."""
Dactyliology,noun,That branch of archaeology which has to do with gem engraving.
Dactyliology,noun,That branch of archaeology which has to do with finger rings.
Dactyliomancy,noun,Divination by means of finger rings.
Dactylist,noun,A writer of dactylic verse.
Dactylitis,noun,An inflammatory affection of the fingers.
Dactylology,noun,The art of communicating ideas by certain movements and positions of the fingers; -- a method of conversing practiced by the deaf and dumb.
Dactylomancy,noun,Dactyliomancy.
Dactylonomy,noun,The art of numbering or counting by the fingers.
Dactylopterous,adjective,"Having the inferior rays of the pectoral fins partially or entirely free, as in the gurnards."""
Dactylotheca,noun,"The scaly covering of the toes, as in birds."""
Dactylozooid,noun,"A kind of zooid of Siphonophora which has an elongated or even vermiform body, with one tentacle, but no mouth. See Siphonophora."""
Dad,noun,Father; -- a word sometimes used by children.
Daddled,unknown,of Dadle
Daddling,noun,of Dadle
Dadle,verb,"To toddle; to walk unsteadily, like a child or an old man; hence, to do anything slowly or feebly."""
Daddock,noun,The rotten body of a tree.
Daddy,noun,Diminutive of Dad.
Daddy longlegs,unknown,"An arachnidan of the genus Phalangium, and allied genera, having a small body and four pairs of long legs; -- called also harvestman, carter, and grandfather longlegs."""
Daddy longlegs,unknown,"A name applied to many species of dipterous insects of the genus Tipula, and allied genera, with slender bodies, and very long, slender legs; the crane fly; -- called also father longlegs."""
Dade,verb,"To hold up by leading strings or by the hand, as a child while he toddles."""
Dade,verb,"To walk unsteadily, as a child in leading strings, or just learning to walk; to move slowly."""
Dadoes,unknown,of Dado
Dado,noun,That part of a pedestal included between the base and the cornice (or surbase); the die. See Illust. of Column.
Dado,noun,"In any wall, that part of the basement included between the base and the base course. See Base course, under Base."""
Dado,noun,"In interior decoration, the lower part of the wall of an apartment when adorned with moldings, or otherwise specially decorated."""
Daedal,adjective,Alt. of Daedalian
Daedalian,adjective,Cunningly or ingeniously formed or working; skillful; artistic; ingenious.
Daedalian,adjective,Crafty; deceitful.
Daedalous,adjective,Having a variously cut or incised margin; -- said of leaves.
Daemon,adjective,Alt. of Daemonic
Daemonic,adjective,"See Demon, Demonic."""
Daff,verb,To cast aside; to put off; to doff.
Daff,noun,"A stupid, blockish fellow; a numskull."""
Daff,verb,To act foolishly; to be foolish or sportive; to toy.
Daff,verb,To daunt.
Daffodil,noun,A plant of the genus Asphodelus.
Daffodil,noun,"A plant of the genus Narcissus (N. Pseudo-narcissus). It has a bulbous root and beautiful flowers, usually of a yellow hue. Called also daffodilly, daffadilly, daffadowndilly, daffydowndilly, etc."""
Daft,adjective,"Stupid; foolish; idiotic; also, delirious; insane; as, he has gone daft."""
Daft,adjective,Gay; playful; frolicsome.
Daftness,noun,The quality of being daft.
Dag,noun,A dagger; a poniard.
