E,unknown,The fifth letter of the English alphabet.
E,unknown,E is the third tone of the model diatonic scale. E/ (E flat) is a tone which is intermediate between D and E.
E-,unknown,"A Latin prefix meaning out, out of, from; also, without. See Ex-."""
Each,noun,"Every one of the two or more individuals composing a number of objects, considered separately from the rest. It is used either with or without a following noun; as, each of you or each one of you."""
Each,noun,Every; -- sometimes used interchangeably with every.
Eachwhere,verb,Everywhere.
Eadish,noun,See Eddish.
Eager,adjective,Sharp; sour; acid.
Eager,adjective,Sharp; keen; bitter; severe.
Eager,adjective,"Excited by desire in the pursuit of any object; ardent to pursue, perform, or obtain; keenly desirous; hotly longing; earnest; zealous; impetuous; vehement; as, the hounds were eager in the chase."""
Eager,adjective,Brittle; inflexible; not ductile.
Eager,noun,Same as Eagre.
Eagerly,verb,In an eager manner.
Eagerness,noun,The state or quality of being eager; ardent desire.
Eagerness,noun,Tartness; sourness.
Eagle,noun,"Any large, rapacious bird of the Falcon family, esp. of the genera Aquila and Haliaeetus. The eagle is remarkable for strength, size, graceful figure, keenness of vision, and extraordinary flight. The most noted species are the golden eagle (Aquila chrysaetus); the imperial eagle of Europe (A. mogilnik / imperialis); the American bald eagle (Haliaeetus leucocephalus); the European sea eagle (H. albicilla); and the great harpy eagle (Thrasaetus harpyia). The figure of the eagle, as the king of birds, is commonly used as an heraldic emblem, and also for standards and emblematic devices. See Bald eagle, Harpy, and Golden eagle."""
Eagle,noun,"A gold coin of the United States, of the value of ten dollars."""
Eagle,noun,"A northern constellation, containing Altair, a star of the first magnitude. See Aquila."""
Eagle,noun,"The figure of an eagle borne as an emblem on the standard of the ancient Romans, or so used upon the seal or standard of any people."""
Eagle-eyed,adjective,Sharp-sighted as an eagle.
Eagle-sighted,adjective,Farsighted and strong-sighted; sharp-sighted.
Eagless,noun,A female or hen eagle.
Eaglestone,noun,"A concretionary nodule of clay ironstone, of the size of a walnut or larger, so called by the ancients, who believed that the eagle transported these stones to her nest to facilitate the laying of her eggs; aetites."""
Eaglet,noun,"A young eagle, or a diminutive eagle."""
Eagle-winged,adjective,"Having the wings of an eagle; swift, or soaring high, like an eagle."""
Eaglewood,noun,A kind of fragrant wood. See Agallochum.
Eagrass,noun,See Eddish.
