F,unknown,"F is the sixth letter of the English alphabet, and a nonvocal consonant. Its form and sound are from the Latin. The Latin borrowed the form from the Greek digamma /, which probably had the value of English w consonant. The form and value of Greek letter came from the Phoenician, the ultimate source being probably Egyptian. Etymologically f is most closely related to p, k, v, and b; as in E. five, Gr. pe`nte; E. wolf, L. lupus, Gr. ly`kos; E. fox, vixen ; fragile, break; fruit, brook, v. t.; E. bear, L. ferre. See Guide to Pronunciation, // 178, 179, 188, 198, 230."""
F,verb,"The name of the fourth tone of the model scale, or scale of C. F sharp (F /) is a tone intermediate between F and G."""
Fa,noun,A syllable applied to the fourth tone of the diatonic scale in solmization.
Fa,noun,The tone F.
Fabaceous,adjective,Having the nature of a bean; like a bean.
Fabellae,unknown,of Fabella
Fabella,noun,"One of the small sesamoid bones situated behind the condyles of the femur, in some mammals."""
Fabian,adjective,"Of, pertaining to, or in the manner of, the Roman general, Quintus Fabius Maximus Verrucosus; cautious; dilatory; avoiding a decisive contest."""
Fable,noun,"A Feigned story or tale, intended to instruct or amuse; a fictitious narration intended to enforce some useful truth or precept; an apologue. See the Note under Apologue."""
Fable,noun,"The plot, story, or connected series of events, forming the subject of an epic or dramatic poem."""
Fable,noun,Any story told to excite wonder; common talk; the theme of talk.
Fable,noun,Fiction; untruth; falsehood.
Fabled,unknown,of Fable
Fabling,noun,of Fable
Fable,verb,"To compose fables; hence, to write or speak fiction ; to write or utter what is not true."""
Fable,verb,"To feign; to invent; to devise, and speak of, as true or real; to tell of falsely."""
Fabler,noun,A writer of fables; a fabulist; a dealer in untruths or falsehoods.
Fabliaux,unknown,of Fabliau
Fabliau,noun,"One of the metrical tales of the Trouveres, or early poets of the north of France."""
Fabric,noun,The structure of anything; the manner in which the parts of a thing are united; workmanship; texture; make; as cloth of a beautiful fabric.
Fabric,noun,That which is fabricated
Fabric,noun,Framework; structure; edifice; building.
Fabric,noun,"Cloth of any kind that is woven or knit from fibers, either vegetable or animal; manufactured cloth; as, silks or other fabrics."""
Fabric,noun,The act of constructing; construction.
Fabric,noun,"Any system or structure consisting of connected parts; as, the fabric of the universe."""
Fabricked,unknown,of Fabric
Fabricking,noun,of Fabric
Fabric,verb,To frame; to build; to construct.
Fabricant,noun,One who fabricates; a manufacturer.
Fabricated,unknown,of Fabricate
Fabricating,noun,of Fabricate
Fabricate,verb,"To form into a whole by uniting its parts; to frame; to construct; to build; as, to fabricate a bridge or ship."""
Fabricate,verb,"To form by art and labor; to manufacture; to produce; as, to fabricate woolens."""
Fabricate,verb,"To invent and form; to forge; to devise falsely; as, to fabricate a lie or story."""
Fabrication,noun,"The act of fabricating, framing, or constructing; construction; manufacture; as, the fabrication of a bridge, a church, or a government."""
Fabrication,noun,"That which is fabricated; a falsehood; as, the story is doubtless a fabrication."""
Fabricator,noun,One who fabricates; one who constructs or makes.
Fabricatress,noun,A woman who fabricates.
Fabrile,adjective,"Pertaining to a workman, or to work in stone, metal, wood etc.; as, fabrile skill."""
Fabulist,noun,One who invents or writes fables.
Fabulized,unknown,of Fabulize
Fabulizing,noun,of Fabulize
Fabulize,verb,"To invent, compose, or relate fables or fictions."""
Fabulosity,noun,Fabulousness.
Fabulosity,noun,A fabulous or fictitious story.
Fabulous,adjective,"Feigned, as a story or fable; related in fable; devised; invented; not real; fictitious; as, a fabulous description; a fabulous hero."""
Fabulous,adjective,"Passing belief; exceedingly great; as, a fabulous price."""
Faburden,noun,A species of counterpoint with a drone bass.
Faburden,noun,A succession of chords of the sixth.
Faburden,noun,A monotonous refrain.
Fac,noun,"A large ornamental letter used, esp. by the early printers, at the commencement of the chapters and other divisions of a book."""
Facade,noun,"The front of a building; esp., the principal front, having some architectural pretensions. Thus a church is said to have its facade unfinished, though the interior may be in use."""
Face,noun,"The exterior form or appearance of anything; that part which presents itself to the view; especially, the front or upper part or surface; that which particularly offers itself to the view of a spectator."""
Face,noun,"That part of a body, having several sides, which may be seen from one point, or which is presented toward a certain direction; one of the bounding planes of a solid; as, a cube has six faces."""
Face,noun,"The principal dressed surface of a plate, disk, or pulley; the principal flat surface of a part or object."""
Face,noun,"That part of the acting surface of a cog in a cog wheel, which projects beyond the pitch line."""
Face,noun,"The width of a pulley, or the length of a cog from end to end; as, a pulley or cog wheel of ten inches face."""
Face,noun,"The upper surface, or the character upon the surface, of a type, plate, etc."""
Face,noun,The style or cut of a type or font of type.
Face,noun,"Outside appearance; surface show; look; external aspect, whether natural, assumed, or acquired."""
Face,noun,"That part of the head, esp. of man, in which the eyes, cheeks, nose, and mouth are situated; visage; countenance."""
Face,noun,Cast of features; expression of countenance; look; air; appearance.
Face,noun,Ten degrees in extent of a sign of the zodiac.
Face,noun,Maintenance of the countenance free from abashment or confusion; confidence; boldness; shamelessness; effrontery.
Face,noun,"Presence; sight; front; as in the phrases, before the face of, in the immediate presence of; in the face of, before, in, or against the front of; as, to fly in the face of danger; to the face of, directly to; from the face of, from the presence of."""
Face,noun,"Mode of regard, whether favorable or unfavorable; favor or anger; mostly in Scriptural phrases."""
Face,noun,"The end or wall of the tunnel, drift, or excavation, at which work is progressing or was last done."""
Face,noun,"The exact amount expressed on a bill, note, bond, or other mercantile paper, without any addition for interest or reduction for discount."""
Faced,unknown,of Face
Facing,noun,of Face
Face,verb,"To meet in front; to oppose with firmness; to resist, or to meet for the purpose of stopping or opposing; to confront; to encounter; as, to face an enemy in the field of battle."""
Face,verb,To Confront impudently; to bully.
Face,verb,"To stand opposite to; to stand with the face or front toward; to front upon; as, the apartments of the general faced the park."""
Face,verb,"To cover in front, for ornament, protection, etc.; to put a facing upon; as, a building faced with marble."""
Face,verb,"To line near the edge, esp. with a different material; as, to face the front of a coat, or the bottom of a dress."""
Face,verb,"To cover with better, or better appearing, material than the mass consists of, for purpose of deception, as the surface of a box of tea, a barrel of sugar, etc."""
Face,verb,"To make the surface of (anything) flat or smooth; to dress the face of (a stone, a casting, etc.); esp., in turning, to shape or smooth the flat surface of, as distinguished from the cylindrical surface."""
Face,verb,"To cause to turn or present a face or front, as in a particular direction."""
Face,verb,To carry a false appearance; to play the hypocrite.
Face,verb,"To turn the face; as, to face to the right or left."""
Face,verb,To present a face or front.
Faced,adjective,"Having (such) a face, or (so many) faces; as, smooth-faced, two-faced."""
Faser,noun,One who faces; one who puts on a false show; a bold-faced person.
Faser,noun,"A blow in the face, as in boxing; hence, any severe or stunning check or defeat, as in controversy."""
Facet,noun,"A little face; a small, plane surface; as, the facets of a diamond."""
Facet,noun,"A smooth circumscribed surface; as, the articular facet of a bone."""
Facet,noun,The narrow plane surface between flutings of a column.
Facet,noun,One of the numerous small eyes which make up the compound eyes of insects and crustaceans.
Faceted,unknown,of Facet
Faceting,noun,of Facet
Facet,verb,"To cut facets or small faces upon; as, to facet a diamond."""
Facete,adjective,Facetious; witty; humorous.
Faceted,adjective,Having facets.
Facetiae,noun,Witty or humorous writings or saying; witticisms; merry conceits.
Facetious,adjective,"Given to wit and good humor; merry; sportive; jocular; as, a facetious companion."""
Facetious,adjective,"Characterized by wit and pleasantry; exciting laughter; as, a facetious story or reply."""
Facette,noun,"See Facet, n."""
Facework,noun,"The material of the outside or front side, as of a wall or building; facing."""
Facia,noun,See Fascia.
Facial,adjective,"Of or pertaining to the face; as, the facial artery, vein, or nerve."""
Faciend,noun,"The multiplicand. See Facient, 2."""
Facient,noun,"One who does anything, good or bad; a doer; an agent."""
Facient,noun,One of the variables of a quantic as distinguished from a coefficient.
Facient,noun,The multiplier.
Facies,noun,The anterior part of the head; the face.
Facies,noun,"The general aspect or habit of a species, or group of species, esp. with reference to its adaptation to its environment."""
Facies,noun,"The face of a bird, or the front of the head, excluding the bill."""
Facile,adjective,Easy to be done or performed: not difficult; performable or attainable with little labor.
Facile,adjective,Easy to be surmounted or removed; easily conquerable; readily mastered.
Facile,adjective,"Easy of access or converse; mild; courteous; not haughty, austere, or distant; affable; complaisant."""
Facile,adjective,Easily persuaded to good or bad; yielding; ductile to a fault; pliant; flexible.
Facile,adjective,"Ready; quick; expert; as, he is facile in expedients; he wields a facile pen."""
Facilitated,unknown,of Facilitate
Facilitating,noun,of Facilitate
Facilitate,verb,"To make easy or less difficult; to free from difficulty or impediment; to lessen the labor of; as, to facilitate the execution of a task."""
Facilitation,noun,The act of facilitating or making easy.
Facilities,unknown,of Facility
Facility,noun,"The quality of being easily performed; freedom from difficulty; ease; as, the facility of an operation."""
Facility,noun,"Ease in performance; readiness proceeding from skill or use; dexterity; as, practice gives a wonderful facility in executing works of art."""
Facility,noun,Easiness to be persuaded; readiness or compliance; -- usually in a bad sense; pliancy.
Facility,noun,Easiness of access; complaisance; affability.
Facility,noun,"That which promotes the ease of any action or course of conduct; advantage; aid; assistance; -- usually in the plural; as, special facilities for study."""
Facing,noun,"A covering in front, for ornament or other purpose; an exterior covering or sheathing; as, the facing of an earthen slope, sea wall, etc. , to strengthen it or to protect or adorn the exposed surface."""
Facing,noun,A lining placed near the edge of a garment for ornament or protection.
Facing,noun,"The finishing of any face of a wall with material different from that of which it is chiefly composed, or the coating or material so used."""
Facing,noun,"A powdered substance, as charcoal, bituminous coal, ect., applied to the face of a mold, or mixed with the sand that forms it, to give a fine smooth surface to the casting."""
Facing,noun,The collar and cuffs of a military coat; -- commonly of a color different from that of the coat.
Facing,noun,"The movement of soldiers by turning on their heels to the right, left, or about; -- chiefly in the pl."""
Facingly,verb,In a facing manner or position.
Facinorous,adjective,Atrociously wicked.
Facound,noun,Speech; eloquence.
Facsimiles,unknown,of Facsimile
Facsimile,noun,"A copy of anything made, either so as to be deceptive or so as to give every part and detail of the original; an exact copy or likeness."""
Facsimile,verb,To make a facsimile of.
Fact,noun,"A doing, making, or preparing."""
Fact,noun,An effect produced or achieved; anything done or that comes to pass; an act; an event; a circumstance.
Fact,noun,"Reality; actuality; truth; as, he, in fact, excelled all the rest; the fact is, he was beaten."""
Fact,noun,"The assertion or statement of a thing done or existing; sometimes, even when false, improperly put, by a transfer of meaning, for the thing done, or supposed to be done; a thing supposed or asserted to be done; as, history abounds with false facts."""
Faction,noun,One of the divisions or parties of charioteers (distinguished by their colors) in the games of the circus.
Faction,noun,"A party, in political society, combined or acting in union, in opposition to the government, or state; -- usually applied to a minority, but it may be applied to a majority; a combination or clique of partisans of any kind, acting for their own interests, especially if greedy, clamorous, and reckless of the common good."""
Faction,noun,Tumult; discord; dissension.
Factionary,adjective,Belonging to a faction; being a partisan; taking sides.
Factioner,noun,One of a faction.
Factionist,noun,One who promotes faction.
Factious,adjective,"Given to faction; addicted to form parties and raise dissensions, in opposition to government or the common good; turbulent; seditious; prone to clamor against public measures or men; -- said of persons."""
Factious,adjective,"Pertaining to faction; proceeding from faction; indicating, or characterized by, faction; -- said of acts or expressions; as, factious quarrels."""
Factitious,adjective,"Made by art, in distinction from what is produced by nature; artificial; sham; formed by, or adapted to, an artificial or conventional, in distinction from a natural, standard or rule; not natural; as, factitious cinnabar or jewels; a factitious taste."""
Factitive,adjective,Causing; causative.
Factitive,adjective,"Pertaining to that relation which is proper when the act, as of a transitive verb, is not merely received by an object, but produces some change in the object, as when we say, He made the water wine."""
Factive,adjective,Making; having power to make.
Facto,verb,In fact; by the act or fact.
Factor,noun,"One who transacts business for another; an agent; a substitute; especially, a mercantile agent who buys and sells goods and transacts business for others in commission; a commission merchant or consignee. He may be a home factor or a foreign factor. He may buy and sell in his own name, and he is intrusted with the possession and control of the goods; and in these respects he differs from a broker."""
Factor,noun,A steward or bailiff of an estate.
Factor,noun,"One of the elements or quantities which, when multiplied together, from a product."""
Factor,noun,"One of the elements, circumstances, or influences which contribute to produce a result; a constituent."""
Factored,unknown,of Factor
Factoring,noun,of Factor
Factor,verb,To resolve (a quantity) into its factors.
Factorage,noun,"The allowance given to a factor, as a compensation for his services; -- called also a commission."""
Factoress,noun,A factor who is a woman.
Factorial,adjective,Of or pertaining to a factory.
Factorial,adjective,Related to factorials.
Factorial,noun,"A name given to the factors of a continued product when the former are derivable from one and the same function F(x) by successively imparting a constant increment or decrement h to the independent variable. Thus the product F(x).F(x + h).F(x + 2h) . . . F[x + (n-1)h] is called a factorial term, and its several factors take the name of factorials."""
Factorial,noun,The product of the consecutive numbers from unity up to any given number.
Factoring,noun,The act of resolving into factors.
Factorized,unknown,of Factorize
Factorizing,noun,of Factorize
Factorize,verb,"To give warning to; -- said of a person in whose hands the effects of another are attached, the warning being to the effect that he shall not pay the money or deliver the property of the defendant in his hands to him, but appear and answer the suit of the plaintiff."""
Factorize,verb,To attach (the effects of a debtor) in the hands of a third person ; to garnish. See Garnish.
Factorship,noun,The business of a factor.
Factories,unknown,of Factory
Factory,noun,"A house or place where factors, or commercial agents, reside, to transact business for their employers."""
