G,unknown,"G is the seventh letter of the English alphabet, and a vocal consonant. It has two sounds; one simple, as in gave, go, gull; the other compound (like that of j), as in gem, gin, dingy. See Guide to Pronunciation, // 231-6, 155, 176, 178, 179, 196, 211, 246."""
G,unknown,"G is the name of the fifth tone of the natural or model scale; -- called also sol by the Italians and French. It was also originally used as the treble clef, and has gradually changed into the character represented in the margin. See Clef. G/ (G sharp) is a tone intermediate between G and A."""
Gab,noun,The hook on the end of an eccentric rod opposite the strap. See. Illust. of Eccentric.
Gab,verb,"The mouth; hence, idle prate; chatter; unmeaning talk; loquaciousness."""
Gab,verb,To deceive; to lie.
Gab,verb,To talk idly; to prate; to chatter.
Gabarage,noun,A kind of coarse cloth for packing goods.
Gabardine,noun,Alt. of Gaberdine
Gaberdine,noun,A coarse frock or loose upper garment formerly worn by Jews; a mean dress.
Gabber,noun,A liar; a deceiver.
Gabber,noun,One addicted to idle talk.
Gabbled,unknown,of Gabble
Gabbling,noun,of Gabble
Gabble,verb,"To talk fast, or to talk without meaning; to prate; to jabber."""
Gabble,verb,"To utter inarticulate sounds with rapidity; as, gabbling fowls."""
Gabble,noun,Loud or rapid talk without meaning.
Gabble,noun,Inarticulate sounds rapidly uttered; as of fowls.
Gabbier,noun,One who gabbles; a prater.
Gabbro,noun,"A name originally given by the Italians to a kind of serpentine, later to the rock called euphotide, and now generally used for a coarsely crystalline, igneous rock consisting of lamellar pyroxene (diallage) and labradorite, with sometimes chrysolite (olivine gabbro)."""
Gabel,noun,"A rent, service, tribute, custom, tax, impost, or duty; an excise."""
Gabeler,noun,A collector of gabels or taxes.
Gabelle,noun,"A tax, especially on salt."""
Gabelleman,noun,A gabeler.
Gaberdine,noun,See Gabardine.
Gaber-lunzie,noun,A beggar with a wallet; a licensed beggar.
Gabert,noun,"A lighter, or vessel for inland navigation."""
Gabion,noun,"A hollow cylinder of wickerwork, like a basket without a bottom. Gabions are made of various sizes, and filled with earth in building fieldworks to shelter men from an enemy's fire."""
Gabion,noun,"An openwork frame, as of poles, filled with stones and sunk, to assist in forming a bar dyke, etc., as in harbor improvement."""
Gabionade,noun,"A traverse made with gabions between guns or on their flanks, protecting them from enfilading fire."""
Gabionade,noun,"A structure of gabions sunk in lines, as a core for a sand bar in harbor improvements."""
Gabionage,noun,The part of a fortification built of gabions.
Gabioned,adjective,Furnished with gabions.
Gabionnade,noun,See Gabionade.
Gable,noun,A cable.
Gable,noun,"The vertical triangular portion of the end of a building, from the level of the cornice or eaves to the ridge of the roof. Also, a similar end when not triangular in shape, as of a gambrel roof and the like."""
Gable,noun,"The end wall of a building, as distinguished from the front or rear side."""
Gable,noun,"A decorative member having the shape of a triangular gable, such as that above a Gothic arch in a doorway."""
Gablet,noun,"A small gable, or gable-shaped canopy, formed over a tabernacle, niche, etc."""
Gablock,noun,"A false spur or gaff, fitted on the heel of a gamecock."""
Gaby,noun,A simpleton; a dunce; a lout.
Gad,noun,"The point of a spear, or an arrowhead."""
Gad,noun,"A pointed or wedge-shaped instrument of metal, as a steel wedge used in mining, etc."""
Gad,noun,A sharp-pointed rod; a goad.
Gad,noun,A spike on a gauntlet; a gadling.
Gad,noun,A wedge-shaped billet of iron or steel.
Gad,noun,"A rod or stick, as a fishing rod, a measuring rod, or a rod used to drive cattle with."""
Gadded,unknown,of Gad
Gadding,noun,of Gad
Gad,noun,"To walk about; to rove or go about, without purpose; hence, to run wild; to be uncontrolled."""
Gadabout,noun,A gadder
Gadbee,noun,The gadfly.
Gadder,noun,"One who roves about idly, a rambling gossip."""
Gadding,noun,"Going about much, needlessly or without purpose."""
Gaddingly,verb,"In a roving, idle manner."""
Gaddish,adjective,Disposed to gad.
Gade,noun,A small British fish (Motella argenteola) of the Cod family.
Gade,noun,"A pike, so called at Moray Firth; -- called also gead."""
Gadere,verb,Alt. of Gadre
Gadre,verb,To gather.
Gadflies,unknown,of Gadfly
Gadfly,noun,"Any dipterous insect of the genus Oestrus, and allied genera of botflies."""
Gadhelic,adjective,"Of or pertaining to that division of the Celtic languages, which includes the Irish, Gaelic, and Manx."""
Gadic,adjective,"Pertaining to, or derived from, the cod (Gadus); -- applied to an acid obtained from cod-liver oil, viz., gadic acid."""
Gaditanian,adjective,"Of or relating to Cadiz, in Spain."""
Gaditanian,noun,A native or inhabitant of Cadiz.
Gadling,noun,"See Gad, n., 4."""
Gadling,verb,Gadding about.
Gadling,noun,A roving vagabond.
Gadman,noun,A gadsman.
Gadoid,adjective,"Of or pertaining to the family of fishes (Gadidae) which includes the cod, haddock, and hake."""
Gadoid,noun,One of the Gadidae.
Gadolinia,noun,"A rare earth, regarded by some as an oxide of the supposed element gadolinium, by others as only a mixture of the oxides of yttrium, erbium, ytterbium, etc."""
Gadolinic,adjective,Pertaining to or containing gadolinium.
Gadolinite,noun,"A mineral of a nearly black color and vitreous luster, and consisting principally of the silicates of yttrium, cerium, and iron."""
Gadolinium,noun,"A supposed rare metallic element, with a characteristic spectrum, found associated with yttrium and other rare metals. Its individuality and properties have not yet been determined."""
Gadsman,noun,One who uses a gad or goad in driving.
Gaduin,noun,"A yellow or brown amorphous substance, of indifferent nature, found in cod-liver oil."""
Gadwall,noun,"A large duck (Anas strepera), valued as a game bird, found in the northern parts of Europe and America; -- called also gray duck."""
Gael,noun,"A Celt or the Celts of the Scotch Highlands or of Ireland; now esp., a Scotch Highlander of Celtic origin."""
Gaelic,adjective,"Of or pertaining to the Gael, esp. to the Celtic Highlanders of Scotland; as, the Gaelic language."""
Gaelic,noun,"The language of the Gaels, esp. of the Highlanders of Scotland. It is a branch of the Celtic."""
Gaff,noun,"A barbed spear or a hook with a handle, used by fishermen in securing heavy fish."""
Gaff,noun,The spar upon which the upper edge of a fore-and-aft sail is extended.
Gaff,noun,"Same as Gaffle, 1."""
Gaffed,unknown,of Gaff
Gaffing,noun,of Gaff
Gaff,verb,"To strike with a gaff or barbed spear; to secure by means of a gaff; as, to gaff a salmon."""
Gaffer,noun,An old fellow; an aged rustic.
Gaffer,noun,A foreman or overseer of a gang of laborers.
Gaffle,noun,An artificial spur or gaff for gamecocks.
Gaffle,noun,A lever to bend crossbows.
Gaff-topsail,noun,A small triangular sail having its foot extended upon the gaff and its luff upon the topmast.
Gagged,unknown,of Gag
Gagging,noun,of Gag
Gag,verb,"To stop the mouth of, by thrusting sometimes in, so as to hinder speaking; hence, to silence by authority or by violence; not to allow freedom of speech to."""
Gag,verb,To pry or hold open by means of a gag.
Gag,verb,To cause to heave with nausea.
Gag,verb,To heave with nausea; to retch.
Gag,verb,"To introduce gags or interpolations. See Gag, n., 3."""
Gag,noun,Something thrust into the mouth or throat to hinder speaking.
Gag,noun,"A mouthful that makes one retch; a choking bit; as, a gag of mutton fat."""
Gag,noun,"A speech or phrase interpolated offhand by an actor on the stage in his part as written, usually consisting of some seasonable or local allusion."""
Gagate,noun,Agate.
Gage,noun,"A pledge or pawn; something laid down or given as a security for the performance of some act by the person depositing it, and forfeited by nonperformance; security."""
Gage,noun,"A glove, cap, or the like, cast on the ground as a challenge to combat, and to be taken up by the accepter of the challenge; a challenge; a defiance."""
Gage,noun,"A variety of plum; as, the greengage; also, the blue gage, frost gage, golden gage, etc., having more or less likeness to the greengage. See Greengage."""
Gaged,unknown,of Gage
Gaging,noun,of Gage
Gage,noun,To give or deposit as a pledge or security for some act; to wage or wager; to pawn or pledge.
Gage,noun,"To bind by pledge, or security; to engage."""
Gage,noun,"A measure or standard. See Gauge, n."""
Gage,verb,"To measure. See Gauge, v. t."""
Gager,noun,A measurer. See Gauger.
Gagger,noun,One who gags.
Gagger,noun,A piece of iron imbedded in the sand of a mold to keep the sand in place.
Gaggled,unknown,of Gaggle
Gaggling,noun,of Gaggle
Gaggle,verb,To make a noise like a goose; to cackle.
Gaggle,verb,A flock of wild geese.
Gagtooth,noun,A projecting tooth.
Gag-toothed,adjective,Having gagteeth.
Gahnite,noun,Zinc spinel; automolite.
Gaidic,adjective,Pertaining to hypogeic acid; -- applied to an acid obtained from hypogeic acid.
Gaiety,noun,Same as Gayety.
Gailer,noun,A jailer.
Gaillard,adjective,Gay; brisk; merry; galliard.
Gailliarde,noun,A lively French and Italian dance.
Gaily,verb,Merrily; showily. See gaily.
Gain,noun,"A square or beveled notch cut out of a girder, binding joist, or other timber which supports a floor beam, so as to receive the end of the floor beam."""
Gain,adjective,Convenient; suitable; direct; near; handy; dexterous; easy; profitable; cheap; respectable.
Gain,verb,"That which is gained, obtained, or acquired, as increase, profit, advantage, or benefit; -- opposed to loss."""
Gain,verb,The obtaining or amassing of profit or valuable possessions; acquisition; accumulation.
Gained,unknown,of Gain
Gaining,noun,of Gain
Gain,noun,"To get, as profit or advantage; to obtain or acquire by effort or labor; as, to gain a good living."""
Gain,noun,"To come off winner or victor in; to be successful in; to obtain by competition; as, to gain a battle; to gain a case at law; to gain a prize."""
Gain,noun,To draw into any interest or party; to win to one's side; to conciliate.
Gain,noun,"To reach; to attain to; to arrive at; as, to gain the top of a mountain; to gain a good harbor."""
Gain,noun,"To get, incur, or receive, as loss, harm, or damage."""
Gain,verb,"To have or receive advantage or profit; to acquire gain; to grow rich; to advance in interest, health, or happiness; to make progress; as, the sick man gains daily."""
Gainable,verb,Capable of being obtained or reached.
Gainage,verb,"The horses, oxen, plows, wains or wagons and implements for carrying on tillage."""
Gainage,verb,"The profit made by tillage; also, the land itself."""
Gainer,noun,One who gains.
Gainful,adjective,Profitable; advantageous; lucrative.
Gaingiving,noun,A misgiving.
Gainless,adjective,Not producing gain; unprofitable.
Gainly,adjective,Handily; readily; dexterously; advantageously.
Gainpain,noun,Bread-gainer; -- a term applied in the Middle Ages to the sword of a hired soldier.
Gainsaid,unknown,of Gainsay
Gainsaying,noun,of Gainsay
Gainsay,verb,To contradict; to deny; to controvert; to dispute; to forbid.
Gainsayer,noun,"One who gainsays, contradicts, or denies."""
Gainsome,adjective,Gainful.
Gainsome,adjective,Prepossessing; well-favored.
'Gainst,unknown,A contraction of Against.
Gainstood,unknown,of Gainstand
gainstanding,noun,of Gainstand
Gainstand,verb,To withstand; to resist.
Gainstrive,verb,To strive or struggle against; to withstand.
Gairfowl,noun,See Garefowl.
Gairish,noun,Alt. of Gairish/ness
Gairishly,noun,Alt. of Gairish/ness
Gairish/ness,noun,"Same as Garish, Garishly, Garishness."""
Gait,noun,A going; a walk; a march; a way.
Gait,noun,Manner of walking or stepping; bearing or carriage while moving.
Gaited,adjective,"Having (such) a gait; -- used in composition; as, slow-gaited; heavy-gaited."""
Gaiter,noun,"A covering of cloth or leather for the ankle and instep, or for the whole leg from the knee to the instep, fitting down upon the shoe."""
Gaiter,noun,"A kind of shoe, consisting of cloth, and covering the ankle."""
Gaiter,verb,To dress with gaiters.
Gaitre,noun,Alt. of Gaytre
Gaytre,noun,The dogwood tree.
