H,unknown,"the eighth letter of the English alphabet, is classed among the consonants, and is formed with the mouth organs in the same position as that of the succeeding vowel. It is used with certain consonants to form digraphs representing sounds which are not found in the alphabet, as sh, th, /, as in shall, thing, /ine (for zh see /274); also, to modify the sounds of some other letters, as when placed after c and p, with the former of which it represents a compound sound like that of tsh, as in charm (written also tch as in catch), with the latter, the sound of f, as in phase, phantom. In some words, mostly derived or introduced from foreign languages, h following c and g indicates that those consonants have the hard sound before e, i, and y, as in chemistry, chiromancy, chyle, Ghent, Ghibelline, etc.; in some others, ch has the sound of sh, as in chicane. See Guide to Pronunciation, // 153, 179, 181-3, 237-8."""
H,unknown,"The seventh degree in the diatonic scale, being used by the Germans for B natural. See B."""
Ha,unknown,"An exclamation denoting surprise, joy, or grief. Both as uttered and as written, it expresses a great variety of emotions, determined by the tone or the context. When repeated, ha, ha, it is an expression of laughter, satisfaction, or triumph, sometimes of derisive laughter; or sometimes it is equivalent to """"Well, it is so."""""""
Haaf,noun,"The deepsea fishing for cod, ling, and tusk, off the Shetland Isles."""
Haak,noun,A sea fish. See Hake.
Haar,noun,"A fog; esp., a fog or mist with a chill wind."""
Habeas corpus,unknown,"A writ having for its object to bring a party before a court or judge; especially, one to inquire into the cause of a person's imprisonment or detention by another, with the view to protect the right to personal liberty; also, one to bring a prisoner into court to testify in a pending trial."""
Habendum,noun,"That part of a deed which follows the part called the premises, and determines the extent of the interest or estate granted; -- so called because it begins with the word Habendum."""
Haberdash,verb,To deal in small wares.
Haberdasher,noun,"A dealer in small wares, as tapes, pins, needles, and thread; also, a hatter."""
Haberdasher,noun,"A dealer in drapery goods of various descriptions, as laces, silks, trimmings, etc."""
Haberdashery,noun,"The goods and wares sold by a haberdasher; also (Fig.), trifles."""
Haberdine,noun,A cod salted and dried.
Habergeon,noun,"Properly, a short hauberk, but often used loosely for the hauberk."""
Habilatory,adjective,Of or pertaining to clothing; wearing clothes.
Habile,adjective,"Fit; qualified; also, apt."""
Habiliment,noun,A garment; an article of clothing.
Habiliment,noun,"Dress, in general."""
Habilimented,adjective,Clothed. Taylor (1630).
Habilitate,adjective,Qualified or entitled.
Habilitate,verb,To fit out; to equip; to qualify; to entitle.
Habilitation,noun,Equipment; qualification.
Hability,noun,Ability; aptitude.
Habit,noun,"The usual condition or state of a person or thing, either natural or acquired, regarded as something had, possessed, and firmly retained; as, a religious habit; his habit is morose; elms have a spreading habit; esp., physical temperament or constitution; as, a full habit of body."""
Habit,noun,The general appearance and manner of life of a living organism.
Habit,noun,"Fixed or established custom; ordinary course of conduct; practice; usage; hence, prominently, the involuntary tendency or aptitude to perform certain actions which is acquired by their frequent repetition; as, habit is second nature; also, peculiar ways of acting; characteristic forms of behavior."""
Habit,noun,"Outward appearance; attire; dress; hence, a garment; esp., a closely fitting garment or dress worn by ladies; as, a riding habit."""
Habited,unknown,of Habit
Habiting,noun,of Habit
Habit,noun,To inhabit.
Habit,noun,To dress; to clothe; to array.
Habit,noun,To accustom; to habituate. [Obs.] Chapman.
Habitability,noun,Habitableness.
Habitable,adjective,"Capable of being inhabited; that may be inhabited or dwelt in; as, the habitable world."""
Habitakle,verb,A dwelling place.
Habitan,noun,"Same as Habitant, 2."""
Habitance,noun,Dwelling; abode; residence.
Habiitancy,noun,Same as Inhabitancy.
Habitant,verb,An inhabitant; a dweller.
Habitant,verb,"An inhabitant or resident; -- a name applied to and denoting farmers of French descent or origin in Canada, especially in the Province of Quebec; -- usually in plural."""
Habitat,verb,"The natural abode, locality or region of an animal or plant."""
Habitat,verb,Place where anything is commonly found.
Habitation,noun,"The act of inhabiting; state of inhabiting or dwelling, or of being inhabited; occupancy."""
Habitation,noun,Place of abode; settled dwelling; residence; house.
Habitator,noun,A dweller; an inhabitant.
Habited,adjective,"Clothed; arrayed; dressed; as, he was habited like a shepherd."""
Habited,adjective,Fixed by habit; accustomed.
Habited,adjective,Inhabited.
Habitual,noun,Formed or acquired by habit or use.
Habitual,noun,"According to habit; established by habit; customary; constant; as, the habiual practice of sin."""
Habituated,unknown,of Habituate
Habituating,noun,of Habituate
Habituate,verb,To make accustomed; to accustom; to familiarize.
Habituate,verb,To settle as an inhabitant.
Habituate,adjective,Firmly established by custom; formed by habit; habitual.
Habituation,noun,"The act of habituating, or accustoming; the state of being habituated."""
Habitude,noun,Habitual attitude; usual or accustomed state with reference to something else; established or usual relations.
Habitude,noun,"Habitual association, intercourse, or familiarity."""
Habitude,noun,Habit of body or of action.
Habitue,noun,"One who habitually frequents a place; as, an habitue of a theater."""
Habiture,noun,Habitude.
Habitus,noun,Habitude; mode of life; general appearance.
Hable,adjective,See Habile.
Habnab,verb,By chance.
Hachure,noun,"A short line used in drawing and engraving, especially in shading and denoting different surfaces, as in map drawing. See Hatching."""
Hacienda,noun,"A large estate where work of any kind is done, as agriculture, manufacturing, mining, or raising of animals; a cultivated farm, with a good house, in distinction from a farming establishment with rude huts for herdsmen, etc.; -- a word used in Spanish-American regions."""
