J,unknown,"J is the tenth letter of the English alphabet. It is a later variant form of the Roman letter I, used to express a consonantal sound, that is, originally, the sound of English y in yet. The forms J and I have, until a recent time, been classed together, and they have been used interchangeably."""
Jaal goat,unknown,"A species of wild goat (Capra Nubiana) found in the mountains of Abyssinia, Upper Egypt, and Arabia; -- called also beden, and jaela."""
Jab,verb,"To thrust; to stab; to punch. See Job, v. t."""
Jab,noun,A thrust or stab.
Jabbered,unknown,of Jabber
Jabbering,noun,of Jabber
Jabber,verb,"To talk rapidly, indistinctly, or unintelligibly; to utter gibberish or nonsense; to chatter."""
Jabber,verb,"To utter rapidly or indistinctly; to gabble; as, to jabber French."""
Jabber,noun,"Rapid or incoherent talk, with indistinct utterance; gibberish."""
Jabber,noun,One who jabbers.
Jabberingly,verb,In a jabbering manner.
Jabberment,noun,Jabber.
Jabbernowl,noun,Same as Jobbernowl.
Jabiru,noun,"One of several large wading birds of the genera Mycteria and Xenorhynchus, allied to the storks in form and habits."""
Jaborandi,noun,The native name of a South American rutaceous shrub (Pilocarpus pennatifolius). The leaves are used in medicine as an diaphoretic and sialogogue.
Jaborine,noun,"An alkaloid found in jaborandi leaves, from which it is extracted as a white amorphous substance. In its action it resembles atropine."""
Jabot,noun,"Originally, a kind of ruffle worn by men on the bosom of the shirt."""
Jabot,noun,"An arrangement of lace or tulle, looped ornamentally, and worn by women on the front of the dress."""
Jacamar,noun,"Any one of numerous species of tropical American birds of the genus Galbula and allied genera. They are allied to the kingfishers, but climb on tree trunks like nuthatches, and feed upon insects. Their colors are often brilliant."""
Jacana,noun,"Any of several wading birds belonging to the genus Jacana and several allied genera, all of which have spurs on the wings. They are able to run about over floating water weeds by means of their very long, spreading toes. Called also surgeon bird."""
Jacaranda,noun,"The native Brazilian name for certain leguminous trees, which produce the beautiful woods called king wood, tiger wood, and violet wood."""
Jacaranda,noun,A genus of bignoniaceous Brazilian trees with showy trumpet-shaped flowers.
Jacare,noun,A cayman. See Yacare.
Jacchus,noun,"The common marmoset (Hapale vulgaris). Formerly, the name was also applied to other species of the same genus."""
Jacconet,noun,See Jaconet.
Jacent,adjective,"Lying at length; as, the jacent posture."""
Jacinth,noun,See Hyacinth.
Jack,noun,"A large tree, the Artocarpus integrifolia, common in the East Indies, closely allied to the breadfruit, from which it differs in having its leaves entire. The fruit is of great size, weighing from thirty to forty pounds, and through its soft fibrous matter are scattered the seeds, which are roasted and eaten. The wood is of a yellow color, fine grain, and rather heavy, and is much used in cabinetwork. It is also used for dyeing a brilliant yellow."""
Jack,noun,"A familiar nickname of, or substitute for, John."""
Jack,noun,"An impertinent or silly fellow; a simpleton; a boor; a clown; also, a servant; a rustic."""
Jack,noun,"A popular colloquial name for a sailor; -- called also Jack tar, and Jack afloat."""
Jack,noun,"A mechanical contrivance, an auxiliary machine, or a subordinate part of a machine, rendering convenient service, and often supplying the place of a boy or attendant who was commonly called Jack"""
Jack,noun,A device to pull off boots.
Jack,noun,A sawhorse or sawbuck.
Jack,noun,"A machine or contrivance for turning a spit; a smoke jack, or kitchen jack."""
Jack,noun,A wooden wedge for separating rocks rent by blasting.
Jack,noun,A lever for depressing the sinkers which push the loops down on the needles.
