K,unknown,"the eleventh letter of the English alphabet, is nonvocal consonant. The form and sound of the letter K are from the Latin, which used the letter but little except in the early period of the language. It came into the Latin from the Greek, which received it from a Phoenician source, the ultimate origin probably being Egyptian. Etymologically K is most nearly related to c, g, h (which see)."""
Kaama,noun,The hartbeest.
Kabala,noun,See Cabala.
Kabassou,noun,See Cabassou.
Kabob,noun,"See Cabob, n. & v. t."""
Kabook,noun,A clay ironstone found in Ceylon.
Kabyle,noun,"A Berber, as in Algiers or Tunis. See Berber."""
Kadder,noun,The jackdaw.
Kadi,noun,Alt. of Kadiaster
Kadiaster,noun,A Turkish judge. See Cadi.
Kafal,noun,"The Arabian name of two trees of the genus Balsamodendron, which yield a gum resin and a red aromatic wood."""
Kaffir,noun,Alt. of Kafir
Kafir,noun,"One of a race which, with the Hottentots and Bushmen, inhabit South Africa. They inhabit the country north of Cape Colony, the name being now specifically applied to the tribes living between Cape Colony and Natal; but the Zulus of Natal are true Kaffirs."""
Kafir,noun,One of a race inhabiting Kafiristan in Central Asia.
Kaffle,noun,See Coffle.
Kafilah,noun,See Cafila.
Kaftan,verb,See Caftan.
Kage,noun,A chantry chapel inclosed with lattice or screen work.
Kagu,noun,"A singular, crested, grallatorial bird (Rhinochetos jubatus), native of New Caledonia. It is gray above, paler beneath, and the feathers of the wings and tail are handsomely barred with brown, black, and gray. It is allied to the sun bittern."""
Kaguan,noun,The colugo.
Kahani,noun,"A kind of notary public, or attorney, in the Levant."""
Kahau,noun,"A long-nosed monkey (Semnopithecus nasalis), native of Borneo. The general color of the body is bright chestnut, with the under parts, shoulders, and sides of the head, golden yellow, and the top of the head and upper part of the back brown. Called also proboscis monkey."""
Kail,noun,"A kind of headless cabbage. Same as Kale, 1."""
Kail,noun,"Any cabbage, greens, or vegetables."""
Kail,noun,"A broth made with kail or other vegetables; hence, any broth; also, a dinner."""
Kaimacam,noun,Same as Caimacam.
Kain,noun,"Poultry, etc., required by the lease to be paid in kind by a tenant to his landlord."""
Kainit,noun,Salts of potassium used in the manufacture of fertilizers.
Kainite,noun,"A compound salt consisting chiefly of potassium chloride and magnesium sulphate, occurring at the Stassfurt salt mines in Prussian Saxony."""
Kainozoic,adjective,See Cenozoic.
Kaique,noun,See Caique.
Kairine,noun,"A pale buff or white crystalline alkaloid derived from quinoline, and used as an antipyretic in medicine."""
Kairoline,noun,"An organic base obtained from quinoline. It is used as a febrifuge, and resembles kairine."""
Kaiser,noun,The ancient title of emperors of Germany assumed by King William of Prussia when crowned sovereign of the new German empire in 1871.
Kaka,noun,"A New Zealand parrot of the genus Nestor, especially the brown parrot (Nestor meridionalis)."""
Kakapo,noun,"A singular nocturnal parrot (Strigops habroptilus), native of New Zealand. It lives in holes during the day, but is active at night. It resembles an owl in its colors and general appearance. It has large wings, but can fly only a short distance. Called also owl parrot, night parrot, and night kaka."""
