L,unknown,"L is the twelfth letter of the English alphabet, and a vocal consonant. It is usually called a semivowel or liquid. Its form and value are from the Greek, through the Latin, the form of the Greek letter being from the Phoenician, and the ultimate origin prob. Egyptian. Etymologically, it is most closely related to r and u; as in pilgrim, peregrine, couch (fr. collocare), aubura (fr. LL. alburnus)."""
L,unknown,"As a numeral, L stands for fifty in the English, as in the Latin language."""
L,noun,"An extension at right angles to the length of a main building, giving to the ground plan a form resembling the letter L; sometimes less properly applied to a narrower, or lower, extension in the direction of the length of the main building; a wing."""
L,noun,"A short right-angled pipe fitting, used in connecting two pipes at right angles."""
La,noun,A syllable applied to the sixth tone of the scale in music in solmization.
La,noun,The tone A; -- so called among the French and Italians.
La,unknown,Look; see; behold; -- sometimes followed by you.
La,unknown,"An exclamation of surprise; -- commonly followed by me; as, La me!"""
Laas,noun,A lace. See Lace.
Lab,verb,To prate; to gossip; to babble; to blab.
Lab,noun,A telltale; a prater; a blabber.
Labadist,noun,"A follower of Jean de Labadie, a religious teacher of the 17th century, who left the Roman Catholic Church and taught a kind of mysticism, and the obligation of community of property among Christians."""
Labarraque's solution,unknown,"An aqueous solution of hypochlorite of sodium, extensively used as a disinfectant."""
Labara,unknown,of Labarum
Labarum,noun,"The standard adopted by the Emperor Constantine after his conversion to Christianity. It is described as a pike bearing a silk banner hanging from a crosspiece, and surmounted by a golden crown. It bore a monogram of the first two letters (CHR) of the name of Christ in its Greek form. Later, the name was given to various modifications of this standard."""
Labdanum,noun,See Ladanum.
Labefaction,noun,The act of labefying or making weak; the state of being weakened; decay; ruin.
Labefy,verb,To weaken or impair.
Label,noun,A tassel.
Label,noun,"A slip of silk, paper, parchment, etc., affixed to anything, usually by an inscription, the contents, ownership, destination, etc.; as, the label of a bottle or a package."""
Label,noun,"A slip of ribbon, parchment, etc., attached to a document to hold the appended seal; also, the seal."""
Label,noun,"A writing annexed by way of addition, as a codicil added to a will."""
Label,noun,"A barrulet, or, rarely, a bendlet, with pendants, or points, usually three, especially used as a mark of cadency to distinguish an eldest or only son while his father is still living."""
Label,noun,"A brass rule with sights, formerly used, in connection with a circumferentor, to take altitudes."""
Label,noun,"The name now generally given to the projecting molding by the sides, and over the tops, of openings in mediaeval architecture. It always has a /quare form, as in the illustration."""
Label,noun,"In mediaeval art, the representation of a band or scroll containing an inscription."""
Labeled,unknown,of Label
Labelled,unknown,of Label
Labeling,noun,of Label
Labelling,unknown,of Label
Label,verb,"To affix a label to; to mark with a name, etc.; as, to label a bottle or a package."""
Label,verb,To affix in or on a label.
Labeler,noun,One who labels.
Labella,unknown,of Labellum
Labellums,unknown,of Labellum
Labellum,noun,"The lower or apparently anterior petal of an orchidaceous flower, often of a very curious shape."""
Labellum,noun,A small appendage beneath the upper lip or labrum of certain insects.
Labent,adjective,Slipping; sliding; gliding.
Labia,noun,See Labium.
Labial,adjective,"Of or pertaining to the lips or labia; as, labial veins."""
Labial,adjective,"Furnished with lips; as, a labial organ pipe."""
Labial,adjective,"Articulated, as a consonant, mainly by the lips, as b, p, m, w."""
Labial,adjective,"Modified, as a vowel, by contraction of the lip opening, as / (f/d), / (/ld), etc., and as eu and u in French, and o, u in German. See Guide to Pronunciation, // 11, 178."""
Labial,adjective,"Of or pertaining to the labium; as, the labial palpi of insects. See Labium."""
Labial,noun,"A letter or character representing an articulation or sound formed or uttered chiefly with the lips, as b, p, w."""
Labial,noun,An organ pipe that is furnished with lips; a flue pipe.
Labial,noun,One of the scales which border the mouth of a fish or reptile.
Labialism,noun,"The quality of being labial; as, the labialism of an articulation; conversion into a labial, as of a sound which is different in another language."""
Labialization,noun,The modification of an articulation by contraction of the lip opening.
Labialize,verb,To modify by contraction of the lip opening.
Labially,verb,"In a labial manner; with, or by means of, the lips."""
Labiate,verb,To labialize.
Labiate,adjective,"Having the limb of a tubular corolla or calyx divided into two unequal parts, one projecting over the other like the lips of a mouth, as in the snapdragon, sage, and catnip."""
Labiate,adjective,"Belonging to a natural order of plants (Labiatae), of which the mint, sage, and catnip are examples. They are mostly aromatic herbs."""
Labiate,noun,A plant of the order Labiatae.
