N,unknown,"the fourteenth letter of English alphabet, is a vocal consonent, and, in allusion to its mode of formation, is called the dentinasal or linguanasal consonent. Its commoner sound is that heard in ran, done; but when immediately followed in the same word by the sound of g hard or k (as in single, sink, conquer), it usually represents the same sound as the digraph ng in sing, bring, etc. This is a simple but related sound, and is called the gutturo-nasal consonent. See Guide to Pronunciation, // 243-246."""
N,noun,A measure of space equal to half an M (or em); an en.
Na,adjective,"No, not. See No."""
Nab,noun,The summit of an eminence.
Nab,noun,The cock of a gunlock.
Nab,noun,"The keeper, or box into which the lock is shot."""
Nabbed,unknown,of Nab
Nabbing,noun,of Nab
Nab,verb,To catch or seize suddenly or unexpectedly.
Nabit,noun,Pulverized sugar candy.
Nabk,noun,"The edible berries of the Zizyphys Lotus, a tree of Northern Africa, and Southwestern Europe."""
Nabob,noun,A deputy or viceroy in India; a governor of a province of the ancient Mogul empire.
Nabob,noun,"One who returns to Europe from the East with immense riches: hence, any man of great wealth."""
Nacarat,noun,"A pale red color, with a cast of orange."""
Nacarat,noun,Fine linen or crape dyed of this color.
Nacker,noun,See Nacre.
Nacre,noun,"A pearly substance which lines the interior of many shells, and is most perfect in the mother-of-pearl. [Written also nacker and naker.] See Pearl, and Mother-of-pearl."""
Nacreous,adjective,"Consisting of, or resembling, nacre; pearly."""
Nad,unknown,Alt. of Nadde
Nadde,unknown,Had not.
Nadder,noun,An adder.
Nadir,noun,"That point of the heavens, or lower hemisphere, directly opposite the zenith; the inferior pole of the horizon; the point of the celestial sphere directly under the place where we stand."""
Nadir,noun,The lowest point; the time of greatest depression.
Naenia,noun,See Nenia.
Naeve,noun,A naevus.
Naevoid,adjective,"Resembling a naevus or naevi; as, naevoid elephantiasis."""
Naevose,adjective,Spotted; frecled.
Naevi,unknown,of Navus
Navus,noun,"A spot or mark on the skin of children when born; a birthmark; -- usually applied to vascular tumors, i. e., those consisting mainly of blood vessels, as dilated arteries, veins, or capillaries."""
Nag,noun,"A small horse; a pony; hence, any horse."""
Nag,noun,A paramour; -- in contempt.
Nagged,unknown,of Nag
Nagging,noun,of Nag
Nag,verb,To tease in a petty way; to scold habitually; to annoy; to fret pertinaciously.
Nagging,adjective,"Fault-finding; teasing; persistently annoying; as, a nagging toothache."""
Naggy,adjective,Irritable; touchy.
Nagor,noun,A West African gazelle (Gazella redunca).
Nagyagite,noun,"A mineral of blackish lead-gray color and metallic luster, generally of a foliated massive structure; foliated tellurium. It is a telluride of lead and gold."""
Naiad,noun,"A water nymph; one of the lower female divinities, fabled to preside over some body of fresh water, as a lake, river, brook, or fountain."""
Naiad,noun,"Any species of a tribe (Naiades) of freshwater bivalves, including Unio, Anodonta, and numerous allied genera; a river mussel."""
Naiad,noun,One of a group of butterflies. See Nymph.
Naiad,noun,"Any plant of the order Naiadaceae, such as eelgrass, pondweed, etc."""
Naiant,adjective,See Natant.
Naid,noun,"Any one of numerous species of small, fresh-water, chaetopod annelids of the tribe Naidina. They belong to the Oligochaeta."""
Naif,adjective,Having a true natural luster without being cut; -- applied by jewelers to a precious stone.
Naif,adjective,"Naive; as, a naif remark."""
Naik,noun,A chief; a leader; a Sepoy corporal.
Nail,noun,the horny scale of plate of epidermis at the end of the fingers and toes of man and many apes.
Nail,noun,The basal thickened portion of the anterior wings of certain hemiptera.
Nail,noun,"The terminal horny plate on the beak of ducks, and other allied birds."""
Nail,noun,"A slender, pointed piece of metal, usually with a head, used for fastening pieces of wood or other material together, by being driven into or through them."""
Nail,adjective,"A measure of length, being two inches and a quarter, or the sixteenth of a yard."""
Nailed,unknown,of Nail
Nailing,noun,of Nail
Nail,noun,"To fasten with a nail or nails; to close up or secure by means of nails; as, to nail boards to the beams."""
Nail,noun,"To stud or boss with nails, or as with nails."""
Nail,noun,"To fasten, as with a nail; to bind or hold, as to a bargain or to acquiescence in an argument or assertion; hence, to catch; to trap."""
Nail,noun,"To spike, as a cannon."""
Nailbrush,noun,A brush for cleaning the nails.
Nailer,noun,One whose occupation is to make nails; a nail maker.
Nailer,noun,"One who fastens with, or drives, nails."""
Naileress,noun,A women who makes nailes.
Naileries,unknown,of Nailery
Nailery,unknown,A manufactory where nails are made.
Nail-headed,adjective,Having a head like that of a nail; formed so as to resemble the head of a nail.
