O,unknown,"O, the fifteenth letter of the English alphabet, derives its form, value, and name from the Greek O, through the Latin. The letter came into the Greek from the Ph/nician, which possibly derived it ultimately from the Egyptian. Etymologically, the letter o is most closely related to a, e, and u; as in E. bone, AS. ban; E. stone, AS. stan; E. broke, AS. brecan to break; E. bore, AS. beran to bear; E. dove, AS. d/fe; E. toft, tuft; tone, tune; number, F. nombre."""
O,unknown,"Among the ancients, O was a mark of triple time, from the notion that the ternary, or number 3, is the most perfect of numbers, and properly expressed by a circle, the most perfect figure."""
O's,unknown,of O
Oes,unknown,of O
O,noun,"The letter O, or its sound."""
O,noun,Something shaped like the letter O; a circle or oval.
O,noun,A cipher; zero.
O',unknown,"A prefix to Irish family names, which signifies grandson or descendant of, and is a character of dignity; as, O'Neil, O'Carrol."""
O',unknown,A shortened form of of or on.
O,adjective,One.
O,unknown,"An exclamation used in calling or directly addressing a person or personified object; also, as an emotional or impassioned exclamation expressing pain, grief, surprise, desire, fear, etc."""
Oad,noun,See Woad.
Oaf,noun,"Originally, an elf's child; a changeling left by fairies or goblins; hence, a deformed or foolish child; a simpleton; an idiot."""
Oafish,adjective,Like an oaf; simple.
Oak,noun,"Any tree or shrub of the genus Quercus. The oaks have alternate leaves, often variously lobed, and staminate flowers in catkins. The fruit is a smooth nut, called an acorn, which is more or less inclosed in a scaly involucre called the cup or cupule. There are now recognized about three hundred species, of which nearly fifty occur in the United States, the rest in Europe, Asia, and the other parts of North America, a very few barely reaching the northern parts of South America and Africa. Many of the oaks form forest trees of grand proportions and live many centuries. The wood is usually hard and tough, and provided with conspicuous medullary rays, forming the silver grain."""
Oak,noun,The strong wood or timber of the oak.
Oaken,adjective,Made or consisting of oaks or of the wood of oaks.
Oaker,noun,See Ocher.
Oakling,noun,A young oak.
Oakum,noun,"The material obtained by untwisting and picking into loose fiber old hemp ropes; -- used for calking the seams of ships, stopping leaks, etc."""
Oakum,noun,The coarse portion separated from flax or hemp in nackling.
Oaky,noun,Resembling oak; strong.
Oar,unknown,"An implement for impelling a boat, being a slender piece of timber, usually ash or spruce, with a grip or handle at one end and a broad blade at the other. The part which rests in the rowlock is called the loom."""
Oar,unknown,"An oarsman; a rower; as, he is a good oar."""
Oar,unknown,An oarlike swimming organ of various invertebrates.
Oared,unknown,of Oar
Oaring,noun,of Oar
Oar,verb,To row.
Oared,adjective,"Furnished with oars; -- chiefly used in composition; as, a four-oared boat."""
Oared,adjective,Having feet adapted for swimming.
Oared,adjective,Totipalmate; -- said of the feet of certain birds. See Illust. of Aves.
Oarfish,noun,The ribbon fish.
Oarfoot,noun,Any crustacean of the genus Remipes.
Oar-footed,adjective,Having feet adapted for swimming.
Oarless,adjective,Without oars.
Oarlock,noun,"The notch, fork, or other device on the gunwale of a boat, in which the oar rests in rowing. See Rowlock."""
Oarsmen,unknown,of Oarsman
Oarsman,noun,"One who uses, or is skilled in the use of, an oar; a rower."""
Oarsweed,noun,Any large seaweed of the genus Laminaria; tangle; kelp. See Kelp.
Oary,adjective,"Having the form or the use of an oar; as, the swan's oary feet."""
Oases,unknown,of Oasis
Oasis,noun,"A fertile or green spot in a waste or desert, esp. in a sandy desert."""
Oast,noun,A kiln to dry hops or malt; a cockle.
Oats,unknown,of Oat
Oat,noun,"A well-known cereal grass (Avena sativa), and its edible grain; -- commonly used in the plural and in a collective sense."""
Oat,noun,A musical pipe made of oat straw.
Oatcake,noun,A cake made of oatmeal.
Oaten,adjective,"Consisting of an oat straw or stem; as, an oaten pipe."""
Oaten,adjective,"Made of oatmeal; as, oaten cakes."""
Oaths,unknown,of Oath
Oath,noun,"A solemn affirmation or declaration, made with a reverent appeal to God for the truth of what is affirmed."""
Oath,noun,"A solemn affirmation, connected with a sacred object, or one regarded as sacred, as the temple, the altar, the blood of Abel, the Bible, the Koran, etc."""
Oath,noun,"An appeal (in verification of a statement made) to a superior sanction, in such a form as exposes the party making the appeal to an indictment for perjury if the statement be false."""
Oath,noun,"A careless and blasphemous use of the name of the divine Being, or anything divine or sacred, by way of appeal or as a profane exclamation or ejaculation; an expression of profane swearing."""
Oathable,adjective,Capable of having an oath administered to.
Oathbreaking,noun,The violation of an oath; perjury.
Oatmeal,noun,Meal made of oats.
Oatmeal,noun,A plant of the genus Panicum; panic grass.
Ob-,unknown,"A prefix signifying to, toward, before, against, reversely, etc.; also, as a simple intensive; as in oblige, to bind to; obstacle, something standing before; object, lit., to throw against; obovate, reversely, ovate. Ob- is commonly assimilated before c, f, g, and p, to oc-, of-, og-, and op-."""
Obcompressed,adjective,"Compressed or flattened antero-posteriorly, or in a way opposite to the usual one."""
Obconic,adjective,Alt. of Obconical
Obconical,adjective,"Conical, but having the apex downward; inversely conical."""
Obcordate,adjective,"Heart-shaped, with the attachment at the pointed end; inversely cordate: as, an obcordate petal or leaf."""
Obdiplostemonous,adjective,"Having twice as many stamens as petals, those of the outer set being opposite the petals; -- said of flowers."""
Obdiplostemony,noun,The condition of being obdiplostemonous.
Obdormition,noun,Sleep.
Obduce,verb,"To draw over, as a covering."""
Obduct,verb,To draw over; to cover.
Obduction,noun,"The act of drawing or laying over, as a covering."""
Obduracy,noun,The duality or state of being obdurate; invincible hardness of heart; obstinacy.
Obdurate,adjective,"Hardened in feelings, esp. against moral or mollifying influences; unyielding; hard-hearted; stubbornly wicked."""
Obdurate,adjective,Hard; harsh; rugged; rough; intractable.
Obdurate,verb,To harden.
Obduration,noun,A hardening of the heart; hardness of heart.
Obdure,verb,To harden.
Obdure,adjective,Alt. of Obdured
Obdured,adjective,Obdurate; hard.
Obdureness,noun,Alt. of Obduredness
Obduredness,noun,Hardness.
Obbe,noun,See Obi.
Obeah,noun,Same as Obi.
Obeah,adjective,"Of or pertaining to obi; as, the obeah man."""
Obedible,adjective,Obedient.
Obedience,noun,"The act of obeying, or the state of being obedient; compliance with that which is required by authority; subjection to rightful restraint or control."""
Obedience,noun,Words or actions denoting submission to authority; dutifulness.
Obedience,noun,"A following; a body of adherents; as, the Roman Catholic obedience, or the whole body of persons who submit to the authority of the pope."""
Obedience,noun,A cell (or offshoot of a larger monastery) governed by a prior.
Obedience,noun,One of the three monastic vows.
Obedience,noun,The written precept of a superior in a religious order or congregation to a subject.
Obedienciary,noun,One yielding obedience.
Obedient,adjective,"Subject in will or act to authority; willing to obey; submissive to restraint, control, or command."""
Obediential,adjective,According to the rule of obedience.
Obediently,verb,In an obedient manner; with obedience.
Obeisance,noun,Obedience.
Obeisance,noun,A manifestation of obedience; an expression of difference or respect; homage; a bow; a courtesy.
Obeisancy,noun,See Obeisance.
Obeisant,adjective,"Ready to obey; reverent; differential; also, servilely submissive."""
Obelion,noun,The region of the skull between the two parietal foramina where the closure of the sagittal suture usually begins.
Obeliscal,adjective,Formed like an obelisk.
Obelisk,noun,"An upright, four-sided pillar, gradually tapering as it rises, and terminating in a pyramid called pyramidion. It is ordinarily monolithic. Egyptian obelisks are commonly covered with hieroglyphic writing from top to bottom."""
Obelisk,noun,"A mark of reference; -- called also dagger [/]. See Dagger, n., 2."""
Obelisked,unknown,of Obelisk
Obelisking,noun,of Obelisk
Obelisk,verb,To mark or designate with an obelisk.
Obelized,unknown,of Obelize
Obelizing,noun,of Obelize
Obelize,verb,To designate with an obelus; to mark as doubtful or spirituous.
Obeli,unknown,of Obelus
Obelus,noun,"A mark [thus /, or Ö ]; -- so called as resembling a needle. In old MSS. or editions of the classics, it marks suspected passages or readings."""
Obequitate,verb,To ride about.
Oberon,noun,"The king of the fairies, and husband of Titania or Queen Mab."""
Oberration,noun,A wandering about.
Obese,adjective,Excessively corpulent; fat; fleshy.
Obeseness,noun,Quality of being obese; obesity.
Obesity,noun,The state or quality of being obese; incumbrance of flesh.
Obeyed,unknown,of Obey
Obeying,noun,of Obey
Obey,verb,To give ear to; to execute the commands of; to yield submission to; to comply with the orders of.
Obey,verb,To submit to the authority of; to be ruled by.
Obey,verb,"To yield to the impulse, power, or operation of; as, a ship obeys her helm."""
Obey,verb,To give obedience.
Obeyer,noun,One who yields obedience.
Obeyingly,verb,Obediently; submissively.
Obfirm,verb,Alt. of Obfirmate
Obfirmate,verb,To make firm; to harden in resolution.
Obfirmation,noun,Hardness of heart; obduracy.
Obfuscate,adjective,Obfuscated; darkened; obscured.
Obfuscated,unknown,of Obfuscate
Obfuscating,noun,of Obfuscate
Obfuscate,verb,"To darken; to obscure; to becloud; hence, to confuse; to bewilder."""
Obfuscation,noun,The act of darkening or bewildering; the state of being darkened.
Obi,noun,"A species of sorcery, probably of African origin, practiced among the negroes of the West Indies."""
Obi,noun,A charm or fetich.
Obimbricate,adjective,"Imbricated, with the overlapping ends directed downward."""
Obit,noun,Death; decease; the date of one's death.
Obit,noun,A funeral solemnity or office; obsequies.
Obit,noun,A service for the soul of a deceased person on the anniversary of the day of his death.
Obiter,verb,In passing; incidentally; by the way.
Obitual,adjective,"Of or pertaining to obits, or days when obits are celebrated; as, obitual days."""
Obituarily,verb,In the manner of an obituary.
Obiyuary,adjective,"Of or pertaining to the death of a person or persons; as, an obituary notice; obituary poetry."""
Obituaries,unknown,of Obituary
Obituary,noun,"That which pertains to, or is called forth by, the obit or death of a person; esp., an account of a deceased person; a notice of the death of a person, accompanied by a biographical sketch."""
Obituary,noun,"A list of the dead, or a register of anniversary days when service is performed for the dead."""
Objected,unknown,of Object
Objecting,noun,of Object
Object,verb,To set before or against; to bring into opposition; to oppose.
Object,verb,To offer in opposition as a criminal charge or by way of accusation or reproach; to adduce as an objection or adverse reason.
Object,verb,To make opposition in words or argument; -- usually followed by to.
Object,verb,"That which is put, or which may be regarded as put, in the way of some of the senses; something visible or tangible; as, he observed an object in the distance; all the objects in sight; he touched a strange object in the dark."""
Object,verb,"That which is set, or which may be regarded as set, before the mind so as to be apprehended or known; that of which the mind by any of its activities takes cognizance, whether a thing external in space or a conception formed by the mind itself; as, an object of knowledge, wonder, fear, thought, study, etc."""
Object,verb,"That by which the mind, or any of its activities, is directed; that on which the purpose are fixed as the end of action or effort; that which is sought for; end; aim; motive; final cause."""
Object,verb,Sight; show; appearance; aspect.
