Q,unknown,"the seventeenth letter of the English alphabet, has but one sound (that of k), and is always followed by u, the two letters together being sounded like kw, except in some words in which the u is silent. See Guide to Pronunciation, / 249. Q is not found in Anglo-Saxon, cw being used instead of qu; as in cwic, quick; cwen, queen. The name (k/) is from the French ku, which is from the Latin name of the same letter; its form is from the Latin, which derived it, through a Greek alphabet, from the Ph/nician, the ultimate origin being Egyptian."""
Qua,unknown,In so far as; in the capacity or character of; as.
Quab,noun,"An unfledged bird; hence, something immature or unfinished."""
Quab,verb,"See Quob, v. i."""
Qua-bird,noun,The American night heron. See under Night.
Quacha,noun,The quagga.
Qvacked,unknown,of Quack
Quacking,noun,of Quack
Quack,verb,To utter a sound like the cry of a duck.
Quack,verb,To make vain and loud pretensions; to boast.
Quack,verb,"To act the part of a quack, or pretender."""
Quack,noun,"The cry of the duck, or a sound in imitation of it; a hoarse, quacking noise."""
Quack,noun,A boastful pretender to medical skill; an empiric; an ignorant practitioner.
Quack,noun,"Hence, one who boastfully pretends to skill or knowledge of any kind not possessed; a charlatan."""
Quack,adjective,"Pertaining to or characterized by, boasting and pretension; used by quacks; pretending to cure diseases; as, a quack medicine; a quack doctor."""
Quackeries,unknown,of Quackery
Quackery,noun,"The acts, arts, or boastful pretensions of a quack; false pretensions to any art; empiricism."""
Quack grass,unknown,See Quitch grass.
Quackish,adjective,Like a quack; boasting; characterized by quackery.
Quackism,noun,Quackery.
Quackled,unknown,of Quackle
Quackling,noun,of Quackle
Quackle,verb,To suffocate; to choke.
Quacksalver,noun,"One who boasts of his skill in medicines and salves, or of the efficacy of his prescriptions; a charlatan; a quack; a mountebank."""
Quad,adjective,Alt. of Quade
Quade,adjective,"Evil; bad; baffling; as, a quade wind."""
Quad,noun,A quadrat.
Quad,noun,"A quadrangle; hence, a prison."""
Quadrae,unknown,of Quadra
Quadra,noun,"The plinth, or lowest member, of any pedestal, podium, water table, or the like."""
Quadra,noun,"A fillet, or listel."""
Quadrable,adjective,"That may be sqyared, or reduced to an equivalent square; -- said of a surface when the area limited by a curve can be exactly found, and expressed in a finite number of algebraic terms."""
Quadragenarious,adjective,Consisting of forty; forty years old.
Quadragene,noun,"An indulgence of forty days, corresponding to the forty days of ancient canonical penance."""
Quadragesima,noun,The forty days of fast preceding Easter; Lent.
Quadragesimal,adjective,Belonging to Lent; used in Lent; Lenten.
Quadragesimals,noun,Offerings formerly made to the mother church of a diocese on Mid-Lent Sunday.
Quadrangle,noun,"A plane figure having four angles, and consequently four sides; any figure having four angles."""
Quadrangle,noun,"A square or quadrangular space or inclosure, such a space or court surrounded by buildings, esp. such a court in a college or public school in England."""
Quadrangular,adjective,"Having four angles, and consequently four sides; tetragonal."""
Quadrantes,unknown,of Quadrans
Quadrans,noun,"A fourth part of the coin called an as. See 3d As, 2."""
Quadrans,noun,The fourth of a penny; a farthing. See Cur.
Quadrant,noun,The fourth part; the quarter.
Quadrant,noun,"The quarter of a circle, or of the circumference of a circle, an arc of 90¡, or one subtending a right angle at the center."""
Quadrant,noun,One of the four parts into which a plane is divided by the coordinate axes. The upper right-hand part is the first quadrant; the upper left-hand part the second; the lower left-hand part the third; and the lower right-hand part the fourth quadrant.
Quadrant,noun,"An instrument for measuring altitudes, variously constructed and mounted for different specific uses in astronomy, surveying, gunnery, etc., consisting commonly of a graduated arc of 90¡, with an index or vernier, and either plain or telescopic sights, and usually having a plumb line or spirit level for fixing the vertical or horizontal direction."""
Quadrantal,adjective,"Of or pertaining to a quadrant; also, included in the fourth part of a circle; as, quadrantal space."""
Quadrantal,noun,"A cubical vessel containing a Roman cubic foot, each side being a Roman square foot; -- used as a measure."""
Quadrantal,noun,A cube.
Quadrat,noun,"A block of type metal lower than the letters, -- used in spacing and in blank lines."""
Quadrat,noun,"An old instrument used for taking altitudes; -- called also geometrical square, and line of shadows."""
Quadrate,adjective,"Having four equal sides, the opposite sides parallel, and four right angles; square."""
Quadrate,adjective,Produced by multiplying a number by itself; square.
Quadrate,adjective,Square; even; balanced; equal; exact.
Quadrate,adjective,Squared; suited; correspondent.
Quadrate,adjective,"A plane surface with four equal sides and four right angles; a square; hence, figuratively, anything having the outline of a square."""
Quadrate,adjective,"An aspect of the heavenly bodies in which they are distant from each other 90¡, or the quarter of a circle; quartile. See the Note under Aspect, 6."""
Quadrate,adjective,The quadrate bone.
Quadrated,unknown,of Quadrate
Quadrating,noun,of Quadrate
Quadrate,adjective,To square; to agree; to suit; to correspond; -- followed by with.
Quadrate,verb,"To adjust (a gun) on its carriage; also, to train (a gun) for horizontal firing."""
Quadratic,adjective,"Of or pertaining to a square, or to squares; resembling a quadrate, or square; square."""
Quadratic,adjective,Tetragonal.
Quadratic,adjective,"Pertaining to terms of the second degree; as, a quadratic equation, in which the highest power of the unknown quantity is a square."""
Quadratics,noun,That branch of algebra which treats of quadratic equations.
Quadratojugal,adjective,Of or pertaining to the quadrate and jugal bones.
Quadratojugal,adjective,Of or pertaining to the quadratojugal bone.
Quadratojugal,noun,The quadratojugal bone.
-trixes,unknown,of Quadratrix
-trices,unknown,of Quadratrix
Quadratrix,noun,"A curve made use of in the quadrature of other curves; as the quadratrix, of Dinostratus, or of Tschirnhausen."""
Quadrature,adjective,"The act of squaring; the finding of a square having the same area as some given curvilinear figure; as, the quadrature of a circle; the operation of finding an expression for the area of a figure bounded wholly or in part by a curved line, as by a curve, two ordinates, and the axis of abscissas."""
Quadrature,adjective,A quadrate; a square.
Quadrature,adjective,"The integral used in obtaining the area bounded by a curve; hence, the definite integral of the product of any function of one variable into the differential of that variable."""
Quadrature,adjective,"The position of one heavenly body in respect to another when distant from it 90¡, or a quarter of a circle, as the moon when at an equal distance from the points of conjunction and opposition."""
Quadrel,noun,A square piece of turf or peat.
Quadrel,noun,"A square brick, tile, or the like."""
Quadrennial,adjective,"Comprising four years; as, a quadrennial period."""
Quadrennial,adjective,"Occurring once in four years, or at the end of every four years; as, quadrennial games."""
Quadrennially,verb,Once in four years.
Quadrennium,noun,A space or period of four years.
Quadri-,unknown,"A combining form meaning four, four times, fourfold; as, quadricapsular, having four capsules."""
Quadribasic,adjective,Same as Tetrabasic.
Quadrible,adjective,Quadrable.
Quadric,adjective,Of or pertaining to the second degree.
Quadric,noun,A quantic of the second degree. See Quantic.
Quadric,noun,"A surface whose equation in three variables is of the second degree. Spheres, spheroids, ellipsoids, paraboloids, hyperboloids, also cones and cylinders with circular bases, are quadrics."""
Quadricapsular,adjective,Having four capsules.
Quadriceps,noun,"The great extensor muscle of the knee, divided above into four parts which unite in a single tendon at the knee."""
Quadricipital,noun,Of or pertaining to the quadriceps.
Quadricorn,noun,Any quadricornous animal.
