S,unknown,"the nineteenth letter of the English alphabet, is a consonant, and is often called a sibilant, in allusion to its hissing sound. It has two principal sounds; one a mere hissing, as in sack, this; the other a vocal hissing (the same as that of z), as in is, wise. Besides these it sometimes has the sounds of sh and zh, as in sure, measure. It generally has its hissing sound at the beginning of words, but in the middle and at the end of words its sound is determined by usage. In a few words it is silent, as in isle, debris. With the letter h it forms the digraph sh. See Guide to pronunciation, // 255-261."""
-s,unknown,"The suffix used to form the plural of most words; as in roads, elfs, sides, accounts."""
-s,unknown,"The suffix used to form the third person singular indicative of English verbs; as in falls, tells, sends."""
-s,unknown,"An adverbial suffix; as in towards, needs, always, -- originally the genitive, possesive, ending. See -'s."""
's,unknown,A contraction for is or (colloquially) for has.
Saadh,noun,See Sadh.
Saan,noun,Same as Bushmen.
Sabadilla,noun,"A Mexican liliaceous plant (Schoenocaulon officinale); also, its seeds, which contain the alkaloid veratrine. It was formerly used in medicine as an emetic and purgative."""
Sabaean,noun,Same as Sabian.
Sabaeanism,noun,Same as Sabianism.
Sabaeism,noun,Alt. of Sabaism
Sabaism,noun,See Sabianism.
Sabal,noun,A genus of palm trees including the palmetto of the Southern United States.
Sabaoth,noun,Armies; hosts.
Sabaoth,noun,"Incorrectly, the Sabbath."""
Sabbat,noun,"In mediaeval demonology, the nocturnal assembly in which demons and sorcerers were thought to celebrate their orgies."""
Sabbatarian,noun,"One who regards and keeps the seventh day of the week as holy, agreeably to the letter of the fourth commandment in the Decalogue."""
Sabbatarian,noun,A strict observer of the Sabbath.
Sabbatarian,adjective,"Of or pertaining to the Sabbath, or the tenets of Sabbatarians."""
Sabbatarianism,noun,The tenets of Sabbatarians.
Sabbath,noun,"A season or day of rest; one day in seven appointed for rest or worship, the observance of which was enjoined upon the Jews in the Decalogue, and has been continued by the Christian church with a transference of the day observed from the last to the first day of the week, which is called also Lord's Day."""
Sabbath,noun,"The seventh year, observed among the Israelites as one of rest and festival."""
Sabbath,noun,"Fig.: A time of rest or repose; intermission of pain, effort, sorrow, or the like."""
Sabbathless,adjective,"Without Sabbath, or intermission of labor; hence, without respite or rest."""
Sabbatic,adjective,Alt. of Sabbatical
Sabbatical,adjective,Of or pertaining to the Sabbath; resembling the Sabbath; enjoying or bringing an intermission of labor.
Sabbatism,noun,"Intermission of labor, as upon the Sabbath; rest."""
Sabbaton,noun,"A round-toed, armed covering for the feet, worn during a part of the sixteenth century in both military and civil dress."""
Sabean,noun,Same as Sabian.
Sabeism,noun,Same as Sabianism.
Sabella,noun,A genus of tubicolous annelids having a circle of plumose gills around the head.
