U,unknown,"the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y."""
Uakari,noun,Same as Ouakari.
Uberous,adjective,Fruitful; copious; abundant; plentiful.
Uberty,noun,Fruitfulness; copiousness; abundance; plenty.
Ubication,noun,Alt. of Ubiety
Ubiety,noun,The quality or state of being in a place; local relation; position or location; whereness.
Ubiquarian,adjective,Ubiquitous.
Ubiquitist,noun,Alt. of Ubiquitarian
Ubiquitarian,noun,"One of a school of Lutheran divines which held that the body of Christ is present everywhere, and especially in the eucharist, in virtue of his omnipresence. Called also ubiquitist, and ubiquitary."""
Ubiquitariness,noun,"Quality or state of being ubiquitary, or ubiquitous."""
Ubiquitary,adjective,Ubiquitous.
Ubiquitaries,unknown,of Ubiquitary
Ubiquitary,noun,One who exists everywhere.
Ubiquitary,noun,A ubiquist.
Ubiquitist,noun,Same as Ubiquist.
Ubiquitous,adjective,"Existing or being everywhere, or in all places, at the same time; omnipresent."""
Ubiquity,noun,"Existence everywhere, or in places, at the same time; omnipresence; as, the ubiquity of God is not disputed by those who admit his existence."""
Ubiquity,noun,"The doctrine, as formulated by Luther, that Christ's glorified body is omnipresent."""
Uchees,noun,A tribe of North American Indians belonging to the Creek confederation.
Uckewallist,noun,"One of a sect of rigid Anabaptists, which originated in 1637, and whose tenets were essentially the same as those of the Mennonists. In addition, however, they held that Judas and the murderers of Christ were saved. So called from the founder of the sect, Ucke Wallis, a native of Friesland."""
Udal,noun,"In Shetland and Orkney, a freehold; property held by udal, or allodial, right."""
Udal,adjective,"Allodial; -- a term used in Finland, Shetland, and Orkney. See Allodial."""
Udaler,noun,Alt. of Udalman
Udalman,noun,"In the Shetland and Orkney Islands, one who holds property by udal, or allodial, right."""
Udder,noun,The glandular organ in which milk is secreted and stored; -- popularly called the bag in cows and other quadrupeds. See Mamma.
Udder,noun,One of the breasts of a woman.
Uddered,adjective,Having an udder or udders.
Udderless,adjective,Destitute or deprived of an udder.
Udderless,adjective,"Hence, without mother's milk; motherless; as, udderless lambs."""
Udometer,noun,A rain gauge.
Ugh,unknown,"An exclamation expressive of disgust, horror, or recoil. Its utterance is usually accompanied by a shudder."""
Uglesome,adjective,Ugly.
Uglify,verb,To disfigure; to make ugly.
Uglily,verb,In an ugly manner; with deformity.
Ugliness,noun,The quality or state of being ugly.
Ugly,unknown,Offensive to the sight; contrary to beauty; being of disagreeable or loathsome aspect; unsightly; repulsive; deformed.
Ugly,unknown,"Ill-natured; crossgrained; quarrelsome; as, an ugly temper; to feel ugly."""
Ugly,unknown,"Unpleasant; disagreeable; likely to cause trouble or loss; as, an ugly rumor; an ugly customer."""
Ugly,noun,"A shade for the face, projecting from the bonnet."""
Ugly,verb,To make ugly.
Ugrian,noun,"A Mongolian race, ancestors of the Finns."""
Ugsome,adjective,Ugly; offensive; loathsome.
Uhlan,noun,One of a certain description of militia among the Tartars.
Uhlan,noun,"One of a kind of light cavalry of Tartaric origin, first introduced into European armies in Poland. They are armed with lances, pistols, and sabers, and are employed chiefly as skirmishers."""
Uintatherium,noun,An extinct genus of large Eocene ungulates allied to Dinoceras. This name is sometimes used for nearly all the known species of the group. See Dinoceras.
Ukase,noun,"In Russia, a published proclamation or imperial order, having the force of law."""
Ulan,noun,See Uhlan.
Ularburong,noun,A large East Indian nocturnal tree snake (Dipsas dendrophila). It is not venomous.
Ulcer,noun,"A solution of continuity in any of the soft parts of the body, discharging purulent matter, found on a surface, especially one of the natural surfaces of the body, and originating generally in a constitutional disorder; a sore discharging pus. It is distinguished from an abscess, which has its beginning, at least, in the depth of the tissues."""
Ulcer,noun,Fig.: Anything that festers and corrupts like an open sore; a vice in character.
Ulcer,verb,To ulcerate.
Ulcerable,adjective,Capable of ulcerating.
Ulcerated,unknown,of Ulcerate
Ulcerating,noun,of Ulcerate
Ulcerate,verb,To be formed into an ulcer; to become ulcerous.
Ulcerate,verb,"To affect with, or as with, an ulcer or ulcers."""
Ulcerated,adjective,"Affected with, or as with, an ulcer or ulcers; as, an ulcerated sore throat."""
Ulceration,noun,"The process of forming an ulcer, or of becoming ulcerous; the state of being ulcerated; also, an ulcer."""
Ulcerative,adjective,"Of or pertaining to ulcers; as, an ulcerative process."""
