V,unknown,"V, the twenty-second letter of the English alphabet, is a vocal consonant. V and U are only varieties of the same character, U being the cursive form, while V is better adapted for engraving, as in stone. The two letters were formerly used indiscriminately, and till a comparatively recent date words containing them were often classed together in dictionaries and other books of reference (see U). The letter V is from the Latin alphabet, where it was used both as a consonant (about like English w) and as a vowel. The Latin derives it from it from a form (V) of the Greek vowel / (see Y), this Greek letter being either from the same Semitic letter as the digamma F (see F), or else added by the Greeks to the alphabet which they took from the Semitic. Etymologically v is most nearly related to u, w, f, b, p; as in vine, wine; avoirdupois, habit, have; safe, save; trover, troubadour, trope. See U, F, etc."""
V,unknown,"As a numeral, V stands for five, in English and Latin."""
Vaagmer,noun,The dealfish.
Vacancies,unknown,of Vacancy
Vacancy,noun,"The quality or state of being vacant; emptiness; hence, freedom from employment; intermission; leisure; idleness; listlessness."""
Vacancy,noun,That which is vacant.
Vacancy,noun,Empty space; vacuity; vacuum.
Vacancy,noun,"An open or unoccupied space between bodies or things; an interruption of continuity; chasm; gap; as, a vacancy between buildings; a vacancy between sentences or thoughts."""
Vacancy,noun,Unemployed time; interval of leisure; time of intermission; vacation.
Vacancy,noun,"A place or post unfilled; an unoccupied office; as, a vacancy in the senate, in a school, etc."""
Vacant,adjective,"Deprived of contents; not filled; empty; as, a vacant room."""
Vacant,adjective,"Unengaged with business or care; unemployed; unoccupied; disengaged; free; as, vacant hours."""
Vacant,adjective,"Not filled or occupied by an incumbent, possessor, or officer; as, a vacant throne; a vacant parish."""
Vacant,adjective,"Empty of thought; thoughtless; not occupied with study or reflection; as, a vacant mind."""
Vacant,adjective,"Abandoned; having no heir, possessor, claimant, or occupier; as, a vacant estate."""
Vacantly,verb,In a vacant manner; inanely.
Vacated,unknown,of Vacate
Vacating,noun,of Vacate
Vacate,verb,"To make vacant; to leave empty; to cease from filling or occupying; as, it was resolved by Parliament that James had vacated the throne of England; the tenant vacated the house."""
Vacate,verb,"To annul; to make void; to deprive of force; to make of no authority or validity; as, to vacate a commission or a charter; to vacate proceedings in a cause."""
Vacate,verb,To defeat; to put an end to.
Vacation,noun,"The act of vacating; a making void or of no force; as, the vacation of an office or a charter."""
Vacation,noun,"Intermission of a stated employment, procedure, or office; a period of intermission; rest; leisure."""
Vacation,noun,Intermission of judicial proceedings; the space of time between the end of one term and the beginning of the next; nonterm; recess.
Vacation,noun,"The intermission of the regular studies and exercises of an educational institution between terms; holidays; as, the spring vacation."""
Vacation,noun,"The time when an office is vacant; esp. (Eccl.), the time when a see, or other spiritual dignity, is vacant."""
Vaccary,noun,"A cow house, dairy house, or cow pasture."""
Vaccina,noun,Vaccinia.
Vaccinal,adjective,Of or pertaining to vaccinia or vaccination.
Vaccinated,unknown,of Vaccinate
Vaccinating,noun,of Vaccinate
Vaccinate,verb,"To inoculate with the cowpox by means of a virus, called vaccine, taken either directly or indirectly from cows."""
Vaccination,noun,"The act, art, or practice of vaccinating, or inoculating with the cowpox, in order to prevent or mitigate an attack of smallpox. Cf. Inoculation."""
Vaccinator,noun,"One who, or that which, vaccinates."""
Vaccine,adjective,"Of or pertaining to cows; pertaining to, derived from, or caused by, vaccinia; as, vaccine virus; the vaccine disease."""
Vaccine,noun,The virus of vaccinia used in vaccination.
Vaccine,noun,"any preparation used to render an organism immune to some disease, by inducing or increasing the natural immunity mechanisms. Prior to 1995, such preparations usually contained killed organisms of the type for which immunity was desired, and sometimes used live organisms having attenuated virulence. since that date, preparations containing only specific antigenic portions of the pathogenic organism are also used, some of which are prepared by genetic engineering techniques."""
Vaccinia,noun,Cowpox; vaccina. See Cowpox.
Vaccinist,noun,A vaccinator.
Vaccinium,noun,A genus of ericaceous shrubs including the various kinds of blueberries and the true cranberries.
Vacher,noun,A keeper of stock or cattle; a herdsman.
Vachery,noun,An inclosure for cows.
Vachery,noun,A dairy.
Vacillancy,noun,"The quality or state of being vacillant, or wavering."""
Vacillant,adjective,Vacillating; wavering; fluctuating; irresolute.
Vacillated,unknown,of Vacillate
Vacillating,noun,of Vacillate
Vacillate,verb,To move one way and the other; to reel or stagger; to waver.
Vacillate,verb,To fluctuate in mind or opinion; to be unsteady or inconstant; to waver.
Vacillating,adjective,Inclined to fluctuate; wavering.
Vacillation,noun,The act of vacillating; a moving one way and the other; a wavering.
Vacillatory,adjective,Inclined to vacillate; wavering; irresolute.
Vacuate,verb,"To make void, or empty."""
Vacuation,noun,The act of emptying; evacuation.
Vacuist,noun,"One who holds the doctrine that the space between the bodies of the universe, or the molecules and atoms of matter., is a vacuum; -- opposed to plenist."""
Vacuity,noun,"The quality or state of being vacuous, or not filled; emptiness; vacancy; as, vacuity of mind; vacuity of countenance."""
Vacuity,noun,"Space unfilled or unoccupied, or occupied with an invisible fluid only; emptiness; void; vacuum."""
Vacuity,noun,Want of reality; inanity; nihility.
Vacuna,noun,"The goddess of rural leisure, to whom the husbandmen sacrificed at the close of the harvest. She was especially honored by the Sabines."""
Vacuolated,adjective,"Full of vacuoles, or small air cavities; as, vacuolated cells."""
Vacuolation,noun,"Formation into, or multiplication of, vacuoles."""
Vacuole,noun,"A small air cell, or globular space, in the interior of organic cells, either containing air, or a pellucid watery liquid, or some special chemical secretions of the cell protoplasm."""
Vacuous,adjective,Empty; unfilled; void; vacant.
Vacuousness,noun,The quality or state of being vacuous; emptiness; vacuity.
Vacuums,unknown,of Vacuum
Vacua,unknown,of Vacuum
Vacuum,noun,"A space entirely devoid of matter (called also, by way of distinction, absolute vacuum); hence, in a more general sense, a space, as the interior of a closed vessel, which has been exhausted to a high or the highest degree by an air pump or other artificial means; as, water boils at a reduced temperature in a vacuum."""
Vacuum,noun,"The condition of rarefaction, or reduction of pressure below that of the atmosphere, in a vessel, as the condenser of a steam engine, which is nearly exhausted of air or steam, etc.; as, a vacuum of 26 inches of mercury, or 13 pounds per square inch."""
Vadantes,noun,"An extensive artificial group of birds including the wading, swimming, and cursorial birds."""
Vade,verb,"To fade; hence, to vanish."""
Vade mecum,unknown,A book or other thing that a person carries with him as a constant companion; a manual; a handbook.
Vadimony,noun,A bond or pledge for appearance before a judge on a certain day.
Vadium,noun,Pledge; security; bail. See Mortgage.
Vae,noun,See Voe.
Vafrous,adjective,"Crafty; cunning; sly; as, vafrous tricks."""
Vagabond,adjective,Moving from place to place without a settled habitation; wandering.
Vagabond,adjective,Floating about without any certain direction; driven to and fro.
Vagabond,adjective,Being a vagabond; strolling and idle or vicious.
Vagabond,noun,"One who wanders from place to place, having no fixed dwelling, or not abiding in it, and usually without the means of honest livelihood; a vagrant; a tramp; hence, a worthless person; a rascal."""
Vagabond,verb,To play the vagabond; to wander like a vagabond; to stroll.
Vagabondage,noun,The condition of a vagabond; a state or habit of wandering about in idleness; vagrancy.
Vagabondism,noun,Vagabondage.
Vagabondize,verb,To play the vagabond; to wander about in idleness.
Vagabondry,noun,Vagabondage.
Vagal,adjective,"Of or pertaining to the vagus, or pneumogastric nerves; pneumogastric."""
Vagancy,noun,A wandering; vagrancy.
Vagantes,unknown,"A tribe of spiders, comprising some of those which take their prey in a web, but which also frequently run with agility, and chase and seize their prey."""
Vagarious,adjective,"Given to, or characterized by, vagaries; capricious; whimsical; crochety."""
Vagaries,unknown,of Vagary
Vagary,noun,A wandering or strolling.
Vagary,noun,"Hence, a wandering of the thoughts; a wild or fanciful freak; a whim; a whimsical purpose."""
Vagient,adjective,Crying like a child.
Vaginae,unknown,of Vagina
Vagina,noun,"A sheath; a theca; as, the vagina of the portal vein."""
Vagina,noun,"Specifically, the canal which leads from the uterus to the external orifice if the genital canal, or to the cloaca."""
Vagina,noun,"The terminal part of the oviduct in insects and various other invertebrates. See Illust., of Spermatheca."""
Vagina,noun,"The basal expansion of certain leaves, which inwraps the stem; a sheath."""
Vagina,noun,"The shaft of a terminus, from which the bust of figure seems to issue or arise."""
Vaginal,adjective,"Of or pertaining to a vagina; resembling a vagina, or sheath; thecal; as, a vaginal synovial membrane; the vaginal process of the temporal bone."""
Vaginal,adjective,"Of or pertaining to the vagina of the genital canal; as, the vaginal artery."""
Vaginant,adjective,"Serving to in invest, or sheathe; sheathing."""
Vaginate,adjective,Alt. of Vaginated
Vaginated,adjective,"Invested with, or as if with, a sheath; as, a vaginate stem, or one invested by the tubular base of a leaf."""
Vaginati,noun,A tribe of birds comprising the sheathbills.
Vaginervose,adjective,"Having the nerves, or veins, placed in apparent disorder."""
Vaginicola,noun,A genus of Infusoria which form minute vaselike or tubular cases in which they dwell.
Vaginismus,noun,"A painful spasmodic contraction of the vagina, often rendering copulation impossible."""
Vaginitis,noun,"Inflammation of the vagina, or the genital canal, usually of its mucous living membrane."""
Vaginopennous,adjective,Having elytra; sheath-winged.
Vaginula,noun,"A little sheath, as that about the base of the pedicel of most mosses."""
Vaginula,noun,One of the tubular florets in composite flowers.
Vaginule,noun,A vaginula.
