W,unknown,"the twenty-third letter of the English alphabet, is usually a consonant, but sometimes it is a vowel, forming the second element of certain diphthongs, as in few, how. It takes its written form and its name from the repetition of a V, this being the original form of the Roman capital letter which we call U. Etymologically it is most related to v and u. See V, and U. Some of the uneducated classes in England, especially in London, confuse w and v, substituting the one for the other, as weal for veal, and veal for weal; wine for vine, and vine for wine, etc. See Guide to Pronunciation, // 266-268."""
Waag,noun,The grivet.
Waahoo,noun,The burning bush; -- said to be called after a quack medicine made from it.
Wabble,verb,"To move staggeringly or unsteadily from one side to the other; to vacillate; to move the manner of a rotating disk when the axis of rotation is inclined to that of the disk; -- said of a turning or whirling body; as, a top wabbles; a buzz saw wabbles."""
Wabble,noun,"A hobbling, unequal motion, as of a wheel unevenly hung; a staggering to and fro."""
Wabbly,adjective,Inclined to wabble; wabbling.
Wacke,noun,Alt. of Wacky
Wacky,noun,"A soft, earthy, dark-colored rock or clay derived from the alteration of basalt."""
Wad,noun,Woad.
Wad,noun,"A little mass, tuft, or bundle, as of hay or tow."""
Wad,noun,"Specifically: A little mass of some soft or flexible material, such as hay, straw, tow, paper, or old rope yarn, used for retaining a charge of powder in a gun, or for keeping the powder and shot close; also, to diminish or avoid the effects of windage. Also, by extension, a dusk of felt, pasteboard, etc., serving a similar purpose."""
Wad,noun,"A soft mass, especially of some loose, fibrous substance, used for various purposes, as for stopping an aperture, padding a garment, etc."""
Waded,unknown,of Wad
Wadding,noun,of Wad
Wad,verb,"To form into a mass, or wad, or into wadding; as, to wad tow or cotton."""
Wad,verb,"To insert or crowd a wad into; as, to wad a gun; also, to stuff or line with some soft substance, or wadding, like cotton; as, to wad a cloak."""
Wad,noun,Alt. of Wadd
Wadd,noun,"An earthy oxide of manganese, or mixture of different oxides and water, with some oxide of iron, and often silica, alumina, lime, or baryta; black ocher. There are several varieties."""
Wadd,noun,"Plumbago, or black lead."""
Wadding,noun,"A wad, or the materials for wads; any pliable substance of which wads may be made."""
Wadding,noun,"Any soft stuff of loose texture, used for stuffing or padding garments; esp., sheets of carded cotton prepared for the purpose."""
Waddled,unknown,of Waddle
Waddling,noun,of Waddle
Waddle,verb,"To walk with short steps, swaying the body from one side to the other, like a duck or very fat person; to move clumsily and totteringly along; to toddle; to stumble; as, a child waddles when he begins to walk; a goose waddles."""
Waddle,verb,"To trample or tread down, as high grass, by walking through it."""
Waddler,noun,"One who, or that which, waddles."""
Waddlingly,verb,In a waddling manner.
Wade,noun,Woad.
Waded,unknown,of Wade
Wading,noun,of Wade
Wade,verb,To go; to move forward.
