X,unknown,"X, the twenty-fourth letter of the English alphabet, has three sounds; a compound nonvocal sound (that of ks), as in wax; a compound vocal sound (that of gz), as in example; and, at the beginning of a word, a simple vocal sound (that of z), as in xanthic. See Guide to Pronunciation, // 217, 270, 271."""
Xanthamide,noun,"An amido derivative of xanthic acid obtained as a white crystalline substance, C2H5O.CS.NH2; -- called also xanthogen amide."""
Xanthate,noun,A salt of xanthic; a xanthogenate.
Xanthelasma,noun,See Xanthoma.
Xanthian,adjective,"Of or pertaining to Xanthus, an ancient town on Asia Minor; -- applied especially to certain marbles found near that place, and now in the British Museum."""
Xanthic,adjective,"Tending toward a yellow color, or to one of those colors, green being excepted, in which yellow is a constituent, as scarlet, orange, etc."""
Xanthic,adjective,"Possessing, imparting, or producing a yellow color; as, xanthic acid."""
Xanthic,adjective,"Of or pertaining to xanthic acid, or its compounds; xanthogenic."""
Xanthic,adjective,Of or pertaining to xanthin.
Xanthide,noun,A compound or derivative of xanthogen.
Xanthidia,unknown,of Xanthidium
Xanthidium,noun,"A genus of minute unicellular algae of the desmids. These algae have a rounded shape and are armed with glochidiate or branched aculei. Several species occur in ditches, and others are found fossil in flint or hornstone."""
Xanthin,noun,"A crystalline nitrogenous body closely related to both uric acid and hypoxanthin, present in muscle tissue, and occasionally found in the urine and in some urinary calculi. It is also present in guano. So called from the yellow color of certain of its salts (nitrates)."""
Xanthin,noun,"A yellow insoluble coloring matter extracted from yellow flowers; specifically, the coloring matter of madder."""
Xanthin,noun,"One of the gaseous or volatile decomposition products of the xanthates, and probably identical with carbon disulphide."""
Xanthinine,noun,"A complex nitrogenous substance related to urea and uric acid, produced as a white powder; -- so called because it forms yellow salts, and because its solution forms a blue fluorescence like quinine."""
Xanthium,noun,A genus of composite plants in which the scales of the involucre are united so as to form a kind of bur; cocklebur; clotbur.
Xantho-,unknown,A combining form from Gr. xanqo`s yellow; as in xanthocobaltic salts. Used also adjectively in chemistry.
Xanthocarpous,adjective,Having yellow fruit.
Xanthochroi,noun,"A division of the Caucasian races, comprising the lighter-colored members."""
Xanthochroic,adjective,Having a yellowish or fair complexion; of or pertaining to the Xanthochroi.
Xanthodontous,adjective,Having yellow teeth.
Xanthogen,noun,The hypothetical radical supposed to be characteristic of xanthic acid.
Xanthogen,noun,Persulphocyanogen.
Xanthogenate,noun,A salt of xanthic acid.
Xanthogenic,adjective,"Producing a yellow color or compound; xanthic. See Xanthic acid, under Xanthic."""
Xanthoma,noun,"A skin disease marked by the development or irregular yellowish patches upon the skin, especially upon the eyelids; -- called also xanthelasma."""
Xanthophane,noun,The yellow pigment present in the inner segments of the retina in animals. See Chromophane.
Xanthophyll,noun,"A yellow coloring matter found in yellow autumn leaves, and also produced artificially from chlorophyll; -- formerly called also phylloxanthin."""
Xanthopous,adjective,"Having a yellow stipe, or stem."""
Xanthoproteic,adjective,"Pertaining to, or derived from, xanthoprotein; showing the characters of xanthoprotein; as, xanthoproteic acid; the xanthoproteic reaction for albumin."""
Xanthoprotein,noun,A yellow acid substance formed by the action of hot nitric acid on albuminous or proteid matter. It is changed to a deep orange-yellow color by the addition of ammonia.
Xanthopuccine,noun,"One of three alkaloids found in the root of the yellow puccoon (Hydrastis Canadensis). It is a yellow crystalline substance, and resembles berberine."""
Xanthorhamnin,noun,"A glucoside extracted from Persian berries as a yellow crystalline powder, used as a dyestuff."""
Xanthorhiza,noun,"A genus of shrubby ranunculaceous plants of North America, including only the species Xanthorhiza apiifolia, which has roots of a deep yellow color; yellowroot. The bark is intensely bitter, and is sometimes used as a tonic."""
Xanthorhoea,noun,"A genus of endogenous plants, native to Australia, having a thick, sometimes arborescent, stem, and long grasslike leaves. See Grass tree."""
Xanthose,noun,An orange-yellow substance found in pigment spots of certain crabs.
Xanthosis,noun,The yellow discoloration often observed in cancerous tumors.
Xanthospermous,adjective,Having yellow seeds.
Xanthous,adjective,"Yellow; specifically (Ethnol.), of or pertaining to those races of man which have yellowish, red, auburn, or brown hair."""
Xanthoxylene,noun,A liquid hydrocarbon of the terpene series extracted from the seeds of a Japanese prickly ash (Xanthoxylum pipertium) as an aromatic oil.
Xanthoxylum,noun,"A genus of prickly shrubs or small trees, the bark and rots of which are of a deep yellow color; prickly ash."""
Xebec,noun,"A small three-masted vessel, with projecting bow stern and convex decks, used in the Mediterranean for transporting merchandise, etc. It carries large square sails, or both. Xebecs were formerly armed and used by corsairs."""
Xeme,noun,An Arctic fork-tailed gull (Xema Sabinii).
Xenelasia,noun,"A Spartan institution which prohibited strangers from residing in Sparta without permission, its object probably being to preserve the national simplicity of manners."""
Xenia,unknown,of Xenium
Xenium,noun,"A present given to a guest or stranger, or to a foreign ambassador."""
Xenodochium,noun,A house for the reception of strangers.
Xenodochium,noun,"In the Middle Ages, a room in a monastery for the reception and entertainment of strangers and pilgrims, and for the relief of paupers. [Called also Xenodocheion.]"""
Xenodochy,noun,Reception of strangers; hospitality.
Xenogamy,noun,Cross fertilization.
Xenogenesis,noun,Same as Heterogenesis.
Xenogenesis,noun,The fancied production of an organism of one kind by an organism of another.
Xenogenetic,adjective,"Of or pertaining to xenogenesis; as, the xenogenetic origin of microzymes."""
Xenomania,noun,"A mania for, or an inordinate attachment to, foreign customs, institutions, manners, fashions, etc."""
Xenomi,noun,A suborder of soft-rayed fresh-water fishes of which the blackfish of Alaska (Dallia pectoralis) is the type.
Xenopterygii,noun,"A suborder of fishes including Gobiesox and allied genera. These fishes have soft-rayed fins, and a ventral sucker supported in front by the pectoral fins. They are destitute of scales."""
Xenotime,noun,A native phosphate of yttrium occurring in yellowish-brown tetragonal crystals.
Xenurine,noun,A cabassou.
Xenyl,noun,The radical characteristic of xenylic compounds.
Xenylic,adjective,"Pertaining to, derived from, designating, certain amido compounds obtained by reducing certain nitro derivatives of diphenyl."""
Xeraphim,noun,"An old money of account in Bombay, equal to three fifths of a rupee."""
Xeres,noun,Sherry. See Sherry.
Xerif,noun,A shereef.
Xeriff,noun,"A gold coin formerly current in Egypt and Turkey, of the value of about 9s. 6d., or about $2.30; -- also, in Morocco, a ducat."""
Xeroderma,noun,Ichthyosis.
Xeroderma,noun,"A skin disease characterized by the presence of numerous small pigmented spots resembling freckles, with which are subsequently mingled spots of atrophied skin."""
Xeronate,noun,A salt of xeronic acid.
Xeronic,adjective,"Pertaining to, or designating, an acid, C8H12O4, related to fumaric acid, and obtained from citraconic acid as an oily substance having a bittersweet taste; -- so called from its tendency to form its anhydride."""
Xerophagy,noun,"Among the primitive Christians, the living on a diet of dry food in Lent and on other fasts."""
Xerophilous,adjective,Drought-loving; able withstand the absence or lack of moisture.
Xerophthalmia,noun,An abnormal dryness of the eyeball produced usually by long-continued inflammation and subsequent atrophy of the conjunctiva.
Xerophthalmy,noun,Xerophthalmia.
Xiphias,noun,A genus of fishes comprising the common swordfish.
Xiphias,noun,The constellation Dorado.
Xiphias,noun,A comet shaped like a sword
Xiphidium,noun,"A genus of plants of the order Haemodraceae, having two-ranked, sword-shaped leaves."""
Xiphioid,adjective,"Of, pertaining to, or resembling, a cetacean of the genus Xiphius or family Xiphiidae."""
Xiphiplastra,unknown,of Xiphiplastron
Xiphiplastron,noun,"The posterior, or fourth, lateral plate in the plastron of turtles; -- called also xiphisternum."""
Xiphisterna,unknown,of Xiphisternum
