Z,unknown,"Z, the twenty-sixth and last letter of the English alphabet, is a vocal consonant. It is taken from the Latin letter Z, which came from the Greek alphabet, this having it from a Semitic source. The ultimate origin is probably Egyptian. Etymologically, it is most closely related to s, y, and j; as in glass, glaze; E. yoke, Gr. /, L. yugum; E. zealous, jealous. See Guide to Pronunciation, // 273, 274."""
Za,noun,"An old solfeggio name for B flat; the seventh harmonic, as heard in the or aeolian string; -- so called by Tartini. It was long considered a false, but is the true note of the chord of the flat seventh."""
Zabaism,noun,Alt. of Zabism
Zabism,noun,See Sabianism.
Zabian,noun,See Sabian.
Zacco,noun,See Zocco.
Zachun,noun,"An oil pressed by the Arabs from the fruit of a small thorny tree (Balanites Aegyptiaca), and sold to piligrims for a healing ointment."""
Zaerthe,noun,Same as Z/rthe.
Zaffer,noun,"A pigment obtained, usually by roasting cobalt glance with sand or quartz, as a dark earthy powder. It consists of crude cobalt oxide, or of an impure cobalt arseniate. It is used in porcelain painting, and in enameling pottery, to produce a blue color, and is often confounded with smalt, from which, however, it is distinct, as it contains no potash. The name is often loosely applied to mixtures of zaffer proper with silica, or oxides of iron, manganese, etc."""
Zaim,noun,A Turkish chief who supports a mounted militia bearing the same name.
Zaimet,noun,A district from which a Zaim draws his revenue.
Zain,noun,"A horse of a dark color, neither gray nor white, and having no spots."""
Zalambdodont,adjective,Of or pertaining to a tribe (Zalambdodonta) of Insectivora in which the molar teeth have but one V-shaped ridge.
Zalambdodont,noun,"One of the Zalambdodonta. The tenrec, solenodon, and golden moles are examples."""
Zamang,noun,"An immense leguminous tree (Pithecolobium Saman) of Venezuela. Its branches form a hemispherical mass, often one hundred and eighty feet across. The sweet pulpy pods are used commonly for feeding cattle. Also called rain tree."""
Zambos,unknown,of Zambo
Zambo,noun,"The child of a mulatto and a negro; also, the child of an Indian and a negro; colloquially or humorously, a negro; a sambo."""
Zamia,noun,"A genus of cycadaceous plants, having the appearance of low palms, but with exogenous wood. See Coontie, and Illust. of Strobile."""
Zamindar,noun,"A landowner; also, a collector of land revenue; now, usually, a kind of feudatory recognized as an actual proprietor so long as he pays to the government a certain fixed revenue."""
Zamindary,noun,Alt. of Zamindari
Zamindari,noun,The jurisdiction of a zamindar; the land possessed by a zamindar.
Zamite,noun,A fossil cycad of the genus Zamia.
Zamouse,noun,"A West African buffalo (Bubalus brachyceros) having short horns depressed at the base, and large ears fringed internally with three rows of long hairs. It is destitute of a dewlap. Called also short-horned buffalo, and bush cow."""
Zampogna,noun,A sort of bagpipe formerly in use among Italian peasants. It is now almost obsolete.
Zander,noun,"A European pike perch (Stizostedion lucioperca) allied to the wall-eye; -- called also sandari, sander, sannat, schill, and zant."""
Zandmole,noun,The sand mole.
Zante,noun,See Zantewood.
Zante currant,unknown,"A kind of seedless grape or raisin; -- so called from Zante, one of the Ionian Islands."""
Zantewood,noun,"A yellow dyewood; fustet; -- called also zante, and zante fustic. See Fustet, and the Note under Fustic."""
Zantewood,noun,Satinwood (Chloroxylon Swietenia).
Zantiot,noun,"A native or inhabitant of Zante, one of the Ionian Islands."""
Zanies,unknown,of Zany
Zany,noun,A merry-andrew; a buffoon.
Zany,verb,To mimic.
Zanyism,noun,State or character of a zany; buffoonery.
Zaphara,noun,Zaffer.
Zaphrentis,noun,"An extinct genus of cyathophylloid corals common in the Paleozoic formations. It is cup-shaped with numerous septa, and with a deep pit in one side of the cup."""
Zapotilla,noun,See Sapodilla.
Zaptiah,noun,A Turkish policeman.
Zarathustrian,adjective,Alt. of Zarathustric
Zarathustric,adjective,"Of or pertaining to Zarathustra, or Zoroaster; Zoroastrian."""
Zarathustrism,noun,See Zoroastrianism.
Zaratite,noun,A hydrous carbonate of nickel occurring as an emerald-green incrustation on chromite; -- called also emerald nickel.
Zareba,noun,"An improvised stockade; especially, one made of thorn bushes, etc."""
Zarnich,noun,"Native sulphide of arsenic, including sandarach, or realgar, and orpiment."""
Zarthe,noun,A European bream (Abramis vimba).
Zati,noun,"A species of macaque (Macacus pileatus) native of India and Ceylon. It has a crown of long erect hair, and tuft of radiating hairs on the back of the head. Called also capped macaque."""
Zauschneria,noun,"A genus of flowering plants. Zauschneria Californica is a suffrutescent perennial, with showy red flowers much resembling those of the garden fuchsia."""
Zax,noun,A tool for trimming and puncturing roofing slates.
Zayat,noun,"A public shed, or portico, for travelers, worshipers, etc."""
Zea,noun,A genus of large grasses of which the Indian corn (Zea Mays) is the only species known. Its origin is not yet ascertained. See Maize.
Zeal,noun,Passionate ardor in the pursuit of anything; eagerness in favor of a person or cause; ardent and active interest; engagedness; enthusiasm; fervor.
Zeal,noun,A zealot.
Zeal,verb,To be zealous.
Zealant,noun,One who is zealous; a zealot; an enthusiast.
Zealed,adjective,Full of zeal; characterized by zeal.
Zealful,adjective,Full of zeal.
