cab,verb,travel in a taxi.
cab,noun,a taxi.
cab,noun,"the driver's compartment in a lorry, bus, or train."
cabal,noun,a secret political clique or faction.
cabala,noun,"the ancient Jewish tradition of mystical interpretation of the Bible, first transmitted orally and using esoteric methods (including ciphers). It reached the height of its influence in the later Middle Ages and remains significant in Hasidism."
cabalism,,Definition of CABALISM. 1. often capitalized : esoteric doctrine or interpretation according to the Jewish cabala.
cabalist,,"Definition of CABALIST. 1. often capitalized : a student, interpreter, or devotee of the Jewish cabala. 2. : one skilled in esoteric doctrine or mysterious art."
cabalistic,,"Cabalistic is a way of saying âsecretive,â but with negative connotations â the suggestion that the secretiveness is perverse or malicious. The inner workings of a cult would be considered cabalistic. A book of ancient, supposedly mystical texts would be considered cabalistic."
cabalists,,"Definition of CABALIST. 1. often capitalized : a student, interpreter, or devotee of the Jewish cabala. 2. : one skilled in esoteric doctrine or mysterious art."
caballero,noun,a Spanish gentleman.
caballeros,noun,a Spanish gentleman.
caballing,,caballing. Noun. (uncountable) (oceanography) The process whereby two water masses of differing temperatures and/or salinities mix and produce a water mass of higher density which subsequently sinks.
cabals,noun,a secret political clique or faction.
cabana,noun,"a hut, cabin, or shelter at a beach or swimming pool."
cabanas,noun,"a hut, cabin, or shelter at a beach or swimming pool."
cabaret,noun,entertainment held in a nightclub or restaurant while the audience eat or drink at tables.
cabarets,noun,entertainment held in a nightclub or restaurant while the audience eat or drink at tables.
cabbage,noun,"a cultivated plant eaten as a vegetable, having thick green or purple leaves surrounding a spherical heart or head of young leaves."
cabbages,noun,"a cultivated plant eaten as a vegetable, having thick green or purple leaves surrounding a spherical heart or head of young leaves."
cabbaging,,Definition of CABBAGE. 1. a : any of several brassicas (Brassica oleracea) of European origin; especially : a leafy garden plant (Brassica oleracea capitata) with a short stem and a dense globular head of usually green leaves that is used as a vegetable.
cabbala,noun,"the ancient Jewish tradition of mystical interpretation of the Bible, first transmitted orally and using esoteric methods (including ciphers). It reached the height of its influence in the later Middle Ages and remains significant in Hasidism."
cabbalah,,"Kabbalah (Hebrew: ×§Ö·×Ö¸Ö¼×Ö¸×â, literally ""receiving/tradition"") is an esoteric method, discipline, and school of thought that originated in Judaism. A traditional Kabbalist in Judaism is called a Mekubbal (Hebrew: ×Ö°×§×Ö¼×Ö¸Ö¼×â)."
cabbalahs,noun,"the ancient Jewish tradition of mystical interpretation of the Bible, first transmitted orally and using esoteric methods (including ciphers). It reached the height of its influence in the later Middle Ages and remains significant in Hasidism."
cabbalistic,adjective,relating to or associated with mystical interpretation or esoteric doctrine.
cabby,noun,a taxi driver.
cabbie,noun,a taxi driver.
cabbies,noun,a taxi driver.
caber,noun,a roughly trimmed tree trunk used in the Scottish Highland sport of tossing the caber . This involves holding the caber upright and running forward to toss it so that it lands on the opposite end.
cabers,noun,a roughly trimmed tree trunk used in the Scottish Highland sport of tossing the caber . This involves holding the caber upright and running forward to toss it so that it lands on the opposite end.
cabin,noun,Indian
cabin,noun,a private room or compartment on a ship.
cabin,noun,a small wooden shelter or house in a wild or remote area.
cabined,verb,confine in a small place.
cabinet,noun,a cupboard with drawers or shelves for storing or displaying articles.
cabinet,noun,"(in the UK, Canada, and other Commonwealth countries) the committee of senior ministers responsible for controlling government policy."
cabinetmaker,noun,a skilled joiner who makes furniture or similar high-quality woodwork.
cabinetmakers,noun,a skilled joiner who makes furniture or similar high-quality woodwork.
cabinets,noun,a cupboard with drawers or shelves for storing or displaying articles.
cabinets,noun,"(in the UK, Canada, and other Commonwealth countries) the committee of senior ministers responsible for controlling government policy."
cabining,verb,confine in a small place.
cabins,noun,Indian
cabins,noun,a private room or compartment on a ship.
cabins,noun,a small wooden shelter or house in a wild or remote area.
cable,noun,an insulated wire or wires having a protective casing and used for transmitting electricity or telecommunication signals.
cable,verb,send a message to (someone) by cablegram.
cable,noun,"a thick rope of wire or hemp used for construction, mooring ships, and towing vehicles."
cabled,verb,send a message to (someone) by cablegram.
cablegram,noun,a telegraph message sent by cable.
cablegrams,noun,a telegraph message sent by cable.
cables,noun,an insulated wire or wires having a protective casing and used for transmitting electricity or telecommunication signals.
cables,verb,send a message to (someone) by cablegram.
cables,noun,"a thick rope of wire or hemp used for construction, mooring ships, and towing vehicles."
cableway,noun,a transport system in which goods are carried suspended from a continuous moving cable.
cableways,noun,a transport system in which goods are carried suspended from a continuous moving cable.
cabling,verb,send a message to (someone) by cablegram.
cabman,noun,the driver of a horse-drawn hackney carriage.
cabmen,noun,the driver of a horse-drawn hackney carriage.
cabob,noun,"a dish of pieces of meat, fish, or vegetables roasted or grilled on a skewer or spit."
cabobs,,"Usually, kabobs. small pieces of meat or seafood seasoned or marinated and broiled, often with tomatoes, green peppers, onions, or other vegetables, usually on a skewer. (in Indian English use) roast meat. Origin of kabob Expand. Hindi."
cabochon,noun,a gem that has been polished but not faceted.
cabochons,noun,a gem that has been polished but not faceted.
caboodle,noun,the whole number or quantity of people or things in question.
caboodles,noun,the whole number or quantity of people or things in question.
cabriolet,noun,a car with a roof that folds down.
cabriolets,noun,a car with a roof that folds down.
cabs,noun,a taxi.
cabs,noun,"the driver's compartment in a lorry, bus, or train."
cabs,verb,travel in a taxi.
cabstand,,"cabstand - a place where taxis park while awaiting customers; ""in England the place where taxis wait to be hired is called a `taxi rank'"" taxi rank, taxistand. stand - the position where a thing or person stands."
caca,noun,excrement.
cacao,noun,"bean-like seeds from which cocoa, cocoa butter, and chocolate are made."
cacaos,noun,"bean-like seeds from which cocoa, cocoa butter, and chocolate are made."
cacciatore,adjective,prepared in a spicy tomato sauce with mushrooms and herbs.
cachalot,noun,old-fashioned term for sperm whale.
cachalots,noun,old-fashioned term for sperm whale.
cache,noun,a collection of items of the same type stored in a hidden or inaccessible place.
cache,verb,store away in hiding or for future use.
cached,verb,store away in hiding or for future use.
cachepot,noun,an ornamental holder for a flowerpot.
cachepots,noun,an ornamental holder for a flowerpot.
caches,noun,a collection of items of the same type stored in a hidden or inaccessible place.
caches,verb,store away in hiding or for future use.
cachet,noun,a flat capsule enclosing a dose of unpleasant-tasting medicine.
cachet,noun,the state of being respected or admired; prestige.
cachet,noun,a distinguishing mark or seal.
cacheted,noun,the state of being respected or admired; prestige.
cacheted,noun,a distinguishing mark or seal.
cacheting,,Definition of CACHET. 1. a : a seal used especially as a mark of official approval. b : an indication of approval carrying great prestige. a : a characteristic feature or quality conferring prestige.
cachets,noun,the state of being respected or admired; prestige.
cachets,noun,a distinguishing mark or seal.
caching,verb,store away in hiding or for future use.
caciques,noun,(in Latin America or the Spanish-speaking Caribbean) a native chief.
cack,noun,excrement; dung.
cackle,verb,"(of a bird, especially a hen or goose) give a raucous clucking cry."
cackle,noun,the raucous clucking cry of a bird such as a hen or a goose.
cackled,verb,"(of a bird, especially a hen or goose) give a raucous clucking cry."
cacklers,,Definition of CACKLE for Kids. 1. : to make the noise or cry a hen makes especially after laying an egg. 2. : to laugh or chatter noisily.
cackles,verb,"(of a bird, especially a hen or goose) give a raucous clucking cry."
cackles,noun,the raucous clucking cry of a bird such as a hen or a goose.
cackling,verb,"(of a bird, especially a hen or goose) give a raucous clucking cry."
cacodemon,noun,a malevolent spirit or person.
cacodemonia,,"In psychology, cacodemonia (or cacodemomania) is a form of insanity in which the patient believes that they are possessed by an evil spirit."
cacoethes,noun,an urge to do something inadvisable.
cacography,noun,bad handwriting or spelling.
cacology,noun,bad choice of words or poor pronunciation.
cacophony,noun,a harsh discordant mixture of sounds.
cacophonies,noun,a harsh discordant mixture of sounds.
cacophonous,adjective,"involving or producing a harsh, discordant mixture of sounds."
cacophonously,,Definition of CACOPHONOUS. : marked by cacophony : harsh-sounding. â caÂ·cophÂ·oÂ·nousÂ·ly adverb.
cacti,noun,"a succulent plant with a thick fleshy stem which typically bears spines, lacks leaves, and has brilliantly coloured flowers. Cacti are native to arid regions of the New World and are cultivated elsewhere, especially as pot plants."
cactoid,,"""cactoid."" YourDictionary, n.d. Web. 9 September 2015. <http://www.yourdictionary.com/cactoid>. APA Style."
cactus,noun,"a succulent plant with a thick fleshy stem which typically bears spines, lacks leaves, and has brilliantly coloured flowers. Cacti are native to arid regions of the New World and are cultivated elsewhere, especially as pot plants."
cactuses,noun,"a succulent plant with a thick fleshy stem which typically bears spines, lacks leaves, and has brilliantly coloured flowers. Cacti are native to arid regions of the New World and are cultivated elsewhere, especially as pot plants."
cad,noun,"a man who behaves dishonourably, especially towards a woman."
cadaver,noun,a corpse.
cadaveric,,"Full Definition of CADAVER. : a dead body; especially : one intended for dissection. â caÂ·davÂ·erÂ·ic \-Ëdav-rik, -Ëda-vÉ-\ adjective. See cadaver defined for English-language learners."
cadaverous,adjective,"very pale, thin, or bony."
cadavers,noun,a corpse.
caddy,noun,"a small storage container, typically one with divisions."
caddie,noun,a person who carries a golfer's clubs and provides other assistance during a match.
caddied,verb,work as a caddie.
caddies,noun,a person who carries a golfer's clubs and provides other assistance during a match.
caddying,verb,work as a caddie.
caddis,noun,"a small moth-like insect with an aquatic larva that typically builds a protective portable case of sticks, stones, and other particles."
caddises,noun,"a small moth-like insect with an aquatic larva that typically builds a protective portable case of sticks, stones, and other particles."
cadence,noun,a modulation or inflection of the voice.
cadence,noun,a sequence of notes or chords comprising the close of a musical phrase.
