dab,verb,press against (something) lightly several times with a piece of absorbent material in order to clean or dry it or to apply a substance.
dabbed,verb,press against (something) lightly several times with a piece of absorbent material in order to clean or dry it or to apply a substance.
dabbing,verb,press against (something) lightly several times with a piece of absorbent material in order to clean or dry it or to apply a substance.
dabble,verb,immerse (one's hands or feet) partially in water and move them around gently.
dabble,verb,take part in an activity in a casual or superficial way.
dabbled,verb,immerse (one's hands or feet) partially in water and move them around gently.
dabbled,verb,take part in an activity in a casual or superficial way.
dabbler,,"Definition of DABBLER. : one that dabbles: as. a : one not deeply engaged in or concerned with something. b : a duck (as a mallard or shoveler) that feeds by dabbling âcalled also dabbling duck, puddle duck, river duck."
dabblers,,"Definition of DABBLER. : one that dabbles: as. a : one not deeply engaged in or concerned with something. b : a duck (as a mallard or shoveler) that feeds by dabbling âcalled also dabbling duck, puddle duck, river duck."
dabbles,verb,immerse (one's hands or feet) partially in water and move them around gently.
dabbles,verb,take part in an activity in a casual or superficial way.
dabbling,verb,immerse (one's hands or feet) partially in water and move them around gently.
dabbling,verb,take part in an activity in a casual or superficial way.
dabblings,,"2. to work at anything in an irregular or superficial manner: to dabble in literature. 3. (of a duck) to feed on shallow-water vegetation with rapid, splashing movements of the bill. v.t. 4. to wet slightly in or with a liquid; splash; spatter."
dabs,verb,press against (something) lightly several times with a piece of absorbent material in order to clean or dry it or to apply a substance.
dace,noun,"a small freshwater fish related to the carp, typically living in running water."
daces,,Definition of DACE. 1. : a small freshwater European cyprinid fish (Leuciscus leuciscus) : any of various small North American freshwater cyprinid fishes.
dacha,noun,"a country house or cottage in Russia, typically used as a second or holiday home."
dachas,noun,"a country house or cottage in Russia, typically used as a second or holiday home."
dachshund,noun,"a dog of a very short-legged, long-bodied breed."
dachshunds,noun,"a dog of a very short-legged, long-bodied breed."
dacoit,noun,(in India or Burma (Myanmar)) a member of a band of armed robbers.
dacoity,noun,(in India or Burma (Myanmar)) an act of violent robbery committed by an armed gang.
dacoits,noun,(in India or Burma (Myanmar)) a member of a band of armed robbers.
dacron,noun,"a synthetic polyester (polyethylene terephthalate) with tough, elastic properties, used as a textile fabric."
dactyl,noun,a metrical foot consisting of one stressed syllable followed by two unstressed syllables or (in Greek and Latin) one long syllable followed by two short syllables.
dactylic,adjective,of or using dactyls.
dactyls,noun,a metrical foot consisting of one stressed syllable followed by two unstressed syllables or (in Greek and Latin) one long syllable followed by two short syllables.
dad,noun,one's father.
dada,noun,one's father.
dadaist,,"Dada (/ËdÉËdÉË/) or Dadaism was an art movement of the European avant-garde in the early 20th century. Dada in Zurich, Switzerland, began in 1916 at Cabaret Voltaire, spreading to Berlin shortly thereafter, but the height of New York Dada was the year before, in 1915."
dadaists,,"Dada (/ËdÉËdÉË/) or Dadaism was an art movement of the European avant-garde in the early 20th century. Dada in Zurich, Switzerland, began in 1916 at Cabaret Voltaire, spreading to Berlin shortly thereafter, but the height of New York Dada was the year before, in 1915."
dadas,noun,one's father.
daddy,noun,one's father.
daddies,noun,one's father.
dado,noun,"the lower part of the wall of a room, below about waist height, when decorated differently from the upper part."
dadoed,,Definition of DADO. 1. a : the part of a pedestal of a column above the base. b : the lower part of an interior wall when specially decorated or faced; also : the decoration adorning this part of a wall. 2.
dadoes,,"In architectural parlance, the dado is the lower part of a wall, below the dado rail and above the skirting board. The word is borrowed from Italian meaning ""die"" (as an architectural term) or plinth."
dadoing,,"In architectural parlance, the dado is the lower part of a wall, below the dado rail and above the skirting board. The word is borrowed from Italian meaning ""die"" (as an architectural term) or plinth."
dados,noun,"the lower part of the wall of a room, below about waist height, when decorated differently from the upper part."
dads,noun,one's father.
daedalian,adjective,"ingenious, intricate, and confusing."
daemon,noun,archaic spelling of demon1.
daemon,noun,(in ancient Greek belief) a divinity or supernatural being of a nature between gods and humans.
daemons,noun,archaic spelling of demon1.
daemons,noun,(in ancient Greek belief) a divinity or supernatural being of a nature between gods and humans.
daffy,adjective,silly; mildly eccentric.
daffier,adjective,silly; mildly eccentric.
daffiest,adjective,silly; mildly eccentric.
daffodil,noun,a bulbous European plant which typically bears bright yellow flowers with a long trumpet-shaped centre (corona).
daffodils,noun,a bulbous European plant which typically bears bright yellow flowers with a long trumpet-shaped centre (corona).
daft,adjective,silly; foolish.
dafter,adjective,silly; foolish.
daftest,adjective,silly; foolish.
daftly,,"Full Definition of DAFT. 1. a : silly, foolish. b : mad, insane."
daftness,,"daft. adj. Old English gedÃ¦fte ""gentle, becoming,"" from Proto-Germanic *gadaftjaz (cf. Old English daeftan ""to put in order, arrange,"" gedafen ""suitable;"" Gothic gadaban ""to be fit""), from PIE *dhabh- ""to fit together."""
dagga,noun,cannabis.
dagger,noun,"a short knife with a pointed and edged blade, used as a weapon."
