each,determiner & pronoun,"used to refer to every one of two or more people or things, regarded and identified separately."
each,adverb,"to, for, or by every one of a group (used after a noun or an amount)."
eager,adjective,strongly wanting to do or have something.
eagerest,,"Eagerest is worth 9 points in Scrabble, and 10 points in Words with Friends. There are 8 letters in eagerest: A E E E G R S T."
eagerly,,adjective. keen or ardent in desire or feeling; impatiently longing: I am eager for news about them. He is eager to sing. characterized by or revealing great earnestness:
eagerness,noun,enthusiasm to do or to have something; keenness.
eagers,,keen or ardent in desire or feeling; impatiently longing: I am eager for news about them. He is eager to sing. characterized by or revealing great earnestness:
eagle,noun,"a large bird of prey with a massive hooked bill and long broad wings, known for its keen sight and powerful soaring flight."
eagles,noun,"a large bird of prey with a massive hooked bill and long broad wings, known for its keen sight and powerful soaring flight."
eaglet,noun,a young eagle.
eaglets,noun,a young eagle.
ean,suffix,forming adjectives and nouns such as Antipodean and Pythagorean.
ear,noun,"the organ of hearing and balance in humans and other vertebrates, especially the external part of this."
ear,noun,the seed-bearing head or spike of a cereal plant.
earache,noun,pain inside the ear.
earaches,noun,pain inside the ear.
eardrop,,"Ear drops are a form of medicine used to treat or prevent ear infections, especially infections of the outer ear and ear canal (otitis externa). Bacterial infections are sometimes treated with antibiotics. Examples are:"
eardrum,noun,"the membrane of the middle ear, which vibrates in response to sound waves; the tympanic membrane."
eardrums,noun,"the membrane of the middle ear, which vibrates in response to sound waves; the tympanic membrane."
eared,,"ear definition. The organ of hearing, which also plays a role in maintaining balance. It is divided into the outer ear (from the outside to the eardrum), the middle ear, and the inner ear. The American HeritageÂ® New Dictionary of Cultural Literacy, Third Edition. Copyright Â© 2005 by Houghton Mifflin Company."
earful,noun,a loud blast of sound.
earful,noun,a prolonged and angry reprimand.
earfuls,noun,a prolonged and angry reprimand.
earhole,noun,the external opening of the ear.
earing,,"In sailing, an earing is a small line (rope) used to fasten the corner of a sail to a spar or yard."
earings,noun,a piece of jewellery worn on the lobe or edge of the ear.
earl,noun,a British nobleman ranking above a viscount and below a marquess.
earldom,noun,the rank or title of an earl.
earldoms,noun,the rank or title of an earl.
early,noun,potatoes which are ready to be harvested before the main crop.
early,adjective,happening or done before the usual or expected time.
early,adjective,belonging or happening near the beginning of a particular period.
early,adverb,before the usual or expected time.
earlier,adjective,happening or done before the usual or expected time.
earlier,adjective,belonging or happening near the beginning of a particular period.
earlier,adverb,before the usual or expected time.
earliest,adjective,happening or done before the usual or expected time.
earliest,adjective,belonging or happening near the beginning of a particular period.
earliest,adverb,before the usual or expected time.
earliness,,"Of or occurring near the beginning of a given series, period of time, or course of events: in the early morning; scored two runs in the early innings. 2. a. Of or belonging to a previous or remote period of time: the early inhabitants of the British Isles."
earlobe,noun,"a soft, rounded fleshy part hanging from the lower margin of the ear."
earlobes,noun,"a soft, rounded fleshy part hanging from the lower margin of the ear."
earlock,noun,a man who practises witchcraft; a sorcerer.
earlocks,noun,a lock of hair over or above the ear.
earls,noun,a British nobleman ranking above a viscount and below a marquess.
earmark,verb,mark the ear of (a domesticated animal) as a sign of ownership or identity.
earmark,verb,designate (funds or resources) for a particular purpose.
earmarked,verb,mark the ear of (a domesticated animal) as a sign of ownership or identity.
earmarked,verb,designate (funds or resources) for a particular purpose.
earmarking,verb,mark the ear of (a domesticated animal) as a sign of ownership or identity.
earmarking,verb,designate (funds or resources) for a particular purpose.
earmarks,verb,mark the ear of (a domesticated animal) as a sign of ownership or identity.
earmarks,verb,designate (funds or resources) for a particular purpose.
earmuff,noun,"a pair of soft fabric coverings, connected by a band across the top of the head, that are worn over the ears to protect them from cold or noise."
earmuffs,noun,"a pair of soft fabric coverings, connected by a band across the top of the head, that are worn over the ears to protect them from cold or noise."
earn,verb,obtain (money) in return for labour or services.
earn,verb,gain deservedly in return for one's behaviour or achievements.
earned,verb,obtain (money) in return for labour or services.
earned,verb,gain deservedly in return for one's behaviour or achievements.
earner,noun,a person who obtains money of a specified kind or level in return for labour or services.
earners,noun,a person who obtains money of a specified kind or level in return for labour or services.
earnest,adjective,resulting from or showing sincere and intense conviction.
earnest,noun,a thing intended or regarded as a sign or promise of what is to come.
earnestly,adverb,with sincere and intense conviction; seriously.
earnests,adjective,resulting from or showing sincere and intense conviction.
earnests,noun,a thing intended or regarded as a sign or promise of what is to come.
earning,verb,obtain (money) in return for labour or services.
earning,verb,gain deservedly in return for one's behaviour or achievements.
earnings,noun,money obtained in return for labour or services.
earns,verb,obtain (money) in return for labour or services.
earns,verb,gain deservedly in return for one's behaviour or achievements.
earphone,noun,"an electrical device worn on the ear to receive radio or telephone communications or to listen to a radio, MP3 player, etc."
earphones,noun,"an electrical device worn on the ear to receive radio or telephone communications or to listen to a radio, MP3 player, etc."
earpiece,noun,"the part of a telephone, radio receiver, or other aural device that is applied to the ear during use."
earpieces,noun,"the part of a telephone, radio receiver, or other aural device that is applied to the ear during use."
earplug,noun,"a piece of wax, rubber, or cotton wool placed in the ear as protection against noise, water, or cold air."
earplugs,noun,"a piece of wax, rubber, or cotton wool placed in the ear as protection against noise, water, or cold air."
earring,noun,a piece of jewellery worn on the lobe or edge of the ear.
earrings,noun,a piece of jewellery worn on the lobe or edge of the ear.
ears,noun,the seed-bearing head or spike of a cereal plant.
ears,noun,"the organ of hearing and balance in humans and other vertebrates, especially the external part of this."
earshot,noun,the range or distance over which one can hear or be heard.
earsplitting,adjective,extremely loud.
earth,noun,the planet on which we live; the world.
earth,noun,the substance of the land surface; soil.
earthbound,adjective,restricted to the earth.
earthen,adjective,(of a floor or structure) made of compressed earth.
earthenware,noun,pottery made of clay fired to a porous state which can be made impervious to liquids by the use of a glaze.
earthfall,noun,a collapse of a mass of earth from a mountain or cliff.
earthy,adjective,resembling or suggestive of earth or soil.
earthy,adjective,"(of a person or their language) direct and uninhibited, especially about sexual subjects or bodily functions."
earthier,adjective,resembling or suggestive of earth or soil.
earthier,adjective,"(of a person or their language) direct and uninhibited, especially about sexual subjects or bodily functions."
earthiest,adjective,resembling or suggestive of earth or soil.
earthiest,adjective,"(of a person or their language) direct and uninhibited, especially about sexual subjects or bodily functions."
earthly,adjective,relating to the earth or human life.
earthlier,adjective,relating to the earth or human life.
earthliest,adjective,happening or done before the usual or expected time.
earthliest,adjective,belonging or happening near the beginning of a particular period.
earthliest,adverb,before the usual or expected time.
earthliness,,Worldly: earthly delights; one's earthly possessions. 3. Conceivable; possible: no earthly meaning whatever. earthâ²liÂ·ness n.
earthling,noun,(in science fiction) a word used by aliens to refer to an inhabitant of the earth.
earthlings,noun,(in science fiction) a word used by aliens to refer to an inhabitant of the earth.
earthman,,Definition of EARTHMAN. : a human native or resident of the planet Earth.
earthmen,,Definition of EARTHMAN. : a human native or resident of the planet Earth.
earthquake,noun,"a sudden violent shaking of the ground, typically causing great destruction, as a result of movements within the earth's crust or volcanic action."
earthquakes,noun,"a sudden violent shaking of the ground, typically causing great destruction, as a result of movements within the earth's crust or volcanic action."
earths,noun,the substance of the land surface; soil.
earthshaking,adjective,"(in hyperbolic use) very important, shocking, or traumatic."
earthward,adverb & adjective,towards the earth.
earthwork,noun,"a large artificial bank of soil, especially one made as a defence in ancient times."
earthworks,noun,"a large artificial bank of soil, especially one made as a defence in ancient times."
earthworm,noun,"a burrowing annelid worm that lives in the soil, important in aerating and draining the soil and in burying organic matter."
