fab,verb,produce (a microchip).
fab,adjective,fabulous; wonderful.
fab,noun,a microchip manufacturing plant.
fabaceous,,"Definition of FABACEOUS. 1. : of or relating to the Leguminosae : leguminous. : relating to, like, or being a bean."
fabian,noun,"a member or supporter of the Fabian Society, an organization of socialists aiming to achieve socialism by gradual rather than revolutionary means."
fabian,noun,"a member or supporter of the Fabian Society, an organization of socialists aiming to achieve socialism by gradual rather than revolutionary means."
fable,noun,"a short story, typically with animals as characters, conveying a moral."
fable,verb,tell fictitious tales.
fabled,adjective,"famous, especially by reputation."
fabled,adjective,mythical; imaginary.
fabled,verb,tell fictitious tales.
fablers,,"Sense of ""animal story"" (early 14c.) comes from Aesop. In modern folklore terms, defined as ""a short, comic tale making a moral point about human nature, usually through animal characters behaving in human ways."" Most trace to Greece or India. fable in the Bible Expand."
fables,noun,"a short story, typically with animals as characters, conveying a moral."
fables,verb,tell fictitious tales.
fabling,verb,tell fictitious tales.
fabric,noun,cloth produced by weaving or knitting textile fibres.
fabric,noun,"the walls, floor, and roof of a building."
fabricate,verb,invent (something) in order to deceive.
fabricate,verb,"construct or manufacture (an industrial product), especially from prepared components."
fabricated,verb,invent (something) in order to deceive.
fabricated,verb,"construct or manufacture (an industrial product), especially from prepared components."
fabricates,verb,invent (something) in order to deceive.
fabricates,verb,"construct or manufacture (an industrial product), especially from prepared components."
fabricating,verb,invent (something) in order to deceive.
fabricating,verb,"construct or manufacture (an industrial product), especially from prepared components."
fabrication,noun,the action or process of manufacturing or inventing something.
fabrications,noun,the action or process of manufacturing or inventing something.
fabricator,,(plural fabricators) A person who fabricates or manufactures something; a manufacturer. A person who makes a fabrication of something; a counterfeiter or falsifier.
fabrics,noun,cloth produced by weaving or knitting textile fibres.
fabrics,noun,"the walls, floor, and roof of a building."
fabulist,noun,a person who composes or relates fables.
fabulists,noun,a person who composes or relates fables.
fabulous,adjective,"extraordinary, especially extraordinarily large."
fabulous,adjective,having no basis in reality; mythical.
fabulously,,2. Barely credible; astonishing: the fabulous endurance of a marathon runner. 3. a. Of the nature of a fable or myth; legendary.
facade,noun,"the principal front of a building, that faces on to a street or open space."
facade,noun,a deceptive outward appearance.
facades,noun,"the principal front of a building, that faces on to a street or open space."
facades,noun,a deceptive outward appearance.
face,noun,"the front part of a person's head from the forehead to the chin, or the corresponding part in an animal."
face,noun,"the surface of a thing, especially one that is presented to the view or has a particular function, in particular:"
face,noun,a person of a particular type.
face,verb,be positioned with the face or front towards (someone or something).
face,verb,confront and deal with or accept.
face,verb,cover the surface of (something) with a layer of a different material.
facecloth,noun,a small towelling cloth for washing one's face.
faced,verb,be positioned with the face or front towards (someone or something).
faced,verb,confront and deal with or accept.
faced,verb,cover the surface of (something) with a layer of a different material.
faceless,adjective,(of a person) remote and impersonal; anonymous.
facelessness,,a : lacking character or individuality : nondescript faceless masses> b : not identified : anonymous <a faceless accuser> : lacking a face. â faceÂ·lessÂ·ness noun. See faceless defined for English-language learners.
facelift,noun,a cosmetic surgical operation to remove unwanted wrinkles by tightening the skin of the face.
facelifts,noun,a cosmetic surgical operation to remove unwanted wrinkles by tightening the skin of the face.
facer,noun,a blow to the face.
facers,noun,a blow to the face.
faces,noun,"the front part of a person's head from the forehead to the chin, or the corresponding part in an animal."
faces,noun,"the surface of a thing, especially one that is presented to the view or has a particular function, in particular:"
faces,noun,a person of a particular type.
facet,noun,"one side of something many-sided, especially of a cut gem."
facet,noun,a particular aspect or feature of something.
faceted,,"a similar surface cut on a fragment of rock by the action of water, windblown sand, etc. aspect; phase: They carefully examined every facet of the argument. Architecture."
faceting,,"A facet is one side or aspect of something. If you're thinking about quitting your day job to become a circus performer, you should first consider every facet of what your new life would be like. Facet, which is related to the word face, can also refer to one of the flat âfacesâ of a diamond or other gem."
facetious,adjective,treating serious issues with deliberately inappropriate humour; flippant.
facetiously,,"Facetious is a useful word to describe something that's humorous, or meant to be humorous. If a joke falls flat, then you can back off from it by saying you're only being facetious."
facetiousness,,: joking or jesting often inappropriately : waggish facetious> : meant to be humorous or funny : not serious <a facetious remark>
facets,noun,"one side of something many-sided, especially of a cut gem."
facets,noun,a particular aspect or feature of something.
facetted,,"aspect; phase: all facets of production. 4. one of the corneal lenses of a compound arthropod eye. 5. a small, smooth, flat area on a hard surface, esp. on a bone or a tooth."
facetting,,"A facet is one side or aspect of something. If you're thinking about quitting your day job to become a circus performer, you should first consider every facet of what your new life would be like. Facet, which is related to the word face, can also refer to one of the flat âfacesâ of a diamond or other gem."
facia,noun,a board or other flat piece of material covering the ends of rafters or other fittings.
facial,adjective,of or affecting the face.
facially,,: of or relating to the face  2. : concerned with or used in improving the appearance of the face. â faÂ·cialÂ·ly \-shÉ-lÄ\ adverb. See facial defined for English-language learners.
facials,noun,a beauty treatment for the face.
facias,noun,a board or other flat piece of material covering the ends of rafters or other fittings.
facie,,"Prima facie (/ËpraÉªmÉ ËfeÉªÊÉ¨.iË/, /ËfeÉªÊÉ/, or /ËfeÉªÊiË/; from Latin: prÄ«mÄ faciÄ) is a Latin expression meaning on its first encounter or at first sight."
facile,adjective,ignoring the true complexities of an issue; superficial.
facile,adjective,"(of success, especially in sport) easily achieved."
facilely,,"a facile victory; a facile method. easy or unconstrained, as manners or persons. affable, agreeable, or complaisant; easily influenced: a facile temperament; facile people."
facilitate,verb,make (an action or process) easy or easier.
facilitated,verb,make (an action or process) easy or easier.
facilitates,verb,make (an action or process) easy or easier.
facilitating,verb,make (an action or process) easy or easier.
facilitation,noun,the action of facilitating something.
facility,noun,"a place, amenity, or piece of equipment provided for a particular purpose."
facility,noun,a natural ability to do or learn something well and easily.
facilities,noun,"a place, amenity, or piece of equipment provided for a particular purpose."
facilities,noun,a natural ability to do or learn something well and easily.
facing,noun,"a piece of material sewn on the inside of a garment, especially at the neck and armholes, to strengthen it."
facing,noun,an outer layer covering the surface of a wall.
facing,adjective,positioned so as to face.
facings,noun,"a piece of material sewn on the inside of a garment, especially at the neck and armholes, to strengthen it."
facings,noun,an outer layer covering the surface of a wall.
facinorous,adjective,extremely wicked.
facsimile,noun,"an exact copy, especially of written or printed material."
facsimile,verb,make a copy of.
facsimiles,noun,"an exact copy, especially of written or printed material."
facsimiles,verb,make a copy of.
fact,noun,a thing that is known or proved to be true.
factful,,"Factful is worth 15 points in Scrabble, and 18 points in Words with Friends. There are 7 letters in factful: A C F F L T U. Words that start with factful. Words that contain factful."
faction,combining form,in nouns of action derived from verbs ending in -fy (such as liquefaction from liquefy ).
faction,noun,"a small organized dissenting group within a larger one, especially in politics."
faction,noun,a literary and cinematic genre in which real events are used as a basis for a fictional narrative or dramatization.
factional,adjective,relating or belonging to a faction.
factionalism,,of a faction or factions. self-interested; partisan: Factional interests had obstructed justice.
factions,noun,"a small organized dissenting group within a larger one, especially in politics."
factious,adjective,relating or inclined to dissension.
factiously,,Definition of FACTIOUS. : of or relating to faction: as. a : caused by faction <factious disputes> b : inclined to faction or the formation of factions. c : seditious.
factiousness,,Definition of FACTIOUS. : of or relating to faction: as. a : caused by faction <factious disputes> b : inclined to faction or the formation of factions. c : seditious.
factitious,adjective,artificially created or developed.
factitiously,adjective,artificially created or developed.
factitiousness,,a : formed by or adapted to an artificial or conventional standard. b : produced by special effort : sham factitious demand by spreading rumors of shortage> â facÂ·tiÂ·tiousÂ·ly adverb. â facÂ·tiÂ·tiousÂ·ness noun. See factitious defined for kids.
facto,,"Something generally accepted or agreed to without any formal decision in its favor: âThey never elected him; he became their leader de facto.â From Latin, meaning âin fact.â (Compare de jure.) The American HeritageÂ® New Dictionary of Cultural Literacy, Third Edition."
factor,noun,a number or quantity that when multiplied with another produces a given number or expression.
factor,noun,"a circumstance, fact, or influence that contributes to a result."
factorage,noun,the commission or charges payable to a factor.
factory,noun,a building or group of buildings where goods are manufactured or assembled chiefly by machine.
factorial,noun,the product of an integer and all the integers below it; e.g. factorial four ( 4! ) is equal to 24.
factorials,noun,the product of an integer and all the integers below it; e.g. factorial four ( 4! ) is equal to 24.
factories,noun,a building or group of buildings where goods are manufactured or assembled chiefly by machine.
factorize,verb,(with reference to a number) resolve or be resolvable into factors.
factorized,verb,(with reference to a number) resolve or be resolvable into factors.
factors,noun,"a circumstance, fact, or influence that contributes to a result."
factors,noun,a number or quantity that when multiplied with another produces a given number or expression.
factotum,noun,an employee who does all kinds of work.
factotums,noun,an employee who does all kinds of work.
facts,noun,a thing that is known or proved to be true.
factual,adjective,concerned with what is actually the case.
factualism,,Definition of FACTUALISM. : adherence or dedication to facts. â facÂ·tuÂ·alÂ·ist \-list\ noun.
factually,,Full Definition of FACTUAL. 1. : of or relating to facts <a factual error> : restricted to or based on fact <a factual statement> â facÂ·tuÂ·alÂ·iÂ·ty \Ëfak-chÉ-Ëwa-lÉ-tÄ\ noun.
facula,noun,"a bright region on the surface of the sun, linked to the subsequent appearance of sunspots in the same area."
faculae,noun,"a bright region on the surface of the sun, linked to the subsequent appearance of sunspots in the same area."
faculty,noun,an inherent mental or physical power.
faculty,noun,a group of university departments concerned with a major division of knowledge.
faculty,noun,a licence or authorization from a Church authority.
fad,abbreviation,"flavin adenine dinucleotide, a coenzyme derived from riboflavin and important in various metabolic reactions."
fad,noun,"an intense and widely shared enthusiasm for something, especially one that is short-lived; a craze."
