i,noun,the ninth letter of the alphabet.
ia,suffix,"forming nouns adopted unchanged from Latin or Greek (such as <i>mania</i>, <i>militia</i> ), and modern Latin terms (such as <i>utopia</i> )."
iamb,noun,another term for iambus.
iambi,noun,a metrical foot consisting of one short (or unstressed) syllable followed by one long (or stressed) syllable.
iambic,adjective,of or using iambuses.
iambics,noun,iambic verse as a genre.
iambs,noun,another term for iambus.
iambus,noun,a metrical foot consisting of one short (or unstressed) syllable followed by one long (or stressed) syllable.
iambuses,noun,a metrical foot consisting of one short (or unstressed) syllable followed by one long (or stressed) syllable.
iatric,adjective,relating to a physician or to medicine; medical.
iatrogenic,adjective,relating to illness caused by medical examination or treatment.
iberian,adjective,"relating to or denoting Iberia, or the countries of Spain and Portugal."
iberians,noun,"a native of Iberia, especially in ancient times."
ibex,noun,"a wild mountain goat with long, thick ridged horns and a beard, found in parts of central Asia and in Ethiopia."
ibexes,noun,"a wild mountain goat with long, thick ridged horns and a beard, found in parts of central Asia and in Ethiopia."
ibid,adverb,in the same source (used to save space in textual references to a quoted work which has been mentioned in a previous reference).
ibidem,,"Ibid. (Latin, short for <b>ibidem</b>, meaning ""in the same place"") is the term used to provide an endnote or footnote citation or reference for a source that was cited in the preceding endnote or footnote."
ibis,noun,"a large wading bird with a long downcurved bill, long neck, and long legs."
ibises,noun,"a large wading bird with a long downcurved bill, long neck, and long legs."
ic,suffix,"forming adjectives such as <i>Islamic</i>, <i>terrific</i>."
icbm,,"An intercontinental ballistic missile (<b>ICBM</b>) is a guided ballistic missile with a minimum range of more than 5,500 kilometres (3,400 mi) primarily designed for nuclear weapons delivery (delivering one or more thermonuclear warheads)."
ice,noun,"frozen water, a brittle transparent crystalline solid."
iceberg,noun,a large floating mass of ice detached from a glacier or ice sheet and carried out to sea.
icebergs,noun,a large floating mass of ice detached from a glacier or ice sheet and carried out to sea.
iceboat,noun,"a light, wind-driven vehicle with sails and runners, used for travelling on ice."
iceboats,noun,"a light, wind-driven vehicle with sails and runners, used for travelling on ice."
icebound,adjective,completely surrounded or covered by ice.
icebox,noun,"a chilled box or cupboard for keeping something cold, especially food."
iceboxes,noun,"a chilled box or cupboard for keeping something cold, especially food."
icebreaker,noun,a ship designed for breaking a channel through ice.
icebreakers,noun,a ship designed for breaking a channel through ice.
icecap,noun,"a covering of ice over a large area, especially on the polar region of a planet."
icecaps,noun,"a covering of ice over a large area, especially on the polar region of a planet."
iced,adjective,(of a cake or biscuit) decorated with icing.
iced,adjective,(of a drink or other liquid) cooled in or containing pieces of ice.
icefall,noun,a steep part of a glacier like a frozen waterfall.
icefalls,noun,a steep part of a glacier like a frozen waterfall.
icehouse,noun,"a building for storing ice, typically one situated partly or wholly underground."
icehouses,noun,"a building for storing ice, typically one situated partly or wholly underground."
icelanders,,"<b>Iceland</b> passed to Norway in 1262 and, with Norway, to Denmark in 1380. In 1918 it became a sovereign state still nominally under the Danish king, until <b>Icelanders</b> voted for full independence in 1944. ReykjavÃ­k is the capital and the largest city. Iceâ²landÂ·er n."
icelandic,adjective,relating to Iceland or its language.
iceman,noun,a man who sells or delivers ice.
icemen,noun,a man who sells or delivers ice.
ices,,: a substance resembling <b>ice</b>; especially : the solid state of a substance usually found as a gas or liquid &lt;ammonia <b>ice</b> in the rings of Saturn&gt; 3. : a state of coldness (as from formality or reserve) 4. a : a frozen dessert containing a flavoring (as fruit juice); especially : one containing no milk or cream.
ichorous,,"(Greek myth) the fluid said to flow in the veins of the gods. (pathol) a foul-smelling watery discharge from a wound or ulcer. <b>ichorous</b>, adjective."
ichors,,<b>Definition</b> of <b>ICHOR</b>. 1. : a thin watery or blood-tinged discharge. : an ethereal fluid taking the place of blood in the veins of the ancient Greek gods.
ichthyic,adjective,fishlike.
ichthyism,,"a combining form <b>meaning</b> âfish,â used in the formation of compound words: ichthyology. Also, especially before a vowel, <b>ichthy</b>-."
ichthyoid,adjective,resembling a fish; fishlike.
ichthyology,noun,the branch of zoology that deals with fishes.
ichthyologist,,"<b>Ichthyology</b> (from Greek: á¼°ÏÎ¸ÏÏ, ikhthus, ""fish""; and Î»ÏÎ³Î¿Ï, logos, ""study""), also known as Fish Science, is the branch of biology devoted to the study of fish. This includes bony fishes (Osteichthyes), cartilaginous fish (Chondrichthyes), and jawless fish (Agnatha)."
ichthyologists,,"<b>Ichthyology</b> (from Greek: á¼°ÏÎ¸ÏÏ, ikhthus, ""fish""; and Î»ÏÎ³Î¿Ï, logos, ""study""), also known as Fish Science, is the branch of biology devoted to the study of fish. This includes bony fishes (Osteichthyes), cartilaginous fish (Chondrichthyes), and jawless fish (Agnatha)."
ichthyophagous,adjective,fish-eating.
ichthyosiform,,"<b>ichthyosis</b> ichÂ·thyÂ·oÂ·sis (Ä­k'thÄ-Å'sÄ­s) n. A congenital, often hereditary skin disease characterized by dry, thickened, scaly skin. Also called alligator skin, fish skin, fishskin disease, <b>ichthyosis</b> sauroderma."
icy,adjective,covered with or consisting of ice.
icicle,noun,"a hanging, tapering piece of ice formed by the freezing of dripping water."
icicled,,Full <b>Definition</b> of <b>ICICLE</b>. 1. : a pendent mass of ice formed by the freezing of dripping water. : an emotionally cold person. 3.
icicles,noun,"a hanging, tapering piece of ice formed by the freezing of dripping water."
icier,adjective,covered with or consisting of ice.
iciest,adjective,covered with or consisting of ice.
icing,noun,"the formation of ice on an aircraft, ship, or other vehicle, or in an engine."
icing,noun,"a mixture of sugar with water, egg white, or butter, used as a coating for cakes or biscuits."
icings,noun,"the formation of ice on an aircraft, ship, or other vehicle, or in an engine."
icings,noun,"a mixture of sugar with water, egg white, or butter, used as a coating for cakes or biscuits."
icker,,"noun, Scot. the fruit-bearing spike of any cereal plant, especially an ear of corn. Origin of <b>icker</b> Expand. Scots. Old English."
icky,adjective,unpleasantly sticky.
ickier,adjective,unpleasantly sticky.
ickiest,adjective,unpleasantly sticky.
ickle,adjective,a child's word for little (often expressing endearment).
icon,noun,a person or thing regarded as a representative symbol or as worthy of veneration.
icon,noun,"a devotional painting of Christ or another holy figure, typically executed on wood and used ceremonially in the Byzantine and other Eastern Churches."
iconic,adjective,relating to or of the nature of an icon.
iconical,,"Definition of ICONIC. 1. : of, relating to, or having the characteristics of an icon."
iconoclasm,noun,the action of attacking or assertively rejecting cherished beliefs and institutions or established values and practices.
iconoclast,noun,"a destroyer of images used in religious worship, in particular:"
iconoclast,noun,a person who attacks or criticizes cherished beliefs or institutions.
iconoclastic,adjective,criticizing or attacking cherished beliefs or institutions.
iconoclasts,noun,"a destroyer of images used in religious worship, in particular:"
iconoclasts,noun,a person who attacks or criticizes cherished beliefs or institutions.
iconolatry,noun,the worship of icons.
icons,noun,a person or thing regarded as a representative symbol or as worthy of veneration.
icons,noun,"a devotional painting of Christ or another holy figure, typically executed on wood and used ceremonially in the Byzantine and other Eastern Churches."
ictus,noun,Prosody
ictuses,noun,Prosody
id,noun,the part of the mind in which innate instinctive impulses and primary processes are manifest.
id,noun,identification; identity.
idea,noun,a thought or suggestion as to a possible course of action.
idea,noun,the aim or purpose.
ideal,adjective,satisfying one's conception of what is perfect; most suitable.
ideal,adjective,existing only in the imagination; desirable or perfect but not likely to become a reality.
ideal,noun,a person or thing regarded as perfect.
idealism,noun,the unrealistic belief in or pursuit of perfection.
idealist,noun,a person who is guided more by ideals than by practical considerations.
idealistic,adjective,characterized by idealism; unrealistically aiming for perfection.
idealistically,,"When you're idealistic, you dream of perfection, whether in yourself or other people. For example, you might have the idealistic goal of bringing an end to childhood poverty in the world. The adjective idealistic describes someone whose plans or goals of helping others are lofty, grand, and possibly unrealistic."
idealists,noun,a person who is guided more by ideals than by practical considerations.
ideality,noun,the state or quality of being ideal.
idealities,noun,the state or quality of being ideal.
idealization,,"When viewing people as all good, the individual is said to be using the defense mechanism idealization: a mental mechanism in which the person attributes exaggeratedly positive qualities to the self or others."
idealizations,,Idealization is the process by which scientific models assume facts about the phenomenon being modeled that are strictly false but make models easier to understand or solve.
idealize,verb,regard or represent as perfect or better than in reality.
idealized,verb,regard or represent as perfect or better than in reality.
idealizes,verb,regard or represent as perfect or better than in reality.
idealizing,verb,regard or represent as perfect or better than in reality.
ideally,adverb,preferably; in an ideal world.
ideally,adverb,in the best possible way; perfectly.
idealogy,noun,"a system of ideas and ideals, especially one which forms the basis of economic or political theory and policy."
idealogies,noun,"a system of ideas and ideals, especially one which forms the basis of economic or political theory and policy."
idealogue,noun,"a system of ideas and ideals, especially one which forms the basis of economic or political theory and policy."
ideals,noun,a person or thing regarded as perfect.
ideas,noun,a thought or suggestion as to a possible course of action.
ideas,noun,the aim or purpose.
ideate,verb,form an idea of; imagine or conceive.
ideated,verb,form an idea of; imagine or conceive.
ideates,verb,form an idea of; imagine or conceive.
ideation,noun,the formation of ideas or concepts.
ideational,,"Medical Definition of IDEATIONAL. : of, relating to, or produced by ideation; broadly : consisting of or referring to ideas or thoughts of objects not immediately present to the senses. âideÂ·aÂ·tionÂ·alÂ·ly \-Ä\ adverb."
ideations,noun,the formation of ideas or concepts.
idee,,Definition of IDÃE FIXE. : an idea that dominates one's mind especially for a prolonged period : obsession.
idem,adverb,used in citations to indicate an author or word that has just been mentioned.
identical,adjective,similar in every detail; exactly alike.
identically,,identical iÂ·denÂ·tiÂ·cal (Ä«-dÄn'tÄ­-kÉl) adj. Exactly equal and alike. Of or relating to a twin or twins developed from the same fertilized ovum and having the same genetic makeup and closely similar appearance; monozygotic.
identifer,noun,a person or thing that identifies someone or something.
identifers,noun,a person or thing that identifies someone or something.
identify,verb,establish or indicate who or what (someone or something) is.
identify,verb,associate someone or something closely with; regard as having strong links with.
identifiability,,"In statistics, identifiability is a property which a model must satisfy in order for precise inference to be possible. We say that the model is identifiable if it is theoretically possible to learn the true value of this model's underlying parameter after obtaining an infinite number of observations from it."
identifiable,adjective,able to be recognized; distinguishable.
identification,noun,the action or process of identifying someone or something or the fact of being identified.
identification,noun,a person's sense of identity with someone or something.
identification,noun,the association or linking of one thing with another.
identifications,noun,the action or process of identifying someone or something or the fact of being identified.
identifications,noun,a person's sense of identity with someone or something.
identifications,noun,the association or linking of one thing with another.
identified,verb,establish or indicate who or what (someone or something) is.
identified,verb,associate someone or something closely with; regard as having strong links with.
identifier,noun,a person or thing that identifies someone or something.
identifiers,noun,a person or thing that identifies someone or something.
identifies,verb,establish or indicate who or what (someone or something) is.
identifies,verb,associate someone or something closely with; regard as having strong links with.
identifying,verb,establish or indicate who or what (someone or something) is.
identifying,verb,associate someone or something closely with; regard as having strong links with.
identity,noun,the fact of being who or what a person or thing is.
identity,noun,a close similarity or affinity.
identities,noun,the fact of being who or what a person or thing is.
identities,noun,a close similarity or affinity.
ideogram,noun,a character symbolizing the idea of a thing without indicating the sounds used to say it. Examples include numerals and Chinese characters.
ideograms,noun,a character symbolizing the idea of a thing without indicating the sounds used to say it. Examples include numerals and Chinese characters.
ideograph,noun,another term for ideogram.
ideographs,noun,another term for ideogram.
ideokinetic,,"1. a form of apraxia in which simple acts are incapable of being performed, presumably because the connections between the cortical centers that control volition and the motor cortex are interrupted. Synonyms: transcortical apraxia. The definition information for ideokinetic apraxia is provided by Stedman's."
ideology,noun,"a system of ideas and ideals, especially one which forms the basis of economic or political theory and policy."
ideologic,,"The body of ideas reflecting the social needs and aspirations of an individual, a group, a class, or a culture. ideology in Culture Expand. ideology [(eye-dee-ol-uh-jee, id-ee-ol-uh-jee)] A system of beliefs or theories, usually political, held by an individual or a group."
ideological,,"Ideological is an adjective that describes political, cultural, or religious beliefs. An ideology is a body of ideas, and those who agree with the main idea of something take an ideological stand to support it."
ideologically,,"An ideology is a set of opinions or beliefs of a group or an individual. Very often ideology refers to a set of political beliefs or a set of ideas that characterize a particular culture. Capitalism, communism, socialism, and Marxism are ideologies."
ideologies,noun,"a system of ideas and ideals, especially one which forms the basis of economic or political theory and policy."
ideologist,,"A system of beliefs or theories, usually political, held by an individual or a group. Capitalism, communism, and socialism are usually called ideologies. The American HeritageÂ® New Dictionary of Cultural Literacy, Third Edition."
ideologize,,Definition of IDEOLOGIZE. transitive verb. : to give an ideological character or interpretation to; especially : to change or interpret in relation to a sociopolitical ideology often seen as biased or limited.
ideologized,,Definition of IDEOLOGIZE. transitive verb. : to give an ideological character or interpretation to; especially : to change or interpret in relation to a sociopolitical ideology often seen as biased or limited.
ideologizing,,Definition of IDEOLOGIZE. transitive verb. : to give an ideological character or interpretation to; especially : to change or interpret in relation to a sociopolitical ideology often seen as biased or limited.
ideologue,noun,"an adherent of an ideology, especially one who is uncompromising and dogmatic."
ideomotor,,Ideomotor phenomenon is a psychological phenomenon wherein a subject makes motions unconsciously.
ides,noun,"(in the ancient Roman calendar) a day falling roughly in the middle of each month (the 15th day of March, May, July, and October, and the 13th of other months) from which other dates were calculated."
idyl,noun,"an extremely happy, peaceful, or picturesque period or situation, typically an idealized or unsustainable one."
idyll,noun,"an extremely happy, peaceful, or picturesque period or situation, typically an idealized or unsustainable one."
idyllic,adjective,"like an idyll; extremely happy, peaceful, or picturesque."
idyllist,,A writer of idylls; an idyllic poet or writer; one who depicts idyllic or pastoral subjects.
idylls,noun,"an extremely happy, peaceful, or picturesque period or situation, typically an idealized or unsustainable one."
idyls,noun,"an extremely happy, peaceful, or picturesque period or situation, typically an idealized or unsustainable one."
idiocy,noun,extremely stupid behaviour.
idiocies,noun,extremely stupid behaviour.
idiogram,,Diagrammatic representation of chromosome morphology characteristic of a species or population. Synonyms: karyotype. The definition information for idiogram is provided by Stedman's. You can search our medical dictionary here.
idiolect,noun,the speech habits peculiar to a particular person.
idiom,noun,a characteristic mode of expression in music or art.
idiom,noun,"a group of words established by usage as having a meaning not deducible from those of the individual words (e.g. over the moon, see the light )."
idiomatic,adjective,"using, containing, or denoting expressions that are natural to a native speaker."
idiomatic,adjective,"appropriate to the style of art or music associated with a particular period, individual, or group."
idiomatically,,"peculiar to or characteristic of a particular language or dialect: idiomatic French. containing or using many idioms. having a distinct style or character, especially in the arts: idiomatic writing; an idiomatic composer."
idioms,noun,a characteristic mode of expression in music or art.
idioms,noun,"a group of words established by usage as having a meaning not deducible from those of the individual words (e.g. over the moon, see the light )."
idiopathy,noun,a disease or condition which arises spontaneously or for which the cause is unknown.
idiopathic,adjective,relating to or denoting any disease or condition which arises spontaneously or for which the cause is unknown.
idiosyncracy,noun,a mode of behaviour or way of thought peculiar to an individual.
idiosyncracies,noun,a mode of behaviour or way of thought peculiar to an individual.
idiosyncrasy,noun,a mode of behaviour or way of thought peculiar to an individual.
idiosyncrasies,noun,a mode of behaviour or way of thought peculiar to an individual.
idiosyncratic,adjective,relating to idiosyncrasy; peculiar or individual.
