jab,verb,"poke roughly or quickly, especially with something sharp or pointed."
jab,noun,"a quick, sharp blow, especially with the fist."
jabbed,verb,"poke roughly or quickly, especially with something sharp or pointed."
jabber,verb,"talk in a rapid, excited, and often incomprehensible way."
jabber,noun,"rapid, excited, and often incomprehensible speech."
jabbered,verb,"talk in a rapid, excited, and often incomprehensible way."
jabberer,,"Full <b>Definition</b> of JABBER. intransitive verb. : to talk rapidly, indistinctly, or unintelligibly. transitive verb. : to speak rapidly or indistinctly."
jabberers,,"v. 1650s, spelling variant of Middle English jablen (c.1400), also javeren, jaberen, probably ultimately echoic. Related: Jabbered; jabbering. The noun is 1727, from the verb. Slang definitions & phrases for <b>jabberer</b> Expand."
jabbering,verb,"talk in a rapid, excited, and often incomprehensible way."
jabbers,verb,"talk in a rapid, excited, and often incomprehensible way."
jabbing,verb,"poke roughly or quickly, especially with something sharp or pointed."
jabbingly,,Full <b>Definition</b> of JAB. transitive verb. 1. a : to pierce with or as if with a sharp object : stab. b : to poke quickly or abruptly : thrust.
jabot,noun,"an ornamental frill or ruffle on the front of a shirt or blouse, typically made of lace."
jabots,noun,"an ornamental frill or ruffle on the front of a shirt or blouse, typically made of lace."
jabs,verb,"poke roughly or quickly, especially with something sharp or pointed."
jabs,noun,"a quick, sharp blow, especially with the fist."
jacal,noun,(in Mexico and the south-western US) a thatched wattle-and-daub hut.
jacals,,<b>Definition</b> of <b>JACAL</b>. : a hut in Mexico and southwestern United States with a thatched roof and walls made of upright poles or sticks covered and chinked with mud or clay.
jacaranda,noun,"a tropical American tree which has blue trumpet-shaped flowers, fern-like leaves, and fragrant timber."
jacarandas,noun,"a tropical American tree which has blue trumpet-shaped flowers, fern-like leaves, and fragrant timber."
jacinth,noun,a reddish-orange gem variety of zircon.
jack,noun,"a device for lifting heavy objects, especially one for raising the axle of a motor vehicle off the ground so that a wheel can be changed or the underside inspected."
jackal,noun,"a slender long-legged wild dog that feeds on carrion, game, and fruit and often hunts cooperatively, found in Africa and southern Asia."
jackals,noun,"a slender long-legged wild dog that feeds on carrion, game, and fruit and often hunts cooperatively, found in Africa and southern Asia."
jackass,noun,a stupid person.
jackasses,noun,a stupid person.
jackboot,noun,a large leather military boot reaching to the knee.
jackboots,noun,a large leather military boot reaching to the knee.
jackdaw,noun,"a small grey-headed crow that typically nests in tall buildings and chimneys, noted for its inquisitiveness."
jackdaws,noun,"a small grey-headed crow that typically nests in tall buildings and chimneys, noted for its inquisitiveness."
jacked,adjective,physically or mentally stimulated from the effects of a drug or stimulant.
jackeroo,noun,a young man working on a sheep or cattle station to gain experience.
jackeroos,noun,a young man working on a sheep or cattle station to gain experience.
jacket,noun,"an outer garment extending either to the waist or the hips, typically having sleeves and a fastening down the front."
jacketed,verb,cover with a jacket.
jacketing,verb,cover with a jacket.
jackets,noun,"an outer garment extending either to the waist or the hips, typically having sleeves and a fastening down the front."
jackfish,noun,"a pike or sauger, especially the northern pike."
jackfishes,noun,"a pike or sauger, especially the northern pike."
jackhammer,noun,a portable pneumatic hammer or drill.
jackhammers,noun,a portable pneumatic hammer or drill.
jacky,noun,an Aborigine.
jackie,,"The name <b>Jackie</b> is an English baby name. In English the meaning of the name <b>Jackie</b> is: derived from John: God is gracious. During the Middle Ages, Jack was so common that it was used as a general term for 'man' or 'boy'. Famous Bearer: American actor Jack Lemmon."
jackies,noun,an Aborigine.
jacking,verb,take (something) illicitly; steal.
jackknife,noun,a large knife with a folding blade.
jackknifed,verb,move one's body into a bent or doubled-up position.
jackknifes,verb,move one's body into a bent or doubled-up position.
jackknifing,verb,move one's body into a bent or doubled-up position.
jackknives,noun,a large knife with a folding blade.
jackleg,noun,"an incompetent, unskilful, or dishonest person."
jacklegs,noun,"an incompetent, unskilful, or dishonest person."
jackpot,noun,"a large cash prize in a game or lottery, especially one that accumulates until it is won."
jackpots,noun,"a large cash prize in a game or lottery, especially one that accumulates until it is won."
jackrabbit,noun,a hare found on the prairies and steppes of North America.
jacks,noun,a toilet.
jackscrew,noun,a screw which can be turned to adjust the position of an object into which it fits.
jackscrews,noun,a screw which can be turned to adjust the position of an object into which it fits.
jacksonian,adjective,relating to or denoting a form of epilepsy in which seizures begin at one site (typically a digit or the angle of the mouth).
jackstraw,noun,another term for spillikin.
jackstraws,noun,another term for spillikin.
jacobean,adjective,relating to the reign of James I of England.
jacquard,noun,"an apparatus with perforated cards, fitted to a loom to facilitate the weaving of figured and brocaded fabrics."
jacquards,noun,"an apparatus with perforated cards, fitted to a loom to facilitate the weaving of figured and brocaded fabrics."
jacqueline,,The name <b>Jacqueline</b> is a French baby name. In French the <b>meaning of</b> the name <b>Jacqueline</b> is: Supplanter. He grasps the heel. French form of Jacob.Supplanter. Introduced into Britain in the 13th century.
jacquerie,noun,a communal uprising or revolt.
jade,noun,"a hard, typically green stone used for ornaments and implements and consisting of the minerals jadeite or nephrite."
jaded,adjective,"bored or lacking enthusiasm, typically after having had too much of something."
jadedness,,"dulled or satiated by overindulgence: a <b>jaded</b> appetite. worn out or wearied, as by overwork or overuse. dissipated:"
jadeite,noun,"a green, blue, or white mineral which is one of the forms of jade. It is a silicate of sodium, aluminium, and iron and belongs to the pyroxene group."
jadeites,noun,"a green, blue, or white mineral which is one of the forms of jade. It is a silicate of sodium, aluminium, and iron and belongs to the pyroxene group."
jades,noun,"a hard, typically green stone used for ornaments and implements and consisting of the minerals jadeite or nephrite."
jading,,"verb (used with object), verb (used without object), jaded, <b>jading</b>. to make or become dull, worn-out, or weary, as from overwork or overuse. Origin of jade<sup>2</sup> Expand. Middle English."
jadish,,<b>Definition</b> of <b>JADISH</b>. : having the qualities or characteristics of a jade.
jadishly,,<b>Definition</b> of <b>JADISH</b>. : having the qualities or characteristics of a jade. â jadÂ·ishÂ·ly adverb. â jadÂ·ishÂ·ness noun plural.
jaegars,noun,any of the smaller kinds of Arctic-breeding skuas.
jag,noun,a sharp projection.
jag,verb,"stab, pierce, or prick."
jagged,adjective,"with rough, sharp points protruding."
jagged,verb,"stab, pierce, or prick."
jaggedly,,"adjective. having ragged notches, points, or teeth; zigzag: the jagged edge of a saw; a jagged wound. having a harsh, rough, or uneven quality. Origin of jagged Expand."
jaggedness,,": having a sharply uneven edge or surface <<b>jagged</b> peaks&gt; : having a harsh, rough, or irregular quality &lt;<b>jagged</b> rhythms&gt; â jagÂ·gedÂ·ly adverb. â jagÂ·gedÂ·ness noun. See <b>jagged defined</b> for English-language learners."
jaggery,noun,a coarse dark brown sugar made in India by evaporation of the sap of palm trees.
jaggy,adjective,jagged.
jaggier,adjective,jagged.
jaggiest,adjective,jagged.
jagging,verb,"stab, pierce, or prick."
jags,,"[<b>jag</b>] /dÊÃ¦g/ a sharp projection on an edge or surface. verb (used with object), jagged, jagging. to cut or slash, especially in points or pendants along the edge; form notches, teeth, or ragged points in."
jaguar,noun,"a large heavily built cat that has a yellowish-brown coat with black spots, found mainly in the dense forests of Central and South America."
jaguars,noun,"a large heavily built cat that has a yellowish-brown coat with black spots, found mainly in the dense forests of Central and South America."
jai,exclamation,"victory! (used as an expression of praise or support, especially in political slogans)."
jay,noun,"a bird of the crow family with boldly patterned plumage, typically having blue feathers in the wings or tail."
jaycee,noun,"a member of a Junior Chamber of Commerce, a civic organization for business and community leaders."
jaycees,noun,"a member of a Junior Chamber of Commerce, a civic organization for business and community leaders."
jaygee,,"Jaygees is worth 18 points in Scrabble, and 20 points in Words with Friends. There are 7 letters in jaygees: A E E G J S Y. Words that start with jaygees. Words that contain jaygees."
jaygees,,"Jaygees is worth 18 points in Scrabble, and 20 points in Words with Friends. There are 7 letters in jaygees: A E E G J S Y. Words that start with jaygees. Words that contain jaygees."
jail,noun,a place for the confinement of people accused or convicted of a crime.
jail,verb,put (someone) in jail.
jailbait,noun,"a young woman, or young women collectively, considered in sexual terms but under the age of consent."
jailbird,noun,"a person who is or has been in prison, especially a criminal who has been jailed repeatedly."
jailbirds,noun,"a person who is or has been in prison, especially a criminal who has been jailed repeatedly."
jailbreak,noun,an escape from jail.
jailbreaker,,"<b>Jailbreaking</b> is the process of removing hardware restrictions imposed by iOS, Apple's operating system, on devices running it through the use of software exploits; such devices include the iPhone, iPod touch, iPad, and second-generation Apple TV."
jailbreaks,noun,an escape from jail.
jailed,verb,put (someone) in jail.
jailer,noun,a person in charge of a jail or of the prisoners in it.
jailers,noun,a person in charge of a jail or of the prisoners in it.
jailhouse,noun,a prison.
jailing,verb,put (someone) in jail.
jailor,noun,a person in charge of a jail or of the prisoners in it.
jails,noun,a place for the confinement of people accused or convicted of a crime.
jails,verb,put (someone) in jail.
jays,noun,"a bird of the crow family with boldly patterned plumage, typically having blue feathers in the wings or tail."
jayvees,,jayvee. [jÄâ²vÄâ²] noun. The definition of a jayvee is a person playing on a junior varsity sports team. An example of a jayvee is a freshman who just started playing high school football on the junior varsity team.
jaywalk,verb,cross or walk in the street or road unlawfully or without regard for approaching traffic.
jaywalked,verb,cross or walk in the street or road unlawfully or without regard for approaching traffic.
jaywalker,,Jaywalking occurs when a pedestrian crosses a roadway where regulations do not permit doing so. Examples include a pedestrian crossing between intersections without yielding to drivers and starting to cross a crosswalk at a signalized intersection without waiting for a permissive indication to be displayed.
jaywalkers,,Jaywalking occurs when a pedestrian crosses a roadway where regulations do not permit doing so. Examples include a pedestrian crossing between intersections without yielding to drivers and starting to cross a crosswalk at a signalized intersection without waiting for a permissive indication to be displayed.
jaywalking,verb,cross or walk in the street or road unlawfully or without regard for approaching traffic.
jaywalks,verb,cross or walk in the street or road unlawfully or without regard for approaching traffic.
jake,adjective,all right; satisfactory.
jakes,noun,"a toilet, especially an outdoor one."
jalap,noun,a purgative drug obtained chiefly from the tuberous roots of a Mexican climbing plant.
jalopy,noun,an old car in a dilapidated condition.
jalopies,noun,an old car in a dilapidated condition.
jaloppy,noun,an old car in a dilapidated condition.
jalousie,noun,a blind or shutter made of a row of angled slats.
jalousies,noun,a blind or shutter made of a row of angled slats.
jam,verb,squeeze or pack tightly into a specified space.
jam,verb,become or make unable to move or work due to a part seizing up or becoming stuck.
jamb,noun,"a side post or surface of a doorway, window, or fireplace."
jambed,,"a vertical side member of a doorframe, window frame, or lining. a vertical inside face of an opening in a wall. C14: from Old French jambe leg, jamb, from Late Latin gamba hoof, hock, from Greek kampÄ joint. Word Origin and History for <b>jambed</b> Expand."
jambing,,"<b>Jambing</b> is worth 19 points in Scrabble, and 25 points in Words with Friends. There are 7 letters in <b>jambing</b>: A B G I J M N. Words that start with <b>jambing</b>. Words that contain <b>jambing</b>."
jamboree,noun,"a large celebration or party, typically a lavish and boisterous one."
jamboree,noun,a large rally of Scouts or Guides.
jamborees,noun,"a large celebration or party, typically a lavish and boisterous one."
jamborees,noun,a large rally of Scouts or Guides.
jambs,noun,"a side post or surface of a doorway, window, or fireplace."
james,,"<b>Definition</b> of <b>JAMES</b>. 1. : an apostle, son of Zebedee, and brother of the apostle John according to the Gospel accounts. 2. : an apostle and son of Alphaeus according to the Gospel accounts âcalled also <b>James</b> the Less."
jammed,verb,squeeze or pack tightly into a specified space.
jammed,verb,become or make unable to move or work due to a part seizing up or becoming stuck.
jammer,,"(1) In cellphone terminology, a <b>jammer</b> is a device that blocks transmissions by creating interference. The <b>jammer</b> emits signals in the same frequency range that cell phones uses, and within the range of a <b>jammer</b> a cellphone user may lose their signal."
jammers,,"(1) In cellphone terminology, a <b>jammer</b> is a device that blocks transmissions by creating interference. The <b>jammer</b> emits signals in the same frequency range that cell phones uses, and within the range of a <b>jammer</b> a cellphone user may lose their signal."
