k,noun,the eleventh letter of the alphabet.
ka,noun,"(in ancient Egypt) the supposed spiritual part of an individual human being or god, which survived (with the soul) after death and could reside in a statue of the person."
kabbala,noun,"the ancient Jewish tradition of mystical interpretation of the Bible, first transmitted orally and using esoteric methods (including ciphers). It reached the height of its influence in the later Middle Ages and remains significant in Hasidism."
kabbalah,noun,"the ancient Jewish tradition of mystical interpretation of the Bible, first transmitted orally and using esoteric methods (including ciphers). It reached the height of its influence in the later Middle Ages and remains significant in Hasidism."
kabbalah,noun,"the ancient Jewish tradition of mystical interpretation of the Bible, first transmitted orally and using esoteric methods (including ciphers). It reached the height of its influence in the later Middle Ages and remains significant in Hasidism."
kabbalahs,noun,"the ancient Jewish tradition of mystical interpretation of the Bible, first transmitted orally and using esoteric methods (including ciphers). It reached the height of its influence in the later Middle Ages and remains significant in Hasidism."
kabbalas,noun,"the ancient Jewish tradition of mystical interpretation of the Bible, first transmitted orally and using esoteric methods (including ciphers). It reached the height of its influence in the later Middle Ages and remains significant in Hasidism."
kabob,noun,"a dish of pieces of meat, fish, or vegetables roasted or grilled on a skewer or spit."
kabobs,noun,"a dish of pieces of meat, fish, or vegetables roasted or grilled on a skewer or spit."
kabuki,noun,"a form of traditional Japanese drama with highly stylized song, mime, and dance, now performed only by male actors, using exaggerated gestures and body movements to express emotions, and including historical plays, domestic dramas, and dance pieces."
kachina,noun,a deified ancestral spirit in the mythology of Pueblo Indians.
kachinas,noun,a deified ancestral spirit in the mythology of Pueblo Indians.
kaddish,noun,"an ancient Jewish prayer sequence regularly recited in the synagogue service, including thanksgiving and praise and concluding with a prayer for universal peace."
kaddishes,noun,"an ancient Jewish prayer sequence regularly recited in the synagogue service, including thanksgiving and praise and concluding with a prayer for universal peace."
kadis,noun,(in Islamic countries) a judge.
kadish,noun,"an ancient Jewish prayer sequence regularly recited in the synagogue service, including thanksgiving and praise and concluding with a prayer for universal peace."
kaffir,noun,an insulting and contemptuous term for a black African.
kaffirs,noun,an insulting and contemptuous term for a black African.
kafir,noun,a person who is not a Muslim (used chiefly by Muslims).
kafirs,noun,a member of a people of the Hindu Kush mountains of NE Afghanistan.
kaftan,noun,"a man's long belted tunic, worn in countries of the Near East."
kaftans,noun,"a man's long belted tunic, worn in countries of the Near East."
