ma,,"MA means ""Mom alert"" or ""Master of Arts"" So now you know - MA means ""Mom alert"" or ""Master of Arts"" - don't thank us. YW! What does MA mean? MA is an acronym, abbreviation or slang word that is explained above where the MA definition is given."
ma,noun,one's mother.
maar,noun,"a broad, shallow crater, typically filled by a lake, formed by a volcanic eruption with little lava."
mac,noun,a mackintosh.
macabre,adjective,disturbing because concerned with or causing a fear of death.
macadam,noun,"broken stone of even size, bound with tar or bitumen and used in successively compacted layers for surfacing roads and paths."
macadamize,,Definition of MACADAMIZE. transitive verb. : to construct or finish (a road) by compacting into a solid mass a layer of small broken stone on a convex well-drained roadbed and using a binder (as cement or asphalt) for the mass.
macadamized,adjective,covered with macadam.
macadamizes,adjective,covered with macadam.
macadamizing,,Definition of MACADAMIZE. transitive verb. : to construct or finish (a road) by compacting into a solid mass a layer of small broken stone on a convex well-drained roadbed and using a binder (as cement or asphalt) for the mass.
macadams,,Macadam is a type of road construction pioneered by Scottish engineer John Loudon McAdam around 1820.
macaque,noun,"a medium-sized, chiefly forest-dwelling Old World monkey which has a long face and cheek pouches for holding food."
macaques,noun,"a medium-sized, chiefly forest-dwelling Old World monkey which has a long face and cheek pouches for holding food."
macaroni,noun,pasta in the shape of narrow tubes.
macaroons,noun,"a light biscuit made with egg white, sugar, and ground almonds or coconut."
macaw,noun,"a large long-tailed parrot with brightly coloured plumage, native to Central and South America."
macaws,noun,"a large long-tailed parrot with brightly coloured plumage, native to Central and South America."
mace,noun,"a staff of office, especially that which lies on the table in the House of Commons when the Speaker is in the chair, regarded as a symbol of the authority of the House."
maced,verb,spray (someone) with Mace.
macedonian,noun,a native or inhabitant of the republic of Macedonia.
macedonians,noun,a native or inhabitant of the republic of Macedonia.
macer,noun,(in Scotland) an official who keeps order in a law court.
macerate,verb,(especially with reference to food) soften or become softened by soaking in a liquid.
macerated,verb,(especially with reference to food) soften or become softened by soaking in a liquid.
macerater,,"verb (used with object), macerated, macerating. to soften or separate into parts by steeping in a liquid. to soften or decompose (food) by the action of a solvent."
macerates,verb,(especially with reference to food) soften or become softened by soaking in a liquid.
macerating,verb,(especially with reference to food) soften or become softened by soaking in a liquid.
maceration,,"Softening by the action of a liquid. 2. Softening of tissues after death by nonputrefactive (sterile) autolysis; seen especially in the stillborn, with detachment of the epidermis. The definition information for maceration is provided by Stedman's."
macerator,,"verb (used with object), macerated, macerating. to soften or separate into parts by steeping in a liquid. to soften or decompose (food) by the action of a solvent."
macerators,,"verb (used with object), macerated, macerating. to soften or separate into parts by steeping in a liquid. to soften or decompose (food) by the action of a solvent."
macers,noun,(in Scotland) an official who keeps order in a law court.
maces,verb,spray (someone) with Mace.
mach,noun,"the ratio of the speed of a body to the speed of sound in the surrounding medium. It is often used with a numeral (as Mach 1, Mach 2, etc.) to indicate the speed of sound, twice the speed of sound, etc."
machete,noun,"a broad, heavy knife used as an implement or weapon, originating in Central America and the Caribbean."
machetes,noun,"a broad, heavy knife used as an implement or weapon, originating in Central America and the Caribbean."
machiavellian,noun,a person who schemes in a Machiavellian way.
machiavellian,adjective,"cunning, scheming, and unscrupulous, especially in politics."
machiavellian,noun,a person who schemes in a Machiavellian way.
machiavellian,adjective,"cunning, scheming, and unscrupulous, especially in politics."
machiavellianism,,"Machiavellianism is ""the employment of cunning and duplicity in statecraft or in general conduct"". The word comes from the Italian Renaissance diplomat and writer NiccolÃ² Machiavelli, who wrote Il Principe (The Prince), among other works."
machiavellians,noun,a person who schemes in a Machiavellian way.
machicolation,noun,"(in medieval fortifications) an opening between the supporting corbels of a projecting parapet or the vault of a gate, through which stones or burning objects could be dropped on attackers."
machicolations,noun,"(in medieval fortifications) an opening between the supporting corbels of a projecting parapet or the vault of a gate, through which stones or burning objects could be dropped on attackers."
machina,,Full Definition of DEUS EX MACHINA. 1. : a god introduced by means of a crane in ancient Greek and Roman drama to decide the final outcome. : a person or thing (as in fiction or drama) that appears or is introduced suddenly and unexpectedly and provides a contrived solution to an apparently insoluble difficulty.
machinability,,"The machinability of a material can be defined as the ease with which it can be machined. This depends on the physical properties of the material, as well as on the cutting conditions."
machinable,adjective,(of a material) able to be worked by a machine tool.
machinate,verb,engage in plots; scheme.
machinated,verb,engage in plots; scheme.
machination,noun,a plot or scheme.
machinations,noun,a plot or scheme.
machinator,,Definition of MACHINATION. 1. : an act of machinating. : a scheming or crafty action or artful design intended to accomplish some usually evil end <backstage machinations â¦
machine,noun,"an apparatus using mechanical power and having several parts, each with a definite function and together performing a particular task."
machine,verb,make or operate on with a machine.
machined,verb,make or operate on with a machine.
machinelike,,Definition of MACHINELIKE. : resembling or suggesting a machine especially in regularity of action or stereotyped uniformity of product.
machinery,noun,machines collectively.
machineries,noun,machines collectively.
machines,noun,"an apparatus using mechanical power and having several parts, each with a definite function and together performing a particular task."
machines,verb,make or operate on with a machine.
machining,verb,make or operate on with a machine.
machinist,noun,"a person who operates a machine, especially a machine tool or a sewing machine."
machinists,noun,"a person who operates a machine, especially a machine tool or a sewing machine."
machinized,verb,introduce machines or automatic devices into (a process or place).
machismo,noun,strong or aggressive masculine pride.
machismos,,Full Definition of MACHISMO. 1. : a strong sense of masculine pride : an exaggerated masculinity. : an exaggerated or exhilarating sense of power or strength.
macho,noun,"a relatively dark, dense object, such as a brown dwarf, a low-mass star, or a black hole, of a kind believed to occur in a halo around a galaxy and to contain a significant proportion of the galaxy's mass."
macho,adjective,masculine in an overly assertive or aggressive way.
macho,noun,a man who is aggressively proud of his masculinity.
machos,noun,"a relatively dark, dense object, such as a brown dwarf, a low-mass star, or a black hole, of a kind believed to occur in a halo around a galaxy and to contain a significant proportion of the galaxy's mass."
machree,,"(postpositive) (Irish) my dear: mother machree. from Irish mo croidhe. Word Origin and History for machree Expand. Irish expression, 1829, from Irish-Gaelic mo chroidhe ""(of) my heart,"" hence ""my dear!"""
machs,,"In fluid dynamics, the Mach number (M or Ma) (/mÉËx/; German: [maÏ]) is a dimensionless quantity representing the ratio of flow velocity past a boundary to the local speed of sound."
macilent,adjective,(of a person or animal) thin; lean.
macing,verb,spray (someone) with Mace.
macintosh,noun,a full-length waterproof coat.
macintoshes,noun,a full-length waterproof coat.
mack,noun,a mackintosh.
mackerel,noun,"a predatory marine fish with a greenish-blue back, important as a food fish."
mackerels,noun,"a predatory marine fish with a greenish-blue back, important as a food fish."
mackinaw,noun,"a short coat or jacket made of a thick woollen cloth, typically with a plaid design."
mackinaws,noun,"a short coat or jacket made of a thick woollen cloth, typically with a plaid design."
mackintosh,noun,a full-length waterproof coat.
mackintoshes,noun,a full-length waterproof coat.
macks,noun,a mackintosh.
macle,noun,a diamond or other crystal that is twinned.
macrame,noun,the art of knotting string in patterns to make decorative articles.
macrames,,Full Definition of MACRAMÃ : a coarse lace or fringe made by knotting threads or cords in a geometrical pattern; also : the art of tying knots in patterns.
macrobiotic,adjective,consisting of or relating to a diet of organic wholefoods which is based on Buddhist principles of the balance of yin and yang.
macrobiotics,noun,the use or theory of a macrobiotic diet.
macrocephaly,,Macrocephaly is not a condition in itself. It is a symptom of other conditions. Benign familial macrocephaly is an inherited condition in which a family is predisposed to having a larger head circumference.
macrocephalic,adjective,having an unusually large head.
macrocephalous,adjective,having an unusually large head.
macrocyte,,"Macrocytosis is the enlargement of red blood cells with near-constant hemoglobin concentration, and is defined by a mean corpuscular volume (MCV) of greater than 100 femtolitres (the precise criterion varies between laboratories)."
macrocosm,noun,"the whole of a complex structure, especially the world or the universe, contrasted with a small or representative part of it."
macrocosmic,,"macrocosm definition. A representation of something on a much larger scale. (Compare microcosm.) The American HeritageÂ® New Dictionary of Cultural Literacy, Third Edition. Copyright Â© 2005 by Houghton Mifflin Company."
macrocosms,noun,"the whole of a complex structure, especially the world or the universe, contrasted with a small or representative part of it."
macroeconomic,,"DEFINITION of 'Macroeconomics' The field of economics that studies the behavior of the aggregate economy. Macroeconomics examines economy-wide phenomena such as changes in unemployment, national income, rate of growth, gross domestic product, inflation and price levels."
macroeconomics,noun,"the branch of economics concerned with large-scale or general economic factors, such as interest rates and national productivity."
macromania,,Medical Definition of MACROMANIA. : a delusion that things (as parts of one's body) are larger than they really are. âmacÂ·roÂ·maÂ·niÂ·aÂ·cal \-mÉ-ËnÄ«-É-kÉl\ adjective.
macromolecule,noun,"a molecule containing a very large number of atoms, such as a protein, nucleic acid, or synthetic polymer."
macron,noun,"a written or printed mark (Â¯) used to indicate a long vowel in some languages, or a stressed vowel in verse."
macrons,noun,"a written or printed mark (Â¯) used to indicate a long vowel in some languages, or a stressed vowel in verse."
macrophotography,noun,photography producing photographs of small items larger than life size.
macroscopic,adjective,visible to the naked eye; not microscopic.
macroscopical,,"Medical Definition of MACROSCOPIC. : large enough to be observed by the naked eyeâcompare microscopic 2, submicroscopic, ultramicroscopic 1. âmacÂ·roÂ·scopÂ·iÂ·calÂ·ly \-i-k(É-)lÄ\ adverb."
