na,adverb,"Scottish form of not, used after an auxiliary verb."
naam,noun,a name.
nab,verb,catch (someone) doing something wrong.
nabbed,verb,catch (someone) doing something wrong.
nabbing,verb,catch (someone) doing something wrong.
nabs,verb,catch (someone) doing something wrong.
nacelle,noun,"a streamlined casing on the outside of an aircraft or motor vehicle, especially one housing an aircraft engine."
nacelles,noun,"a streamlined casing on the outside of an aircraft or motor vehicle, especially one housing an aircraft engine."
nacre,noun,mother-of-pearl.
nacreous,,"Definition of NACREOUS. : possessing the qualities of, consisting of, or abounding in nacre; also : iridescent."
nacres,,"Nacre (/ËneÉªkÉr/ NAY-kÉr also /ËnÃ¦krÉ/ NAK-rÉ), also known as mother of pearl, is an organic-inorganic composite material produced by some mollusks as an inner shell layer; it also makes up the outer coating of pearls. It is strong, resilient, and iridescent."
nada,pronoun,nothing.
nadir,noun,the lowest or most unsuccessful point in a situation.
nadirs,noun,the lowest or most unsuccessful point in a situation.
nae,"determiner, exclamation, adverb, & noun",Scottish form of no.
naevus,noun,"a birthmark or a mole on the skin, especially a birthmark in the form of a raised red patch."
nag,verb,harass (someone) constantly to do something that they are averse to.
nag,noun,a person who nags someone to do something.
nag,noun,"a horse, especially one that is old or in poor health."
nagged,verb,harass (someone) constantly to do something that they are averse to.
nagging,adjective,(of a person) constantly harassing someone to do something.
nags,noun,a person who nags someone to do something.
nags,verb,harass (someone) constantly to do something that they are averse to.
nags,noun,"a horse, especially one that is old or in poor health."
nahuatl,noun,"a member of a group of peoples native to southern Mexico and Central America, including the Aztecs."
nahuatls,noun,"a member of a group of peoples native to southern Mexico and Central America, including the Aztecs."
nay,adverb,or rather (used to emphasize a more appropriate word than one just used).
naiad,noun,"(in classical mythology) a water nymph said to inhabit a river, spring, or waterfall."
naiades,noun,"(in classical mythology) a water nymph said to inhabit a river, spring, or waterfall."
naiads,noun,"(in classical mythology) a water nymph said to inhabit a river, spring, or waterfall."
naif,adjective,naive or ingenuous.
naifs,noun,a naive or ingenuous person.
nail,noun,"a medieval measure of length for cloth, equal to 2 1/4 inches."
nail,noun,a horny covering on the upper surface of the tip of the finger and toe in humans and other primates.
nail,noun,"a small metal spike with a broadened flat head, driven into wood to join things together or to serve as a hook."
nailed,verb,fasten with a nail or nails.
nailhead,noun,"an ornament like the head of a nail, used chiefly in architecture and on clothing."
nailheads,noun,"an ornament like the head of a nail, used chiefly in architecture and on clothing."
nailing,verb,fasten with a nail or nails.
nails,noun,"a medieval measure of length for cloth, equal to 2 1/4 inches."
nails,noun,a horny covering on the upper surface of the tip of the finger and toe in humans and other primates.
nails,noun,"a small metal spike with a broadened flat head, driven into wood to join things together or to serve as a hook."
nailset,noun,a tool hit with a hammer to sink the head of a nail below a surface.
nailsets,noun,a tool hit with a hammer to sink the head of a nail below a surface.
nainsook,noun,"a fine, soft cotton fabric, originally from South Asia."
nays,noun,a negative answer.
naive,adjective,"(of a person or action) showing a lack of experience, wisdom, or judgement."
naively,,"having or showing unaffected simplicity of nature or absence of artificiality; unsophisticated; ingenuous. having or showing a lack of experience, judgment, or information; credulous: She's so naive she believes everything she reads."
naiveness,,"adjective. having or showing unaffected simplicity of nature or absence of artificiality; unsophisticated; ingenuous. having or showing a lack of experience, judgment, or information; credulous: She's so naive she believes everything she reads."
naivest,adjective,"(of a person or action) showing a lack of experience, wisdom, or judgement."
naivete,noun,"lack of experience, wisdom, or judgement."
naivetes,noun,"lack of experience, wisdom, or judgement."
naivety,noun,"lack of experience, wisdom, or judgement."
naiveties,noun,"lack of experience, wisdom, or judgement."
naked,adjective,(of a person or part of the body) without clothes.
naked,adjective,(especially of feelings or behaviour) expressed openly; undisguised.
nakedly,,Full Definition of NAKED. 1. : not covered by clothing : nude. 2. : devoid of customary or natural covering : bare: as.
nakedness,noun,the state or fact of being naked.
nam,,"Nam is worth 5 points in Scrabble, and 7 points in Words with Friends. There are 3 letters in nam: A M N."
namable,,Definition of NAMEABLE. 1. : worthy of being named : memorable. : capable of being named : identifiable.
name,noun,(in the UK) an insurance underwriter belonging to a Lloyd's syndicate.
name,noun,"a word or set of words by which a person or thing is known, addressed, or referred to."
name,noun,a famous person.
name,verb,give a name to.
name,verb,"specify (a sum, time, or place) as something desired, suggested, or decided on."
name,adjective,(of a person or product) having a well-known name.
nameable,,Definition of NAMEABLE. 1. : worthy of being named : memorable. : capable of being named : identifiable.
named,verb,give a name to.
named,verb,"specify (a sum, time, or place) as something desired, suggested, or decided on."
nameless,adjective,having no name or no known name.
nameless,adjective,(especially of an emotion) not easy to describe; indefinable.
namelessly,,"Full Definition of NAMELESS. 1. : obscure, undistinguished. 2. : not known by name : anonymous."
namely,adverb,that is to say; to be specific (used to introduce detailed information or a specific example).
