oaf,noun,a man who is rough or clumsy and unintelligent.
oafish,adjective,rough or clumsy and unintelligent.
oafs,noun,a man who is rough or clumsy and unintelligent.
oak,noun,"a large tree which bears acorns and typically has lobed deciduous leaves. Oaks are dominant in many north temperate forests and are an important source of durable timber used in building, furniture, and (formerly) ships."
oaken,,A rustic oaken door. Licensed from iStockPhoto. adjective. The definition of oaken is something made from the oak tree wood. An example of oaken is an oak dining table; an oaken table.
oaks,noun,"a large tree which bears acorns and typically has lobed deciduous leaves. Oaks are dominant in many north temperate forests and are an important source of durable timber used in building, furniture, and (formerly) ships."
oakum,noun,"loose fibre obtained by untwisting old rope, used especially in caulking wooden ships."
oakums,,Definition of OAKUM. : loosely twisted hemp or jute fiber impregnated with tar or a tar derivative and used in caulking seams and packing joints.
oar,noun,"a pole with a flat blade, used to row or steer a boat through the water."
oared,verb,propel with or as if with oars; row.
oaring,verb,propel with or as if with oars; row.
oarlock,noun,a rowlock.
oarlocks,noun,a rowlock.
oars,noun,"a pole with a flat blade, used to row or steer a boat through the water."
oarsman,noun,"a rower, especially as a member of a racing team."
oarsmanship,,Full Definition of OARSMAN. : one who rows especially in a racing crew. â oarsÂ·manÂ·ship \-Ëship\ noun.
oarsmen,noun,"a rower, especially as a member of a racing team."
oases,noun,"a fertile spot in a desert, where water is found."
oasis,noun,"a fertile spot in a desert, where water is found."
oasts,noun,a kiln used for drying hops.
oat,noun,"an Old World cereal plant with a loose, branched cluster of florets, cultivated in cool climates and widely used for animal feed."
oatcake,noun,"a thin savoury oatmeal biscuit, traditionally made in Scotland."
oatcakes,noun,"a thin savoury oatmeal biscuit, traditionally made in Scotland."
oaten,,"<b>Definition</b> of <b>OATEN</b>. : of or relating to oats, oat straw, or oatmeal."
oater,noun,a western film.
oaters,noun,a western film.
oath,noun,"a solemn promise, often invoking a divine witness, regarding one's future action or behaviour."
oath,noun,a profane or offensive expression used to express anger or other strong emotions.
oaths,noun,"a solemn promise, often invoking a divine witness, regarding one's future action or behaviour."
oaths,noun,a profane or offensive expression used to express anger or other strong emotions.
oatmeal,noun,"meal made from ground oats, used in porridge, oatcakes, or other food."
oatmeals,,"<b>Oatmeal</b> is oat groats (i.e. grains) that have been ground, steel-cut, crushed, or rolled. Ground oats are also called 'white oats'. The term '<b>oatmeal</b>' is also used in the U.S. and parts of Canada to mean oat porridge."
oats,noun,"an Old World cereal plant with a loose, branched cluster of florets, cultivated in cool climates and widely used for animal feed."
ob,prefix,denoting exposure or openness.
obbligati,noun,"an instrumental part, typically distinctive in effect, which is integral to a piece of music and should not be omitted in performance."
obbligato,noun,"an instrumental part, typically distinctive in effect, which is integral to a piece of music and should not be omitted in performance."
obbligatos,noun,"an instrumental part, typically distinctive in effect, which is integral to a piece of music and should not be omitted in performance."
obduction,noun,the sideways and upwards movement of the edge of a crustal plate over the margin of an adjacent plate.
obduracy,,Full <b>Definition</b> of <b>OBDURATE</b>. 1. a : stubbornly persistent in wrongdoing. b : hardened in feelings. 2.
obduracies,,Full <b>Definition</b> of <b>OBDURATE</b>. 1. a : stubbornly persistent in wrongdoing. b : hardened in feelings. 2.
obdurate,adjective,stubbornly refusing to change one's opinion or course of action.
obdurated,adjective,stubbornly refusing to change one's opinion or course of action.
obdurately,,Full <b>Definition</b> of <b>OBDURATE</b>. 1. a : stubbornly persistent in wrongdoing. b : hardened in feelings.
obdurateness,,Full <b>Definition</b> of <b>OBDURATE</b>. 1. a : stubbornly persistent in wrongdoing. b : hardened in feelings. 2.
obdurating,adjective,stubbornly refusing to change one's opinion or course of action.
obduration,,Full <b>Definition</b> of <b>OBDURATE</b>. 1. a : stubbornly persistent in wrongdoing. b : hardened in feelings. 2.
obeah,noun,a kind of sorcery practised especially in the Caribbean.
obeahisms,,"<b>Obeahism</b> is worth 15 points in Scrabble, and 16 points in Words with Friends. There are 8 letters in <b>obeahism</b>: A B E H I M O S."
obeahs,,<b>Definition</b> of <b>OBEAH</b>. : a system of belief among blacks chiefly of the British West Indies and the Guianas that is characterized by the use of magic ritual to ward off misfortune or to cause harm.
obedience,noun,"compliance with an order, request, or law or submission to another's authority."
obedient,adjective,complying or willing to comply with an order or request; submissive to another's authority.
obediently,,Full <b>Definition</b> of <b>OBEDIENT</b>. : submissive to the restraint or command of authority : willing to obey. â obeÂ·diÂ·entÂ·ly adverb. See <b>obedient defined</b> for English-language learners. See <b>obedient defined</b> for kids.
obey,verb,submit to the authority of (someone) or comply with (a law).
obeyable,,<b>Definition</b> of â<b>obeyable</b>â Collins English <b>Dictionary</b>. <b>obeyable</b>.
obeyed,verb,submit to the authority of (someone) or comply with (a law).
obeying,verb,submit to the authority of (someone) or comply with (a law).
obeys,verb,submit to the authority of (someone) or comply with (a law).
obeisance,noun,deferential respect.
obeisances,noun,deferential respect.
obeisant,,"a movement of the body expressing deep respect or deferential courtesy, as before a superior; a bow, curtsy, or other similar gesture. deference or homage: The nobles gave obeisance to the new king."
obelisk,noun,"a tapering stone pillar, typically having a square or rectangular cross section, set up as a monument or landmark."
obelisks,noun,"a tapering stone pillar, typically having a square or rectangular cross section, set up as a monument or landmark."
obese,adjective,grossly fat or overweight.
obesity,noun,the state of being grossly fat or overweight.
obesities,,Body mass index (BMI) is a simple index of weight-for-height that is commonly used to classify overweight and <b>obesity</b> in adults. It is <b>defined</b> as a person's weight in kilograms divided by the square of his height in meters (kg/m<sup>2</sup>). The WHO <b>definition</b> is: a BMI greater than or equal to 25 is overweight.
obfuscate,verb,"make obscure, unclear, or unintelligible."
obfuscated,verb,"make obscure, unclear, or unintelligible."
obfuscates,verb,"make obscure, unclear, or unintelligible."
obfuscating,verb,"make obscure, unclear, or unintelligible."
obfuscation,,transitive verb. 1. a : darken. b : to make obscure <<b>obfuscate</b> the issue&gt;
obfuscator,,"In software development, obfuscation is the deliberate act of creating obfuscated code, i.e. source or machine code that is difficult for humans to understand."
obfuscators,,"intransitive verb. : to be evasive, unclear, or confusing. â obÂ·fusÂ·caÂ·tion \ËÃ¤b-(Ë)fÉs-ËkÄ-shÉn\ noun. â obÂ·fusÂ·caÂ·toÂ·ry \Ã¤b-ËfÉs-kÉ-ËtÈ¯r-Ä, Éb-\ adjective. See obfuscate <b>defined</b> for English-language learners."
obi,noun,a broad sash worn round the waist of a Japanese kimono.
obis,noun,a broad sash worn round the waist of a Japanese kimono.
obit,noun,an obituary.
obiter,adverb & adjective,(chiefly in legal contexts) made or said in passing.
obits,noun,an obituary.
obituary,noun,"a notice of a death, especially in a newspaper, typically including a brief biography of the deceased person."
obituaries,noun,"a notice of a death, especially in a newspaper, typically including a brief biography of the deceased person."
object,noun,a material thing that can be seen and touched.
object,noun,a person or thing to which a specified action or feeling is directed.
objected,verb,say something to express one's disapproval of or disagreement with something.
objecting,verb,say something to express one's disapproval of or disagreement with something.
objection,noun,an expression or feeling of disapproval or opposition; a reason for disagreeing.
objectionability,,"objectionable - causing disapproval or protest; ""a vulgar and objectionable person"" obnoxious. offensive - unpleasant or disgusting especially to the senses; ""offensive odors"" 2."
objectionable,adjective,arousing distaste or opposition; unpleasant or offensive.
objectional,adjective,arousing distaste or opposition; unpleasant or offensive.
objections,noun,an expression or feeling of disapproval or opposition; a reason for disagreeing.
objective,adjective,(of a person or their judgement) not influenced by personal feelings or opinions in considering and representing facts.
objectively,,"not influenced by personal feelings, interpretations, or prejudice; based on facts; unbiased: an <b>objective</b> opinion. 6. intent upon or dealing with things external to the mind rather than with thoughts or feelings, as a person or a book."
objectiveness,,"adjective. being the object or goal of one's efforts or actions. 5. not influenced by personal feelings, interpretations, or prejudice; based on facts; unbiased: an <b>objective</b> opinion."
objectives,noun,a thing aimed at or sought; a goal.
objectivity,noun,the quality of being objective.
objector,,Full <b>Definition</b> of CONSCIENTIOUS <b>OBJECTOR</b>. : a person who refuses to serve in the armed forces or bear arms on moral or religious grounds. See conscientious <b>objector defined</b> for English-language learners. See conscientious <b>objector defined</b> for kids.
objectors,,Full <b>Definition</b> of CONSCIENTIOUS <b>OBJECTOR</b>. : a person who refuses to serve in the armed forces or bear arms on moral or religious grounds. See conscientious <b>objector defined</b> for English-language learners.
objects,noun,a material thing that can be seen and touched.
objects,noun,a person or thing to which a specified action or feeling is directed.
objet,noun,an object displayed or intended for display as an ornament.
objurgate,verb,rebuke severely; scold.
objurgated,verb,rebuke severely; scold.
objurgates,verb,rebuke severely; scold.
objurgating,verb,rebuke severely; scold.
oblate,adjective,(of a spheroid) flattened at the poles.
oblately,adjective,(of a spheroid) flattened at the poles.
oblates,noun,"a person who is dedicated to a religious life, but has typically not taken full monastic vows."
oblation,noun,a thing presented or offered to God or a god.
oblational,noun,a thing presented or offered to God or a god.
oblations,noun,a thing presented or offered to God or a god.
obligate,verb,require or compel (someone) to undertake a legal or moral duty.
obligated,verb,require or compel (someone) to undertake a legal or moral duty.
obligates,verb,require or compel (someone) to undertake a legal or moral duty.
obligating,verb,require or compel (someone) to undertake a legal or moral duty.
obligation,noun,an act or course of action to which a person is morally or legally bound; a duty or commitment.
obligational,,"Full <b>Definition</b> of <b>OBLIGATION</b>. 1. : the action of obligating oneself to a course of action (as by a promise or vow) 2. a : something (as a formal contract, a promise, or the demands of conscience or custom) that obligates one to a course of action."
obligations,noun,an act or course of action to which a person is morally or legally bound; a duty or commitment.
obligato,noun,"an instrumental part, typically distinctive in effect, which is integral to a piece of music and should not be omitted in performance."
obligatory,adjective,"required by a legal, moral, or other rule; compulsory."
obligatorily,,required as a matter of obligation; mandatory: A reply is desirable but not <b>obligatory</b>. incumbent or compulsory (usually followed by on or upon): duties <b>obligatory</b> on all. imposing moral or legal obligation; binding:
oblige,verb,make (someone) legally or morally bound to do something.
obliged,verb,make (someone) legally or morally bound to do something.
obligee,noun,a person to whom an obligation is owed under a contract or other legal procedure.
obligement,noun,a kindness; a favour.
obliger,,"verb. (transitive; often passive) to bind or constrain (someone to do something) by legal, moral, or physical means. (transitive; usually passive) to make indebted or grateful (to someone) by doing a favour or service: we are obliged to you for dinner."
obliges,verb,make (someone) legally or morally bound to do something.
obliging,adjective,willing to do a service or kindness; helpful.
obliging,verb,make (someone) legally or morally bound to do something.
obligingly,,Full <b>Definition</b> of <b>OBLIGING</b>. : willing to do favors : helpful. â obligÂ·ingÂ·ly \-jiÅ-lÄ\ adverb. â obligÂ·ingÂ·ness noun. See <b>obliging defined</b> for English-language learners.
oblique,adjective,not expressed or done in a direct way.
oblique,adjective,neither parallel nor at right angles to a specified or implied line; slanting.
obliqued,adjective,neither parallel nor at right angles to a specified or implied line; slanting.
obliqued,adjective,not expressed or done in a direct way.
obliquely,adverb,not in a direct way; indirectly.
obliquely,adverb,in an oblique direction; slantwise.
