pa,noun,father.
pablum,noun,"bland or insipid intellectual matter, entertainment, etc."
pabulum,noun,"bland or insipid intellectual matter, entertainment, etc."
pabulums,noun,"bland or insipid intellectual matter, entertainment, etc."
pac,noun,short for political action committee.
pace,noun,a single step taken when walking or running.
pace,noun,"speed in walking, running, or moving."
pace,verb,"walk at a steady speed, especially without a particular destination and as an expression of anxiety or annoyance."
pace,verb,move or develop (something) at a particular rate or speed.
paced,verb,"walk at a steady speed, especially without a particular destination and as an expression of anxiety or annoyance."
paced,verb,move or develop (something) at a particular rate or speed.
pacemaker,noun,"a person or animal who sets the pace at the beginning of a race, sometimes in order to help a runner break a record."
pacemakers,noun,"a person or animal who sets the pace at the beginning of a race, sometimes in order to help a runner break a record."
pacemaking,,A <b>pacemaker</b> is a small device that's placed in the chest or abdomen to help control abnormal heart rhythms. This device uses electrical pulses to prompt the heart to beat at a normal rate. Pacemakers are used to treat arrhythmias (ah-RITH-me-ahs). Arrhythmias are problems with the rate or rhythm of the heartbeat.
pacer,noun,a pacemaker.
pacers,noun,a pacemaker.
paces,noun,a single step taken when walking or running.
paces,noun,"speed in walking, running, or moving."
paces,verb,"walk at a steady speed, especially without a particular destination and as an expression of anxiety or annoyance."
paces,verb,move or develop (something) at a particular rate or speed.
pacesetter,noun,another term for pacemaker (sense 1 of the noun).
pacesetters,noun,another term for pacemaker (sense 1 of the noun).
pachyderm,noun,"a very large mammal with thick skin, especially an elephant, rhinoceros, or hippopotamus."
pachydermatous,,"<b>Definition</b> of <b>PACHYDERMATOUS</b>. 1. : of or relating to the pachyderms. 2. a : thick, thickened &lt;<b>pachydermatous</b> skin&gt;"
pachyderms,noun,"a very large mammal with thick skin, especially an elephant, rhinoceros, or hippopotamus."
pachysandra,noun,an evergreen creeping shrubby plant of the box family.
pachysandras,noun,an evergreen creeping shrubby plant of the box family.
pachisi,noun,a four-handed Indian board game in which six cowries are used like dice.
pacify,verb,"quell the anger, agitation, or excitement of."
pacific,adjective,peaceful in character or intent.
pacific,adjective,relating to the Pacific Ocean.
pacification,,<b>Pacification</b> is an attempt to create or maintain peace. That can mean appeasing a hostile country through diplomacy or even just by settling an argument. A pacifist is someone who is against fighting and wars.
pacified,verb,"quell the anger, agitation, or excitement of."
pacifier,noun,a person or thing that pacifies someone or something.
pacifiers,noun,a person or thing that pacifies someone or something.
pacifies,verb,"quell the anger, agitation, or excitement of."
pacifying,verb,"quell the anger, agitation, or excitement of."
pacifism,noun,the belief that war and violence are unjustifiable and that all disputes should be settled by peaceful means.
pacifisms,noun,the belief that war and violence are unjustifiable and that all disputes should be settled by peaceful means.
pacifist,adjective,holding the belief that war and violence are unjustifiable.
pacifist,noun,a person who believes that war and violence are unjustifiable.
pacifistic,adjective,holding the belief that war and violence are unjustifiable; peaceable.
pacifists,noun,a person who believes that war and violence are unjustifiable.
pacing,verb,"walk at a steady speed, especially without a particular destination and as an expression of anxiety or annoyance."
pacing,verb,move or develop (something) at a particular rate or speed.
pack,noun,"a group of similar things or people, especially one regarded as unpleasant."
pack,noun,a small cardboard or paper container and the items contained within it.
package,noun,an object or group of objects wrapped in paper or packed in a box.
package,noun,a set of proposals or terms offered or agreed as a whole.
packaged,verb,put into a box or wrapping for sale or transport.
packaged,verb,present (someone or something) in an attractive or advantageous way.
packagers,,"A wrapped or boxed object; a parcel: A <b>package</b> arrived in the mail. 2. A container or wrapping in which something is stored, transported, or sold: had trouble opening the <b>package</b>."
packages,noun,a set of proposals or terms offered or agreed as a whole.
packages,noun,an object or group of objects wrapped in paper or packed in a box.
packaging,noun,materials used to wrap or protect goods.
packaging,verb,put into a box or wrapping for sale or transport.
packaging,verb,present (someone or something) in an attractive or advantageous way.
packed,verb,fill (a suitcase or bag) with clothes and other items needed for travel.
packed,verb,cram a large number of things into.
packer,noun,"a person or machine that packs something, especially someone who prepares and packs food for transportation and sale."
packers,noun,"a person or machine that packs something, especially someone who prepares and packs food for transportation and sale."
packet,noun,"a paper or cardboard container, typically one in which goods are sold."
packeted,verb,wrap up in a packet.
packeting,verb,wrap up in a packet.
packets,noun,"a paper or cardboard container, typically one in which goods are sold."
packhorse,noun,a horse used to carry loads.
packhorses,noun,a horse used to carry loads.
packing,noun,the action or process of packing something.
packinghouse,,"A <b>packing house</b> is a facility where fruit is received and processed prior to distribution to market. Bulk fruit (such as apples, oranges, pears, and the like) is delivered to the plant via trucks or wagons, where it is dumped into receiving bins and sorted for quality and size."
packings,,<b>packing</b>. CloseStyle: MLA APA Chicago. noun packÂ·ing \Ëpa-kiÅ\ : the act or process of putting things into bags or boxes. : material that is used to hold or protect things so that they can be moved or sent somewhere.
packman,noun,a pedlar.
packmen,noun,a pedlar.
packs,noun,"a group of similar things or people, especially one regarded as unpleasant."
packs,noun,a small cardboard or paper container and the items contained within it.
packsack,noun,a rucksack.
packsacks,noun,a rucksack.
packsaddle,noun,a horse's saddle adapted for supporting loads.
packsaddles,noun,a horse's saddle adapted for supporting loads.
packthread,noun,strong thread for sewing or tying up packs.
packthreads,,<b>Definition</b> of <b>PACKTHREAD</b>. : strong thread or small twine used for sewing or tying packs or parcels.
pacs,noun,short for political action committee.
pact,noun,a formal agreement between individuals or parties.
pacta,,"<b>Pacta</b> sunt servanda (Latin for ""agreements must be kept""), a brocard, is a basic principle of civil law, canon law, and international law."
pacts,noun,a formal agreement between individuals or parties.
pad,noun,the fleshy underpart of an animal's foot or of a human finger.
pad,noun,"a number of sheets of blank paper fastened together at one edge, used for writing or drawing."
pad,noun,a flat-topped structure or area used for helicopter take-off and landing or for rocket-launching.
pad,verb,fill or cover (something) with a soft material in order to protect or shape it or to make it more comfortable.
pad,verb,lengthen a speech or piece of writing with unnecessary material.
pad,verb,"put on protective pads in order to play a sport, especially cricket."
pad,verb,walk with steady steps making a soft dull sound.
pad,noun,the soft dull sound of steady steps.
pad,noun,"a thick piece of soft material, typically used to protect or shape something, or to absorb liquid."
padded,verb,fill or cover (something) with a soft material in order to protect or shape it or to make it more comfortable.
padded,verb,lengthen a speech or piece of writing with unnecessary material.
paddy,noun,a field where rice is grown.
paddies,noun,an Irishman (often as a form of address).
padding,noun,soft material such as foam or cloth used to pad or stuff something.
padding,verb,fill or cover (something) with a soft material in order to protect or shape it or to make it more comfortable.
padding,verb,lengthen a speech or piece of writing with unnecessary material.
paddings,,"material, as cotton or straw, used to pad something. something added unnecessarily or dishonestly, as verbiage to a speech or a false charge on an expense account. the act of a person or thing that <b>pads</b>."
paddle,noun,a flat array of solar cells projecting from a spacecraft.
paddle,noun,"a short pole with a broad blade at one or both ends, used without a rowlock to move a small boat or canoe through the water."
paddled,verb,move through the water in a boat using a paddle or paddles.
paddles,noun,a flat array of solar cells projecting from a spacecraft.
paddles,noun,"a short pole with a broad blade at one or both ends, used without a rowlock to move a small boat or canoe through the water."
paddling,verb,move through the water in a boat using a paddle or paddles.
paddock,verb,keep (a horse) in a paddock.
paddock,noun,a small field or enclosure where horses are kept or exercised.
paddocked,verb,keep (a horse) in a paddock.
paddocking,verb,keep (a horse) in a paddock.
paddocks,verb,keep (a horse) in a paddock.
paddocks,noun,a small field or enclosure where horses are kept or exercised.
padlock,noun,a detachable lock hanging by a pivoted hook on the object fastened.
padlocked,verb,secure with a padlock.
padlocking,verb,secure with a padlock.
padlocks,noun,a detachable lock hanging by a pivoted hook on the object fastened.
padre,noun,the title of a priest or chaplain in some countries.
padres,noun,the title of a priest or chaplain in some countries.
padri,noun,the title of a priest or chaplain in some countries.
padrone,noun,"a patron or master, in particular:"
pads,noun,the fleshy underpart of an animal's foot or of a human finger.
pads,noun,"a thick piece of soft material, typically used to protect or shape something, or to absorb liquid."
paean,noun,a song of praise or triumph.
paeans,noun,a song of praise or triumph.
paella,noun,"a Spanish dish of rice, saffron, chicken, seafood, etc., cooked and served in a large shallow pan."
paellas,noun,"a Spanish dish of rice, saffron, chicken, seafood, etc., cooked and served in a large shallow pan."
paeons,noun,a metrical foot of one long syllable and three short syllables in any order.
pagan,noun,a person holding religious beliefs other than those of the main world religions.
pagan,adjective,relating to pagans or their beliefs.
paganish,,<b>Definition</b> of <b>PAGAN</b>. 1. : heathen 1; especially : a follower of a polytheistic religion (as in ancient Rome) 2. : one who has little or no religion and who delights in sensual pleasures and material goods : an irreligious or hedonistic person.
