ra,symbol,the chemical element radium.
ra,,"<b>Rheumatoid arthritis</b> is a chronic inflammatory disorder that typically affects the small joints in your hands and feet. Unlike the wear-and-tear damage of osteoarthritis, <b>rheumatoid arthritis</b> affects the lining of your joints, causing a painful swelling that can eventually result in bone erosion and joint deformity."
rabbi,noun,"a Jewish scholar or teacher, especially one who studies or teaches Jewish law."
rabbinates,,<b>Definition</b> of <b>RABBINATE</b>. 1. : the office or tenure of a rabbi. : the whole body of rabbis.
rabbinic,adjective,relating to rabbis or to Jewish law or teachings.
rabbinical,,Full <b>Definition</b> of <b>RABBINIC</b>. 1. : of or relating to rabbis or their writings. : of or preparing for the rabbinate.
rabbis,noun,"a Jewish scholar or teacher, especially one who studies or teaches Jewish law."
rabbit,noun,"a gregarious burrowing plant-eating mammal, with long ears, long hind legs, and a short tail."
rabbiting,verb,hunt rabbits.
rabbits,verb,hunt rabbits.
rabbits,noun,"a gregarious burrowing plant-eating mammal, with long ears, long hind legs, and a short tail."
rabble,noun,a disorderly crowd; a mob.
rabbles,noun,a disorderly crowd; a mob.
rabelaisian,adjective,displaying earthy humour; bawdy.
rabelaisian,adjective,displaying earthy humour; bawdy.
rabic,,Medical <b>Definition</b> of <b>RABIC</b>. : of or relating to rabies.
rabid,adjective,(of an animal) affected with rabies.
rabid,adjective,having or proceeding from an extreme or fanatical support of or belief in something.
rabidity,,"rabid. adj. 1610s, ""furious, raving,"" from Latin rabidus ""raging, furious, enraged; inspired; ungoverned; rabid,"" from rabere ""be mad, rave"" (see rage (v.)). <b>Meaning</b> ""made mad by rabies"" in English first recorded 1804. Related: Rabidly; rabidness."
rabidities,,"rabid. adj. 1610s, ""furious, raving,"" from Latin rabidus ""raging, furious, enraged; inspired; ungoverned; rabid,"" from rabere ""be mad, rave"" (see rage (v.)). <b>Meaning</b> ""made mad by rabies"" in English first recorded 1804. Related: Rabidly; rabidness."
rabidly,,"a : extremely violent : furious. b : going to extreme lengths in expressing or pursuing a feeling, interest, or opinion <<b>rabid</b> editorials&gt; &lt;a <b>rabid</b> supporter&gt; 2. : affected with rabies. â raÂ·bidÂ·iÂ·ty \rÉ-Ëbi-dÉ-tÄ, ra-, rÄ-\ noun."
rabidness,,"adj. 1610s, ""furious, raving,"" from Latin rabidus ""raging, furious, enraged; inspired; ungoverned; rabid,"" from rabere ""be mad, rave"" (see rage (v.)). <b>Meaning</b> ""made mad by rabies"" in English first recorded 1804. Related: Rabidly; <b>rabidness</b>."
rabies,noun,"a contagious and fatal viral disease of dogs and other mammals, transmissible through the saliva to humans and causing madness and convulsions."
raccoon,noun,"a greyish-brown American mammal which has a foxlike face with a black mask, a ringed tail, and the habit of washing its food in water."
raccoons,noun,"a greyish-brown American mammal which has a foxlike face with a black mask, a ringed tail, and the habit of washing its food in water."
race,noun,"a groove, channel, or passage, in particular:"
race,noun,a ginger root.
race,noun,"a competition between runners, horses, vehicles, etc. to see which is the fastest in covering a set course."
race,noun,a strong or rapid current flowing through a narrow channel in the sea or a river.
race,verb,compete with another or others to see who is fastest at covering a set course or achieving an objective.
race,verb,move or progress swiftly or at full speed.
