sabbat,,"2. Any of several holidays, usually four or eight in number, in Wicca and related Neopagan religious traditions. [French, Sabbath, <b>sabbat</b>, from Old French, Sabbath; see Sabbath.]"
sabbath,noun,"a day of religious observance and abstinence from work, kept by Jews from Friday evening to Saturday evening, and by most Christians on Sunday."
sabbaths,noun,"a day of religious observance and abstinence from work, kept by Jews from Friday evening to Saturday evening, and by most Christians on Sunday."
sabbatic,,"<b>Sabbatical</b> or a <b>sabbatical</b> (from Latin: sabbaticus, from Greek: sabbatikos (ÏÎ±Î²Î²Î±ÏÎ¹ÎºÏÏ), from Hebrew: shabbat (×©××ª) (i.e., Sabbath), literally a ""ceasing"") is a rest from work, or a break, often lasting from two months to a year."
sabbatical,adjective,relating to a sabbatical.
sabbatical,noun,"a period of paid leave granted to a university teacher for study or travel, traditionally one year for every seven years worked."
sabbaticals,noun,"a period of paid leave granted to a university teacher for study or travel, traditionally one year for every seven years worked."
sabbats,,"The Witches' Sabbath or <b>Sabbat</b> is a meeting of those who practice witchcraft and other rites. European records indicate cases of persons being accused or tried for taking part in <b>Sabbat</b> gatherings, from the Middle Ages to the 17th century or later."
saber,noun,a heavy cavalry sword with a curved blade and a single cutting edge.
sabered,verb,cut down or wound with a sabre.
sabering,verb,cut down or wound with a sabre.
sabers,noun,a heavy cavalry sword with a curved blade and a single cutting edge.
sabine,noun,"a member of an ancient Oscan-speaking people of the central Apennines in Italy, north-east of Rome, who feature in early Roman legends and were incorporated into the Roman state in 290 BC."
sabines,noun,"a member of an ancient Oscan-speaking people of the central Apennines in Italy, north-east of Rome, who feature in early Roman legends and were incorporated into the Roman state in 290 BC."
sable,noun,"a marten with a short tail and dark brown fur, native to Japan and Siberia and valued for its fur."
sables,noun,"a marten with a short tail and dark brown fur, native to Japan and Siberia and valued for its fur."
sabot,noun,"a kind of simple shoe, shaped and hollowed out from a single block of wood, traditionally worn by French and Breton peasants."
sabotage,verb,"deliberately destroy, damage, or obstruct (something), especially for political or military advantage."
sabotage,noun,the action of sabotaging something.
sabotaged,verb,"deliberately destroy, damage, or obstruct (something), especially for political or military advantage."
sabotages,verb,"deliberately destroy, damage, or obstruct (something), especially for political or military advantage."
sabotaging,verb,"deliberately destroy, damage, or obstruct (something), especially for political or military advantage."
saboteur,noun,a person who engages in sabotage.
saboteurs,noun,a person who engages in sabotage.
sabots,noun,"a kind of simple shoe, shaped and hollowed out from a single block of wood, traditionally worn by French and Breton peasants."
sabra,noun,a Jew born in Israel (or before 1948 in Palestine).
sabras,noun,a Jew born in Israel (or before 1948 in Palestine).
sabred,verb,cut down or wound with a sabre.
sabres,noun,a heavy cavalry sword with a curved blade and a single cutting edge.
sabreur,noun,a cavalryman or fencer using a sabre.
sabring,verb,cut down or wound with a sabre.
sac,abbreviation,Senior Aircraftman or Senior Aircraftwoman.
sac,noun,"a hollow, flexible structure resembling a bag or pouch."
sacbut,,Word usage trends for â<b>sacbut</b>â View usage over: a variant spelling of Sackbut (1/2 definitions)
sacbuts,noun,an early form of trombone used in Renaissance music.
saccharin,noun,a sweet-tasting synthetic compound used in food and drink as a substitute for sugar.
saccharine,adjective,excessively sweet or sentimental.
saccule,noun,"a small sac, pouch, or cyst."
sacerdotal,adjective,relating to priests or the priesthood; priestly.
sacerdotally,adjective,relating to priests or the priesthood; priestly.
sachem,noun,(among some American Indian peoples) a chief.
sachemic,,"<b>Definition</b> of SACHEM. 1. : a North American Indian chief; especially : the chief of a confederation of the Algonquian tribes of the North Atlantic coast. : a Tammany leader. â saÂ·chemÂ·ic \sÄ-Ëche-mik, sa-\ adjective."
sachems,noun,(among some American Indian peoples) a chief.
sacheted,,Full <b>Definition</b> of <b>SACHET</b>. 1. : a small bag or packet. : a small bag containing a perfumed powder or potpourri used to scent clothes and linens.
sack,noun,"a large bag made of a strong material such as hessian, thick paper, or plastic, used for storing and carrying goods."
sack,noun,"a woman's short loose unwaisted dress, typically narrowing at the hem, popular especially in the 1950s."
sackbut,noun,an early form of trombone used in Renaissance music.
sackbuts,noun,an early form of trombone used in Renaissance music.
sackcloth,noun,"a very coarse, rough fabric woven from flax or hemp."
sackful,noun,the quantity of something held by a sack.
sackfuls,noun,the quantity of something held by a sack.
sacks,noun,"a woman's short loose unwaisted dress, typically narrowing at the hem, popular especially in the 1950s."
sacks,noun,"a large bag made of a strong material such as hessian, thick paper, or plastic, used for storing and carrying goods."
sacral,adjective,relating to sacred rites or symbols.
sacrament,noun,"(in the Christian Church) a ceremony regarded as imparting spiritual grace, in particular:"
sacramental,adjective,relating to or constituting a sacrament or the sacraments.
sacramentally,,"Consecrated or bound by or as if by a sacrament: a <b>sacramental</b> duty. 3. Having the force or efficacy of a sacrament. A rite, act, or sacred object used by some Christian churches in worship. sacâ²raÂ·menâ²talÂ·ly adv."
sacraments,noun,"(in the Christian Church) a ceremony regarded as imparting spiritual grace, in particular:"
sacrarium,noun,the sanctuary of a church.
sacred,adjective,connected with God or a god or dedicated to a religious purpose and so deserving veneration.
sacredly,,devoted or dedicated to a deity or to some religious purpose; consecrated. entitled to veneration or religious respect by association with divinity or divine things; holy. pertaining to or connected with religion (opposed to secular or profane): sacred music; sacred books.
sacredness,,a : dedicated or set apart for the service or worship of a deity <a tree <b>sacred</b> to the gods&gt; b : devoted exclusively to one service or use (as of a person or purpose) &lt;a fund <b>sacred</b> to charity&gt; 2. a : worthy of religious veneration : holy. b : entitled to reverence and respect.
sacrifice,noun,an act of slaughtering an animal or person or surrendering a possession as an offering to a deity.
sacrificed,verb,offer or kill as a religious sacrifice.
sacrificed,verb,give up (something valued) for the sake of other considerations.
sacrificer,,"<b>sacrificer</b>. Variant of sacrifice. noun. the act of offering the life of a person or animal, or some object, in propitiation of or homage to a deity. something so offered."
sacrifices,noun,an act of slaughtering an animal or person or surrendering a possession as an offering to a deity.
sacrificial,adjective,relating to or constituting a sacrifice.
sacrificially,,": of, relating to, of the nature of, or involving sacrifice. : of or relating to a metal that serves as an anode which is electrolytically consumed instead of another metal that is present. â sacÂ·riÂ·fiÂ·cialÂ·ly \-shÉ-lÄ\ adverb. See <b>sacrificial defined</b> for English-language learners."
sacrificing,verb,offer or kill as a religious sacrifice.
sacrificing,verb,give up (something valued) for the sake of other considerations.
sacrilege,noun,violation or misuse of what is regarded as sacred.
sacrilegious,adjective,involving or committing sacrilege.
sacrilegiously,adjective,involving or committing sacrilege.
sacrilegiousness,,"Full <b>Definition</b> of SACRILEGE. 1. : a technical and not necessarily intrinsically outrageous violation (as improper reception of a sacrament) of <b>what is</b> sacred because consecrated to God. : gross irreverence toward a hallowed person, place, or thing. â sacÂ·riÂ·leÂ·gious \Ësa-krÉ-Ëli-jÉs also -ËlÄ-\ adjective."
sacrist,noun,another term for sacristan.
sacristan,noun,a person in charge of a sacristy and its contents.
sacristans,noun,a person in charge of a sacristy and its contents.
sacristy,noun,"a room in a church where a priest prepares for a service, and where vestments and articles of worship are kept."
sacristies,noun,"a room in a church where a priest prepares for a service, and where vestments and articles of worship are kept."
sacristry,noun,"a room in a church where a priest prepares for a service, and where vestments and articles of worship are kept."
sacrists,noun,another term for sacristan.
sacroiliac,adjective,relating to the sacrum and the ilium.
sacroiliacs,,"The <b>sacroiliac</b> joint or SI joint (SIJ) is the joint in the bony pelvis between the sacrum and the ilium of the pelvis, which are joined by strong ligaments. In humans, the sacrum supports the spine and is supported in turn by an ilium on each side."
sacrosanct,adjective,"(especially of a principle, place, or routine) regarded as too important or valuable to be interfered with."
sacrum,noun,a triangular bone in the lower back formed from fused vertebrae and situated between the two hip bones of the pelvis.
sacrums,noun,a triangular bone in the lower back formed from fused vertebrae and situated between the two hip bones of the pelvis.
sad,adjective,feeling or showing sorrow; unhappy.
sad,adjective,(of dough) heavy through having failed to rise.
sad,abbreviation,seasonal affective disorder.
sadden,verb,cause to feel sorrow; make unhappy.
saddened,verb,cause to feel sorrow; make unhappy.
saddening,verb,cause to feel sorrow; make unhappy.
saddens,verb,cause to feel sorrow; make unhappy.
sadder,adjective,feeling or showing sorrow; unhappy.
saddest,adjective,feeling or showing sorrow; unhappy.
saddle,noun,"a seat fastened on the back of a horse or other animal for riding, typically made of leather and raised at the front and rear."
saddlebag,noun,"each of a pair of bags attached behind the saddle on a horse, bicycle, or motorcycle."
saddlebags,noun,"each of a pair of bags attached behind the saddle on a horse, bicycle, or motorcycle."
saddlebow,,"the arched front part of a saddle or saddletree. Origin of <b>saddlebow</b> Expand. 900. before 900; Middle English, Old English."
saddlecloth,noun,a cloth laid on a horse's back under the saddle.
saddled,verb,put a saddle on (a horse).
saddler,noun,"someone who makes, repairs, or deals in saddlery."
saddlery,noun,"saddles, bridles, and other equipment for horses."
saddleries,noun,"saddles, bridles, and other equipment for horses."
saddlers,noun,"someone who makes, repairs, or deals in saddlery."
saddles,noun,"a seat fastened on the back of a horse or other animal for riding, typically made of leather and raised at the front and rear."
saddling,verb,put a saddle on (a horse).
sadducee,noun,"a member of a Jewish sect or party of the time of Christ that denied the resurrection of the dead, the existence of spirits, and the obligation of oral tradition, emphasizing acceptance of the written Law alone."
sadhu,noun,"a holy man, sage, or ascetic."
sadhus,noun,"a holy man, sage, or ascetic."
sadiron,,<b>Definition</b> of <b>SADIRON</b>. : a flatiron pointed at both ends and having a removable handle.
sadirons,,<b>Definition</b> of <b>SADIRON</b>. : a flatiron pointed at both ends and having a removable handle.
sadism,noun,"the tendency to derive pleasure, especially sexual gratification, from inflicting pain, suffering, or humiliation on others."
sadisms,noun,"the tendency to derive pleasure, especially sexual gratification, from inflicting pain, suffering, or humiliation on others."
sadist,,"A <b>sadist</b> is someone who enjoys inflicting pain on others, sometimes in a sexual sense. <b>Sadists</b> like seeing other people hurt. A <b>sadist</b> is the opposite of a masochist, who enjoys being in pain. A <b>sadist</b> is all about hurting others, usually to get off sexually."
sadistic,adjective,"deriving pleasure from inflicting pain, suffering, or humiliation on others."
sadistically,,pertaining to or characterized by sadism; deriving pleasure or sexual gratification from extreme cruelty: a <b>sadistic</b> psychopath. Origin of <b>sadistic</b> Expand. sad(ism) + -istic.
sadists,,"A <b>sadist</b> is someone who enjoys inflicting pain on others, sometimes in a sexual sense. <b>Sadists</b> like seeing other people hurt. A <b>sadist</b> is the opposite of a masochist, who enjoys being in pain. A <b>sadist</b> is all about hurting others, usually to get off sexually."
sadly,adverb,in a sad manner.
sadness,noun,the condition or quality of being sad.
sadnesses,noun,the condition or quality of being sad.
sadomasochism,noun,psychological tendency or sexual practice characterized by both sadism and masochism.
sadomasochist,,"interaction, especially sexual activity, in which one person enjoys inflicting physical or mental suffering on another person, who derives pleasure from experiencing pain. gratification, especially sexual, gained through inflicting or receiving pain; sadism and masochism combined. Abbreviation: S-M, S and M."
