u,noun,the twenty-first letter of the alphabet.
uberrima,,"<b>Uberrima</b> fides (sometimes seen in its genitive form uberrimae fidei) is a Latin phrase meaning ""utmost good faith"" (literally, ""most abundant faith""). It is the name of a legal doctrine which governs insurance contracts."
uberties,,"<b>Meaning</b>: No, we didn't forget the P in our Good Word today; <b>uberty</b> is its own word. It <b>means</b> 1. abundance, copiousness and 2. fruitfulness, fertility. Notes: Today's Good Word is the noun derived from the adjective uberous ""abundant, copious""."
ubiquity,,<b>Definition</b> of <b>UBIQUITY</b>. : presence everywhere or in many places especially simultaneously : omnipresence.
ubiquities,,"<b>Ubiquity</b> is the state of being everywhere all the time. Some <b>ubiquity</b> is real (the <b>ubiquity</b> of sadness at a funeral), and some only seems real (the <b>ubiquity</b> of cowboy boots in Texas). A god is a great example of <b>ubiquity</b>: an all-knowing deity that exists in every nook and cranny."
ubiquitous,adjective,"present, appearing, or found everywhere."
ubiquitously,,Full <b>Definition</b> of <b>UBIQUITOUS</b>. : existing or being everywhere at the same time : constantly encountered : widespread &lt;a <b>ubiquitous</b> fashion&gt; â ubiqÂ·uiÂ·tousÂ·ly adverb. â ubiqÂ·uiÂ·tousÂ·ness noun.
udder,noun,"the mammary gland of female cattle, sheep, goats, horses, and related ungulates, hanging near the hind legs as a bag-like organ with two or more teats."
udders,noun,"the mammary gland of female cattle, sheep, goats, horses, and related ungulates, hanging near the hind legs as a bag-like organ with two or more teats."
ufo,noun,"a mysterious object seen in the sky for which it is claimed no orthodox scientific explanation can be found, often supposed to be a vehicle carrying extraterrestrials."
ufos,noun,"a mysterious object seen in the sky for which it is claimed no orthodox scientific explanation can be found, often supposed to be a vehicle carrying extraterrestrials."
ugh,exclamation,used to express disgust or horror.
ughs,,"interjection. (used as an exclamation expressing disgust, aversion, horror, or the like). noun. the sound of a cough, grunt, or the like. Examples from the Web for ugh Expand."
ugly,adjective,"unpleasant or repulsive, especially in appearance."
ugly,adjective,involving or likely to involve violence or other unpleasantness.
uglier,adjective,"unpleasant or repulsive, especially in appearance."
uglier,adjective,involving or likely to involve violence or other unpleasantness.
ugliest,adjective,"unpleasant or repulsive, especially in appearance."
ugliest,adjective,involving or likely to involve violence or other unpleasantness.
uglify,,<b>Definition</b> of <b>UGLIFY</b>. transitive verb. : to make ugly. â ugÂ·liÂ·fiÂ·caÂ·tion \ËÉ-gli-fÉ-ËkÄ-shÉn\ noun. See <b>uglify defined</b> for kids.
uglifying,,<b>Definition</b> of <b>UGLIFY</b>. transitive verb. : to make ugly. â ugÂ·liÂ·fiÂ·caÂ·tion \ËÉ-gli-fÉ-ËkÄ-shÉn\ noun. See <b>uglify defined</b> for kids.
uglily,,very unattractive or unpleasant to look at; offensive to the sense of beauty; displeasing in appearance.
ugliness,,"of unpleasant or unsightly appearance. repulsive, objectionable, or displeasing in any way: war is <b>ugly</b>. ominous or menacing: an <b>ugly</b> situation. bad-tempered, angry, or sullen: an <b>ugly</b> mood."
uh,exclamation,used to express hesitation.
uhs,,"An SDXC <b>UHS</b>-I card will work in any SDXC compatible device at lower speeds, but to take advantage of the <b>UHS</b>-I speed, a <b>UHS</b>-I compatible device is essential. <b>UHS</b>-I compatible cards and devices are normally marked with the symbol below ,""<b>UHS</b>-I"" or ""I"" A speed class is also <b>defined</b>. = Class 1 ."""
ukase,noun,(in tsarist Russia) a decree with the force of law.
ukases,noun,(in tsarist Russia) a decree with the force of law.
uke,noun,short for ukulele.
ukelele,noun,a small four-stringed guitar of Hawaiian origin.
ukeleles,noun,a small four-stringed guitar of Hawaiian origin.
ukes,noun,short for ukulele.
ukrainian,noun,"a native or inhabitant of Ukraine, or a person of Ukrainian descent."
ukrainians,noun,"a native or inhabitant of Ukraine, or a person of Ukrainian descent."
ukulele,noun,a small four-stringed guitar of Hawaiian origin.
ukuleles,noun,a small four-stringed guitar of Hawaiian origin.
ulcer,noun,"an open sore on an external or internal surface of the body, caused by a break in the skin or mucous membrane which fails to heal. Ulcers range from small, painful sores in the mouth to bedsores and serious lesions of the stomach or intestine."
ulcerate,verb,develop into or become affected by an ulcer.
ulcerated,verb,develop into or become affected by an ulcer.
ulcerates,verb,develop into or become affected by an ulcer.
ulcerating,verb,develop into or become affected by an ulcer.
ulceration,,"<b>Ulcer</b>: A lesion that is eroding away the skin or mucous membrane. <b>Ulcers</b> can have various causes, depending on their location. <b>Ulcers</b> on the skin are usually due to irritation, as in the case of bedsores, and may become inflamed and/or infected as they grow."
ulcerations,,": the process of becoming <b>ulcerated</b> : the state of being <b>ulcerated</b>. : ulcer. â ulÂ·cerÂ·aÂ·tive \ËÉl-sÉ-ËrÄ-tiv, ËÉls-rÉ-, ËÉl-sÉ-rÉ-\ adjective. See <b>ulceration defined</b> for kids."
ulcerative,,<b>Ulcerative</b> colitis (UL-sur-uh-tiv koe-LIE-tis) is an inflammatory bowel disease (IBD) that causes long-lasting inflammation and ulcers (sores) in your digestive tract. <b>Ulcerative</b> colitis affects the innermost lining of your large intestine (colon) and rectum.
ulcered,verb,develop into or become affected by an ulcer.
ulcering,,"Full <b>Definition</b> of <b>ULCER</b>. 1. : a break in skin or mucous membrane with loss of surface tissue, disintegration and necrosis of epithelial tissue, and often pus. : something that festers and corrupts like an open sore. â <b>ulcer</b> verb."
ulcerous,adjective,having or constituting an ulcer.
ulcers,noun,"an open sore on an external or internal surface of the body, caused by a break in the skin or mucous membrane which fails to heal. Ulcers range from small, painful sores in the mouth to bedsores and serious lesions of the stomach or intestine."
ule,suffix,"forming diminutive nouns such as capsule, pustule."
ulla,,<b>Ulla</b> is a feminine given name. It is short for Ursula in German-speaking countries and Ulrika in Scandinavian countries.
ullage,noun,the amount by which a container falls short of being full.
ullages,,"By an obvious extension, <b>ullage</b> came to refer to any amount by which a barrel is unfilled, perhaps because some of the contents have been used. It is also applied to the unfilled air space at the top of a bottle of wine, which in this case is essential to allow for expansion of the contents as the temperature changes."
ulna,noun,"the thinner and longer of the two bones in the human forearm, on the side opposite to the thumb."
ulnae,noun,"the thinner and longer of the two bones in the human forearm, on the side opposite to the thumb."
ulnar,,Medical <b>Definition</b> of <b>ULNA</b>. : the bone on the little-finger side of the human forearm that forms with the humerus the elbow joint and serves as a pivot in rotation of the hand.
