wabbler,,"verb (used without object), verb (used with object), wabbled, wabbling. wobble. <b>wabbler</b>, noun. wabblingly, adverb."
wabbles,verb,move or cause to move unsteadily from side to side.
wabbles,noun,an unsteady movement from side to side.
wabbly,,"Full <b>Definition</b> of WOBBLE. intransitive verb. 1. a : to move or proceed with an irregular rocking or staggering motion or unsteadily and clumsily from side to side. b : tremble, quaver."
wack,noun,"used as a familiar term of address, chiefly in Liverpool."
wacky,adjective,funny or amusing in a slightly odd or peculiar way.
wackier,adjective,funny or amusing in a slightly odd or peculiar way.
wackiest,adjective,funny or amusing in a slightly odd or peculiar way.
wackily,,Full <b>Definition</b> of <b>WACKY</b>. : absurdly or amusingly eccentric or irrational : crazy &lt;<b>wacky</b> ideas&gt; &lt;a <b>wacky</b> comedian&gt; â wackÂ·iÂ·ly \Ëwa-kÉ-lÄ\ adverb. â wackÂ·iÂ·ness \Ëwa-kÄ-nÉs\ noun.
wackiness,,: absurdly or amusingly eccentric or irrational : crazy <<b>wacky</b> ideas&gt; &lt;a <b>wacky</b> comedian&gt; â wackÂ·iÂ·ly \Ëwa-kÉ-lÄ\ adverb. â wackÂ·iÂ·ness \Ëwa-kÄ-nÉs\ noun. See <b>wacky defined</b> for English-language learners.
wacks,noun,"used as a familiar term of address, chiefly in Liverpool."
wad,noun,"a mass or lump of a soft material, used for padding, stuffing, or wiping."
wad,noun,a bundle or roll of paper or banknotes.
wadded,verb,compress (a soft material) into a lump or mass.
wadder,,"<b>wadder</b>. Variant of wad. noun. a small, soft mass or ball, as a handful of cotton, crumpled paper, etc. a lump or small, compact mass (of something): a wad of chewing tobacco."
wadders,noun,"a person or animal, especially a bird, that wades, in particular:"
waddy,noun,an Australian Aboriginal's war club.
waddies,noun,an Australian Aboriginal's war club.
wadding,noun,"soft, thick material used to line garments or pack fragile items, especially cotton wool formed into a fleecy layer."
wadding,verb,compress (a soft material) into a lump or mass.
waddings,noun,"soft, thick material used to line garments or pack fragile items, especially cotton wool formed into a fleecy layer."
waddle,verb,walk with short steps and a clumsy swaying motion.
waddle,noun,a waddling gait.
waddled,verb,walk with short steps and a clumsy swaying motion.
waddler,,"Word Origin and History for waddle Expand. v. ""to walk with short steps,"" 1590s, frequentative of wade. Related: Waddled; waddling. The noun is recorded from 1690s."
waddlers,,To walk with short steps that tilt the body from side to side. 2. To walk heavily and clumsily with a pronounced sway. n. A swaying gait: the <b>waddle</b> of ducks.
waddles,verb,walk with short steps and a clumsy swaying motion.
waddling,verb,walk with short steps and a clumsy swaying motion.
wade,noun,an act of wading.
wade,verb,walk with effort through water or another liquid or viscous substance.
waded,verb,walk with effort through water or another liquid or viscous substance.
wader,noun,"a person or animal, especially a bird, that wades, in particular:"
waders,noun,"a person or animal, especially a bird, that wades, in particular:"
wades,noun,an act of wading.
wades,verb,walk with effort through water or another liquid or viscous substance.
wadi,noun,"(in certain Arabic-speaking countries) a valley, ravine, or channel that is dry except in the rainy season."
wadies,noun,"(in certain Arabic-speaking countries) a valley, ravine, or channel that is dry except in the rainy season."
wading,verb,walk with effort through water or another liquid or viscous substance.
wadis,noun,"(in certain Arabic-speaking countries) a valley, ravine, or channel that is dry except in the rainy season."
wads,noun,"a mass or lump of a soft material, used for padding, stuffing, or wiping."
wads,noun,a bundle or roll of paper or banknotes.
wafer,noun,"a thin, light, crisp biscuit, especially one of a kind eaten with ice cream."
wafered,verb,fasten or seal (a letter or document) with a wafer.
wafers,noun,"a thin, light, crisp biscuit, especially one of a kind eaten with ice cream."
waft,verb,"(with reference to a scent, sound, etc.) pass or cause to pass gently through the air."
waft,noun,a gentle movement of air.
waftage,,<b>Definition</b> of <b>WAFTAGE</b>. : the act of wafting or state of being wafted; broadly : conveyance.
wafted,verb,"(with reference to a scent, sound, etc.) pass or cause to pass gently through the air."
wafter,,"4. Nautical A flag used for signaling or indicating wind direction. Also called waif<sup>2</sup>. [Back-formation from <b>wafter</b>, convoy ship, alteration of Middle English waughter, from Middle Dutch or Middle Low German wachter, a guard, from wachten, to guard; see weg- in Indo-European roots.] waftâ²er n."
wafters,,"4. Nautical A flag used for signaling or indicating wind direction. Also called waif<sup>2</sup>. [Back-formation from <b>wafter</b>, convoy ship, alteration of Middle English waughter, from Middle Dutch or Middle Low German wachter, a guard, from wachten, to guard; see weg- in Indo-European roots.] waftâ²er n."
wafting,verb,"(with reference to a scent, sound, etc.) pass or cause to pass gently through the air."
wafts,verb,"(with reference to a scent, sound, etc.) pass or cause to pass gently through the air."
wafts,noun,a gentle movement of air.
wag,verb,(especially with reference to an animal's tail) move or cause to move rapidly to and fro.
wag,noun,a single rapid movement from side to side.
wag,noun,a person who makes jokes.
wage,noun,"a fixed regular payment earned for work or services, typically paid on a daily or weekly basis."
wage,verb,carry on (a war or campaign).
waged,adjective,having or relating to regular paid employment.
wageless,,"2. : recompense, reward âusually used in plural but singular or plural in construction <the wages of sin is death â Romans 6:23 (Revised Standard Version)> â wageÂ·less \ËwÄj-lÉs\ adjective. See wage <b>defined</b> for English-language learners."
wager,noun & verb,more formal term for bet.
wagered,noun & verb,more formal term for bet.
wagering,noun & verb,more formal term for bet.
wagers,noun & verb,more formal term for bet.
wages,verb,carry on (a war or campaign).
wages,noun,"a fixed regular payment earned for work or services, typically paid on a daily or weekly basis."
wagged,verb,play truant from (school).
wagged,verb,(especially with reference to an animal's tail) move or cause to move rapidly to and fro.
wagger,,"to move from side to side, forward and backward, or up and down, especially rapidly and repeatedly: a dog wagging its tail. to move (the tongue), as in idle or indiscreet chatter. to shake (a finger) at someone, as in reproach."
waggery,noun,waggish behaviour or remarks; jocularity.
waggeries,noun,waggish behaviour or remarks; jocularity.
waggers,,"to move from side to side, forward and backward, or up and down, especially rapidly and repeatedly: a dog wagging its tail. to move (the tongue), as in idle or indiscreet chatter. to shake (a finger) at someone, as in reproach."
wagging,verb,play truant from (school).
wagging,verb,(especially with reference to an animal's tail) move or cause to move rapidly to and fro.
waggish,adjective,"humorous in a playful, mischievous, or facetious manner."
waggle,noun,an act of waggling.
waggle,verb,move or cause to move with short quick movements from side to side or up and down.
waggled,verb,move or cause to move with short quick movements from side to side or up and down.
waggles,noun,an act of waggling.
waggles,verb,move or cause to move with short quick movements from side to side or up and down.
waggly,adjective,moving with quick short movements from side to side or up and down.
waggling,verb,move or cause to move with short quick movements from side to side or up and down.
waggon,noun,a vehicle used for transporting goods or another specified purpose.
waggoned,,Definition of WAGONER. 1. : a person who drives a wagon or transports goods by wagon. capitalized obsolete : boÃ¶tes.
waggoner,noun,the driver of a horse-drawn wagon.
waggoners,noun,the driver of a horse-drawn wagon.
waggons,noun,a vehicle used for transporting goods or another specified purpose.
waging,verb,carry on (a war or campaign).
wagnerians,,"Definition of WAGNERIAN. : of, relating to, characteristic, or suggestive of Wagner or his music, stage operas, or theories."
wagon,noun,a vehicle used for transporting goods or another specified purpose.
wagoner,noun,the driver of a horse-drawn wagon.
wagoners,noun,the driver of a horse-drawn wagon.
wagonette,noun,"a four-wheeled horse-drawn pleasure vehicle, typically open, with facing side seats and one or two seats arranged crosswise in front."
wagonettes,noun,"a four-wheeled horse-drawn pleasure vehicle, typically open, with facing side seats and one or two seats arranged crosswise in front."
wagons,noun,a vehicle used for transporting goods or another specified purpose.
wags,noun,"a wife or girlfriend of a sports player, typically characterized as having a high media profile and a glamorous lifestyle."
wahine,noun,a Maori woman or wife.
wahines,noun,a Maori woman or wife.
wahoo,noun,a North American elm which yields useful timber.
wahoos,noun,a North American elm which yields useful timber.
way,noun,a sloping structure down which a new ship is launched.
way,noun,"a method, style, or manner of doing something; an optional or alternative form of action."
way,noun,"a road, track, or path for travelling along."
way,noun,parts into which something divides or is divided.
way,noun,forward motion or momentum of a ship or boat through water.
way,adverb,at or to a considerable distance or extent; far (used before an adverb or preposition for emphasis).
waybill,noun,a list of passengers or goods being carried on a vehicle.
waybills,noun,a list of passengers or goods being carried on a vehicle.
waif,noun,"a homeless, neglected, or abandoned person, especially a child."
wayfarer,noun,a person who travels on foot.
wayfarers,noun,a person who travels on foot.
wayfaring,noun,the action of travelling by foot.
wayfaring,adjective,(of a person) travelling on foot.
wayfarings,,"A wayfaring man means one who is on the way, one who lives on the way. Sanctification J. W. Byers. Every thing concerning our practice is plain even to wayfaring men."
waifing,,"Waifing is worth 14 points in Scrabble, and 16 points in Words with Friends. There are 7 letters in waifing: A F G I I N W. Words that start with waifing. Words that contain waifing."
waifs,noun,"a homeless, neglected, or abandoned person, especially a child."
wail,noun,"a prolonged high-pitched cry of pain, grief, or anger."
wail,verb,utter a wail.
waylay,verb,stop or interrupt (someone) and detain them in conversation or trouble them in some other way.
waylaid,verb,stop or interrupt (someone) and detain them in conversation or trouble them in some other way.
waylaying,verb,stop or interrupt (someone) and detain them in conversation or trouble them in some other way.
waylays,verb,stop or interrupt (someone) and detain them in conversation or trouble them in some other way.
wailed,verb,utter a wail.
wailful,,"Definition of WAILFUL. 1. : uttering a sound suggestive of wailing. : expressing grief or pain : sorrowful, mournful <a wailful cry>"
wailfully,,"Definition of WAILFUL. 1. : uttering a sound suggestive of wailing. : expressing grief or pain : sorrowful, mournful <a wailful cry>"
wailing,verb,utter a wail.
wails,noun,"a prolonged high-pitched cry of pain, grief, or anger."
wails,verb,utter a wail.
waymark,noun,"a sign forming one of a series used to mark out a route, especially a footpath or bridle path."
wain,noun,a wagon or cart.
wains,noun,a wagon or cart.
wainscot,noun,an area of wooden panelling on the lower part of the walls of a room.
wainscoted,verb,line (a room or wall) with wooden panelling.
wainscoting,noun,wooden panelling that lines the lower part of the walls of a room.
wainscots,noun,an area of wooden panelling on the lower part of the walls of a room.
wainscotted,noun,an area of wooden panelling on the lower part of the walls of a room.
wainscotting,verb,line (a room or wall) with wooden panelling.
wainwright,noun,a wagon-builder.
wainwrights,noun,a wagon-builder.
ways,suffix,forming adjectives and adverbs of direction or manner.
wayside,noun,the edge of a road.
waysides,noun,the edge of a road.
waist,noun,"the part of the human body below the ribs and above the hips, often narrower than the areas above and below."
waistband,noun,a strip of cloth forming the waist of a garment such as a skirt or a pair of trousers.
waistbands,noun,a strip of cloth forming the waist of a garment such as a skirt or a pair of trousers.
waistcoat,noun,"a close-fitting waist-length garment, typically having no sleeves or collar and buttoning down the front, worn especially by men over a shirt and under a jacket."
waistcoats,noun,"a close-fitting waist-length garment, typically having no sleeves or collar and buttoning down the front, worn especially by men over a shirt and under a jacket."
waisted,,Full Definition of WAIST. 1. a : the typically narrowed part of the body between the thorax and hips. b : the greatly constricted basal part of the abdomen of some insects (as wasps and flies)
waistline,noun,the measurement around a person's body at the waist.
waistlines,noun,the measurement around a person's body at the waist.
waists,noun,"the part of the human body below the ribs and above the hips, often narrower than the areas above and below."
wait,verb,stay where one is or delay action until a particular time or event.
wait,verb,remain in readiness for a purpose.
wait,verb,used to indicate that one is eagerly impatient to do something or for something to happen.
waited,verb,stay where one is or delay action until a particular time or event.
waited,verb,remain in readiness for a purpose.
waited,verb,used to indicate that one is eagerly impatient to do something or for something to happen.
waiter,noun,"a person who waits for a time, event, or opportunity."
waiter,noun,a man whose job is to serve customers at their tables in a restaurant.
waiters,noun,"a person who waits for a time, event, or opportunity."
waiters,noun,a man whose job is to serve customers at their tables in a restaurant.
waiting,noun,official attendance at court.
waiting,noun,the action of staying where one is or delaying action until a particular time or event.
waiting,noun,the action or occupation of working as a waiter or waitress.
waiting,verb,stay where one is or delay action until a particular time or event.
waiting,verb,remain in readiness for a purpose.
waiting,verb,used to indicate that one is eagerly impatient to do something or for something to happen.
waiting,verb,"act as a waiter or waitress, serving food and drink."
waitress,noun,a woman whose job is to serve customers at their tables in a restaurant.
waitresses,noun,a woman whose job is to serve customers at their tables in a restaurant.
waits,verb,stay where one is or delay action until a particular time or event.
waits,verb,remain in readiness for a purpose.
waits,verb,used to indicate that one is eagerly impatient to do something or for something to happen.
waive,verb,refrain from insisting on or using (a right or claim).
waived,verb,refrain from insisting on or using (a right or claim).
waiver,noun,an act or instance of waiving a right or claim.
waivers,noun,an act or instance of waiving a right or claim.
waives,verb,refrain from insisting on or using (a right or claim).
waiving,verb,refrain from insisting on or using (a right or claim).
wayward,adjective,difficult to control or predict because of wilful or perverse behaviour.
waywardly,,adjective. turned or turning away from what is right or proper; willful; disobedient: a wayward son; wayward behavior. swayed or prompted by caprice; capricious: a wayward impulse; to be wayward in one's affections.
waywardness,,adjective. turned or turning away from what is right or proper; willful; disobedient: a wayward son; wayward behavior. swayed or prompted by caprice; capricious: a wayward impulse; to be wayward in one's affections.
waka,noun,a traditional Maori canoe.
wake,verb,emerge or cause to emerge from sleep; stop sleeping.
waked,verb,emerge or cause to emerge from sleep; stop sleeping.
wakeful,adjective,(of a person) unable or not needing to sleep.
wakefulness,,"Wakefulness is a daily recurring brain state and state of consciousness in which an individual is conscious and engages in coherent cognitive and behavioral responses to the external world such as communication, ambulation, eating, and sex."
wakeless,,": sound, unbroken <wakeless sleep>"
waken,verb,another term for wake1 (sense 1 of the verb).
wakened,verb,another term for wake1 (sense 1 of the verb).
wakener,,Definition of WAKENER. archaic. : one that causes to waken.
wakening,verb,another term for wake1 (sense 1 of the verb).
wakens,verb,another term for wake1 (sense 1 of the verb).
waker,,"verb (used without object), waked or woke, waked or woken, waking. to become roused from sleep; awake; awaken; waken (often followed by up)."
wakers,,"verb (used without object), waked or woke, waked or woken, waking. to become roused from sleep; awake; awaken; waken (often followed by up)."
wakes,verb,emerge or cause to emerge from sleep; stop sleeping.
waking,noun,the state of being awake.
wale,noun,a ridge on a textured woven fabric such as corduroy.
waled,,"a streak, stripe, or ridge produced on the skin by the stroke of a rod or whip; welt. the vertical rib in knit goods or a chain of loops running lengthwise in knit fabric (opposed to course). the texture or weave of a fabric. Nautical. any of certain strakes of thick outside planking on the sides of a wooden ship."
waler,noun,"a horse of a typically light breed from Australia, especially from New South Wales."
wales,noun,a ridge on a textured woven fabric such as corduroy.
