x,noun,the twenty-fourth letter of the alphabet.
xanthate,noun,a salt or ester of xanthic acid.
xanthates,noun,a salt or ester of xanthic acid.
xanthic,adjective,yellowish.
xanthin,noun,a crystalline compound found in blood and urine which is an intermediate in the metabolic breakdown of nucleic acids to uric acid.
xanthine,noun,a crystalline compound found in blood and urine which is an intermediate in the metabolic breakdown of nucleic acids to uric acid.
xanthochroid,,<b>xanthochroid</b> xanÂ·thoÂ·chroid (zÄn'thÉ-kroid') adj. Having a light complexion and light hair. n. A person having a light complexion and light hair.
xanthoma,noun,"an irregular yellow patch or nodule on the skin, caused by deposition of lipids."
xanthophyll,noun,a yellow or brown carotenoid plant pigment which causes the autumn colours of leaves.
xanthous,,"<b>Definition</b> of <b>XANTHOUS</b>. 1. : having yellowish, red, auburn, or brown hair."
xebec,noun,a small three-masted Mediterranean sailing ship with lateen and square sails.
xebecs,noun,a small three-masted Mediterranean sailing ship with lateen and square sails.
xenia,,"<b>Xenia</b> (Greek: Î¾ÎµÎ½Î¯Î±, xenÃ­a, trans. ""guest-friendship"") is the ancient Greek concept of hospitality, the generosity and courtesy shown to those who are far from home and/or associates of the person bestowing guest-friendship."
xenobiology,,"<b>Xenobiology</b> (XB) is a subfield of synthetic biology, the study of synthesizing and manipulating biological devices and systems. <b>Xenobiology</b> derives from the term xenos (Greek) and means ""stranger, guest"". So XB describes a form of biology that is not (yet) familiar to science and is not found in nature."
xenobiologies,,"<b>Xenobiology</b> (XB) is a subfield of synthetic biology, the study of synthesizing and manipulating biological devices and systems. <b>Xenobiology</b> derives from the term xenos (Greek) and means ""stranger, guest"". So XB describes a form of biology that is not (yet) familiar to science and is not found in nature."
xenocryst,noun,a crystal in an igneous rock which is not derived from the original magma.
xenogamy,noun,fertilization of a flower by pollen from a flower on a genetically different plant.
xenograft,noun,a tissue graft or organ transplant from a donor of a different species from the recipient.
xenolith,noun,"a piece of rock within an igneous mass which is not derived from the original magma but has been introduced from elsewhere, especially the surrounding country rock."
xenolithic,,"A xenolith (Ancient Greek: ""foreign rock"") is a rock fragment which becomes enveloped in a larger rock during the latter's development and hardening. In geology, the term xenolith is almost exclusively used to describe inclusions in igneous rock during magma emplacement and eruption."
xenoliths,noun,"a piece of rock within an igneous mass which is not derived from the original magma but has been introduced from elsewhere, especially the surrounding country rock."
xenon,noun,"the chemical element of atomic number 54, a member of the noble gas series. It is obtained by distillation of liquid air, and is used in some specialized electric lamps."
xenophobe,noun,dislike of or prejudice against people from other countries.
xenophobes,,"<b>Definition</b> of <b>XENOPHOBE</b>. : one unduly fearful of <b>what is</b> foreign and especially of people of foreign origin. â xeÂ·noÂ·phoÂ·bic \Ëze-nÉ-ËfÅ-bik, ËzÄ-\ adjective. â xeÂ·noÂ·phoÂ·biÂ·calÂ·ly \-bi-k(É-)lÄ\ adverb."
xenophobia,noun,dislike of or prejudice against people from other countries.
xenophobic,adjective,having or showing a dislike of or prejudice against people from other countries.
