yabber,verb,chatter.
yabbers,verb,chatter.
yacht,verb,race or cruise in a yacht.
yacht,noun,a medium-sized sailing boat equipped for cruising or racing.
yachted,verb,race or cruise in a yacht.
yachter,,"A <b>yacht</b> /ËjÉt/ is a recreational boat or ship. The term originates from the Dutch word jacht ""hunt"". It was originally <b>defined</b> as a light fast sailing vessel used by the Dutch navy to pursue pirates and other transgressors around and into the shallow waters of the Low Countries."
yachting,verb,race or cruise in a yacht.
yachting,noun,the sport or pastime of racing or sailing in yachts.
yachtman,,Full <b>Definition</b> of <b>YACHTSMAN</b>. : a person who owns or sails a yacht.
yachtmen,noun,a person who sails yachts.
yachts,verb,race or cruise in a yacht.
yachts,noun,a medium-sized sailing boat equipped for cruising or racing.
yachtsman,noun,a person who sails yachts.
yachtsmen,noun,a person who sails yachts.
yachtswoman,noun,a woman who sails yachts.
yachtswomen,noun,a woman who sails yachts.
yack,noun,a trivial or unduly prolonged conversation.
yack,verb,talk at length about trivial or boring subjects.
yacked,verb,talk at length about trivial or boring subjects.
yacking,verb,talk at length about trivial or boring subjects.
yacks,verb,talk at length about trivial or boring subjects.
yah,exclamation,yes (used in representations of British upper-class speech).
yahoo,noun,"a rude, noisy, or violent person."
yahoo,exclamation,expressing great joy or excitement.
yahooism,,"n. ""a brute in human form,"" 1726, from the race of brutish human creatures in Swift's ""Gulliver's Travels."" The internet search engine so called from 1994. Slang definitions & phrases for Yahoo Expand."
yahoos,noun,"a rude, noisy, or violent person."
yahweh,noun,"a form of the Hebrew name of God used in the Bible. The name came to be regarded by Jews ( circa  300 BC) as too sacred to be spoken, and the vowel sounds are uncertain."
yay,exclamation,"expressing triumph, approval, or encouragement."
yay,adverb,(with adjectives of measure) to this extent; so.
yak,noun,a trivial or unduly prolonged conversation.
yak,verb,talk at length about trivial or boring subjects.
yak,noun,"a large domesticated wild ox with shaggy hair, humped shoulders, and large horns, used in Tibet as a pack animal and for its milk, meat, and hide."
yakka,noun,"work, especially of a strenuous physical kind."
yakked,verb,talk at length about trivial or boring subjects.
yakking,verb,talk at length about trivial or boring subjects.
yaks,verb,talk at length about trivial or boring subjects.
yaks,noun,"a large domesticated wild ox with shaggy hair, humped shoulders, and large horns, used in Tibet as a pack animal and for its milk, meat, and hide."
yale,noun,a type of lock with a latch bolt and a flat key with a serrated edge.
yam,noun,the plant which yields the yam.
yam,noun,"the edible starchy tuber of a climbing plant, widely distributed in tropical and subtropical countries."
yamen,,<b>Definition</b> of <b>YAMEN</b>. : the headquarters or residence of a Chinese government official or department.
yamens,,<b>Definition</b> of <b>YAMEN</b>. : the headquarters or residence of a Chinese government official or department.
yammer,noun,loud and sustained or repetitive noise.
yammer,verb,"make a loud, repetitive noise."
yammered,verb,"make a loud, repetitive noise."
yammering,verb,"make a loud, repetitive noise."
yammers,verb,"make a loud, repetitive noise."
yams,noun,the plant which yields the yam.
yams,noun,"the edible starchy tuber of a climbing plant, widely distributed in tropical and subtropical countries."
yan,,"<b>yan</b>. Origin. Along with ane and <b>yen, a Northumbrian</b> form of one, from the Old English Än. An example is ""<b>yan</b>, twee, tree"" for ""one, two, three""."
yang,noun,"(in Chinese philosophy) the active male principle of the universe, characterized as male and creative and associated with heaven, heat, and light."
yank,verb,pull with a jerk.
yank,noun,a sudden hard pull.
yanked,verb,pull with a jerk.
