zabaiones,,"Zabaione (written also sabayon, zabajone or zabaglione, Italian pronunciation: [dzabaÊËÊoËne] or [dzabaËjoËne]), is an Italian dessert, or sometimes a beverage, made with egg yolks, sugar, and a sweet wine (usually Marsala wine). The dessert version is a light custard, whipped to incorporate a large amount of air."
zachariah,,In American the meaning of the name Zachariah is: Memory of the Lord. Hebrew Meaning: The name Zachariah is a Hebrew baby name. In Hebrew the meaning of the name Zachariah is: Jehovah has remembered.. The name of 31 biblical persons including the prophet who wrote the Book of Zechariah.
zaftig,adjective,"(of a woman) having a full, rounded figure; plump."
zag,noun,a sharp change of direction in a zigzag course.
zag,verb,make a sharp change of direction.
zagged,verb,make a sharp change of direction.
zagging,verb,make a sharp change of direction.
zags,noun,a sharp change of direction in a zigzag course.
zags,verb,make a sharp change of direction.
zaibatsu,noun,a large Japanese business conglomerate.
zaire,noun,"the former basic monetary unit of Zaire (now the Democratic Republic of Congo), equal to 100 makuta."
zakat,noun,"payment made annually under Islamic law on certain kinds of property and used for charitable and religious purposes, one of the Five Pillars of Islam."
zany,noun,a zany person.
zany,adjective,amusingly unconventional and idiosyncratic.
zanier,adjective,amusingly unconventional and idiosyncratic.
zanies,noun,a zany person.
zaniest,adjective,amusingly unconventional and idiosyncratic.
zanyish,,"Zanyish is worth 22 points in Scrabble, and 21 points in Words with Friends. There are 7 letters in zanyish: A H I N S Y Z. Words that start with zanyish. Words that contain zanyish."
zaniness,,Definition of ZANY. 1. : a subordinate clown or acrobat in old comedies who mimics ludicrously the tricks of the principal : merry-andrew. 2. : a slavish follower : toady.
zap,verb,destroy or obliterate.
zap,verb,move or cause to move suddenly and rapidly.
zap,noun,"a sudden effect or event that makes a dramatic impact, especially a sudden burst of energy or sound."
zapped,verb,destroy or obliterate.
zapped,verb,move or cause to move suddenly and rapidly.
zapping,verb,destroy or obliterate.
zapping,verb,move or cause to move suddenly and rapidly.
zaps,verb,destroy or obliterate.
zaps,verb,move or cause to move suddenly and rapidly.
zaps,noun,"a sudden effect or event that makes a dramatic impact, especially a sudden burst of energy or sound."
zarfs,,"A zarf (plural: zarfs, zuruuf, zarves) is a holder, usually of ornamental metal, for a coffee cup without a handle (demitasse or fincan)."
zazen,noun,"Zen meditation, usually conducted in the lotus position."
zeal,noun,great energy or enthusiasm in pursuit of a cause or an objective.
zealander,,"New Zealand definition. Nation in the southern Pacific Ocean containing two principal islands â North Island and South Island â and several small outlying islands. Its capital is Wellington, and its largest city is Auckland."
zealanders,,The term European New Zealanders or PÄkehÄ refers to New Zealanders of European descent.
zealot,noun,"a person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals."
zealotry,noun,"fanatical and uncompromising pursuit of religious, political, or other ideals; fanaticism."
zealots,noun,"a person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals."
zealous,adjective,having or showing zeal.
zealously,,"Zealous is the adjective for the noun zeal ""eager partisanship""; the latter has a long e, but zealous has a short one: ZEL-uhs. It can have a slightly negative connotation, and people are sometimes described as ""overzealous,"" meaning they try too hard."
zealousness,,"Full Definition of ZEALOUS. : marked by fervent partisanship for a person, a cause, or an ideal : filled with or characterized by zeal <zealous missionaries> â zealÂ·ousÂ·ly adverb. â zealÂ·ousÂ·ness noun."
zeals,,"zeal. (zÄl) Enthusiastic devotion to a cause, ideal, or goal. See Synonyms at passion. [Middle English zele, from Old French zel, from Late Latin zÄlus, from Greek zÄlos.]"
zebeck,noun,a small three-masted Mediterranean sailing ship with lateen and square sails.
zebecks,noun,a small three-masted Mediterranean sailing ship with lateen and square sails.
zebecs,noun,a small three-masted Mediterranean sailing ship with lateen and square sails.
zebra,noun,an African wild horse with black-and-white stripes and an erect mane.
zebra,noun,"a large butterfly with pale stripes on a dark background, in particular:"
zebras,noun,"a large butterfly with pale stripes on a dark background, in particular:"
zebras,noun,an African wild horse with black-and-white stripes and an erect mane.
zebrass,,Definition of ZEBRASS. : a hybrid produced by breeding a zebra with an ass.
zebu,noun,another term for Brahmin (sense 3).
zebus,noun,another term for Brahmin (sense 3).
zed,noun,the letter Z.
zeds,noun,the letter Z.
zee,noun,the letter Z.
zees,noun,the letter Z.
zeins,,"Definition of ZEIN. : a protein from corn that lacks lysine and tryptophan and is used especially in making textile fibers, plastics, printing inks, coatings, and adhesives and sizes."
zeitgeist,noun,the defining spirit or mood of a particular period of history as shown by the ideas and beliefs of the time.
zemstvos,,"The zemstvo (Russian: ÐÐµÐ¼ÑÑÐ²Ð¾; IPA: [ËzÊ²ÉmstvÉ], plural zemstva) was a form of local government that was instituted during the great liberal reforms performed in Imperial Russia by Alexander II of Russia."
zen,noun,a Japanese school of Mahayana Buddhism emphasizing the value of meditation and intuition rather than ritual worship or study of scriptures.
zenana,noun,(in India and Iran) the part of a house for the seclusion of women.
zenanas,noun,(in India and Iran) the part of a house for the seclusion of women.
zenith,noun,the time at which something is most powerful or successful.
zeniths,noun,the time at which something is most powerful or successful.
zeolite,noun,"any of a large group of minerals consisting of hydrated aluminosilicates of sodium, potassium, calcium, and barium. They can be readily dehydrated and rehydrated, and are used as cation exchangers and molecular sieves."
zeppelin,noun,"a large German dirigible airship of the early 20th century, long and cylindrical in shape and with a rigid framework. Zeppelins were used during the First World War for reconnaissance and bombing, and after the war as passenger transports until the 1930s."
zeppelins,noun,"a large German dirigible airship of the early 20th century, long and cylindrical in shape and with a rigid framework. Zeppelins were used during the First World War for reconnaissance and bombing, and after the war as passenger transports until the 1930s."
zero,number,no quantity or number; nought; the figure 0.
zero,verb,adjust (an instrument) to zero.
zero,verb,set the sights of (a gun) for firing.
zeroed,verb,adjust (an instrument) to zero.
zeroed,verb,set the sights of (a gun) for firing.
zeroes,verb,adjust (an instrument) to zero.
zeroes,verb,set the sights of (a gun) for firing.
zeroing,verb,adjust (an instrument) to zero.
zeroing,verb,set the sights of (a gun) for firing.
zeros,number,no quantity or number; nought; the figure 0.
zest,verb,scrape off the outer coloured part of the peel of (a piece of citrus fruit) for use as flavouring.
zest,noun,great enthusiasm and energy.
zest,noun,"the outer coloured part of the peel of citrus fruit, used as flavouring."
