a,noun,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation
a,noun,any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes
a,noun,one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
a,noun,(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA
a,noun,the basic unit of electric current adopted under the Systeme International d'Unites
a,noun,the 1st letter of the Roman alphabet
a,noun,the blood group whose red cells carry the A antigen
aa,noun,a dry form of lava resembling clinkers
aa,noun,an international organization that provides a support group for persons trying to overcome alcoholism
aa,noun,an associate degree in arts
aaa,noun,an aneurysm of the abdominal aorta associated with old age and hypertension
aah,verb,express admiration and pleasure by uttering `ooh' or `aah'
aahed,verb,express admiration and pleasure by uttering `ooh' or `aah'
aahing,verb,express admiration and pleasure by uttering `ooh' or `aah'
aahs,verb,express admiration and pleasure by uttering `ooh' or `aah'
aalii,noun,a small Hawaiian tree with hard dark wood
aaliis,noun,a small Hawaiian tree with hard dark wood
aardvark,noun,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aardvarks,noun,nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata
aardwolf,noun,striped hyena of southeast Africa that feeds chiefly on insects
aardwolves,noun,striped hyena of southeast Africa that feeds chiefly on insects
aaron,noun,United States professional baseball player who hit more home runs than Babe Ruth (born in 1934)
aaron,noun,(Old Testament) elder brother of Moses and first high priest of the Israelites; created the golden calf
aas,noun,an associate degree in applied science
aas,noun,a dry form of lava resembling clinkers
aas,noun,an international organization that provides a support group for persons trying to overcome alcoholism
aas,noun,an associate degree in arts
ab,noun,a bachelor's degree in arts and sciences
ab,noun,the eleventh month of the civil year; the fifth month of the ecclesiastical year in the Jewish calendar (in July and August)
ab,noun,the muscles of the abdomen
ab,noun,the blood group whose red cells carry both the A and B antigens
aba,noun,a loose sleeveless outer garment made from aba cloth; worn by Arabs
aba,noun,a fabric woven from goat hair and camel hair
abaca,noun,a kind of hemp obtained from the abaca plant in the Philippines
abaca,noun,Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
abacas,noun,a kind of hemp obtained from the abaca plant in the Philippines
abacas,noun,Philippine banana tree having leafstalks that yield Manila hemp used for rope and paper etc
abaci,noun,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abaci,noun,a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
abacinate,verb,blind by holding a red-hot metal plate before someone's eyes
aback,adverb,having the wind against the forward side of the sails
aback,adverb,by surprise
abactinal,adjective,(of radiate animals) located on the surface or end opposite to that on which the mouth is situated
abacus,noun,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abacus,noun,a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
abacuses,noun,a tablet placed horizontally on top of the capital of a column as an aid in supporting the architrave
abacuses,noun,a calculator that performs arithmetic functions by manually sliding counters on rods or in grooves
abaft,adverb,at or near or toward the stern of a ship or tail of an airplane
abalone,noun,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
abalones,noun,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
abamp,noun,a unit of current equal to 10 amperes
abampere,noun,a unit of current equal to 10 amperes
abamperes,noun,a unit of current equal to 10 amperes
abamps,noun,a unit of current equal to 10 amperes
abandon,noun,the trait of lacking restraint or control; reckless freedom from inhibition or worry
abandon,noun,a feeling of extreme emotional intensity
abandon,verb,"forsake, leave behind"
abandon,verb,give up with the intent of never claiming again
abandon,verb,leave behind empty; move out of
abandon,verb,stop maintaining or insisting on; of ideas or claims
abandon,verb,leave someone who needs or counts on you; leave in the lurch
abandoned,verb,"forsake, leave behind"
abandoned,verb,give up with the intent of never claiming again
abandoned,verb,leave behind empty; move out of
abandoned,verb,stop maintaining or insisting on; of ideas or claims
abandoned,verb,leave someone who needs or counts on you; leave in the lurch
abandoned,s,forsaken by owner or inhabitants
abandoned,s,free from constraint
abandoning,verb,"forsake, leave behind"
abandoning,verb,give up with the intent of never claiming again
abandoning,verb,leave behind empty; move out of
abandoning,verb,stop maintaining or insisting on; of ideas or claims
abandoning,verb,leave someone who needs or counts on you; leave in the lurch
abandonment,noun,the act of giving something up
abandonment,noun,withdrawing support or help despite allegiance or responsibility
abandonment,noun,the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
abandonments,noun,the act of giving something up
abandonments,noun,withdrawing support or help despite allegiance or responsibility
abandonments,noun,the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away
abandons,noun,the trait of lacking restraint or control; reckless freedom from inhibition or worry
abandons,noun,a feeling of extreme emotional intensity
abandons,verb,"forsake, leave behind"
abandons,verb,give up with the intent of never claiming again
abandons,verb,leave behind empty; move out of
abandons,verb,stop maintaining or insisting on; of ideas or claims
abandons,verb,leave someone who needs or counts on you; leave in the lurch
abarticulation,noun,dislocation of a joint
abas,noun,a loose sleeveless outer garment made from aba cloth; worn by Arabs
abas,noun,a fabric woven from goat hair and camel hair
abase,verb,cause to feel shame; hurt the pride of
abased,verb,cause to feel shame; hurt the pride of
abasement,noun,a low or downcast state
abasement,noun,depriving one of self-esteem
abasements,noun,a low or downcast state
abasements,noun,depriving one of self-esteem
abases,noun,a loose sleeveless outer garment made from aba cloth; worn by Arabs
abases,noun,a fabric woven from goat hair and camel hair
abases,verb,cause to feel shame; hurt the pride of
abash,verb,cause to be embarrassed; cause to feel self-conscious
abashed,verb,cause to be embarrassed; cause to feel self-conscious
abashed,s,feeling or caused to feel uneasy and self-conscious
abashes,verb,cause to be embarrassed; cause to feel self-conscious
abashing,verb,cause to be embarrassed; cause to feel self-conscious
abashment,noun,feeling embarrassed due to modesty
abashments,noun,feeling embarrassed due to modesty
abasia,noun,inability to walk
abasias,noun,inability to walk
abasic,adjective,of or relating to abasia (inability to walk)
abasing,verb,cause to feel shame; hurt the pride of
abatable,s,capable of being abated
abate,verb,make less active or intense
abate,verb,become less in amount or intensity
abated,verb,make less active or intense
abated,verb,become less in amount or intensity
abatement,noun,an interruption in the intensity or amount of something
abatement,noun,the act of abating
abatements,noun,an interruption in the intensity or amount of something
abatements,noun,the act of abating
abates,verb,make less active or intense
abates,verb,become less in amount or intensity
abatic,adjective,of or relating to abasia (inability to walk)
abating,verb,make less active or intense
abating,verb,become less in amount or intensity
abatis,noun,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy
abatises,noun,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy
abator,noun,a person who abates a nuisance
abators,noun,a person who abates a nuisance
abattis,noun,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy
abattises,noun,a line of defense consisting of a barrier of felled or live trees with branches (sharpened or with barbed wire entwined) pointed toward the enemy
abattoir,noun,a building where animals are butchered
abattoirs,noun,a building where animals are butchered
abaxial,adjective,facing away from the axis of an organ or organism
abb,noun,an urban hit squad and guerrilla group of the Communist Party in the Philippines; formed in the 1980s
abbacy,noun,the jurisdiction or office of an abbot
abbacies,noun,the jurisdiction or office of an abbot
abbatial,adjective,"of or having to do with or belonging to an abbey or abbot, or abbess"
abbe,noun,a French abbot
abbey,noun,a church associated with a monastery or convent
abbey,noun,a convent ruled by an abbess
abbey,noun,a monastery ruled by an abbot
abbeys,noun,a church associated with a monastery or convent
abbeys,noun,a convent ruled by an abbess
abbeys,noun,a monastery ruled by an abbot
abbes,noun,a French abbot
abbess,noun,the superior of a group of nuns
abbesses,noun,the superior of a group of nuns
abbot,noun,the superior of an abbey of monks
abbots,noun,the superior of an abbey of monks
abbreviate,verb,reduce in scope while retaining essential elements
abbreviate,verb,shorten
abbreviated,verb,reduce in scope while retaining essential elements
abbreviated,verb,shorten
abbreviated,s,(of clothing) very short
abbreviated,s,cut short in duration
abbreviates,verb,reduce in scope while retaining essential elements
abbreviates,verb,shorten
abbreviating,verb,reduce in scope while retaining essential elements
abbreviating,verb,shorten
abbreviation,noun,a shortened form of a word or phrase
abbreviation,noun,shortening something by omitting parts of it
abbreviations,noun,a shortened form of a word or phrase
abbreviations,noun,shortening something by omitting parts of it
abbreviator,noun,one who shortens or abridges or condenses a written work
abbreviators,noun,one who shortens or abridges or condenses a written work
abc,noun,the elementary stages of any subject (usually plural)
abcoulomb,noun,a unit of electrical charge equal to 10 coulombs
abdicable,s,capable of being discarded or renounced or relinquished
abdicate,verb,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abdicated,verb,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abdicates,verb,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abdicating,verb,"give up, such as power, as of monarchs and emperors, or duties and obligations"
abdication,noun,a formal resignation and renunciation of powers
abdication,noun,the act of abdicating
abdications,noun,a formal resignation and renunciation of powers
abdications,noun,the act of abdicating
abdicator,noun,one who formally relinquishes an office or responsibility
abdomen,noun,the region of the body of a vertebrate between the thorax and the pelvis
abdomen,noun,the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
abdomens,noun,the region of the body of a vertebrate between the thorax and the pelvis
abdomens,noun,the cavity containing the major viscera; in mammals it is separated from the thorax by the diaphragm
abdominal,noun,the muscles of the abdomen
abdominal,adjective,of or relating to or near the abdomen
abdominals,noun,the muscles of the abdomen
abdominocentesis,noun,centesis of the belly to remove fluid for diagnosis
abdominous,s,having a large belly
abdominovesical,adjective,of or relating to the abdomen and the urinary bladder
abduce,verb,advance evidence for
abduced,verb,advance evidence for
abducens,noun,a small motor nerve supplying the lateral rectus muscle of the eye
abducent,noun,a small motor nerve supplying the lateral rectus muscle of the eye
abducent,adjective,especially of muscles; drawing away from the midline of the body or from an adjacent part
abduces,verb,advance evidence for
abducing,verb,advance evidence for
abduct,verb,take away to an undisclosed location against their will and usually in order to extract a ransom
abduct,verb,pull away from the body
abducted,verb,take away to an undisclosed location against their will and usually in order to extract a ransom
abducted,verb,pull away from the body
abducting,verb,take away to an undisclosed location against their will and usually in order to extract a ransom
abducting,verb,pull away from the body
abducting,adjective,especially of muscles; drawing away from the midline of the body or from an adjacent part
abduction,noun,the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
abduction,noun,(physiology) moving of a body part away from the central axis of the body
abductions,noun,the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
abductions,noun,(physiology) moving of a body part away from the central axis of the body
abductor,noun,someone who unlawfully seizes and detains a victim (usually for ransom)
abductor,noun,a muscle that draws a body part away from the median line
abductors,noun,someone who unlawfully seizes and detains a victim (usually for ransom)
abductors,noun,a muscle that draws a body part away from the median line
abducts,verb,take away to an undisclosed location against their will and usually in order to extract a ransom
abducts,verb,pull away from the body
abeam,adverb,at right angles to the length of a ship or airplane
abecedarian,noun,a novice learning the rudiments of some subject
abecedarian,noun,a 16th century sect of Anabaptists centered in Germany who had an absolute disdain for human knowledge
abecedarian,s,alphabetically arranged (as for beginning readers)
