b,noun,aerobic rod-shaped spore-producing bacterium; often occurring in chainlike formations; found primarily in soil
b,noun,originally thought to be a single vitamin but now separated into several B vitamins
b,noun,a trivalent metalloid element; occurs both in a hard black crystal and in the form of a yellow or brown powder
b,noun,a logarithmic unit of sound intensity equal to 10 decibels
b,noun,(physics) a unit of nuclear cross section; the effective circular area that one particle presents to another as a target for an encounter
b,noun,the 2nd letter of the Roman alphabet
b,noun,the blood group whose red cells carry the B antigen
ba,noun,a soft silvery metallic element of the alkali earth group; found in barite
ba,noun,a bachelor's degree in arts and sciences
baa,noun,the cry made by sheep
baa,verb,cry plaintively
baaed,verb,cry plaintively
baaing,verb,cry plaintively
baal,noun,any of numerous local fertility and nature deities worshipped by ancient Semitic peoples; the Hebrews considered Baal a false god
baals,noun,any of numerous local fertility and nature deities worshipped by ancient Semitic peoples; the Hebrews considered Baal a false god
baas,noun,South African term for `boss'
baas,noun,the cry made by sheep
baas,verb,cry plaintively
baba,noun,a small cake leavened with yeast
babas,noun,a small cake leavened with yeast
babassu,noun,tall feather palm of northern Brazil with hard-shelled nuts yielding valuable oil and a kind of vegetable ivory
babassus,noun,tall feather palm of northern Brazil with hard-shelled nuts yielding valuable oil and a kind of vegetable ivory
babbitt,noun,an alloy of tin with some copper and antimony; a lining for bearings that reduces friction
babbitt,verb,line with a Babbitt metal
babbitted,verb,line with a Babbitt metal
babbittess,verb,line with a Babbitt metal
babbitting,noun,lining a surface or bearing with Babbitt metal
babbitting,verb,line with a Babbitt metal
babbitts,noun,an alloy of tin with some copper and antimony; a lining for bearings that reduces friction
babbitts,verb,line with a Babbitt metal
babble,noun,gibberish resembling the sounds of a baby
babble,verb,"utter meaningless sounds, like a baby, or utter in an incoherent way"
babble,verb,to talk foolishly
babble,verb,flow in an irregular current with a bubbling noise
babble,verb,divulge confidential information or secrets
babbled,verb,"utter meaningless sounds, like a baby, or utter in an incoherent way"
babbled,verb,to talk foolishly
babbled,verb,flow in an irregular current with a bubbling noise
babbled,verb,divulge confidential information or secrets
babbler,noun,an obnoxious and foolish and loquacious talker
babbler,noun,any of various insectivorous Old World birds with a loud incessant song; in some classifications considered members of the family Muscicapidae
babblers,noun,an obnoxious and foolish and loquacious talker
babblers,noun,any of various insectivorous Old World birds with a loud incessant song; in some classifications considered members of the family Muscicapidae
babbles,noun,gibberish resembling the sounds of a baby
babbles,verb,"utter meaningless sounds, like a baby, or utter in an incoherent way"
babbles,verb,to talk foolishly
babbles,verb,flow in an irregular current with a bubbling noise
babbles,verb,divulge confidential information or secrets
babbling,noun,gibberish resembling the sounds of a baby
babbling,verb,"utter meaningless sounds, like a baby, or utter in an incoherent way"
babbling,verb,to talk foolishly
babbling,verb,flow in an irregular current with a bubbling noise
babbling,verb,divulge confidential information or secrets
babblings,noun,gibberish resembling the sounds of a baby
babblings,verb,"utter meaningless sounds, like a baby, or utter in an incoherent way"
babblings,verb,to talk foolishly
babblings,verb,flow in an irregular current with a bubbling noise
babblings,verb,divulge confidential information or secrets
babe,noun,a very young child (birth to 1 year) who has not yet begun to walk or talk
babe,noun,(slang) sometimes used as a term of address for attractive young women
babel,noun,(Genesis 11:1-11) a tower built by Noah's descendants (probably in Babylon) who intended it to reach up to heaven; God foiled them by confusing their language so they could no longer understand one another
babel,noun,a confusion of voices and other sounds
babelike,s,like a baby especially in dependence
babels,noun,(Genesis 11:1-11) a tower built by Noah's descendants (probably in Babylon) who intended it to reach up to heaven; God foiled them by confusing their language so they could no longer understand one another
babels,noun,a confusion of voices and other sounds
babes,noun,a very young child (birth to 1 year) who has not yet begun to walk or talk
babes,noun,(slang) sometimes used as a term of address for attractive young women
baby,noun,a very young child (birth to 1 year) who has not yet begun to walk or talk
baby,noun,the youngest member of a group (not necessarily young)
baby,noun,an immature childish person
baby,noun,an unborn child; a human fetus
baby,noun,(slang) sometimes used as a term of address for attractive young women
baby,noun,a very young mammal
baby,noun,a project of personal concern to someone
baby,verb,treat with excessive indulgence
babied,verb,treat with excessive indulgence
babies,noun,a very young child (birth to 1 year) who has not yet begun to walk or talk
babies,noun,the youngest member of a group (not necessarily young)
babies,noun,an immature childish person
babies,noun,an unborn child; a human fetus
babies,noun,(slang) sometimes used as a term of address for attractive young women
babies,noun,a very young mammal
babies,noun,a project of personal concern to someone
babies,verb,treat with excessive indulgence
babyhood,noun,the early stage of growth or development
babyhood,noun,the earliest state of immaturity
babyhoods,noun,the early stage of growth or development
babyhoods,noun,the earliest state of immaturity
babying,verb,treat with excessive indulgence
babyish,s,characteristic of a baby
babylon,noun,the chief city of ancient Mesopotamia and capital of the ancient kingdom of Babylonia
babylonia,noun,an ancient kingdom in southern Mesopotamia; Babylonia conquered Israel in the 6th century BC and exiled the Jews to Babylon (where Daniel became a counselor to the king)
babylonian,noun,an inhabitant of ancient Babylon
babylonian,noun,the ideographic and syllabic writing system in which the ancient Babylonian language was written
babylonian,adjective,of or relating to the city of Babylon or its people or culture
babylonians,noun,an inhabitant of ancient Babylon
babylonians,noun,the ideographic and syllabic writing system in which the ancient Babylonian language was written
babiroussa,noun,Indonesian wild pig with enormous curved canine teeth
babirusa,noun,Indonesian wild pig with enormous curved canine teeth
babirusas,noun,Indonesian wild pig with enormous curved canine teeth
babirussa,noun,Indonesian wild pig with enormous curved canine teeth
babysitter,noun,a person engaged to care for children when the parents are not home
babysitting,noun,the work of a baby sitter; caring for children when their parents are not home
babka,noun,a coffee cake flavored with orange rind and raisins and almonds
babkas,noun,a coffee cake flavored with orange rind and raisins and almonds
baboo,noun,used as a Hindi courtesy title; equivalent to English `Mr'
baboon,noun,large terrestrial monkeys having doglike muzzles
baboonish,adjective,resembling a baboon
baboons,noun,large terrestrial monkeys having doglike muzzles
baboos,noun,used as a Hindi courtesy title; equivalent to English `Mr'
babu,noun,used as a Hindi courtesy title; equivalent to English `Mr'
babus,noun,used as a Hindi courtesy title; equivalent to English `Mr'
babushka,noun,a woman's headscarf folded into a triangle and tied under the chin; worn by Russian peasant women
babushkas,noun,a woman's headscarf folded into a triangle and tied under the chin; worn by Russian peasant women
bacca,noun,an indehiscent fruit derived from a single ovary having one or many seeds within a fleshy wall or pericarp: e.g. grape; tomato; cranberry
baccalaureate,noun,a farewell sermon to a graduating class at their commencement ceremonies
baccalaureate,noun,an academic degree conferred on someone who has successfully completed undergraduate studies
baccalaureates,noun,a farewell sermon to a graduating class at their commencement ceremonies
baccalaureates,noun,an academic degree conferred on someone who has successfully completed undergraduate studies
baccarat,noun,a card game played in casinos in which two or more punters gamble against the banker; the player wins who holds 2 or 3 cards that total closest to nine
baccarats,noun,a card game played in casinos in which two or more punters gamble against the banker; the player wins who holds 2 or 3 cards that total closest to nine
baccate,adjective,resembling a berry
baccate,s,producing or bearing berries
bacchanal,noun,someone who engages in drinking bouts
bacchanal,noun,a drunken reveller; a devotee of Bacchus
bacchanal,noun,a wild gathering involving excessive drinking and promiscuity
bacchanal,s,used of riotously drunken merrymaking
bacchanalia,noun,an orgiastic festival in ancient Greece in honor of Dionysus (= Bacchus)
bacchanalia,noun,a wild gathering involving excessive drinking and promiscuity
bacchanalian,s,used of riotously drunken merrymaking
bacchanalias,noun,an orgiastic festival in ancient Greece in honor of Dionysus (= Bacchus)
bacchanalias,noun,a wild gathering involving excessive drinking and promiscuity
bacchanals,noun,someone who engages in drinking bouts
bacchanals,noun,a drunken reveller; a devotee of Bacchus
bacchanals,noun,a wild gathering involving excessive drinking and promiscuity
bacchant,noun,someone who engages in drinking bouts
bacchant,noun,a drunken reveller; a devotee of Bacchus
bacchant,noun,(classical mythology) a priest or votary of Bacchus
bacchante,noun,(classical mythology) a priestess or votary of Bacchus
bacchantes,noun,someone who engages in drinking bouts
bacchantes,noun,a drunken reveller; a devotee of Bacchus
bacchantes,noun,(classical mythology) a priest or votary of Bacchus
bacchantes,noun,(classical mythology) a priestess or votary of Bacchus
bacchantic,adjective,of or relating to or resembling a bacchanalian reveler
bacchants,noun,someone who engages in drinking bouts
bacchants,noun,a drunken reveller; a devotee of Bacchus
bacchants,noun,(classical mythology) a priest or votary of Bacchus
baccharis,noun,shrubs of western hemisphere often having honey-scented flowers followed by silky thistlelike heads of tiny fruits; often used for erosion control
bacchic,s,used of riotously drunken merrymaking
bacchus,noun,(classical mythology) god of wine; equivalent of Dionysus
baccy,noun,leaves of the tobacco plant dried and prepared for smoking or ingestion
baccies,noun,leaves of the tobacco plant dried and prepared for smoking or ingestion
bacciferous,s,producing or bearing berries
baccivorous,s,feeding on berries
bach,noun,German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)
bach,noun,the music of Bach
bach,verb,lead a bachelor's existence
bached,verb,lead a bachelor's existence
bachelor,noun,a man who has never been married
bachelor,noun,a knight of the lowest order; could display only a pennon
bachelor,verb,lead a bachelor's existence
bachelorette,noun,a young unmarried woman who lives alone
bachelorhood,noun,the time of a man's life prior to marriage
bachelorhood,noun,the state of being an unmarried man
bachelors,noun,a man who has never been married
bachelors,noun,a knight of the lowest order; could display only a pennon
bachelors,verb,lead a bachelor's existence
baches,noun,German baroque organist and contrapuntist; composed mostly keyboard music; one of the greatest creators of western music (1685-1750)
baches,noun,the music of Bach
baches,verb,lead a bachelor's existence
baching,verb,lead a bachelor's existence
bacillaceae,noun,typically rod-shaped usually Gram-positive bacteria that produce endospores
bacillar,adjective,relating to or produced by or containing bacilli
bacillar,s,formed like a bacillus
bacillary,adjective,relating to or produced by or containing bacilli
bacillary,s,formed like a bacillus
bacilli,noun,aerobic rod-shaped spore-producing bacterium; often occurring in chainlike formations; found primarily in soil
bacilliform,s,formed like a bacillus
bacillus,noun,aerobic rod-shaped spore-producing bacterium; often occurring in chainlike formations; found primarily in soil
bacitracin,noun,a polypeptide antibiotic of known chemical structure effective against several types of Gram-positive organisms; usually applied locally
back,noun,the posterior part of a human (or animal) body from the neck to the end of the spine
back,noun,the side that goes last or is not normally seen
back,noun,the part of something that is furthest from the normal viewer
back,noun,(football) a person who plays in the backfield
back,noun,the series of vertebrae forming the axis of the skeleton and protecting the spinal cord
back,noun,"the protective covering on the front, back, and spine of a book"
back,noun,the part of a garment that covers the back of your body
back,noun,a support that you can lean against while sitting
back,noun,(American football) the position of a player on a football team who is stationed behind the line of scrimmage
back,verb,be behind; approve of
back,verb,travel backward
back,verb,give support or one's approval to
back,verb,cause to travel backward
back,verb,support financial backing for
back,verb,be in back of
back,verb,place a bet on
back,verb,shift to a counterclockwise direction
back,verb,establish as valid or genuine
back,verb,strengthen by providing with a back or backing
back,adjective,related to or located at the back
back,s,located at or near the back of an animal
back,s,of an earlier date
back,adverb,in or to or toward a former location
back,adverb,at or to or toward the back or rear
back,adverb,in or to or toward an original condition
back,adverb,in or to or toward a past time
back,adverb,in reply
back,adverb,in repayment or retaliation
backache,noun,an ache localized in the back
backaches,noun,an ache localized in the back
backband,noun,a broad band that passes over the back of a horse and supports the shafts of a vehicle
backbeat,noun,a loud steady beat
backbeats,noun,a loud steady beat
backbencher,noun,a member of the House of Commons who is not a party leader
backbenchers,noun,a member of the House of Commons who is not a party leader
backbend,noun,an acrobatic feat in which the trunk is bent backward from a standing position until the hands touch the floor
backbends,noun,an acrobatic feat in which the trunk is bent backward from a standing position until the hands touch the floor
backbit,verb,say mean things
backbite,verb,say mean things
backbiter,noun,one who attacks the reputation of another by slander or libel
backbiters,noun,one who attacks the reputation of another by slander or libel
backbites,verb,say mean things
backbiting,verb,say mean things
