d,noun,a fat-soluble vitamin that prevents rickets
d,noun,the cardinal number that is the product of one hundred and five
d,noun,the 4th letter of the Roman alphabet
d,s,denoting a quantity consisting of 500 items or units
da,noun,an official prosecutor for a judicial district
dab,noun,a light touch or stroke
dab,noun,a small quantity of something moist or liquid
dab,verb,apply (usually a liquid) to a surface
dab,verb,hit lightly
dabbed,verb,apply (usually a liquid) to a surface
dabbed,verb,hit lightly
dabbing,verb,apply (usually a liquid) to a surface
dabbing,verb,hit lightly
dabble,verb,dip a foot or hand briefly into a liquid
dabble,verb,"play in or as if in water, as of small children"
dabble,verb,work with in an amateurish manner
dabble,verb,bob forward and under so as to feed off the bottom of a body of water
dabbled,verb,dip a foot or hand briefly into a liquid
dabbled,verb,"play in or as if in water, as of small children"
dabbled,verb,work with in an amateurish manner
dabbled,verb,bob forward and under so as to feed off the bottom of a body of water
dabbled,s,covered with bright patches (often used in combination)
dabbler,noun,an amateur who engages in an activity without serious intentions and who pretends to have knowledge
dabbler,noun,any of numerous shallow-water ducks that feed by upending and dabbling
dabblers,noun,an amateur who engages in an activity without serious intentions and who pretends to have knowledge
dabblers,noun,any of numerous shallow-water ducks that feed by upending and dabbling
dabbles,verb,dip a foot or hand briefly into a liquid
dabbles,verb,"play in or as if in water, as of small children"
dabbles,verb,work with in an amateurish manner
dabbles,verb,bob forward and under so as to feed off the bottom of a body of water
dabbling,verb,dip a foot or hand briefly into a liquid
dabbling,verb,"play in or as if in water, as of small children"
dabbling,verb,work with in an amateurish manner
dabbling,verb,bob forward and under so as to feed off the bottom of a body of water
dabblings,verb,dip a foot or hand briefly into a liquid
dabblings,verb,"play in or as if in water, as of small children"
dabblings,verb,work with in an amateurish manner
dabblings,verb,bob forward and under so as to feed off the bottom of a body of water
dabchick,noun,small European grebe
dabchicks,noun,small European grebe
dabs,noun,a light touch or stroke
dabs,noun,a small quantity of something moist or liquid
dabs,verb,apply (usually a liquid) to a surface
dabs,verb,hit lightly
dace,noun,small European freshwater fish with a slender bluish-green body
dacelo,noun,Australasian kingfishers
daces,noun,small European freshwater fish with a slender bluish-green body
dacha,noun,Russian country house
dachas,noun,Russian country house
dachshund,noun,small long-bodied short-legged German breed of dog having a short sleek coat and long drooping ears; suited for following game into burrows
dachshunds,noun,small long-bodied short-legged German breed of dog having a short sleek coat and long drooping ears; suited for following game into burrows
dacite,noun,a grey volcanic rock containing plagioclase and quartz and other crystalline minerals
dacitic,adjective,relating to or consisting of dacite
dacoit,noun,a member of an armed gang of robbers
dacoity,noun,robbery by a gang of armed dacoits
dacoities,noun,robbery by a gang of armed dacoits
dacoits,noun,a member of an armed gang of robbers
dacrydium,noun,Australasian evergreen trees or shrubs
dacryocyst,noun,either of the two dilated ends of the lacrimal ducts at the nasal ends of the eyes that fill with tears secreted by the lacrimal glands
dacryocystitis,noun,inflammation of the lacrimal sac causing obstruction of the tube draining tears into the nose
dacryon,noun,the craniometric point at the junction of the anterior border of the lacrimal bone with the frontal bone
dacron,noun,a kind of polyester fabric
dactyl,noun,a metrical unit with stressed-unstressed-unstressed syllables
dactyl,noun,a finger or toe in human beings or corresponding body part in other vertebrates
dactylic,adjective,of or consisting of dactyls
dactylis,noun,a monocotyledonous grass of the family Gramineae (has only one species)
dactylomegaly,noun,abnormally large fingers or toes
dactylopius,noun,type genus of the Dactylopiidae
dactylopteridae,noun,flying gurnards
dactylopterus,noun,a genus of Dactylopteridae
dactylorhiza,noun,genus of terrestrial orchids of Europe and Asia and North Africa
dactyls,noun,a metrical unit with stressed-unstressed-unstressed syllables
dactyls,noun,a finger or toe in human beings or corresponding body part in other vertebrates
dad,noun,an informal term for a father; probably derived from baby talk
dada,noun,an informal term for a father; probably derived from baby talk
dada,noun,a nihilistic art movement (especially in painting) that flourished in Europe early in the 20th century; based on irrationality and negation of the accepted laws of beauty
dadaism,noun,a nihilistic art movement (especially in painting) that flourished in Europe early in the 20th century; based on irrationality and negation of the accepted laws of beauty
dadaisms,noun,a nihilistic art movement (especially in painting) that flourished in Europe early in the 20th century; based on irrationality and negation of the accepted laws of beauty
dadas,noun,an informal term for a father; probably derived from baby talk
dadas,noun,a nihilistic art movement (especially in painting) that flourished in Europe early in the 20th century; based on irrationality and negation of the accepted laws of beauty
daddy,noun,an informal term for a father; probably derived from baby talk
daddies,noun,an informal term for a father; probably derived from baby talk
dado,noun,panel forming the lower part of an interior wall when it is finished differently from the rest of the wall
dado,noun,the section of a pedestal between the base and the surbase
dado,noun,a rectangular groove cut into a board so that another piece can fit into it
dado,verb,provide with a dado
dado,verb,cut a dado into or fit into a dado
dadoed,verb,provide with a dado
dadoed,verb,cut a dado into or fit into a dado
dadoes,noun,panel forming the lower part of an interior wall when it is finished differently from the rest of the wall
dadoes,noun,the section of a pedestal between the base and the surbase
dadoes,noun,a rectangular groove cut into a board so that another piece can fit into it
dadoes,verb,provide with a dado
dadoes,verb,cut a dado into or fit into a dado
dadoing,verb,provide with a dado
dadoing,verb,cut a dado into or fit into a dado
dados,noun,panel forming the lower part of an interior wall when it is finished differently from the rest of the wall
dados,noun,the section of a pedestal between the base and the surbase
dados,noun,a rectangular groove cut into a board so that another piece can fit into it
dados,verb,provide with a dado
dados,verb,cut a dado into or fit into a dado
dads,noun,an informal term for a father; probably derived from baby talk
daedal,noun,(Greek mythology) an Athenian inventor who built the labyrinth of Minos; to escape the labyrinth he fashioned wings for himself and his son Icarus
daedal,s,complex and ingenious in design or function
daedalus,noun,(Greek mythology) an Athenian inventor who built the labyrinth of Minos; to escape the labyrinth he fashioned wings for himself and his son Icarus
daemon,noun,an evil supernatural being
daemon,noun,a person who is part mortal and part god
daemons,noun,an evil supernatural being
daemons,noun,a person who is part mortal and part god
daffodil,noun,any of numerous varieties of Narcissus plants having showy often yellow flowers with a trumpet-shaped central crown
daffodils,noun,any of numerous varieties of Narcissus plants having showy often yellow flowers with a trumpet-shaped central crown
dafla,noun,little known Kamarupan languages
daft,s,informal or slang terms for mentally irregular
dafter,s,informal or slang terms for mentally irregular
daftest,s,informal or slang terms for mentally irregular
daftly,adverb,in a mildly insane manner
daftness,noun,informal terms for insanity
daftnesses,noun,informal terms for insanity
dag,noun,10 grams
dag,noun,a flap along the edge of a garment; used in medieval clothing
dagame,noun,source of a tough elastic wood
dagga,noun,relatively nontoxic South African herb smoked like tobacco
dagger,noun,a short knife with a pointed blade used for piercing or stabbing
dagger,noun,a character used in printing to indicate a cross reference or footnote
daggerboard,noun,a removable centerboard on a small sailboat that can be lowered into the water to serve as a keel
daggers,noun,a short knife with a pointed blade used for piercing or stabbing
daggers,noun,a character used in printing to indicate a cross reference or footnote
dago,noun,(ethnic slur) offensive term for a person of Italian descent
