f,noun,a degree on the Fahrenheit scale of temperature
f,noun,a nonmetallic univalent element belonging to the halogens; usually a yellow irritating toxic flammable gas; a powerful oxidizing agent; recovered from fluorite or cryolite or fluorapatite
f,noun,the capacitance of a capacitor that has an equal and opposite charge of 1 coulomb on each plate and a voltage difference of 1 volt between the plates
f,noun,the 6th letter of the Roman alphabet
fa,noun,the syllable naming the fourth (subdominant) note of the diatonic scale in solmization
fab,s,extremely pleasing
fabaceae,noun,"a large family of trees, shrubs, vines, and herbs bearing bean pods; divided for convenience into the subfamilies Caesalpiniaceae; Mimosaceae; Papilionaceae"
fabian,noun,a member of the Fabian Society in Britain
fabian,adjective,of or relating to Fabianism
fabian,s,using cautious slow strategy to wear down opposition; avoiding direct confrontation
fabianism,noun,socialism to be established by gradual reforms within the law
fable,noun,a deliberately false or improbable account
fable,noun,a short moral story (often with animal characters)
fable,noun,a story about mythical or supernatural beings or events
fabled,s,celebrated in fable or legend
fables,noun,a deliberately false or improbable account
fables,noun,a short moral story (often with animal characters)
fables,noun,a story about mythical or supernatural beings or events
fabric,noun,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
fabric,noun,the underlying structure
fabricate,verb,"put together out of artificial or natural components or parts; He manufactured a popular cereal"""
fabricate,verb,make up something artificial or untrue
fabricated,verb,"put together out of artificial or natural components or parts; He manufactured a popular cereal"""
fabricated,verb,make up something artificial or untrue
fabricated,s,formed or conceived by the imagination
fabricates,verb,"put together out of artificial or natural components or parts; He manufactured a popular cereal"""
fabricates,verb,make up something artificial or untrue
fabricating,verb,"put together out of artificial or natural components or parts; He manufactured a popular cereal"""
fabricating,verb,make up something artificial or untrue
fabrication,noun,a deliberately false or improbable account
fabrication,noun,writing in a fictional form
fabrication,noun,the act of making something (a product) from raw materials
fabrication,noun,the act of constructing something (as a piece of machinery)
fabrication,noun,the deliberate act of deviating from the truth
fabrications,noun,a deliberately false or improbable account
fabrications,noun,writing in a fictional form
fabrications,noun,the act of making something (a product) from raw materials
fabrications,noun,the act of constructing something (as a piece of machinery)
fabrications,noun,the deliberate act of deviating from the truth
fabricator,noun,someone who tells lies
fabricators,noun,someone who tells lies
fabrics,noun,artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
fabrics,noun,the underlying structure
fabulist,noun,a person who tells or invents fables
fabulists,noun,a person who tells or invents fables
fabulous,s,extremely pleasing
fabulous,s,based on or told of in traditional stories; lacking factual basis or historical validity
fabulous,s,barely credible
fabulously,adverb,exceedingly; extremely
facade,noun,the face or front of a building
facade,noun,a showy misrepresentation intended to conceal something unpleasant
facades,noun,the face or front of a building
facades,noun,a showy misrepresentation intended to conceal something unpleasant
face,noun,the front of the human head from the forehead to the chin and ear to ear
face,noun,the feelings expressed on a person's face
face,noun,the general outward appearance of something
