g,noun,a metric unit of weight equal to one thousandth of a kilogram
g,noun,a purine base found in DNA and RNA; pairs with cytosine
g,noun,one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
g,noun,the cardinal number that is the product of 10 and 100
g,noun,a unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated
g,noun,"a unit of information equal to 1000 megabytes or 10^9 (1,000,000,000) bytes"
g,noun,"a unit of information equal to 1024 mebibytes or 2^30 (1,073,741,824) bytes"
g,noun,(physics) the universal constant relating force to mass and distance in Newton's law of gravitation
g,noun,the 7th letter of the Roman alphabet
ga,noun,"the first known nerve agent, synthesized by German chemists in 1936; a highly toxic combustible liquid that is soluble in organic solvents and is used as a nerve gas in chemical warfare"
ga,noun,a rare silvery (usually trivalent) metallic element; brittle at low temperatures but liquid above room temperature; occurs in trace amounts in bauxite and zinc ores
ga,noun,a state in southeastern United States; one of the Confederate states during the American Civil War
gab,noun,light informal conversation for social occasions
gab,verb,talk profusely
gabardine,noun,a firm durable fabric with a twill weave
gabardine,noun,(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth
gabardine,noun,a loose coverall (coat or frock) reaching down to the ankles
gabardines,noun,a firm durable fabric with a twill weave
gabardines,noun,(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth
gabardines,noun,a loose coverall (coat or frock) reaching down to the ankles
gabby,s,full of trivial conversation
gabbier,s,full of trivial conversation
gabbiest,s,full of trivial conversation
gabble,noun,rapid and indistinct speech
gabble,verb,speak (about unimportant matters) rapidly and incessantly
gabbled,verb,speak (about unimportant matters) rapidly and incessantly
gabbles,noun,rapid and indistinct speech
gabbles,verb,speak (about unimportant matters) rapidly and incessantly
gabbling,verb,speak (about unimportant matters) rapidly and incessantly
gabbro,noun,one of a family of granular intrusive rocks
gabbros,noun,one of a family of granular intrusive rocks
gaberdine,noun,a loose coverall (coat or frock) reaching down to the ankles
gaberdines,noun,a loose coverall (coat or frock) reaching down to the ankles
gabfest,noun,light informal conversation for social occasions
gabfests,noun,light informal conversation for social occasions
gable,noun,the vertical triangular wall between the sloping ends of gable roof
gable,noun,United States film actor (1901-1960)
gabled,adjective,(of a roof) constructed with a single slope on each side of the ridge supported at the end by a gable or vertical triangular portion of an end wall
gables,noun,the vertical triangular wall between the sloping ends of gable roof
gables,noun,United States film actor (1901-1960)
gabon,noun,a republic on the west coast of Africa
gabriel,noun,(Bible) the archangel who was the messenger of God
gabs,noun,light informal conversation for social occasions
gabs,verb,talk profusely
gad,noun,an anxiety disorder characterized by chronic free-floating anxiety and such symptoms as tension or sweating or trembling or lightheadedness or irritability etc that has lasted for more than six months
gad,noun,a sharp prod fixed to a rider's heel and used to urge a horse onward
gad,verb,wander aimlessly in search of pleasure
