h,noun,a nonmetallic univalent element that is normally a colorless and odorless highly flammable diatomic gas; the simplest and lightest and most abundant element in the universe
h,noun,a unit of inductance in which an induced electromotive force of one volt is produced when the current is varied at the rate of one ampere per second
h,noun,the constant of proportionality relating the energy of a photon to its frequency; approximately 6.626 x 10^-34 joule-second
h,noun,the 8th letter of the Roman alphabet
h,noun,(thermodynamics) a thermodynamic quantity equal to the internal energy of a system plus the product of its volume and pressure
ha,noun,(astronomy) the angular distance of a celestial point measured westward along the celestial equator from the zenith crossing; the right ascension for an observer at a particular location and time of day
habakkuk,noun,a Hebrew minor prophet
habakkuk,noun,an Old Testament book telling Habakkuk's prophecies
habanera,noun,music composed in duple time for dancing the habanera
habanera,noun,a Cuban dance in duple time
habaneras,noun,music composed in duple time for dancing the habanera
habaneras,noun,a Cuban dance in duple time
habenaria,noun,chiefly terrestrial orchids with tubers or fleshy roots often having long slender spurs and petals and lip lobes; includes species formerly placed in genus Gymnadeniopsis
haberdasher,noun,a merchant who sells men's clothing
haberdashery,noun,a store where men's clothes are sold
haberdashery,noun,the drygoods sold by a haberdasher
haberdasheries,noun,a store where men's clothes are sold
haberdasheries,noun,the drygoods sold by a haberdasher
haberdashers,noun,a merchant who sells men's clothing
habergeon,noun,(Middle Ages) a light sleeveless coat of chain mail worn under the hauberk
habiliment,noun,a covering designed to be worn on a person's body
habilimented,s,dressed or clothed especially in fine attire; often used in combination
habiliments,noun,a covering designed to be worn on a person's body
habilitate,verb,qualify for teaching at a university in Europe
habilitate,verb,provide with clothes or put clothes on
habilitated,verb,qualify for teaching at a university in Europe
habilitated,verb,provide with clothes or put clothes on
habilitating,verb,qualify for teaching at a university in Europe
habilitating,verb,provide with clothes or put clothes on
habit,noun,an established custom
habit,noun,(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
habit,noun,a distinctive attire worn by a member of a religious order
habit,noun,the general form or mode of growth (especially of a plant or crystal)
habit,noun,attire that is typically worn by a horseback rider (especially a woman's attire)
habit,noun,excessive use of drugs
habit,verb,put a habit on
habitability,noun,suitability for living in or on
habitable,s,fit for habitation
habitableness,noun,suitability for living in or on
habitant,noun,a person who inhabits a particular place
habitants,noun,a person who inhabits a particular place
habitat,noun,the type of environment in which an organism or group normally lives or occurs
habitation,noun,the native habitat or home of an animal or plant
habitation,noun,housing that someone is living in
habitation,noun,the act of dwelling in or living permanently in a place (said of both animals and men)
habitations,noun,the native habitat or home of an animal or plant
habitations,noun,housing that someone is living in
habitations,noun,the act of dwelling in or living permanently in a place (said of both animals and men)
habitats,noun,the type of environment in which an organism or group normally lives or occurs
habited,verb,put a habit on
habited,s,dressed in a habit
habiting,verb,put a habit on
habits,noun,an established custom
habits,noun,(psychology) an automatic pattern of behavior in reaction to a specific situation; may be inherited or acquired through frequent repetition
habits,noun,a distinctive attire worn by a member of a religious order
habits,noun,the general form or mode of growth (especially of a plant or crystal)
habits,noun,attire that is typically worn by a horseback rider (especially a woman's attire)
habits,noun,excessive use of drugs
habits,verb,put a habit on
habitual,s,commonly used or practiced; usual
habitually,adverb,according to habit or custom
habituate,verb,take or consume (regularly or habitually)
habituate,verb,make psychologically or physically used (to something)
habituated,verb,take or consume (regularly or habitually)
habituated,verb,make psychologically or physically used (to something)
habituates,verb,take or consume (regularly or habitually)
habituates,verb,make psychologically or physically used (to something)
habituating,verb,take or consume (regularly or habitually)
habituating,verb,make psychologically or physically used (to something)
habituation,noun,being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
habituation,noun,a general accommodation to unchanging environmental conditions
habituations,noun,being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
habituations,noun,a general accommodation to unchanging environmental conditions
habitude,noun,habitual mode of behavior
habitudes,noun,habitual mode of behavior
habitue,noun,a regular patron
habitues,noun,a regular patron
habitus,noun,person's predisposition to be affected by something (as a disease)
habitus,noun,constitution of the human body
habsburg,noun,a royal German family that provided rulers for several European states and wore the crown of the Holy Roman Empire from 1440 to 1806
hacek,noun,a diacritical mark (an inverted circumflex) placed above certain letters (such as the letter c) to indicate pronunciation
haceks,noun,a diacritical mark (an inverted circumflex) placed above certain letters (such as the letter c) to indicate pronunciation
hachiman,noun,a Shinto god of war
hachure,noun,shading consisting of multiple crossing lines
hachures,noun,shading consisting of multiple crossing lines
hacienda,noun,a large estate in Spanish-speaking countries
hacienda,noun,the main house on a ranch or large estate
haciendas,noun,a large estate in Spanish-speaking countries
haciendas,noun,the main house on a ranch or large estate
hack,noun,one who works hard at boring tasks
hack,noun,a politician who belongs to a small clique that controls a political party for private rather than public ends
hack,noun,a mediocre and disdained writer
hack,noun,a tool (as a hoe or pick or mattock) used for breaking up the surface of the soil
hack,noun,a car driven by a person whose job is to take passengers where they want to go in exchange for money
hack,noun,an old or over-worked horse
hack,noun,a horse kept for hire
hack,noun,a saddle horse used for transportation rather than sport etc.
hack,verb,cut with a hacking tool
hack,verb,be able to manage or manage successfully
hack,verb,cut away
hack,verb,kick on the arms
hack,verb,kick on the shins
hack,verb,fix a computer program piecemeal until it works
hack,verb,significantly cut up a manuscript
hack,verb,cough spasmodically
hackamore,noun,"rope or canvas headgear for a horse, with a rope for leading"
hackberry,noun,any of various trees of the genus Celtis having inconspicuous flowers and small berrylike fruits
hackberry,noun,small edible dark purple to black berry with large pits; southern United States
hackberries,noun,any of various trees of the genus Celtis having inconspicuous flowers and small berrylike fruits
hackberries,noun,small edible dark purple to black berry with large pits; southern United States
hackbut,noun,an obsolete firearm with a long barrel
hackbuts,noun,an obsolete firearm with a long barrel
hacked,verb,cut with a hacking tool
hacked,verb,be able to manage or manage successfully
hacked,verb,cut away
hacked,verb,kick on the arms
hacked,verb,kick on the shins
hacked,verb,fix a computer program piecemeal until it works
hacked,verb,significantly cut up a manuscript
hacked,verb,cough spasmodically
hackee,noun,small striped semiterrestrial eastern American squirrel with cheek pouches
hackees,noun,small striped semiterrestrial eastern American squirrel with cheek pouches
hacker,noun,someone who plays golf poorly
hacker,noun,a programmer who breaks into computer systems in order to steal or change or destroy information as a form of cyber-terrorism
hacker,noun,a programmer for whom computing is its own reward; may enjoy the challenge of breaking into other computers but does no harm
hacker,noun,one who works hard at boring tasks
hackers,noun,someone who plays golf poorly
hackers,noun,a programmer who breaks into computer systems in order to steal or change or destroy information as a form of cyber-terrorism
hackers,noun,a programmer for whom computing is its own reward; may enjoy the challenge of breaking into other computers but does no harm
hackers,noun,one who works hard at boring tasks
hacking,verb,cut with a hacking tool
hacking,verb,be able to manage or manage successfully
hacking,verb,cut away
hacking,verb,kick on the arms
hacking,verb,kick on the shins
hacking,verb,fix a computer program piecemeal until it works
hacking,verb,significantly cut up a manuscript
hacking,verb,cough spasmodically
hackle,noun,long slender feather on the necks of e.g. turkeys and pheasants
hackle,verb,comb with a heckle
hackled,verb,comb with a heckle
hackles,noun,a feeling of anger and animosity
hackles,noun,long slender feather on the necks of e.g. turkeys and pheasants
hackles,verb,comb with a heckle
hackling,verb,comb with a heckle
hackmatack,noun,poplar of northeastern North America with broad heart-shaped leaves
hackney,noun,a carriage for hire
hackney,noun,a compact breed of harness horse
