l,noun,"a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
l,noun,the cardinal number that is the product of ten and five
l,noun,a cgs unit of illumination equal to the brightness of a perfectly diffusing surface that emits or reflects one lumen per square centimeter
l,noun,the 12th letter of the Roman alphabet
l,s,being ten more than forty
la,noun,a white soft metallic element that tarnishes readily; occurs in rare earth minerals and is usually classified as a rare earth
la,noun,a state in southern United States on the Gulf of Mexico; one of the Confederate states during the American Civil War
la,noun,the syllable naming the sixth (submediant) note of a major or minor scale in solmization
laager,noun,a camp defended by a circular formation of wagons
laagers,noun,a camp defended by a circular formation of wagons
lab,noun,a workplace for the conduct of scientific research
laban,noun,Hungarian choreographer who developed Labanotation (1879-1958)
labdanum,noun,a dark brown to greenish oleoresin that has a fragrant odor and is used as a fixative in perfumes; obtained as a juice from certain rockroses
labdanum,noun,a soft blackish-brown resinous exudate from various rockroses used in perfumes especially as a fixative
labdanums,noun,a dark brown to greenish oleoresin that has a fragrant odor and is used as a fixative in perfumes; obtained as a juice from certain rockroses
labdanums,noun,a soft blackish-brown resinous exudate from various rockroses used in perfumes especially as a fixative
label,noun,a brief description given for purposes of identification
label,noun,trade name of a company that produces musical recordings
label,noun,a radioactive isotope that is used in a compound in order to trace the mechanism of a chemical reaction
label,noun,an identifying or descriptive marker that is attached to an object
label,verb,assign a label to; designate with a label
label,verb,attach a tag or label to
label,verb,pronounce judgment on
label,verb,distinguish (as a compound or molecule) by introducing a labeled atom
label,verb,distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions
labeled,verb,assign a label to; designate with a label
labeled,verb,attach a tag or label to
labeled,verb,pronounce judgment on
labeled,verb,distinguish (as a compound or molecule) by introducing a labeled atom
labeled,verb,distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions
labeled,adjective,bearing or marked with a label or tag
labeling,verb,assign a label to; designate with a label
labeling,verb,attach a tag or label to
labeling,verb,pronounce judgment on
labeling,verb,distinguish (as a compound or molecule) by introducing a labeled atom
labeling,verb,distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions
labelled,verb,assign a label to; designate with a label
labelled,verb,attach a tag or label to
labelled,verb,pronounce judgment on
labelled,verb,distinguish (as a compound or molecule) by introducing a labeled atom
labelled,verb,distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions
labelled,adjective,bearing or marked with a label or tag
labelling,verb,assign a label to; designate with a label
labelling,verb,attach a tag or label to
labelling,verb,pronounce judgment on
labelling,verb,distinguish (as a compound or molecule) by introducing a labeled atom
labelling,verb,distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions
labels,noun,a brief description given for purposes of identification
labels,noun,trade name of a company that produces musical recordings
labels,noun,a radioactive isotope that is used in a compound in order to trace the mechanism of a chemical reaction
labels,noun,an identifying or descriptive marker that is attached to an object
labels,verb,assign a label to; designate with a label
labels,verb,attach a tag or label to
labels,verb,pronounce judgment on
labels,verb,distinguish (as a compound or molecule) by introducing a labeled atom
labels,verb,distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions
labia,noun,a liplike structure that bounds a bodily orifice (especially any of the four labiate folds of a woman's vulva)
labial,noun,a consonant whose articulation involves movement of the lips
labial,adjective,of or relating to the lips of the mouth
labial,adjective,relating to or near the female labium
labialise,verb,pronounce with rounded lips
labialised,verb,pronounce with rounded lips
labialising,verb,pronounce with rounded lips
labialize,verb,pronounce with rounded lips
labialized,verb,pronounce with rounded lips
labializing,verb,pronounce with rounded lips
labials,noun,a consonant whose articulation involves movement of the lips
labiatae,noun,a large family of aromatic herbs and shrubs having flowers resembling the lips of a mouth and four-lobed ovaries yielding four one-seeded nutlets and including mint; thyme; sage; rosemary
labiate,s,having lips or parts that resemble lips
labile,s,"(chemistry, physics, biology) readily undergoing change or breakdown"
labile,s,liable to change
labiodental,noun,a consonant whose articulation involves the lips and teeth
labyrinth,noun,complex system of paths or tunnels in which it is easy to get lost
labyrinth,noun,a complex system of interconnecting cavities; concerned with hearing and equilibrium
labyrinthian,s,resembling a labyrinth in form or complexity
labyrinthine,adjective,relating to or affecting or originating in the inner ear
