n,noun,a common nonmetallic element that is normally a colorless odorless tasteless inert diatomic gas; constitutes 78 percent of the atmosphere by volume; a constituent of all living tissues
n,noun,the cardinal compass point that is at 0 or 360 degrees
n,noun,"a unit of force equal to the force that imparts an acceleration of 1 m/sec/sec to a mass of 1 kilogram; equal to 100,000 dynes"
n,noun,(of a solution) concentration expressed in gram equivalents of solute per liter
n,noun,the 14th letter of the Roman alphabet
na,noun,a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt)
nab,verb,tag the base runner to get him out
nab,verb,take into custody
nab,verb,seize suddenly
nabalus,noun,genus of North American and east Asian perennial herbs; sometimes included in genus Prenanthes
nabbed,verb,tag the base runner to get him out
nabbed,verb,take into custody
nabbed,verb,seize suddenly
nabbing,verb,tag the base runner to get him out
nabbing,verb,take into custody
nabbing,verb,seize suddenly
nablus,noun,an ancient city in the West Bank to the north of Jerusalem; the home of Jacob in biblical times
nabob,noun,a governor in India during the Mogul empire
nabob,noun,a wealthy man (especially one who made his fortune in the Orient)
nabobs,noun,a governor in India during the Mogul empire
nabobs,noun,a wealthy man (especially one who made his fortune in the Orient)
nabs,verb,tag the base runner to get him out
nabs,verb,take into custody
nabs,verb,seize suddenly
nabu,noun,Babylonian god of wisdom and agriculture and patron of scribes and schools
nacelle,noun,a streamlined enclosure for an aircraft engine
nacelles,noun,a streamlined enclosure for an aircraft engine
nacho,noun,a tortilla chip topped with cheese and chili-pepper and broiled
nacre,noun,the iridescent internal layer of a mollusk shell
nacreous,adjective,consisting of or resembling mother-of-pearl
nacreous,s,having a play of lustrous rainbow colors
nacres,noun,the iridescent internal layer of a mollusk shell
nad,noun,a coenzyme present in most living cells and derived from the B vitamin nicotinic acid; serves as a reductant in various metabolic processes
nada,noun,a quantity of no importance
nadir,noun,an extreme state of adversity; the lowest point of anything
nadir,noun,the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected
nadirs,noun,an extreme state of adversity; the lowest point of anything
nadirs,noun,the point below the observer that is directly opposite the zenith on the imaginary sphere against which celestial bodies appear to be projected
naemorhedus,noun,gorals
nag,noun,someone (especially a woman) who annoys people by constantly finding fault
nag,noun,an old or over-worked horse
nag,verb,bother persistently with trivial complaints
nag,verb,worry persistently
nag,verb,remind or urge constantly
naga,noun,Kamarupan languages spoken in northeastern India and western Burma
nagami,noun,shrub bearing oval-fruited kumquats
nagari,noun,a syllabic script used in writing Sanskrit and Hindi
nagasaki,noun,"a city in southern Japan on Kyushu; a leading port and shipbuilding center; on August 9, 1945 Nagasaki became the second populated area to receive an atomic bomb"
nagged,verb,bother persistently with trivial complaints
nagged,verb,worry persistently
nagged,verb,remind or urge constantly
nagger,noun,someone (especially a woman) who annoys people by constantly finding fault
naggers,noun,someone (especially a woman) who annoys people by constantly finding fault
nagging,verb,bother persistently with trivial complaints
nagging,verb,worry persistently
nagging,verb,remind or urge constantly
nagging,s,continually complaining or faultfinding
naging,verb,bother persistently with trivial complaints
naging,verb,worry persistently
naging,verb,remind or urge constantly
nags,noun,someone (especially a woman) who annoys people by constantly finding fault
nags,noun,an old or over-worked horse
nags,verb,bother persistently with trivial complaints
nags,verb,worry persistently
nags,verb,remind or urge constantly
nahuatl,noun,a member of any of various Indian peoples of central Mexico
nahuatl,noun,the Uto-Aztecan language spoken by the Nahuatl
nahuatls,noun,a member of any of various Indian peoples of central Mexico
nahuatls,noun,the Uto-Aztecan language spoken by the Nahuatl
nahum,noun,a Hebrew minor prophet of the 7th century BC
nahum,noun,an Old Testament book telling Nahum's prophecy of the fall of Nineveh
nay,noun,a negative
nay,adverb,not this merely but also; not only so but
naiad,noun,submerged aquatic plant having narrow leaves and small flowers; of fresh or brackish water
naiad,noun,(Greek mythology) a nymph of lakes and springs and rivers and fountains
naiadaceae,noun,monotypic family of aquatic plants having narrow leaves and small flowers
naiadales,noun,an order of aquatic monocotyledonous herbaceous plants
naiades,noun,submerged aquatic plant having narrow leaves and small flowers; of fresh or brackish water
naiades,noun,(Greek mythology) a nymph of lakes and springs and rivers and fountains
naiads,noun,submerged aquatic plant having narrow leaves and small flowers; of fresh or brackish water
naiads,noun,(Greek mythology) a nymph of lakes and springs and rivers and fountains
