p,noun,a multivalent nonmetallic element of the nitrogen family that occurs commonly in inorganic phosphate rocks and as organic phosphates in all living cells; is highly reactive and occurs in several allotropic forms
p,noun,the 16th letter of the Roman alphabet
pa,noun,an informal term for a father; probably derived from baby talk
pa,noun,a short-lived radioactive metallic element formed from uranium and disintegrating into actinium and then into lead
pa,noun,a unit of pressure equal to one newton per square meter
pa,noun,a Mid-Atlantic state; one of the original 13 colonies
pa,noun,an electronic amplification system used as a communication system in public areas
paba,noun,a metabolic acid found in yeast and liver cells; used to make dyes and drugs and sun blockers
pablum,noun,a soft form of cereal for infants
pablum,noun,worthless or oversimplified ideas
pabulum,noun,any substance that can be used as food
pabulum,noun,insipid intellectual nourishment
pabulums,noun,any substance that can be used as food
pabulums,noun,insipid intellectual nourishment
pac,noun,committee formed by a special-interest group to raise money for their favorite political candidates
paca,noun,large burrowing rodent of South America and Central America; highly esteemed as food
pacas,noun,large burrowing rodent of South America and Central America; highly esteemed as food
pace,noun,the rate of moving (especially walking or running)
pace,noun,the distance covered by a step
pace,noun,the relative speed of progress or change
pace,noun,a step in walking or running
pace,noun,the rate of some repeating event
pace,noun,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
pace,verb,walk with slow or fast paces
pace,verb,go at a pace
pace,verb,measure (distances) by pacing
pace,verb,regulate or set the pace of
paced,verb,walk with slow or fast paces
paced,verb,go at a pace
paced,verb,measure (distances) by pacing
paced,verb,regulate or set the pace of
pacemaker,noun,a leading instance in its field
pacemaker,noun,a specialized bit of heart tissue that controls the heartbeat
pacemaker,noun,an implanted electronic device that takes over the function of the natural cardiac pacemaker
pacemaker,noun,a horse used to set the pace in racing
pacemakers,noun,a leading instance in its field
pacemakers,noun,a specialized bit of heart tissue that controls the heartbeat
pacemakers,noun,an implanted electronic device that takes over the function of the natural cardiac pacemaker
pacemakers,noun,a horse used to set the pace in racing
pacer,noun,a horse used to set the pace in racing
pacer,noun,a horse trained to a special gait in which both feet on one side leave the ground together
pacers,noun,a horse used to set the pace in racing
pacers,noun,a horse trained to a special gait in which both feet on one side leave the ground together
paces,noun,the rate of moving (especially walking or running)
paces,noun,the distance covered by a step
paces,noun,the relative speed of progress or change
paces,noun,a step in walking or running
paces,noun,the rate of some repeating event
paces,noun,a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride
paces,verb,walk with slow or fast paces
paces,verb,go at a pace
paces,verb,measure (distances) by pacing
paces,verb,regulate or set the pace of
pacesetter,noun,a leading instance in its field
pacesetter,noun,a horse used to set the pace in racing
pacesetters,noun,a leading instance in its field
pacesetters,noun,a horse used to set the pace in racing
pacha,noun,a civil or military authority in Turkey or Egypt
pachas,noun,a civil or military authority in Turkey or Egypt
pachyderm,noun,any of various nonruminant hoofed mammals having very thick skin: elephant; rhinoceros; hippopotamus
pachyderma,noun,thickening of the skin (usually unilateral on an extremity) caused by congenital enlargement of lymph vessel and lymph vessel obstruction
pachydermal,adjective,of or relating to or characteristic of pachyderms
pachydermatous,adjective,of or relating to or characteristic of pachyderms
pachydermatous,s,emotionally hardened
pachydermic,adjective,of or relating to or characteristic of pachyderms
pachydermous,adjective,of or relating to or characteristic of pachyderms
pachyderms,noun,any of various nonruminant hoofed mammals having very thick skin: elephant; rhinoceros; hippopotamus
pachinko,noun,a Japanese pinball game played on a vertical board
pachyrhizus,noun,small genus of tropical vines having tuberous roots
pachysandra,noun,any plant of the genus Pachysandra; low-growing evergreen herbs or subshrubs having dentate leaves and used as ground cover
pachysandras,noun,any plant of the genus Pachysandra; low-growing evergreen herbs or subshrubs having dentate leaves and used as ground cover
pachisi,noun,an ancient board game resembling backgammon; played on a cross-shaped board
pachisis,noun,an ancient board game resembling backgammon; played on a cross-shaped board
pachytene,noun,the third stage of the prophase of meiosis
pachouli,noun,small East Indian shrubby mint; fragrant oil from its leaves is used in perfumes
pachouli,noun,a heavy perfume made from the patchouli plant
pachoulis,noun,small East Indian shrubby mint; fragrant oil from its leaves is used in perfumes
pachoulis,noun,a heavy perfume made from the patchouli plant
pachuco,noun,a Mexican-American teenager who belongs to a neighborhood gang and who dresses in showy clothes
pachucos,noun,a Mexican-American teenager who belongs to a neighborhood gang and who dresses in showy clothes
pacify,verb,cause to be more favorably inclined; gain the good will of
pacify,verb,fight violence and try to establish peace in (a location)
pacific,noun,the largest ocean in the world
pacific,adjective,relating to or bordering the Pacific Ocean
pacific,s,disposed to peace or of a peaceful nature
pacific,s,promoting peace
pacifically,adverb,in a peaceable manner
pacification,noun,the act of appeasing someone or causing someone to be more favorably inclined
pacification,noun,a treaty to cease hostilities
pacification,noun,actions taken by a government to defeat insurgency
pacificism,noun,the doctrine that all violence is unjustifiable
pacificism,noun,the belief that all international disputes can be settled by arbitration
pacificist,noun,someone opposed to violence as a means of settling disputes
pacified,verb,cause to be more favorably inclined; gain the good will of
pacified,verb,fight violence and try to establish peace in (a location)
pacifier,noun,someone who tries to bring peace
pacifier,noun,anything that serves to pacify
pacifier,noun,device used for an infant to suck or bite on
pacifiers,noun,someone who tries to bring peace
pacifiers,noun,anything that serves to pacify
pacifiers,noun,device used for an infant to suck or bite on
pacifies,verb,cause to be more favorably inclined; gain the good will of
pacifies,verb,fight violence and try to establish peace in (a location)
pacifying,verb,cause to be more favorably inclined; gain the good will of
pacifying,verb,fight violence and try to establish peace in (a location)
pacifism,noun,the doctrine that all violence is unjustifiable
pacifism,noun,the belief that all international disputes can be settled by arbitration
pacifisms,noun,the doctrine that all violence is unjustifiable
pacifisms,noun,the belief that all international disputes can be settled by arbitration
pacifist,noun,someone opposed to violence as a means of settling disputes
pacifist,s,opposed to war
pacifistic,s,opposed to war
pacifistically,adverb,in a pacifistic manner
pacifists,noun,someone opposed to violence as a means of settling disputes
pacing,noun,(music) the speed at which a composition is to be played
pacing,noun,walking with slow regular strides
pacing,verb,walk with slow or fast paces
pacing,verb,go at a pace
pacing,verb,measure (distances) by pacing
pacing,verb,regulate or set the pace of
pack,noun,a large indefinite number
pack,noun,a complete collection of similar things
pack,noun,a convenient package or parcel (as of cigarettes or film)
pack,noun,an association of criminals
pack,noun,an exclusive circle of people with a common purpose
pack,noun,a group of hunting animals
pack,noun,a cream that cleanses and tones the skin
pack,noun,a sheet or blanket (either dry or wet) to wrap around the body for its therapeutic effect
pack,noun,a bundle (especially one carried on the back)
pack,verb,arrange in a container
pack,verb,fill to capacity
pack,verb,compress into a wad
pack,verb,"carry, as on one's back"
