q,noun,the 17th letter of the Roman alphabet
qabbala,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
qabbalah,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
qadi,noun,an Islamic judge
qat,noun,the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant
qatar,noun,an Arab country on the peninsula of Qatar; achieved independence from the United Kingdom in 1971; the economy is dominated by oil
qatar,noun,a peninsula extending northward from the Arabian mainland into the Persian Gulf
qats,noun,the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant
qed,noun,a relativistic quantum theory of the electromagnetic interactions of photons and electrons and muons
qibla,noun,the direction of the Kaaba toward which Muslims turn for their daily prayers
qibla,noun,a small terrorist group of Muslims in South Africa formed in the 1980s; was inspired by Ayatollah Khomeini to create an Islamic state in South Africa
qindarka,noun,100 qindarka equal 1 lek in Albania
qintar,noun,100 qindarka equal 1 lek in Albania
qintars,noun,100 qindarka equal 1 lek in Albania
qoph,noun,the 19th letter of the Hebrew alphabet
qophs,noun,the 19th letter of the Hebrew alphabet
qs,noun,the 17th letter of the Roman alphabet
quaalude,noun,sedative-hypnotic drug (trade name Quaalude) that is a drug of abuse
quaaludes,noun,sedative-hypnotic drug (trade name Quaalude) that is a drug of abuse
quack,noun,an untrained person who pretends to be a physician and who dispenses medical advice
quack,noun,the harsh sound of a duck
quack,verb,utter quacking noises
quack,verb,act as a medical quack or a charlatan
quack,s,medically unqualified
quacked,verb,utter quacking noises
quacked,verb,act as a medical quack or a charlatan
quackery,noun,medical practice and advice based on observation and experience in ignorance of scientific findings
quackery,noun,the dishonesty of a charlatan
quackeries,noun,medical practice and advice based on observation and experience in ignorance of scientific findings
quackeries,noun,the dishonesty of a charlatan
quacking,verb,utter quacking noises
quacking,verb,act as a medical quack or a charlatan
quacks,noun,an untrained person who pretends to be a physician and who dispenses medical advice
quacks,noun,the harsh sound of a duck
quacks,verb,utter quacking noises
quacks,verb,act as a medical quack or a charlatan
quad,noun,one of four children born at the same time from the same pregnancy
quad,noun,a muscle of the thigh that extends the leg
quad,noun,(printing) a block of type without a raised letter; used for spacing between words or sentences
quad,noun,a rectangular area surrounded on all sides by buildings
quadragesima,noun,the first Sunday in Lent
quadrangle,noun,a four-sided polygon
quadrangle,noun,a rectangular area surrounded on all sides by buildings
quadrangles,noun,a four-sided polygon
quadrangles,noun,a rectangular area surrounded on all sides by buildings
quadrangular,adjective,of or relating to or shaped like a quadrangle
quadrant,noun,a quarter of the circumference of a circle
quadrant,noun,any of the four areas into which a plane is divided by two orthogonal coordinate axes
quadrant,noun,the area enclosed by two perpendicular radii of a circle
quadrant,noun,a measuring instrument for measuring altitude of heavenly bodies
quadrants,noun,a quarter of the circumference of a circle
quadrants,noun,any of the four areas into which a plane is divided by two orthogonal coordinate axes
quadrants,noun,the area enclosed by two perpendicular radii of a circle
quadrants,noun,a measuring instrument for measuring altitude of heavenly bodies
quadraphonic,adjective,of or relating to quadraphony
quadrate,noun,a cubelike object
quadrate,noun,a square-shaped object
quadrate,s,having four sides and four angles
quadrates,noun,a cubelike object
quadrates,noun,a square-shaped object
quadratic,noun,an equation in which the highest power of an unknown quantity is a square
quadratic,noun,a polynomial of the second degree
quadratic,adjective,of or relating to or resembling a square
quadratic,adjective,of or relating to the second power
quadratics,noun,a branch of algebra dealing with quadratic equations
quadratics,noun,an equation in which the highest power of an unknown quantity is a square
quadratics,noun,a polynomial of the second degree
quadrature,noun,the construction of a square having the same area as some other figure
quadratures,noun,the construction of a square having the same area as some other figure
quadrennia,noun,a period of four years
quadrennium,noun,a period of four years
quadrenniums,noun,a period of four years
quadric,noun,a curve or surface whose equation (in Cartesian coordinates) is of the second degree
quadriceps,noun,a muscle of the thigh that extends the leg
quadricepses,noun,a muscle of the thigh that extends the leg
quadrics,noun,a curve or surface whose equation (in Cartesian coordinates) is of the second degree
quadrilateral,noun,a four-sided polygon
quadrilateral,s,having four sides
quadrilaterals,noun,a four-sided polygon
quadrille,noun,music for dancing the quadrille
quadrille,noun,a square dance of 5 or more figures for 4 or more couples
quadrilles,noun,music for dancing the quadrille
quadrilles,noun,a square dance of 5 or more figures for 4 or more couples
quadrillion,noun,the number that is represented as a one followed by 24 zeros
quadrillion,noun,the number that is represented as a one followed by 15 zeros
quadrillions,noun,the number that is represented as a one followed by 24 zeros
quadrillions,noun,the number that is represented as a one followed by 15 zeros
quadrillionth,noun,one part in a quadrillion equal parts
quadrillionth,s,the ordinal number of one quadrillion in counting order
quadrillionths,noun,one part in a quadrillion equal parts
quadripartite,s,involving four parties
quadriphonic,adjective,of or relating to quadraphony
quadriplegia,noun,paralysis of both arms and both legs
quadriplegic,noun,a person who is paralyzed in both arms and both legs
quadrivium,noun,(Middle Ages) a higher division of the curriculum in a medieval university involving arithmetic and music and geometry and astronomy
quadroon,noun,an offspring of a mulatto and a white parent; a person who is one-quarter black
quadroons,noun,an offspring of a mulatto and a white parent; a person who is one-quarter black
quadrumvirate,noun,a group of four men
quadruped,noun,an animal especially a mammal having four limbs specialized for walking
quadruped,adjective,having four feet
quadrupedal,adjective,having four feet
quadrupeds,noun,an animal especially a mammal having four limbs specialized for walking
quadruple,noun,a set of four similar things considered as a unit
quadruple,noun,a quantity that is four times as great as another
quadruple,verb,increase fourfold
quadruple,s,having four units or components
quadruple,s,four times as great or many
quadrupled,verb,increase fourfold
quadruples,noun,a set of four similar things considered as a unit
quadruples,noun,a quantity that is four times as great as another
quadruples,verb,increase fourfold
quadruplet,noun,the cardinal number that is the sum of three and one
quadruplet,noun,one of four children born at the same time from the same pregnancy
quadruplet,noun,a set of four similar things considered as a unit
quadruplets,noun,the cardinal number that is the sum of three and one
