s,noun,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
s,noun,an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)
s,noun,the cardinal compass point that is at 180 degrees
s,noun,a unit of conductance equal to the reciprocal of an ohm
s,noun,the 19th letter of the Roman alphabet
s,noun,(thermodynamics) a thermodynamic quantity representing the amount of energy in a system that is no longer available for doing mechanical work
sa,noun,Nazi militia created by Hitler in 1921 that helped him to power but was eclipsed by the SS after 1943
saba,noun,a island in the Netherlands Antilles that is the top of an extinct volcano
sabayon,noun,light foamy custard-like dessert served hot or chilled
sabal,noun,American dwarf fan palms
sabaoth,noun,(plural) hosts or armies; used in the book of Romans in the New Testament
sabaton,noun,armor plate that protects the foot; consists of mail with a solid toe and heel
sabatons,noun,armor plate that protects the foot; consists of mail with a solid toe and heel
sabbat,noun,a midnight meeting of witches to practice witchcraft and sorcery; in the Middle Ages it was supposed to be a demonic orgy
sabbatarian,noun,one who observes Saturday as the Sabbath (as in Judaism)
sabbatarian,adjective,pertaining to the Sabbath and its observance
sabbath,noun,a day of rest and worship: Sunday for most Christians; Saturday for the Jews and a few Christians; Friday for Muslims
sabbaths,noun,a day of rest and worship: Sunday for most Christians; Saturday for the Jews and a few Christians; Friday for Muslims
sabbatia,noun,any of various plants of the genus Sabbatia having usually pink cymose flowers; occur from acid bogs to brackish marshes
sabbatic,adjective,of or relating to the Sabbath
sabbatical,noun,a leave usually taken every seventh year
sabbatical,adjective,of or relating to the Sabbath
sabbatical,adjective,of or relating to sabbatical leave
sabbaticals,noun,a leave usually taken every seventh year
sabbats,noun,a midnight meeting of witches to practice witchcraft and sorcery; in the Middle Ages it was supposed to be a demonic orgy
sabellian,noun,an extinct Osco-Umbrian language of ancient Italy that survives only in a few inscriptions
saber,noun,a fencing sword with a v-shaped blade and a slightly curved handle
saber,noun,a stout sword with a curved blade and thick back
saber,verb,cut or injure with a saber
saber,verb,kill with a saber
sabered,verb,cut or injure with a saber
sabered,verb,kill with a saber
sabering,verb,cut or injure with a saber
sabering,verb,kill with a saber
sabers,noun,a fencing sword with a v-shaped blade and a slightly curved handle
sabers,noun,a stout sword with a curved blade and thick back
sabers,verb,cut or injure with a saber
sabers,verb,kill with a saber
sabertooth,noun,any of many extinct cats of the Old and New Worlds having long swordlike upper canine teeth; from the Oligocene through the Pleistocene
sabicu,noun,the wood of the sabicu which resembles mahogany
sabicu,noun,West Indian tree yielding a hard dark brown wood resembling mahogany in texture and value
sabin,noun,a unit of acoustic absorption equivalent to the absorption by a square foot of a surface that absorbs all incident sound
sabin,noun,United States microbiologist (born in Poland) who developed the Sabin vaccine that is taken orally against poliomyelitis (born 1906)
sabine,noun,a river in eastern Texas that flows south into the Gulf of Mexico
sabine,noun,a member of an ancient Oscan-speaking people of the central Apennines north of Rome who were conquered and assimilated into the Roman state in 290 BC
sabine,adjective,of or relating to or characteristic of the Sabines
sabines,noun,a river in eastern Texas that flows south into the Gulf of Mexico
sabines,noun,a member of an ancient Oscan-speaking people of the central Apennines north of Rome who were conquered and assimilated into the Roman state in 290 BC
sabins,noun,a unit of acoustic absorption equivalent to the absorption by a square foot of a surface that absorbs all incident sound
sabins,noun,United States microbiologist (born in Poland) who developed the Sabin vaccine that is taken orally against poliomyelitis (born 1906)
sable,noun,an artist's brush made of sable hairs
sable,noun,the expensive dark brown fur of the marten
sable,noun,a very dark black
sable,noun,a scarf (or trimming) made of sable
sable,noun,marten of northern Asian forests having luxuriant dark brown fur
sable,s,of a dark somewhat brownish black
sables,noun,an artist's brush made of sable hairs
sables,noun,the expensive dark brown fur of the marten
sables,noun,a very dark black
sables,noun,a scarf (or trimming) made of sable
sables,noun,marten of northern Asian forests having luxuriant dark brown fur
sabot,noun,a shoe carved from a single block of wood
sabot,noun,footwear usually with wooden soles
sabotage,noun,a deliberate act of destruction or disruption in which equipment is damaged
sabotage,verb,destroy property or hinder normal operations
