t,noun,a base found in DNA (but not in RNA) and derived from pyrimidine; pairs with adenine
t,noun,one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
t,noun,a unit of weight equivalent to 1000 kilograms
t,noun,the 20th letter of the Roman alphabet
t,noun,thyroid hormone similar to thyroxine but with one less iodine atom per molecule and produced in smaller quantity; exerts the same biological effects as thyroxine but is more potent and briefer
t,noun,hormone produced by the thyroid glands to regulate metabolism by controlling the rate of oxidation in cells
ta,noun,a hard grey lustrous metallic element that is highly resistant to corrosion; occurs in niobite and fergusonite and tantalite
taal,noun,an official language of the Republic of South Africa; closely related to Dutch and Flemish
tab,noun,the bill in a restaurant
tab,noun,sensationalist journalism
tab,noun,the key on a typewriter or a word processor that causes a tabulation
tab,noun,a short strip of material attached to or projecting from something in order to facilitate opening or identifying or handling it
tab,noun,a dose of medicine in the form of a small pellet
tabanidae,noun,horseflies
tabard,noun,a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald
tabards,noun,a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald
tabasco,noun,a Mexican state on the Gulf of Campeche
tabasco,noun,very spicy sauce (trade name Tabasco) made from fully-aged red peppers
tabasco,noun,very hot red peppers; usually long and thin; some very small
tabby,noun,a cat with a grey or tawny coat mottled with black
tabby,noun,female cat
tabby,s,having a grey or brown streak or a pattern or a patchy coloring; used especially of the patterned fur of cats
tabbies,noun,a cat with a grey or tawny coat mottled with black
tabbies,noun,female cat
tabernacle,noun,the Mormon temple
tabernacle,noun,(Judaism) a portable sanctuary in which the Jews carried the Ark of the Covenant on their exodus
tabernacle,noun,(Judaism) the place of worship for a Jewish congregation
tabernacles,noun,a major Jewish festival beginning on the eve of the 15th of Tishri and commemorating the shelter of the Israelites during their 40 years in the wilderness
tabernacles,noun,the Mormon temple
tabernacles,noun,(Judaism) a portable sanctuary in which the Jews carried the Ark of the Covenant on their exodus
tabernacles,noun,(Judaism) the place of worship for a Jewish congregation
tabernaemontana,noun,evergreen tropical trees and shrubs with milky sap
tabes,noun,wasting of the body during a chronic disease
tabi,noun,a sock with a separation for the big toe; worn with thong sandals by the Japanese
tabis,noun,a sock with a separation for the big toe; worn with thong sandals by the Japanese
tabis,noun,a sock with a separation for the big toe; worn with thong sandals by the Japanese
tablature,noun,a musical notation indicating the fingering to be used
table,noun,a set of data arranged in rows and columns
table,noun,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
table,noun,a piece of furniture with tableware for a meal laid out on it
table,noun,flat tableland with steep edges
table,noun,a company of people assembled at a table for a meal or game
table,noun,food or meals in general
table,verb,hold back to a later time
table,verb,arrange or enter in tabular form
tableau,noun,a group of people attractively arranged (as if in a painting)
tableau,noun,any dramatic scene
tableaus,noun,a group of people attractively arranged (as if in a painting)
tableaus,noun,any dramatic scene
tableaux,noun,a group of people attractively arranged (as if in a painting)
tableaux,noun,any dramatic scene
tablecloth,noun,a covering spread over a dining table
tablecloths,noun,a covering spread over a dining table
tabled,verb,hold back to a later time
tabled,verb,arrange or enter in tabular form
tableland,noun,a relatively flat highland
tablelands,noun,a relatively flat highland
