v,noun,a unit of potential equal to the potential difference between two points on a conductor carrying a current of 1 ampere when the power dissipated between the two points is 1 watt; equivalent to the potential difference across a resistance of 1 ohm when 1 ampere of current flows through it
v,noun,a soft silvery white toxic metallic element used in steel alloys; it occurs in several complex minerals including carnotite and vanadinite
v,noun,the cardinal number that is the sum of four and one
v,noun,the 22nd letter of the Roman alphabet
v,s,being one more than four
va,noun,a state in the eastern United States; one of the original 13 colonies; one of the Confederate States in the American Civil War
va,noun,the United States federal department responsible for the interests of military veterans; created in 1989
vac,noun,informal term for vacation
vacancy,noun,being unoccupied
vacancy,noun,an empty area or space
vacancies,noun,being unoccupied
vacancies,noun,an empty area or space
vacant,s,void of thought or knowledge
vacant,s,without an occupant or incumbent
vacantly,adverb,in a vacant manner
vacate,verb,"leave (a job, post, or position) voluntarily"
vacate,verb,leave behind empty; move out of
vacate,verb,cancel officially
vacated,verb,"leave (a job, post, or position) voluntarily"
vacated,verb,leave behind empty; move out of
vacated,verb,cancel officially
vacates,verb,"leave (a job, post, or position) voluntarily"
vacates,verb,leave behind empty; move out of
vacates,verb,cancel officially
vacating,verb,"leave (a job, post, or position) voluntarily"
vacating,verb,leave behind empty; move out of
vacating,verb,cancel officially
vacation,noun,leisure time away from work devoted to rest or pleasure
vacation,noun,the act of making something legally void
vacation,verb,spend or take a vacation
vacationed,verb,spend or take a vacation
vacationer,noun,someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work
vacationers,noun,someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work
vacationing,noun,the act of taking a vacation
vacationing,verb,spend or take a vacation
vacationist,noun,someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work
vacationists,noun,someone on vacation; someone who is devoting time to pleasure or relaxation rather than to work
vacations,noun,leisure time away from work devoted to rest or pleasure
vacations,noun,the act of making something legally void
vacations,verb,spend or take a vacation
vaccaria,noun,cow-cockles
vaccina,noun,a local infection induced in humans by inoculation with the virus causing cowpox in order to confer resistance to smallpox; normally lasts three weeks and leaves a pitted scar
vaccinas,noun,a local infection induced in humans by inoculation with the virus causing cowpox in order to confer resistance to smallpox; normally lasts three weeks and leaves a pitted scar
vaccinate,verb,perform vaccinations or produce immunity in by inoculation
vaccinated,verb,perform vaccinations or produce immunity in by inoculation
vaccinated,s,having been rendered unsusceptible to a disease
vaccinates,verb,perform vaccinations or produce immunity in by inoculation
vaccinating,noun,the act of protecting against disease by introducing a vaccine into the body to induce immunity
vaccinating,verb,perform vaccinations or produce immunity in by inoculation
vaccination,noun,taking a vaccine as a precaution against contracting a disease
vaccination,noun,the scar left following inoculation with a vaccine
vaccinations,noun,taking a vaccine as a precaution against contracting a disease
vaccinations,noun,the scar left following inoculation with a vaccine
vaccinator,noun,a medical practitioner who inoculates people against diseases
vaccinators,noun,a medical practitioner who inoculates people against diseases
vaccine,noun,immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
vaccinee,noun,a patient who has been vaccinated
vaccines,noun,immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
vaccinia,noun,a local infection induced in humans by inoculation with the virus causing cowpox in order to confer resistance to smallpox; normally lasts three weeks and leaves a pitted scar
vaccinia,noun,a viral disease of cattle causing a mild skin disease affecting the udder; formerly used to inoculate humans against smallpox
vaccinias,noun,a local infection induced in humans by inoculation with the virus causing cowpox in order to confer resistance to smallpox; normally lasts three weeks and leaves a pitted scar
vaccinias,noun,a viral disease of cattle causing a mild skin disease affecting the udder; formerly used to inoculate humans against smallpox
vaccinium,noun,evergreen or deciduous berry-bearing shrubs of northern hemisphere: cranberries; blueberries
vacillant,s,uncertain in purpose or action
vacillate,verb,be undecided about something; waver between conflicting positions or courses of action
vacillate,verb,move or sway in a rising and falling or wavelike pattern
vacillated,verb,be undecided about something; waver between conflicting positions or courses of action
vacillated,verb,move or sway in a rising and falling or wavelike pattern
vacillates,verb,be undecided about something; waver between conflicting positions or courses of action
vacillates,verb,move or sway in a rising and falling or wavelike pattern
vacillating,verb,be undecided about something; waver between conflicting positions or courses of action
vacillating,verb,move or sway in a rising and falling or wavelike pattern
vacillating,s,uncertain in purpose or action
vacillation,noun,indecision in speech or action
vacillation,noun,changing location by moving back and forth
vacillations,noun,indecision in speech or action
vacillations,noun,changing location by moving back and forth
vacillator,noun,one who hesitates (usually out of fear)
vacillators,noun,one who hesitates (usually out of fear)
vacua,noun,the absence of matter
vacua,noun,an empty area or space
