x,noun,the cardinal number that is the sum of nine and one; the base of the decimal system
x,noun,the 24th letter of the Roman alphabet
x,noun,street names for methylenedioxymethamphetamine
x,s,being one more than nine
xanthate,noun,a salt or ester of xanthic acid
xanthates,noun,a salt or ester of xanthic acid
xanthelasma,noun,xanthoma of the eyelids; occurs chiefly in the elderly
xanthine,noun,crystalline oxidation product of the metabolism of nucleoproteins; precursor of uric acid; found in many organs and in urine
xanthines,noun,crystalline oxidation product of the metabolism of nucleoproteins; precursor of uric acid; found in many organs and in urine
xanthium,noun,coarse herbs having small heads of greenish flowers followed by burrs with hooked bristles
xanthoma,noun,a skin problem marked by the development (on the eyelids and neck and back) of irregular yellow nodules; sometimes attributable to disturbances of cholesterol metabolism
xanthomas,noun,a skin problem marked by the development (on the eyelids and neck and back) of irregular yellow nodules; sometimes attributable to disturbances of cholesterol metabolism
xanthomatosis,noun,widespread xanthomas (especially on elbows and knees); often associated with a disorder of lipid metabolism
xanthomonas,noun,a genus of bacteria similar to Pseudomonas but producing a yellow pigment that is not soluble in water
xanthophyceae,noun,yellow-green algae
xanthophyl,noun,yellow carotenoid pigments in plants and animal fats and egg yolks
xanthophyll,noun,yellow carotenoid pigments in plants and animal fats and egg yolks
xanthopsia,noun,visual defect in which objects appear to have a yellowish hue; sometimes occurs in cases of jaundice
xanthosis,noun,an abnormal yellow discoloration of the skin
xanthosoma,noun,tropical American tuberous perennials
xanthous,s,of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
xc,noun,the cardinal number that is the product of ten and nine
xc,s,being ten more than eighty
xcl,s,being ten more than one hundred eighty
xenarthra,noun,armadillos; American anteaters; sloths
xenicidae,noun,alternative names for the family comprising the New Zealand wrens
xenicus,noun,type genus for the Xenicidae
xenogeneic,adjective,denoting or relating to cells or tissues from individuals belonging to different species
xenogenesis,noun,the alternation of two or more different forms in the life cycle of a plant or animal
xenograft,noun,tissue from an animal of one species used as a temporary graft (as in cases of severe burns) on an individual of another species
xenolith,noun,(geology) a piece of rock of different origin from the igneous rock in which it is embedded
xenoliths,noun,(geology) a piece of rock of different origin from the igneous rock in which it is embedded
xenon,noun,a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts
xenons,noun,a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts
xenophobia,noun,a fear of foreigners or strangers
xenophobic,s,suffering from xenophobia; having abnormal fear or hatred of the strange or foreign
xenopodidae,noun,in some classifications the family of the genus Xenopus which is otherwise included in the family Pipidae
xenopus,noun,an African clawed frog; in some classifications made the type genus of a separate family Xenopodidae
xenosauridae,noun,monotypic family of Mexican lizards
xenosaurus,noun,type and sole genus of Xenosauridae: slender-bodied Mexican lizards having the upper surface covered with tiny granules and tubercles
xenotime,noun,a brown-to-yellow mineral that is a phosphate of yttrium in crystalline form
xeranthemum,noun,any plant of the genus Xeranthemum native to southern Europe having chaffy or silvery flower heads with purplish tubular flowers
xeric,adjective,being deficient in moisture
xeroderma,noun,a mild form of ichthyosis characterized by abnormal dryness and roughness of the skin
xerodermia,noun,a mild form of ichthyosis characterized by abnormal dryness and roughness of the skin
xerography,noun,forming an image by the action of light on a specially coated charged plate; the latent image is developed with powders that adhere only to electrically charged areas
xerographic,adjective,of or relating to xerography
xeroma,noun,abnormal dryness of the conjunctiva and cornea of the eyes; may be due to a systemic deficiency of vitamin A
xerophile,noun,plant adapted for life with a limited supply of water; compare hydrophyte and mesophyte
xerophyllum,noun,small genus of North American herbs having grasslike basal leaves: squaw grass; sometimes placed in family Melanthiaceae
xerophyte,noun,plant adapted for life with a limited supply of water; compare hydrophyte and mesophyte
xerophytic,s,adapted to a xeric (or dry) environment
xerophthalmia,noun,abnormal dryness of the conjunctiva and cornea of the eyes; may be due to a systemic deficiency of vitamin A
xerostomia,noun,abnormal dryness of the mouth resulting from decreased secretion of saliva
xerotes,noun,the condition of not containing or being covered by a liquid (especially water)
xerox,noun,a copy made by a xerographic printer
xerox,noun,a duplicator (trade mark Xerox) that copies graphic matter by the action of light on an electrically charged photoconductive insulating surface in which the latent image is developed with a resinous powder
xerox,verb,reproduce by xerography
xeroxed,verb,reproduce by xerography
xeroxes,noun,a copy made by a xerographic printer
xeroxes,noun,a duplicator (trade mark Xerox) that copies graphic matter by the action of light on an electrically charged photoconductive insulating surface in which the latent image is developed with a resinous powder
xeroxes,verb,reproduce by xerography
xeroxing,verb,reproduce by xerography
xi,noun,the cardinal number that is the sum of ten and one
xi,noun,the 14th letter of the Greek alphabet
xi,s,being one more than ten
xii,noun,the cardinal number that is the sum of eleven and one
xii,s,denoting a quantity consisting of 12 items or units
xiii,noun,the cardinal number that is the sum of twelve and one
xiii,s,being one more than twelve
xylaria,noun,type genus of Xylariaceae; fungi with perithecia in the upper part of erect black woody stromata
xylariaceae,noun,family of fungi characterized by dark brown to black spores
xylem,noun,"the woody part of plants: the supporting and water-conducting tissue, consisting primarily of tracheids and vessels"
xylems,noun,"the woody part of plants: the supporting and water-conducting tissue, consisting primarily of tracheids and vessels"
xylene,noun,a colorless flammable volatile liquid hydrocarbon used as a solvent
xylenes,noun,a colorless flammable volatile liquid hydrocarbon used as a solvent
xylocopa,noun,carpenter bees
xylol,noun,a colorless flammable volatile liquid hydrocarbon used as a solvent
xylols,noun,a colorless flammable volatile liquid hydrocarbon used as a solvent
xylophone,noun,a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets
xylophones,noun,a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets
xylophonist,noun,someone who plays a xylophone
xylophonists,noun,someone who plays a xylophone
xylopia,noun,tropical evergreen trees or shrubs; chiefly African
xylose,noun,a sugar extracted from wood or straw; used in foods for diabetics
xyloses,noun,a sugar extracted from wood or straw; used in foods for diabetics
xylosma,noun,shrub or small tree grown as an ornamental in mild climates for its neat evergreen foliage and fragrant late flowers; native of China
xiphias,noun,type genus of the Xiphiidae
xiphiidae,noun,comprising the common swordfishes
xiphosura,noun,horseshoe crabs and extinct forms
xyridaceae,noun,plants of tropical to temperate regions; usually in wet places
xyridales,noun,an order of monocotyledonous herbs
xyris,noun,"chiefly American marsh plants, having usually yellow flowers"
xis,noun,the cardinal number that is the sum of ten and one
xis,noun,the 14th letter of the Greek alphabet
xiv,noun,the cardinal number that is the sum of thirteen and one
xiv,s,being one more than thirteen
xix,noun,the cardinal number that is the sum of eighteen and one
xix,s,being one more than eighteen
xmas,noun,"a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland"
xmases,noun,"a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland"
xs,noun,the cardinal number that is the sum of nine and one; the base of the decimal system
xs,noun,the 24th letter of the Roman alphabet
xs,noun,street names for methylenedioxymethamphetamine
xvi,noun,the cardinal number that is the sum of fifteen and one
xvi,s,being one more than fifteen
xvii,noun,the cardinal number that is the sum of sixteen and one
xvii,s,being one more than sixteen
xviii,noun,the cardinal number that is the sum of seventeen and one
xviii,s,being one more than seventeen
xx,noun,the cardinal number that is the sum of nineteen and one
xx,noun,(genetics) normal complement of sex chromosomes in a female
xx,s,denoting a quantity consisting of 20 items or units
xxi,noun,the cardinal number that is the sum of twenty and one
xxi,s,being one more than twenty
xxii,noun,the cardinal number that is the sum of twenty-one and one
xxii,s,being two more than twenty
xxiii,noun,the cardinal number that is the sum of twenty-two and one
xxiii,s,being three more than twenty
xxiv,noun,the cardinal number that is the sum of twenty-three and one
xxiv,s,being four more than twenty
xxv,noun,the cardinal number that is the sum of twenty-four and one
xxv,s,being five more than twenty
xxx,noun,the cardinal number that is the product of ten and three
xxx,noun,(genetics) abnormal complement of three X chromosomes in a female
xxx,s,being ten more than twenty
xylaria,noun,type genus of Xylariaceae; fungi with perithecia in the upper part of erect black woody stromata
xylariaceae,noun,family of fungi characterized by dark brown to black spores
xylem,noun,"the woody part of plants: the supporting and water-conducting tissue, consisting primarily of tracheids and vessels"
xylems,noun,"the woody part of plants: the supporting and water-conducting tissue, consisting primarily of tracheids and vessels"
xylene,noun,a colorless flammable volatile liquid hydrocarbon used as a solvent
xylenes,noun,a colorless flammable volatile liquid hydrocarbon used as a solvent
xylocopa,noun,carpenter bees
xylol,noun,a colorless flammable volatile liquid hydrocarbon used as a solvent
xylols,noun,a colorless flammable volatile liquid hydrocarbon used as a solvent
xylophone,noun,a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets
xylophones,noun,a percussion instrument with wooden bars tuned to produce a chromatic scale and with resonators; played with small mallets
xylophonist,noun,someone who plays a xylophone
xylophonists,noun,someone who plays a xylophone
xylopia,noun,tropical evergreen trees or shrubs; chiefly African
xylose,noun,a sugar extracted from wood or straw; used in foods for diabetics
xyloses,noun,a sugar extracted from wood or straw; used in foods for diabetics
xylosma,noun,shrub or small tree grown as an ornamental in mild climates for its neat evergreen foliage and fragrant late flowers; native of China
xyridaceae,noun,plants of tropical to temperate regions; usually in wet places
xyridales,noun,an order of monocotyledonous herbs
xyris,noun,"chiefly American marsh plants, having usually yellow flowers"
x,noun,the cardinal number that is the sum of nine and one; the base of the decimal system
x,noun,the 24th letter of the Roman alphabet
x,noun,street names for methylenedioxymethamphetamine
x,s,being one more than nine
xanthate,noun,a salt or ester of xanthic acid
xanthates,noun,a salt or ester of xanthic acid
xanthelasma,noun,xanthoma of the eyelids; occurs chiefly in the elderly
xanthine,noun,crystalline oxidation product of the metabolism of nucleoproteins; precursor of uric acid; found in many organs and in urine
xanthines,noun,crystalline oxidation product of the metabolism of nucleoproteins; precursor of uric acid; found in many organs and in urine
xanthium,noun,coarse herbs having small heads of greenish flowers followed by burrs with hooked bristles
xanthoma,noun,a skin problem marked by the development (on the eyelids and neck and back) of irregular yellow nodules; sometimes attributable to disturbances of cholesterol metabolism
xanthomas,noun,a skin problem marked by the development (on the eyelids and neck and back) of irregular yellow nodules; sometimes attributable to disturbances of cholesterol metabolism
xanthomatosis,noun,widespread xanthomas (especially on elbows and knees); often associated with a disorder of lipid metabolism
xanthomonas,noun,a genus of bacteria similar to Pseudomonas but producing a yellow pigment that is not soluble in water
xanthophyceae,noun,yellow-green algae
xanthophyl,noun,yellow carotenoid pigments in plants and animal fats and egg yolks
xanthophyll,noun,yellow carotenoid pigments in plants and animal fats and egg yolks
xanthopsia,noun,visual defect in which objects appear to have a yellowish hue; sometimes occurs in cases of jaundice
xanthosis,noun,an abnormal yellow discoloration of the skin
xanthosoma,noun,tropical American tuberous perennials
xanthous,s,of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
xc,noun,the cardinal number that is the product of ten and nine
xc,s,being ten more than eighty
xcl,s,being ten more than one hundred eighty
xenarthra,noun,armadillos; American anteaters; sloths
xenicidae,noun,alternative names for the family comprising the New Zealand wrens
xenicus,noun,type genus for the Xenicidae
xenogeneic,adjective,denoting or relating to cells or tissues from individuals belonging to different species
xenogenesis,noun,the alternation of two or more different forms in the life cycle of a plant or animal
xenograft,noun,tissue from an animal of one species used as a temporary graft (as in cases of severe burns) on an individual of another species
xenolith,noun,(geology) a piece of rock of different origin from the igneous rock in which it is embedded
xenoliths,noun,(geology) a piece of rock of different origin from the igneous rock in which it is embedded
xenon,noun,a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts
xenons,noun,a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts
xenophobia,noun,a fear of foreigners or strangers
xenophobic,s,suffering from xenophobia; having abnormal fear or hatred of the strange or foreign
xenopodidae,noun,in some classifications the family of the genus Xenopus which is otherwise included in the family Pipidae
