y,noun,a silvery metallic element that is common in rare-earth minerals; used in magnesium and aluminum alloys
y,noun,the 25th letter of the Roman alphabet
yacca,noun,West Indian evergreen with medium to long leaves
yacht,noun,an expensive vessel propelled by sail or power and used for cruising or racing
yacht,verb,travel in a yacht
yachted,verb,travel in a yacht
yachting,noun,water travel for pleasure
yachting,verb,travel in a yacht
yachtings,noun,water travel for pleasure
yachtings,verb,travel in a yacht
yachts,noun,an expensive vessel propelled by sail or power and used for cruising or racing
yachts,verb,travel in a yacht
yachtsman,noun,a person who owns or sails a yacht
yachtsmen,noun,a person who owns or sails a yacht
yachtswoman,noun,a person who owns or sails a yacht
yachtswomen,noun,a person who owns or sails a yacht
yack,noun,noisy talk
yack,verb,talk incessantly and tiresomely
yacked,verb,talk incessantly and tiresomely
yacking,verb,talk incessantly and tiresomely
yacks,noun,noisy talk
yacks,verb,talk incessantly and tiresomely
yagi,noun,a sharply directional antenna
yagis,noun,a sharply directional antenna
yahoo,noun,a person who is not very intelligent or interested in culture
yahoo,noun,one of a race of brutes resembling men but subject to the Houyhnhnms in a novel by Jonathan Swift
yahoo,noun,"a widely used search engine for the web that finds information, news, images, products, finance"
yahoos,noun,a person who is not very intelligent or interested in culture
yahoos,noun,one of a race of brutes resembling men but subject to the Houyhnhnms in a novel by Jonathan Swift
yahoos,noun,"a widely used search engine for the web that finds information, news, images, products, finance"
yahveh,noun,a name for the God of the Old Testament as transliterated from the Hebrew consonants YHVH
yahweh,noun,a name for the God of the Old Testament as transliterated from the Hebrew consonants YHVH
yay,noun,a branch of the Tai languages
yak,noun,noisy talk
yak,noun,large long-haired wild ox of Tibet often domesticated
yak,verb,talk profusely
yakima,noun,a town in south central Washington
yakked,verb,talk profusely
yakking,verb,talk profusely
yaks,noun,noisy talk
yaks,noun,large long-haired wild ox of Tibet often domesticated
yaks,verb,talk profusely
yakut,noun,a member of a Turkic people of northeastern Siberia (mainly in the Lena river basin)
yakut,noun,the Turkic language spoken by the Yakut
yale,noun,a university in Connecticut
yale,noun,English philanthropist who made contributions to a college in Connecticut that was renamed in his honor (1649-1721)
