z,noun,the ending of a series or sequence
z,noun,the 26th letter of the Roman alphabet
zabaglione,noun,light foamy custard-like dessert served hot or chilled
zaftig,s,(of a female body) healthily plump and vigorous; 
zag,noun,an angular shape characterized by sharp turns in alternating directions
zaglossus,noun,a genus of Tachyglossidae
zags,noun,an angular shape characterized by sharp turns in alternating directions
zayin,noun,the 7th letter of the Hebrew alphabet
zayins,noun,the 7th letter of the Hebrew alphabet
zaire,noun,the basic unit of money in Zaire
zaire,noun,a republic in central Africa; achieved independence from Belgium in 1960
zaires,noun,the basic unit of money in Zaire
zaires,noun,a republic in central Africa; achieved independence from Belgium in 1960
zakat,noun,the fourth pillar of Islam is almsgiving as an act of worship
zalophus,noun,sea lions
zaman,noun,large ornamental tropical American tree with bipinnate leaves and globose clusters of flowers with crimson stamens and seed pods that are eaten by cattle
zamang,noun,large ornamental tropical American tree with bipinnate leaves and globose clusters of flowers with crimson stamens and seed pods that are eaten by cattle
zambezi,noun,an African river; flows into the Indian Ocean
zambia,noun,a republic in central Africa; formerly controlled by Great Britain and called Northern Rhodesia until it gained independence within the commonwealth in 1964
zambian,noun,a native or inhabitant of Zambia
zambian,adjective,of or relating to or characteristic of Zambia or its people
zambians,noun,a native or inhabitant of Zambia
zamia,noun,any of various cycads of the genus Zamia; among the smallest and most verdant cycads
zamiaceae,noun,a family of cycads often included in the family Cycadaceae: zamias
zamias,noun,any of various cycads of the genus Zamia; among the smallest and most verdant cycads
zany,noun,a buffoon in one of the old comedies; imitates others for ludicrous effect
zany,noun,a man who is a stupid incompetent fool
zany,s,"ludicrous, foolish"
zany,s,like a clown
zanier,s,"ludicrous, foolish"
zanier,s,like a clown
zanies,noun,a buffoon in one of the old comedies; imitates others for ludicrous effect
zanies,noun,a man who is a stupid incompetent fool
zaniest,s,"ludicrous, foolish"
zaniest,s,like a clown
zannichellia,noun,horned pondweed: completely submerged herbs; in some classifications included in Potamogetonaceae
zannichelliaceae,noun,alternative classification for some genera included in Potamogetonaceae; one species
zantedeschia,noun,calla lily
zanthoxylum,noun,deciduous or evergreen trees or shrubs: prickly ash
zanzibar,noun,an island in the Indian Ocean off the east coast of Africa; part of the United Republic of Tanzania
zap,noun,"a sudden event that imparts energy or excitement, usually with a dramatic impact"
zap,verb,strike suddenly and with force
