c,noun,a degree on the centigrade scale of temperature
c,noun,"the speed at which light travels in a vacuum; the constancy and universality of the speed of light is recognized by defining it to be exactly 299,792,458 meters per second"
c,noun,a vitamin found in fresh fruits (especially citrus fruits) and vegetables; prevents scurvy
c,noun,one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)
c,noun,a base found in DNA and RNA and derived from pyrimidine; pairs with guanine
c,noun,an abundant nonmetallic tetravalent element occurring in three allotropic forms: amorphous carbon and graphite and diamond; occurs in all organic compounds
c,noun,ten 10s
c,noun,a unit of electrical charge equal to the amount of charge transferred by a current of 1 ampere in 1 second
c,noun,a general-purpose programing language closely associated with the UNIX operating system
c,noun,(music) the keynote of the scale of C major
c,noun,the 3rd letter of the Roman alphabet
c,noun,street names for cocaine
c,s,being ten more than ninety
ca,noun,a white metallic element that burns with a brilliant light; the fifth most abundant element in the earth's crust; an important component of most plants and animals
ca,noun,a state in the western United States on the Pacific; the 3rd largest state; known for earthquakes
caaba,noun,(Islam) a black stone building in Mecca that is shaped like a cube and that is the most sacred Muslim pilgrim shrine; believed to have been given by Gabriel to Abraham; Muslims turn in its direction when praying
cab,noun,a compartment at the front of a motor vehicle or locomotive where driver sits
cab,noun,small two-wheeled horse-drawn carriage; with two seats and a folding hood
cab,noun,a car driven by a person whose job is to take passengers where they want to go in exchange for money
cab,verb,ride in a taxicab
cabal,noun,a clique (often secret) that seeks power usually through intrigue
cabal,noun,a plot to carry out some harmful or illegal act (especially a political plot)
cabal,verb,"engage in plotting or enter into a conspiracy, swear together"
cabala,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
cabala,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
cabalas,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
cabalas,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
cabalism,noun,the doctrines of the Kabbalah
cabalism,noun,adherence to some extreme traditional theological concept or interpretation
cabalisms,noun,the doctrines of the Kabbalah
cabalisms,noun,adherence to some extreme traditional theological concept or interpretation
cabalist,noun,a member of a cabal
cabalist,noun,an expert who is highly skilled in obscure or difficult or esoteric matters
cabalist,noun,a student of the Jewish Kabbalah
cabalistic,s,having a secret or hidden meaning
cabalists,noun,a member of a cabal
cabalists,noun,an expert who is highly skilled in obscure or difficult or esoteric matters
cabalists,noun,a student of the Jewish Kabbalah
caballed,verb,"engage in plotting or enter into a conspiracy, swear together"
caballing,verb,"engage in plotting or enter into a conspiracy, swear together"
cabals,noun,a clique (often secret) that seeks power usually through intrigue
cabals,noun,a plot to carry out some harmful or illegal act (especially a political plot)
cabals,verb,"engage in plotting or enter into a conspiracy, swear together"
cabana,noun,a small tent used as a dressing room beside the sea or a swimming pool
cabanas,noun,a small tent used as a dressing room beside the sea or a swimming pool
cabaret,noun,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
cabaret,noun,a series of acts at a night club
cabarets,noun,a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
cabarets,noun,a series of acts at a night club
cabasset,noun,a metal helmet worn by common soldiers in the 16th century
cabbage,noun,any of various types of cabbage
cabbage,noun,informal terms for money
cabbage,noun,any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers
cabbage,verb,make off with belongings of others
cabbaged,verb,make off with belongings of others
cabbages,noun,any of various types of cabbage
cabbages,noun,informal terms for money
cabbages,noun,any of various cultivars of the genus Brassica oleracea grown for their edible leaves or flowers
cabbages,verb,make off with belongings of others
cabbageworm,noun,toxic green larva of a cabbage butterfly
cabbaging,verb,make off with belongings of others
cabbala,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
cabbala,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
cabbalah,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
cabbalah,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
cabbalahs,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
cabbalahs,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
cabbalas,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
cabbalas,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
cabby,noun,someone who drives a taxi for a living
cabbies,noun,someone who drives a taxi for a living
cabdriver,noun,someone who drives a taxi for a living
caber,noun,a heavy wooden pole (such as the trunk of a young fir) that is tossed as a test of strength (in the Highlands of northern Scotland)
cabernet,noun,superior Bordeaux type of red wine
