i,noun,a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)
i,noun,the smallest whole number or a numeral representing this number
i,noun,the 9th letter of the Roman alphabet
i,s,used of a single unit or thing; not two or more
ia,noun,a state in midwestern United States
iago,noun,the villain in William Shakespeare's tragedy who tricked Othello into murdering his wife
iamb,noun,a metrical unit with unstressed-stressed syllables
iambi,noun,a metrical unit with unstressed-stressed syllables
iambic,noun,a verse line consisting of iambs
iambic,adjective,of or consisting of iambs
iambics,noun,a verse line consisting of iambs
iambs,noun,a metrical unit with unstressed-stressed syllables
iambus,noun,a metrical unit with unstressed-stressed syllables
iambuses,noun,a metrical unit with unstressed-stressed syllables
iapetus,noun,(Greek mythology) the Titan who was father of Atlas and Epimetheus and Prometheus in ancient mythology
iatrogenic,s,induced by a physician's words or therapy (used especially of a complication resulting from treatment)
iberia,noun,an ancient geographical region to the south of the Caucasus Mountains that corresponded approximately to the present-day Georgia
iberia,noun,a peninsula in southwestern Europe
iberian,noun,a native or inhabitant of Iberia in the Caucasus
iberian,noun,a native or inhabitant of the Iberian Peninsula (especially in ancient times)
iberian,adjective,of or relating to the Iberian Peninsula or its inhabitants
iberians,noun,a native or inhabitant of Iberia in the Caucasus
iberians,noun,a native or inhabitant of the Iberian Peninsula (especially in ancient times)
iberis,noun,Old World herbs and subshrubs: candytuft
ibex,noun,wild goat of mountain areas of Eurasia and northern Africa having large recurved horns
ibexes,noun,wild goat of mountain areas of Eurasia and northern Africa having large recurved horns
ibices,noun,wild goat of mountain areas of Eurasia and northern Africa having large recurved horns
ibidem,adverb,in the same place (used when citing a reference)
ibis,noun,wading birds of warm regions having long slender down-curved bills
ibises,noun,wading birds of warm regions having long slender down-curved bills
ibo,noun,a member of the largest ethnic group in southeastern Nigeria
ibsenian,adjective,of or relating to or in the manner of the playwright Henrik Ibsen
ibuprofen,noun,a nonsteroidal anti-inflammatory and analgesic medicine (trade names Advil and Motrin and Nuprin) used to relieve the pain of arthritis and as an antipyretic
ic,noun,a group of government agencies and organizations that carry out intelligence activities for the United States government; headed by the Director of Central Intelligence
ic,s,being nine more than ninety
icaco,noun,small tropical American tree bearing edible plumlike fruit
icaco,noun,plum-shaped whitish to almost black fruit used for preserves; tropical American
icarus,noun,(Greek mythology) son of Daedalus; while escaping from Crete with his father (using the wings Daedalus had made) he flew too close to the sun and the wax melted and he fell into the Aegean and drowned
icbm,noun,a ballistic missile that is capable of traveling from one continent to another
ice,noun,water frozen in the solid state
ice,noun,the frozen part of a body of water
ice,noun,diamonds
ice,noun,a flavored sugar topping used to coat and decorate cakes
ice,noun,a frozen dessert with fruit flavoring (especially one containing no milk)
ice,noun,an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant
ice,noun,a heat engine in which combustion occurs inside the engine rather than in a separate furnace; heat expands a gas that either moves a piston or turns a gas turbine
ice,noun,a rink with a floor of ice for ice hockey or ice skating
ice,verb,decorate with frosting
ice,verb,cause to become ice or icy
ice,verb,put ice on or put on ice
iceberg,noun,a large mass of ice floating at sea; usually broken off of a polar glacier
iceberg,noun,lettuce with crisp tightly packed light-green leaves in a firm head
icebergs,noun,a large mass of ice floating at sea; usually broken off of a polar glacier
icebergs,noun,lettuce with crisp tightly packed light-green leaves in a firm head
iceboat,noun,a ship with a reinforced bow to break up ice and keep channels open for navigation
iceboat,noun,a sailing vessel with runners and a cross-shaped frame; suitable for traveling over ice
iceboats,noun,a ship with a reinforced bow to break up ice and keep channels open for navigation
iceboats,noun,a sailing vessel with runners and a cross-shaped frame; suitable for traveling over ice
icebound,s,locked in by ice
icebox,noun,white goods in which food can be stored at low temperatures
iceboxes,noun,white goods in which food can be stored at low temperatures
icebreaker,noun,a ship with a reinforced bow to break up ice and keep channels open for navigation
icebreaker,noun,a beginning that relaxes a tense or formal atmosphere
icebreakers,noun,a ship with a reinforced bow to break up ice and keep channels open for navigation
icebreakers,noun,a beginning that relaxes a tense or formal atmosphere
icecap,noun,"a mass of ice and snow that permanently covers a large area of land (e.g., the polar regions or a mountain peak)"
icecaps,noun,"a mass of ice and snow that permanently covers a large area of land (e.g., the polar regions or a mountain peak)"
iced,verb,decorate with frosting
iced,verb,cause to become ice or icy
iced,verb,put ice on or put on ice
icefall,noun,a steep part of a glacier resembling a frozen waterfall
icefalls,noun,a steep part of a glacier resembling a frozen waterfall
icehouse,noun,a house for storing ice
icehouses,noun,a house for storing ice
iceland,noun,an island republic on the island of Iceland; became independent of Denmark in 1944
iceland,noun,a volcanic island in the North Atlantic near the Arctic Circle
icelander,noun,a native or inhabitant of Iceland
icelanders,noun,a native or inhabitant of Iceland
icelandic,noun,a Scandinavian language that is the official language of Iceland
icelandic,adjective,of or relating to Iceland or its people or culture and language
iceman,noun,someone who cuts and delivers ice
iceman,noun,a professional killer
icemen,noun,someone who cuts and delivers ice
icemen,noun,a professional killer
icepick,noun,pick consisting of a steel rod with a sharp point; used for breaking up blocks of ice
ices,noun,water frozen in the solid state
ices,noun,the frozen part of a body of water
ices,noun,diamonds
ices,noun,a flavored sugar topping used to coat and decorate cakes
ices,noun,a frozen dessert with fruit flavoring (especially one containing no milk)
ices,noun,an amphetamine derivative (trade name Methedrine) used in the form of a crystalline hydrochloride; used as a stimulant to the nervous system and as an appetite suppressant
ices,noun,a heat engine in which combustion occurs inside the engine rather than in a separate furnace; heat expands a gas that either moves a piston or turns a gas turbine
ices,noun,a rink with a floor of ice for ice hockey or ice skating
ices,verb,decorate with frosting
ices,verb,cause to become ice or icy
ices,verb,put ice on or put on ice
ichneumon,noun,northern African mongoose; in ancient times thought to devour crocodile eggs
ichneumonidae,noun,ichneumon flies
ichor,noun,(Greek mythology) the rarified fluid said to flow in the veins of the Gods
ichor,noun,a fluid product of inflammation
ichorous,adjective,of or resembling or characterized by ichor or sanies
ichors,noun,(Greek mythology) the rarified fluid said to flow in the veins of the Gods
ichors,noun,a fluid product of inflammation
ichthyolatry,noun,the worship of fish
ichthyology,noun,the branch of zoology that studies fishes
ichthyologist,noun,a zoologist who studies fishes
ichthyologists,noun,a zoologist who studies fishes
ichthyosaur,noun,any of several marine reptiles of the Mesozoic having a body like a porpoise with dorsal and tail fins and paddle-shaped limbs
ichthyosauria,noun,extinct marine reptiles: ichthyosaurs
ichthyosauridae,noun,later ichthyosaurs of the Jurassic and Cretaceous; widely distributed in both hemispheres
ichthyosaurus,noun,ichthyosaurs of the Jurassic
ichthyosauruses,noun,any of several marine reptiles of the Mesozoic having a body like a porpoise with dorsal and tail fins and paddle-shaped limbs
ichthyosauruses,noun,ichthyosaurs of the Jurassic
ichthyosis,noun,any of several congenital diseases in which the skin is dry and scaly like a fish
icy,s,devoid of warmth and cordiality; expressive of unfriendliness or disdain
icy,s,extremely cold
icy,s,covered with or containing or consisting of ice
icy,s,shiny and slick as with a thin coating of ice
icicle,noun,"ice resembling a pendent spear, formed by the freezing of dripping water"
icicles,noun,"ice resembling a pendent spear, formed by the freezing of dripping water"
icier,s,devoid of warmth and cordiality; expressive of unfriendliness or disdain
icier,s,extremely cold
icier,s,covered with or containing or consisting of ice
icier,s,shiny and slick as with a thin coating of ice
iciest,s,devoid of warmth and cordiality; expressive of unfriendliness or disdain
iciest,s,extremely cold
iciest,s,covered with or containing or consisting of ice
iciest,s,shiny and slick as with a thin coating of ice
icily,adverb,in a cold and icy manner
iciness,noun,coldness due to a cold environment
iciness,noun,a lack of affection or enthusiasm
icinesses,noun,coldness due to a cold environment
icinesses,noun,a lack of affection or enthusiasm
icing,noun,the formation of frost or ice on a surface
icing,noun,a flavored sugar topping used to coat and decorate cakes
icing,noun,(ice hockey) the act of shooting the puck from within your own defensive area the length of the rink beyond the opponent's goal
icing,verb,decorate with frosting
icing,verb,cause to become ice or icy
icing,verb,put ice on or put on ice
icings,noun,the formation of frost or ice on a surface
icings,noun,a flavored sugar topping used to coat and decorate cakes
icings,noun,(ice hockey) the act of shooting the puck from within your own defensive area the length of the rink beyond the opponent's goal
icings,verb,decorate with frosting
icings,verb,cause to become ice or icy
icings,verb,put ice on or put on ice
icky,s,very bad
icky,s,soft and sticky
icon,noun,(computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
icon,noun,a visual representation (of an object or scene or person or abstraction) produced on a surface
icon,noun,a conventional religious painting in oil on a small wooden panel; venerated in the Eastern Church
iconic,adjective,relating to or having the characteristics on an icon
iconoclasm,noun,the orientation of an iconoclast
iconoclast,noun,a destroyer of images used in religious worship
iconoclast,noun,someone who attacks cherished ideas or traditional institutions
iconoclastic,s,characterized by attack on established beliefs or institutions
iconoclastic,s,"destructive of images used in religious worship; said of religions, such as Islam, in which the representation of living things is prohibited"
iconoclasts,noun,a destroyer of images used in religious worship
iconoclasts,noun,someone who attacks cherished ideas or traditional institutions
iconography,noun,the images and symbolic representations that are traditionally associated with a person or a subject
iconographies,noun,the images and symbolic representations that are traditionally associated with a person or a subject
iconolatry,noun,the worship of sacred images
iconology,noun,the branch of art history that studies visual images and their symbolic meaning (especially in social or political terms)
iconoscope,noun,the first practical television-camera for picture pickup; invented in 1923 by Vladimir Kosma Zworykin
icons,noun,(computer science) a graphic symbol (usually a simple picture) that denotes a program or a command or a data file or a concept in a graphical user interface
icons,noun,a visual representation (of an object or scene or person or abstraction) produced on a surface
icons,noun,a conventional religious painting in oil on a small wooden panel; venerated in the Eastern Church
icosahedra,noun,any polyhedron having twenty plane faces
icosahedral,adjective,of or relating to an icosahedron
icosahedron,noun,any polyhedron having twenty plane faces
icosahedrons,noun,any polyhedron having twenty plane faces
icteric,s,affected by jaundice which causes yellowing of skin etc
icteridae,noun,American orioles; American blackbirds; bobolinks; meadowlarks
icterogenic,adjective,producing jaundice
icterus,noun,yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia
icterus,noun,type genus of the Icteridae
icteruses,noun,yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia
icteruses,noun,type genus of the Icteridae
ictic,adjective,of or relating to a seizure or convulsion
ictonyx,noun,a genus of Mustelidae
ictus,noun,a sudden occurrence (or recurrence) of a disease
ictuses,noun,a sudden occurrence (or recurrence) of a disease
id,noun,a state in the Rocky Mountains
id,noun,a card or badge used to identify the bearer
id,noun,(psychoanalysis) primitive instincts and energies underlying all psychic activity
ida,noun,an agency of the United Nations affiliated with the World Bank
idaho,noun,a state in the Rocky Mountains
idahoan,noun,a native or resident of Idaho
idahoans,noun,a native or resident of Idaho
idea,noun,the content of cognition; the main thing you are thinking about
idea,noun,your intention; what you intend to do
idea,noun,a personal view
idea,noun,an approximate calculation of quantity or degree or worth
idea,noun,(music) melodic subject of a musical composition
ideal,noun,the idea of something that is perfect; something that one hopes to attain
ideal,noun,model of excellence or perfection of a kind; one having no equal
ideal,s,conforming to an ultimate standard of perfection or excellence; embodying an ideal
ideal,s,constituting or existing only in the form of an idea or mental image or conception
ideal,adjective,of or relating to the philosophical doctrine of the reality of ideas
idealisation,noun,(psychiatry) a defense mechanism that splits something you are ambivalent about into two representations--one good and one bad
idealisation,noun,something that exists only as an idea
idealisation,noun,a portrayal of something as ideal
idealise,verb,consider or render as ideal
idealise,verb,form ideals
idealised,verb,consider or render as ideal
idealised,verb,form ideals
idealised,s,exalted to an ideal perfection or excellence
idealises,verb,consider or render as ideal
idealises,verb,form ideals
idealising,verb,consider or render as ideal
idealising,verb,form ideals
idealism,noun,(philosophy) the philosophical theory that ideas are the only reality
idealism,noun,impracticality by virtue of thinking of things in their ideal form rather than as they really are
idealism,noun,elevated ideals or conduct; the quality of believing that ideals should be pursued
idealisms,noun,(philosophy) the philosophical theory that ideas are the only reality
idealisms,noun,impracticality by virtue of thinking of things in their ideal form rather than as they really are
idealisms,noun,elevated ideals or conduct; the quality of believing that ideals should be pursued
idealist,noun,someone guided more by ideals than by practical considerations
idealistic,adjective,of or relating to the philosophical doctrine of the reality of ideas
idealistic,s,of high moral or intellectual value; elevated in nature or style
idealists,noun,someone guided more by ideals than by practical considerations
ideality,noun,the quality of being ideal
idealities,noun,the quality of being ideal
idealization,noun,a portrayal of something as ideal
idealization,noun,(psychiatry) a defense mechanism that splits something you are ambivalent about into two representations--one good and one bad
idealization,noun,something that exists only as an idea
idealizations,noun,a portrayal of something as ideal
idealizations,noun,(psychiatry) a defense mechanism that splits something you are ambivalent about into two representations--one good and one bad
idealizations,noun,something that exists only as an idea
idealize,verb,consider or render as ideal
idealize,verb,form ideals
idealized,verb,consider or render as ideal
idealized,verb,form ideals
idealized,s,exalted to an ideal perfection or excellence
idealizes,verb,consider or render as ideal
idealizes,verb,form ideals
idealizing,verb,consider or render as ideal
idealizing,verb,form ideals
ideally,adverb,in an ideal manner
idealogue,noun,someone who theorizes (especially in science or art)
ideals,noun,the idea of something that is perfect; something that one hopes to attain
ideals,noun,model of excellence or perfection of a kind; one having no equal
ideas,noun,the content of cognition; the main thing you are thinking about
ideas,noun,your intention; what you intend to do
ideas,noun,a personal view
ideas,noun,an approximate calculation of quantity or degree or worth
ideas,noun,(music) melodic subject of a musical composition
ideate,verb,form a mental image of something that is not present or that is not the case
ideated,verb,form a mental image of something that is not present or that is not the case
ideates,verb,form a mental image of something that is not present or that is not the case
ideating,verb,form a mental image of something that is not present or that is not the case
ideation,noun,the process of forming and relating ideas
ideational,s,being of the nature of a notion or concept
ideations,noun,the process of forming and relating ideas
idempotent,s,unchanged in value following multiplication by itself
identical,s,exactly alike; incapable of being perceived as different
identical,s,being the exact same one; not any other:
identical,adjective,(of twins) derived from a single egg or ovum
identical,s,having properties with uniform values along all axes
identical,s,coinciding exactly when superimposed
identically,adverb,with complete identity; in an identical manner
