k,noun,the basic unit of thermodynamic temperature adopted under the Systeme International d'Unites
k,noun,a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite
k,noun,the cardinal number that is the product of 10 and 100
k,noun,a unit of information equal to 1000 bytes
k,noun,a unit of information equal to 1024 bytes
k,noun,the 11th letter of the Roman alphabet
k,noun,street names for ketamine
k,s,"denoting a quantity consisting of 1,000 items or units"
ka,noun,unknown god; an epithet of Prajapati and Brahma
kaaba,noun,(Islam) a black stone building in Mecca that is shaped like a cube and that is the most sacred Muslim pilgrim shrine; believed to have been given by Gabriel to Abraham; Muslims turn in its direction when praying
kabala,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
kabala,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
kabalas,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
kabalas,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
kabbala,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
kabbala,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
kabbalah,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
kabbalah,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
kabbalahs,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
kabbalahs,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
kabbalas,noun,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
kabbalas,noun,an esoteric theosophy of rabbinical origin based on the Hebrew scriptures and developed between the 7th and 18th centuries
kabob,noun,cubes of meat marinated and cooked on a skewer usually with vegetables
kabobs,noun,cubes of meat marinated and cooked on a skewer usually with vegetables
kachin,noun,Tibeto-Burman languages spoken in northernmost Burma and adjacent China and India
kachina,noun,a masked dancer during a Pueblo religious ceremony who is thought to embody some particular spirit
kachina,noun,a deified spirit of the Pueblo people
kachina,noun,a carved doll wearing the costume of a particular Pueblo spirit; usually presented to a child as a gift
kachinas,noun,a masked dancer during a Pueblo religious ceremony who is thought to embody some particular spirit
kachinas,noun,a deified spirit of the Pueblo people
kachinas,noun,a carved doll wearing the costume of a particular Pueblo spirit; usually presented to a child as a gift
kaffiyeh,noun,an Arab headdress consisting of a square piece of cloth folded into a triangle and fastened over the crown by an agal
kaffiyehs,noun,an Arab headdress consisting of a square piece of cloth folded into a triangle and fastened over the crown by an agal
kaffir,noun,important for human and animal food; growth habit and stem form similar to Indian corn but having sawtooth-edged leaves
kaffir,noun,an offensive and insulting term for any Black African
kaffirs,noun,important for human and animal food; growth habit and stem form similar to Indian corn but having sawtooth-edged leaves
kaffirs,noun,an offensive and insulting term for any Black African
kafir,noun,an offensive and insulting term for any Black African
kafir,noun,a member of the Kafir people in northeastern Afghanistan
kafiri,noun,a Dardic language spoken by the Kafir in northeastern Afghanistan
kafirs,noun,an offensive and insulting term for any Black African
kafirs,noun,a member of the Kafir people in northeastern Afghanistan
kafka,noun,Czech novelist who wrote in German about a nightmarish world of isolated and troubled individuals (1883-1924)
kafkaesque,adjective,relating to or in the manner of Franz Kafka or his writings
kafkaesque,s,characterized by surreal distortion and a sense of impending danger
kaftan,noun,a woman's dress style that imitates the caftan cloaks worn by men in the Near East
kaftan,noun,a (cotton or silk) cloak with full sleeves and sash reaching down to the ankles; worn by men in the Levant
kaftans,noun,a woman's dress style that imitates the caftan cloaks worn by men in the Near East
kaftans,noun,a (cotton or silk) cloak with full sleeves and sash reaching down to the ankles; worn by men in the Levant
kahikatea,noun,New Zealand evergreen valued for its light easily worked wood
kayak,noun,a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos
kayak,verb,travel in a small canoe
kayaks,noun,a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos
kayaks,verb,travel in a small canoe
kail,noun,a hardy cabbage with coarse curly leaves that do not form a head
kail,noun,coarse curly-leafed cabbage
kails,noun,a hardy cabbage with coarse curly leaves that do not form a head
kails,noun,coarse curly-leafed cabbage
kainite,noun,a white mineral consisting of magnesium sulphate and potassium chloride; a source of potassium salts; used as a fertilizer
kainites,noun,a white mineral consisting of magnesium sulphate and potassium chloride; a source of potassium salts; used as a fertilizer
kainogenesis,noun,introduction during embryonic development of characters or structure not present in the earlier evolutionary history of the strain or species (such as the addition of the placenta in mammalian evolution)
kayo,noun,a blow that renders the opponent unconscious
kayo,verb,knock unconscious or senseless
kayoed,verb,knock unconscious or senseless
kayoed,s,knocked unconscious by a heavy blow
kayoes,verb,knock unconscious or senseless
kayoing,verb,knock unconscious or senseless
kayos,noun,a blow that renders the opponent unconscious
kayos,verb,knock unconscious or senseless
kaiser,noun,the title of the Holy Roman Emperors or the emperors of Austria or of Germany until 1918
kaisers,noun,the title of the Holy Roman Emperors or the emperors of Austria or of Germany until 1918
kakatoe,noun,a genus of Psittacidae
kakemono,noun,a Japanese (paper or silk) wall hanging; usually narrow with a picture or writing on it and a roller at the bottom
kakemonos,noun,a Japanese (paper or silk) wall hanging; usually narrow with a picture or writing on it and a roller at the bottom
kaki,noun,small deciduous Asiatic tree bearing large red or orange edible astringent fruit
kaki,noun,blackish stilt of New Zealand sometimes considered a color phase of the white-headed stilt
kakis,noun,small deciduous Asiatic tree bearing large red or orange edible astringent fruit
kakis,noun,blackish stilt of New Zealand sometimes considered a color phase of the white-headed stilt
kalapooian,noun,a Penutian language spoken by the Kalapuya
kalashnikov,noun,a type of submachine gun made in Russia
kale,noun,informal terms for money
kale,noun,a hardy cabbage with coarse curly leaves that do not form a head
kale,noun,coarse curly-leafed cabbage
kaleidoscope,noun,a complex pattern of constantly changing colors and shapes
kaleidoscope,noun,an optical toy in a tube; it produces symmetrical patterns as bits of colored glass are reflected by mirrors
kaleidoscopes,noun,a complex pattern of constantly changing colors and shapes
kaleidoscopes,noun,an optical toy in a tube; it produces symmetrical patterns as bits of colored glass are reflected by mirrors
kaleidoscopic,s,continually shifting or rapidly changing
kaleidoscopical,s,continually shifting or rapidly changing
kales,noun,informal terms for money
kales,noun,a hardy cabbage with coarse curly leaves that do not form a head
kales,noun,coarse curly-leafed cabbage
kali,noun,bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash
kali,noun,wife of Siva and malevolent form of Devi
kalian,noun,an oriental tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water
kalians,noun,an oriental tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water
kalif,noun,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth
kalifs,noun,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth
kaliph,noun,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth
kaliphs,noun,the civil and religious leader of a Muslim state considered to be a representative of Allah on earth
kalis,noun,bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash
kalis,noun,wife of Siva and malevolent form of Devi
kalmia,noun,any plant of the genus Kalmia
kalmias,noun,any plant of the genus Kalmia
kalumpang,noun,large tree of Old World tropics having foul-smelling orange-red blossoms followed by red pods enclosing oil-rich seeds sometimes used as food
kama,noun,Hindu god of love and erotic desire; opposite of Mara
kamas,noun,Hindu god of love and erotic desire; opposite of Mara
kamass,noun,Hindu god of love and erotic desire; opposite of Mara
kamba,noun,a Bantu language spoken by the Kamba in Kenya
kami,noun,"one the Shinto deities (including mythological beings, spirits of distinguished men, forces of nature)"
kamias,noun,a member of a North American Indian people of southeastern California and northwestern Mexico
kamias,noun,the Yuman language spoken by the Kamia
kamikaze,noun,a fighter plane used for suicide missions by Japanese pilots in World War II
kamikaze,noun,a pilot trained and willing to cause a suicidal crash
kamikazes,noun,a fighter plane used for suicide missions by Japanese pilots in World War II
kamikazes,noun,a pilot trained and willing to cause a suicidal crash
kamis,noun,"one the Shinto deities (including mythological beings, spirits of distinguished men, forces of nature)"
kampong,noun,a native village in Malaysia
kampongs,noun,a native village in Malaysia
kampuchea,noun,a nation in southeastern Asia; was part of Indochina under French rule until 1946
kanamycin,noun,antibiotic (trade name Kantrex) used to treat severe infections
kanara,noun,a historical region of southwestern India on the west coast
kanarese,noun,a member of a Kannada-speaking group of people living chiefly in Kanara in southern India
kanarese,noun,a Dravidian language spoken in southern India
kanawha,noun,a tributary of the Ohio River in West Virginia
kanchil,noun,small chevrotain of southeastern Asia
kangaroo,noun,any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
kangaroos,noun,any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
kannada,noun,a Dravidian language spoken in southern India
kansa,noun,a member of the Siouan people of the Kansas river valley in Kansas
kansa,noun,the Dhegiha dialect spoken by the Kansa
kansan,noun,a native or resident of Kansas
kansans,noun,a native or resident of Kansas
