m,noun,the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
m,noun,concentration measured by the number of moles of solute per liter of solution
m,noun,the cardinal number that is the product of 10 and 100
m,noun,"a unit of information equal to 1000 kilobytes or 10^6 (1,000,000) bytes"
m,noun,"a unit of information equal to 1024 kibibytes or 2^20 (1,048,576) bytes"
m,noun,the 13th letter of the Roman alphabet
m,s,"denoting a quantity consisting of 1,000 items or units"
ma,noun,informal terms for a mother
ma,noun,a master's degree in arts and sciences
ma,noun,one thousandth of an ampere
ma,noun,a state in New England; one of the original 13 colonies
maar,noun,a flat-bottomed volcanic crater that was formed by an explosion; often filled with water
maars,noun,a flat-bottomed volcanic crater that was formed by an explosion; often filled with water
mac,noun,a waterproof raincoat made of rubberized fabric
macabre,s,shockingly repellent; inspiring horror
macaca,noun,macaques; rhesus monkeys
macadam,noun,broken stone used in macadamized roadways
macadam,noun,a paved surface having compressed layers of broken rocks held together with tar
macadamia,noun,any tree of the genus Macadamia
macadamise,verb,surface with macadam
macadamize,verb,surface with macadam
macadamized,verb,surface with macadam
macadamizes,verb,surface with macadam
macadamizing,verb,surface with macadam
macadams,noun,broken stone used in macadamized roadways
macadams,noun,a paved surface having compressed layers of broken rocks held together with tar
macao,noun,a former Portuguese province on the south coast of China and two islands in the South China Sea; reverted to China in 1999
macaque,noun,short-tailed monkey of rocky regions of Asia and Africa
macaques,noun,short-tailed monkey of rocky regions of Asia and Africa
macaroni,noun,a British dandy in the 18th century who affected Continental mannerisms
macaroni,noun,pasta in the form of slender tubes
macaronic,adjective,of or containing a mixture of Latin words and vernacular words jumbled together
macaronies,noun,a British dandy in the 18th century who affected Continental mannerisms
macaronies,noun,pasta in the form of slender tubes
macaronis,noun,a British dandy in the 18th century who affected Continental mannerisms
macaronis,noun,pasta in the form of slender tubes
macaroon,noun,chewy cookie usually containing almond paste
macaroons,noun,chewy cookie usually containing almond paste
macaw,noun,long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots
macaws,noun,long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots
macbeth,noun,king of Scotland (died in 1057)
mace,noun,"(trademark) a liquid that temporarily disables a person; prepared as an aerosol and sprayed in the face, it irritates the eyes and causes dizziness and immobilization"
mace,noun,an official who carries a mace of office
