o,noun,a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
o,noun,the 15th letter of the Roman alphabet
o,noun,the blood group whose red cells carry neither the A nor B antigens
oaf,noun,an awkward stupid person
oafish,s,ill-mannered and coarse and contemptible in behavior or appearance
oafs,noun,an awkward stupid person
oak,noun,the hard durable wood of any oak; used especially for furniture and flooring
oak,noun,a deciduous tree of the genus Quercus; has acorns and lobed leaves
oaken,s,consisting of or made of wood of the oak tree
oakland,noun,a city in western California on San Francisco Bay opposite San Francisco; primarily and industrial urban center
oaks,noun,the hard durable wood of any oak; used especially for furniture and flooring
oaks,noun,a deciduous tree of the genus Quercus; has acorns and lobed leaves
oakum,noun,loose hemp or jute fiber obtained by unravelling old ropes; when impregnated with tar it was used to caulk seams and pack joints in wooden ships
oakums,noun,loose hemp or jute fiber obtained by unravelling old ropes; when impregnated with tar it was used to caulk seams and pack joints in wooden ships
oar,noun,an implement used to propel or steer a boat
oarfish,noun,thin deep-water tropical fish 20 to 30 feet long having a red dorsal fin
oarfishes,noun,thin deep-water tropical fish 20 to 30 feet long having a red dorsal fin
oarlock,noun,a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing
oarlocks,noun,a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing
oars,noun,an implement used to propel or steer a boat
oarsman,noun,someone who rows a boat
oarsmanship,noun,skill as an oarsman
oarsmen,noun,someone who rows a boat
oarswoman,noun,a woman oarsman
oarswomen,noun,a woman oarsman
oases,noun,a fertile tract in a desert (where the water table approaches the surface)
oases,noun,a shelter serving as a place of safety or sanctuary
oasis,noun,a fertile tract in a desert (where the water table approaches the surface)
oasis,noun,a shelter serving as a place of safety or sanctuary
oast,noun,a kiln for drying hops
oasts,noun,a kiln for drying hops
oat,noun,annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')
oat,noun,seed of the annual grass Avena sativa (spoken of primarily in the plural as `oats')
oatcake,noun,thin flat unleavened cake of baked oatmeal
oatcakes,noun,thin flat unleavened cake of baked oatmeal
oaten,adjective,of or related to or derived from oats
oath,noun,profane or obscene expression usually of surprise or anger
oath,noun,a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury
oath,noun,"a solemn promise, usually invoking a divine witness, regarding your future acts or behavior"
oaths,noun,profane or obscene expression usually of surprise or anger
oaths,noun,a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury
oaths,noun,"a solemn promise, usually invoking a divine witness, regarding your future acts or behavior"
oatmeal,noun,porridge made of rolled oats
oatmeal,noun,meal made from rolled or ground oats
oatmeals,noun,porridge made of rolled oats
oatmeals,noun,meal made from rolled or ground oats
oats,noun,annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')
oats,noun,seed of the annual grass Avena sativa (spoken of primarily in the plural as `oats')
oaves,noun,an awkward stupid person
ob,noun,a major river of western Siberia; flows generally northward and westward to the Gulf of Ob and the Kara Sea
ob,noun,the branch of medicine dealing with childbirth and care of the mother
obadiah,noun,a Hebrew minor prophet
obadiah,noun,an Old Testament book telling Obadiah's prophecies; the shortest book in the Christian Bible
obbligato,noun,a persistent but subordinate motif
obbligato,noun,a part of the score that must be performed without change or omission
obbligatos,noun,a persistent but subordinate motif
obbligatos,noun,a part of the score that must be performed without change or omission
obduracy,noun,resoluteness by virtue of being unyielding and inflexible
obduracies,noun,resoluteness by virtue of being unyielding and inflexible
obdurate,s,stubbornly persistent in wrongdoing
obdurate,s,showing unfeeling resistance to tender feelings
obdurately,adverb,in a stubborn unregenerate manner
obeah,noun,(West Indies) followers of a religious system involving witchcraft and sorcery
obeah,noun,a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas
obeahs,noun,(West Indies) followers of a religious system involving witchcraft and sorcery
obeahs,noun,a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas
obeche,noun,the wood of an African obeche tree; used especially for veneering
obeche,noun,large west African tree having large palmately lobed leaves and axillary cymose panicles of small white flowers and one-winged seeds; yields soft white to pale yellow wood
obedience,noun,the act of obeying; dutiful or submissive behavior with respect to another person
obedience,noun,the trait of being willing to obey
obedience,noun,behavior intended to please your parents
obediences,noun,the act of obeying; dutiful or submissive behavior with respect to another person
obediences,noun,the trait of being willing to obey
obediences,noun,behavior intended to please your parents
obedient,adjective,"dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
obediently,adverb,in an obedient manner
obey,verb,be obedient to
obeyed,verb,be obedient to
obeying,verb,be obedient to
obeys,verb,be obedient to
obeisance,noun,bending the head or body or knee as a sign of reverence or submission or shame or greeting
obeisance,noun,the act of obeying; dutiful or submissive behavior with respect to another person
obeisances,noun,bending the head or body or knee as a sign of reverence or submission or shame or greeting
obeisances,noun,the act of obeying; dutiful or submissive behavior with respect to another person
obelion,noun,the craniometric point on the sagittal suture near the lamboid suture
obelisk,noun,a stone pillar having a rectangular cross section tapering towards a pyramidal top
obelisk,noun,a character used in printing to indicate a cross reference or footnote
obelisks,noun,a stone pillar having a rectangular cross section tapering towards a pyramidal top
obelisks,noun,a character used in printing to indicate a cross reference or footnote
obese,s,excessively fat
obesity,noun,more than average fatness
obesities,noun,more than average fatness
obfuscate,verb,make obscure or unclear
obfuscated,verb,make obscure or unclear
obfuscates,verb,make obscure or unclear
obfuscating,verb,make obscure or unclear
obfuscation,noun,confusion resulting from failure to understand
obfuscation,noun,"the activity of obscuring people's understanding, leaving them baffled or bewildered"
obfuscation,noun,darkening or obscuring the sight of something
obi,noun,(West Indies) followers of a religious system involving witchcraft and sorcery
obi,noun,a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas
obiism,noun,belief in a kind of sorcery that originated in Africa and is practiced in the West Indies
obiisms,noun,belief in a kind of sorcery that originated in Africa and is practiced in the West Indies
obis,noun,(West Indies) followers of a religious system involving witchcraft and sorcery
obis,noun,a religious belief of African origin involving witchcraft and sorcery; practiced in parts of the West Indies and tropical Americas
obit,noun,a notice of someone's death; usually includes a short biography
obits,noun,a notice of someone's death; usually includes a short biography
obituary,noun,a notice of someone's death; usually includes a short biography
obituaries,noun,a notice of someone's death; usually includes a short biography
object,noun,a tangible and visible entity; an entity that can cast a shadow
object,noun,the goal intended to be attained (and which is believed to be attainable)
object,noun,(grammar) a constituent that is acted upon
object,noun,the focus of cognitions or feelings
object,noun,(computing) a discrete item that provides a description of virtually anything known to a computer
object,verb,express or raise an objection or protest or criticism or express dissent
object,verb,be averse to or express disapproval of
objected,verb,express or raise an objection or protest or criticism or express dissent
objected,verb,be averse to or express disapproval of
objectify,verb,"make external or objective, or give reality to"
objectify,verb,make impersonal or present as an object
objectification,noun,the act of representing an abstraction as a physical thing
objectification,noun,a concrete representation of an abstract idea or principle
objectified,verb,"make external or objective, or give reality to"
objectified,verb,make impersonal or present as an object
objectifying,verb,"make external or objective, or give reality to"
objectifying,verb,make impersonal or present as an object
objecting,verb,express or raise an objection or protest or criticism or express dissent
objecting,verb,be averse to or express disapproval of
objection,noun,the act of expressing earnest opposition or protest
objection,noun,the speech act of objecting
objection,noun,the act of protesting; a public (often organized) manifestation of dissent
objection,noun,(law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality
objectionable,s,causing disapproval or protest
objectionable,s,liable to objection or debate; used of something one might take exception to
objectionableness,noun,the quality of being hateful
objectionably,adverb,in an obnoxious manner
objections,noun,the act of expressing earnest opposition or protest
objections,noun,the speech act of objecting
objections,noun,the act of protesting; a public (often organized) manifestation of dissent
objections,noun,(law) a procedure whereby a party to a suit says that a particular line of questioning or a particular witness or a piece of evidence or other matter is improper and should not be continued and asks the court to rule on its impropriety or illegality
objective,noun,the goal intended to be attained (and which is believed to be attainable)
objective,noun,the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
objective,adjective,undistorted by emotion or personal bias; based on observable phenomena
objective,adjective,serving as or indicating the object of a verb or of certain prepositions and used for certain other purposes
objective,s,"emphasizing or expressing things as perceived without distortion of personal feelings, insertion of fictional matter, or interpretation"
objective,s,belonging to immediate experience of actual things or events
objectively,adverb,with objectivity
objectiveness,noun,judgment based on observable phenomena and uninfluenced by emotions or personal prejudices
objectives,noun,the goal intended to be attained (and which is believed to be attainable)
objectives,noun,the lens or system of lenses in a telescope or microscope that is nearest the object being viewed
objectivity,noun,judgment based on observable phenomena and uninfluenced by emotions or personal prejudices
objector,noun,a person who dissents from some established policy
objectors,noun,a person who dissents from some established policy
objects,noun,a tangible and visible entity; an entity that can cast a shadow
objects,noun,the goal intended to be attained (and which is believed to be attainable)
objects,noun,(grammar) a constituent that is acted upon
objects,noun,the focus of cognitions or feelings
objects,noun,(computing) a discrete item that provides a description of virtually anything known to a computer
objects,verb,express or raise an objection or protest or criticism or express dissent
objects,verb,be averse to or express disapproval of
objurgate,verb,express strong disapproval of
objurgate,verb,censure severely
objurgated,verb,express strong disapproval of
objurgated,verb,censure severely
objurgates,verb,express strong disapproval of
objurgates,verb,censure severely
objurgating,verb,express strong disapproval of
objurgating,verb,censure severely
objurgation,noun,rebuking a person harshly
objurgations,noun,rebuking a person harshly
oblanceolate,s,(of a leaf shape) having a broad rounded apex and a tapering base
oblate,noun,a lay person dedicated to religious work or the religious life
oblate,adjective,having the equatorial diameter greater than the polar diameter; being flattened at the poles
oblateness,noun,the property possessed by a round shape that is flattened at the poles
oblates,noun,a lay person dedicated to religious work or the religious life
oblation,noun,the act of contributing to the funds of a church or charity
oblation,noun,the act of offering the bread and wine of the Eucharist
oblations,noun,the act of contributing to the funds of a church or charity
oblations,noun,the act of offering the bread and wine of the Eucharist
obligate,verb,force somebody to do something
obligate,verb,commit in order to fulfill an obligation
obligate,verb,bind by an obligation; cause to be indebted
obligate,adjective,restricted to a particular condition of life
obligated,verb,force somebody to do something
obligated,verb,commit in order to fulfill an obligation
obligated,verb,bind by an obligation; cause to be indebted
obligated,adjective,caused by law or conscience to follow a certain course
obligates,verb,force somebody to do something
obligates,verb,commit in order to fulfill an obligation
obligates,verb,bind by an obligation; cause to be indebted
obligati,noun,a persistent but subordinate motif
obligati,noun,a part of the score that must be performed without change or omission
obligating,verb,force somebody to do something
obligating,verb,commit in order to fulfill an obligation
obligating,verb,bind by an obligation; cause to be indebted
obligation,noun,"the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr"
obligation,noun,the state of being obligated to do or pay something
obligation,noun,a personal relation in which one is indebted for a service or favor
obligation,noun,a written promise to repay a debt
obligation,noun,a legal agreement specifying a payment or action and the penalty for failure to comply
obligational,adjective,relating or constituting or qualified to create a legal or financial obligation
obligations,noun,"the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr"
obligations,noun,the state of being obligated to do or pay something
obligations,noun,a personal relation in which one is indebted for a service or favor
obligations,noun,a written promise to repay a debt
obligations,noun,a legal agreement specifying a payment or action and the penalty for failure to comply
obligato,noun,a persistent but subordinate motif
obligato,noun,a part of the score that must be performed without change or omission
obligatory,adjective,morally or legally constraining or binding
obligatory,s,required by obligation or compulsion or convention
obligatorily,adverb,in an obligatory manner
obligatorily,adverb,in a manner that cannot be evaded
obligatos,noun,a persistent but subordinate motif
obligatos,noun,a part of the score that must be performed without change or omission
oblige,verb,force somebody to do something
oblige,verb,bind by an obligation; cause to be indebted
oblige,verb,provide a service or favor for someone
obliged,verb,force somebody to do something
obliged,verb,bind by an obligation; cause to be indebted
obliged,verb,provide a service or favor for someone
obliged,s,under a moral obligation to do something
obligees,verb,force somebody to do something
obligees,verb,bind by an obligation; cause to be indebted
obligees,verb,provide a service or favor for someone
obliger,noun,someone who performs a service or does a favor
obligers,noun,someone who performs a service or does a favor
obliges,verb,force somebody to do something
obliges,verb,bind by an obligation; cause to be indebted
obliges,verb,provide a service or favor for someone
obliging,verb,force somebody to do something
obliging,verb,bind by an obligation; cause to be indebted
obliging,verb,provide a service or favor for someone
obliging,s,showing a cheerful willingness to do favors for others
obligingly,adverb,in accommodation
obligingness,noun,a disposition or tendency to yield to the will of others
oblique,noun,any grammatical case other than the nominative
oblique,noun,a diagonally arranged abdominal muscle on either side of the torso
oblique,adjective,slanting or inclined in direction or course or position--neither parallel nor perpendicular nor right-angled
oblique,s,indirect in departing from the accepted or proper way; misleading
obliquely,adverb,"to, toward or at one side"
obliquely,adverb,at an oblique angle
obliqueness,noun,"the property of being neither parallel nor perpendicular, but at a slanting angle"
obliqueness,noun,the quality of being oblique and rambling indirectly
obliques,noun,any grammatical case other than the nominative
obliques,noun,a diagonally arranged abdominal muscle on either side of the torso
obliquity,noun,the presentation during labor of the head of the fetus at an abnormal angle
obliquity,noun,the quality of being deceptive
obliquities,noun,the presentation during labor of the head of the fetus at an abnormal angle
obliquities,noun,the quality of being deceptive
obliterable,s,able to be obliterated completely
obliterate,verb,"mark for deletion, rub off, or erase"
obliterate,verb,make undecipherable or imperceptible by obscuring or concealing
obliterate,verb,remove completely from recognition or memory
obliterate,verb,"do away with completely, without leaving a trace"
