r,noun,a unit of radiation exposure; the dose of ionizing radiation that will produce 1 electrostatic unit of electricity in 1 cc of dry air
r,noun,(physics) the universal constant in the gas equation: pressure times volume = R times temperature; equal to 8.3143 joules per kelvin per mole
r,noun,the 18th letter of the Roman alphabet
r,noun,the length of a line segment between the center and circumference of a circle or sphere
ra,noun,an intensely radioactive metallic element that occurs in minute amounts in uranium ores
ra,noun,ancient Egyptian sun god with the head of a hawk; a universal creator; he merged with the god Amen as Amen-Ra to become the king of the gods
ra,noun,"(astronomy) the equatorial coordinate specifying the angle, measured eastward along the celestial equator, from the vernal equinox to the intersection of the hour circle that passes through an object in the sky; usually expressed in hours and minutes and seconds; used with declination to specify positions on the celestial sphere"
rabat,noun,the capital of Morocco; located in the northwestern on the Atlantic coast
rabato,noun,a wired or starched collar of intricate lace; worn in 17th century
rabatos,noun,a wired or starched collar of intricate lace; worn in 17th century
rabatos,noun,a wired or starched collar of intricate lace; worn in 17th century
rabbet,noun,a rectangular groove made to hold two pieces together
rabbet,verb,join with a rabbet joint
rabbet,verb,cut a rectangular groove into
rabbeted,verb,join with a rabbet joint
rabbeted,verb,cut a rectangular groove into
rabbeting,verb,join with a rabbet joint
rabbeting,verb,cut a rectangular groove into
rabbets,noun,a rectangular groove made to hold two pieces together
rabbets,verb,join with a rabbet joint
rabbets,verb,cut a rectangular groove into
rabbi,noun,spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law
rabbi,noun,a Hebrew title of respect for a Jewish scholar or teacher
rabbinate,noun,rabbis collectively
rabbinate,noun,the office or function of a rabbi
rabbinates,noun,rabbis collectively
rabbinates,noun,the office or function of a rabbi
rabbinic,adjective,of or relating to rabbis or their teachings
rabbinical,adjective,of or relating to rabbis or their teachings
rabbis,noun,spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law
rabbis,noun,a Hebrew title of respect for a Jewish scholar or teacher
rabbit,noun,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
rabbit,noun,the fur of a rabbit
rabbit,noun,flesh of any of various rabbits or hares (wild or domesticated) eaten as food
rabbit,verb,hunt rabbits
rabbited,verb,hunt rabbits
rabbiteye,noun,shrub of southeastern United States grown commercially especially for canning industry
rabbitfish,noun,large European chimaera
rabbitfishes,noun,large European chimaera
rabbiting,verb,hunt rabbits
rabbits,noun,any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
rabbits,noun,the fur of a rabbit
rabbits,noun,flesh of any of various rabbits or hares (wild or domesticated) eaten as food
rabbits,verb,hunt rabbits
rabbitweed,noun,low-growing sticky subshrub of southwestern United States having narrow linear leaves on many slender branches and hundreds of tiny yellow flower heads
