u,noun,a base containing nitrogen that is found in RNA (but not in DNA) and derived from pyrimidine; pairs with adenine
u,noun,a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons
u,noun,the 21st letter of the Roman alphabet
u,s,(chiefly British) of or appropriate to the upper classes especially in language use
uakari,noun,medium-sized tree-dwelling monkey of the Amazon basin; only New World monkey with a short tail
ubiety,noun,the state of existing and being localized in space
ubieties,noun,the state of existing and being localized in space
ubiquity,noun,the state of being everywhere at once (or seeming to be everywhere at once)
ubiquities,noun,the state of being everywhere at once (or seeming to be everywhere at once)
ubiquitous,s,being present everywhere at once
ubiquitousness,noun,the state of being everywhere at once (or seeming to be everywhere at once)
uca,noun,fiddler crabs
udder,noun,mammary gland of bovids (cows and sheep and goats)
udders,noun,mammary gland of bovids (cows and sheep and goats)
udometer,noun,gauge consisting of an instrument to measure the quantity of precipitation
udometers,noun,gauge consisting of an instrument to measure the quantity of precipitation
ufo,noun,an (apparently) flying object whose nature is unknown; especially those considered to have extraterrestrial origins
ufos,noun,an (apparently) flying object whose nature is unknown; especially those considered to have extraterrestrial origins
uganda,noun,a landlocked republic in eastern Africa; achieved independence from the United Kingdom in 1962
ugandan,noun,a native or inhabitant of Uganda
ugandan,adjective,of or relating to or characteristic of Uganda or its people
ugandans,noun,a native or inhabitant of Uganda
ugaritic,noun,an extinct Semitic language of northern Syria
ugli,noun,large sweet juicy hybrid between tangerine and grapefruit having a thick wrinkled skin
ugly,adjective,displeasing to the senses
ugly,s,inclined to anger or bad feelings with overtones of menace
ugly,s,morally reprehensible
ugly,s,provoking horror
uglier,adjective,displeasing to the senses
uglier,s,inclined to anger or bad feelings with overtones of menace
uglier,s,morally reprehensible
uglier,s,provoking horror
ugliest,adjective,displeasing to the senses
ugliest,s,inclined to anger or bad feelings with overtones of menace
ugliest,s,morally reprehensible
ugliest,s,provoking horror
uglify,verb,make ugly
uglified,verb,make ugly
uglifies,verb,make ugly
uglifying,verb,make ugly
ugliness,noun,qualities of appearance that do not give pleasure to the senses
ugliness,noun,the quality of being wicked
uglinesses,noun,qualities of appearance that do not give pleasure to the senses
uglinesses,noun,the quality of being wicked
uglis,noun,large sweet juicy hybrid between tangerine and grapefruit having a thick wrinkled skin
ugrian,noun,one of the two branches of the Finno-Ugric family of languages; spoken in Hungary and northwestern Siberia
ugric,noun,one of the two branches of the Finno-Ugric family of languages; spoken in Hungary and northwestern Siberia
uighur,noun,a member of a people who speak Uighur and live in Xinjiang and adjacent areas
uighur,noun,"the Turkic language spoken by approximately 7,000,000 Uighur in extreme northwestern China"
uighur,noun,the script (derived from Aramaic) used to write the Uighur language
uigur,noun,a member of a people who speak Uighur and live in Xinjiang and adjacent areas
uigur,noun,"the Turkic language spoken by approximately 7,000,000 Uighur in extreme northwestern China"
uigur,noun,the script (derived from Aramaic) used to write the Uighur language
uintathere,noun,a variety of dinocerate
uintatheriidae,noun,an extinct family of Dinocerata
uintatherium,noun,type genus of the Uintatheriidae; extinct large herbivorous ungulates somewhat resembling elephants; from the Eocene in Wyoming
ukase,noun,an edict of the Russian tsar
ukases,noun,an edict of the Russian tsar
uke,noun,a small guitar having four strings
ukes,noun,a small guitar having four strings
ukraine,noun,a republic in southeastern Europe; formerly a European soviet; the center of the original Russian state which came into existence in the ninth century
ukrainian,noun,the Slavic language spoken in the Ukraine
ukrainian,adjective,of or relating to or characteristic of Ukraine or its people or culture
ukrainians,noun,the Slavic language spoken in the Ukraine
ukranian,noun,a native or inhabitant of the Ukraine
ukulele,noun,a small guitar having four strings
ukuleles,noun,a small guitar having four strings
ulama,noun,the body of Mullahs (Muslim scholars trained in Islam and Islamic law) who are the interpreters of Islam's sciences and doctrines and laws and the chief guarantors of continuity in the spiritual and intellectual history of the Islamic community
ulamas,noun,the body of Mullahs (Muslim scholars trained in Islam and Islamic law) who are the interpreters of Islam's sciences and doctrines and laws and the chief guarantors of continuity in the spiritual and intellectual history of the Islamic community
ulatrophia,noun,recession of the gums
ulcer,noun,a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
ulcerate,verb,undergo ulceration
ulcerate,verb,affect with an ulcer
ulcerated,verb,undergo ulceration
ulcerated,verb,affect with an ulcer
ulcerated,s,having an ulcer or canker
ulcerates,verb,undergo ulceration
ulcerates,verb,affect with an ulcer
ulcerating,verb,undergo ulceration
ulcerating,verb,affect with an ulcer
ulceration,noun,a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
ulceration,noun,the process of ulcer formation; the process of becoming ulcerated
ulcerations,noun,a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
ulcerations,noun,the process of ulcer formation; the process of becoming ulcerated
ulcerative,adjective,of or relating to or characterized by ulceration
ulcerous,s,having an ulcer or canker
ulcers,noun,a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue
ulema,noun,the body of Mullahs (Muslim scholars trained in Islam and Islamic law) who are the interpreters of Islam's sciences and doctrines and laws and the chief guarantors of continuity in the spiritual and intellectual history of the Islamic community
ulemas,noun,the body of Mullahs (Muslim scholars trained in Islam and Islamic law) who are the interpreters of Islam's sciences and doctrines and laws and the chief guarantors of continuity in the spiritual and intellectual history of the Islamic community
ulemorrhagia,noun,bleeding of the gums
ulex,noun,genus of Eurasian spiny shrubs: gorse
ulysses,noun,(Roman mythology) Roman spelling for Odysseus
ulitis,noun,inflammation of the gums
ull,noun,(Norse mythology) one of the Aesir known for his beauty and skill with bow and skis; son of Sif and stepson of Thor
ullage,noun,the amount that a container (as a wine bottle or tank) lacks of being full
ullages,noun,the amount that a container (as a wine bottle or tank) lacks of being full
ulmaceae,noun,"a dicot family of the order Urticales including: genera Ulmus, Celtis, Planera, Trema"
ulmus,noun,type genus of family Ulmaceae; deciduous trees having simple serrate leaves; widely distributed in temperate regions
ulna,noun,the inner and longer of the two bones of the human forearm
ulnae,noun,the inner and longer of the two bones of the human forearm
ulnar,adjective,relating to or near the ulna
ulnas,noun,the inner and longer of the two bones of the human forearm
ulster,noun,a historic division of Ireland located in the northeastern part of the island; six of Ulster's nine counties are in Northern Ireland
ulster,noun,loose long overcoat of heavy fabric; usually belted
ulsters,noun,a historic division of Ireland located in the northeastern part of the island; six of Ulster's nine counties are in Northern Ireland
ulsters,noun,loose long overcoat of heavy fabric; usually belted
ult,s,in or of the month preceding the present one
ulterior,s,lying beyond what is openly revealed or avowed (especially being kept in the background or deliberately concealed)
ulterior,s,beyond or outside an area of immediate interest; remote
ulterior,s,coming at a subsequent time or stage
ulteriorly,adverb,in an ulterior manner
ultima,noun,the last syllable in a word
ultimacy,noun,"the state or degree of being ultimate; the final or most extreme in degree or size or time or distance, ""the ultimacy of these social values"""
ultimacies,noun,"the state or degree of being ultimate; the final or most extreme in degree or size or time or distance, ""the ultimacy of these social values"""
ultimas,noun,the last syllable in a word
ultimata,noun,a final peremptory demand
ultimate,noun,the finest or most superior quality of its kind
ultimate,adjective,furthest or highest in degree or order; utmost or extreme
ultimate,s,being the last or concluding element of a series
ultimately,adverb,as the end result of a succession or process
ultimateness,noun,"the state or degree of being ultimate; the final or most extreme in degree or size or time or distance, ""the ultimacy of these social values"""
ultimates,noun,the finest or most superior quality of its kind
ultimatum,noun,a final peremptory demand
ultimatums,noun,a final peremptory demand
ultimo,s,in or of the month preceding the present one
ultra,s,(used of opinions and actions) far beyond the norm
ultracentrifugation,noun,centrifugation at very high speeds
ultracentrifuge,noun,a high speed centrifuge used to determine the relative molecular masses of large molecules in high polymers and proteins
ultracentrifuge,verb,subject to the action of an ultracentrifuge
ultracentrifuged,verb,subject to the action of an ultracentrifuge
ultracentrifuging,verb,subject to the action of an ultracentrifuge
ultraconservative,noun,an extreme conservative; an opponent of progress or liberalism
ultraconservative,s,extremely conservative
ultraconservatives,noun,an extreme conservative; an opponent of progress or liberalism
ultramarine,noun,blue pigment made of powdered lapis lazuli
ultramarine,noun,a vivid blue to purple-blue color
ultramarine,s,of a brilliant pure blue to purplish blue color
ultramicroscope,noun,light microscope that uses scattered light to show particles too small to see with ordinary microscopes
ultramicroscopic,adjective,too small to be seen without an ultramicroscope
ultramodern,s,extremely modern
ultramontane,noun,a Roman Catholic who advocates ultramontanism (supreme papal authority in matters of faith and discipline)
ultramontane,adjective,of or relating to ultramontanism
ultramontane,s,on or relating to or characteristic of the region or peoples beyond the Alps from Italy (or north of the Alps)
ultramontane,s,on the Italian or Roman side of the Alps
ultramontanism,noun,(Roman Catholic Church) the policy that the absolute authority of the church should be vested in the pope
ultranationalism,noun,fanatical patriotism
ultranationalistic,s,fanatically patriotic
ultrasonic,s,having frequencies above those of audible sound
ultrasonically,adverb,by ultrasonic means
ultrasonography,noun,using the reflections of high-frequency sound waves to construct an image of a body organ (a sonogram); commonly used to observe fetal growth or study bodily organs
ultrasound,noun,very high frequency sound; used in ultrasonography
ultrasound,noun,using the reflections of high-frequency sound waves to construct an image of a body organ (a sonogram); commonly used to observe fetal growth or study bodily organs
ultrasuede,noun,a synthetic suede cloth
ultraviolet,noun,radiation lying in the ultraviolet range; wave lengths shorter than light but longer than X rays
ultraviolet,s,having or employing wavelengths shorter than light but longer than X-rays; lying outside the visible spectrum at its violet end
ululate,verb,emit long loud cries
ululated,verb,emit long loud cries
ululates,verb,emit long loud cries
ululating,verb,emit long loud cries
ululation,noun,a long loud emotional utterance
ululations,noun,a long loud emotional utterance
ulva,noun,type genus of the family Ulvaceae; green seaweed having a thallus two cells thick: sea lettuce
ulvaceae,noun,thin flat or tubular green algae
ulvales,noun,an order of protoctist
ulvas,noun,type genus of the family Ulvaceae; green seaweed having a thallus two cells thick: sea lettuce
umbel,noun,flat-topped or rounded inflorescence characteristic of the family Umbelliferae in which the individual flower stalks arise from about the same point; youngest flowers are at the center
umbellales,noun,plants having umbels or corymbs of uniovulate flowers; includes the Umbelliferae (chiefly herbs) and Cornaceae (chiefly trees or shrubs)
umbellar,adjective,bearing or consisting of or resembling umbels
umbellate,adjective,bearing or consisting of or resembling umbels
umbellate,s,resembling an umbel in form
umbellifer,noun,any of numerous aromatic herbs of the family Umbelliferae
umbelliferae,noun,plants having flowers in umbels: parsley; carrot; anise; caraway; celery; dill
