w,noun,a heavy grey-white metallic element; the pure form is used mainly in electrical applications; it is found in several ores including wolframite and scheelite
w,noun,the cardinal compass point that is a 270 degrees
w,noun,a unit of power equal to 1 joule per second; the power dissipated by a current of 1 ampere flowing across a resistance of 1 ohm
w,noun,the 23rd letter of the Roman alphabet
wa,noun,a state in northwestern United States on the Pacific
wac,noun,a member of the Women's Army Corps
wac,noun,an army corps that was organized in World War II but is no longer a separate branch of the United States Army
wacky,s,"ludicrous, foolish"
wacky,s,informal or slang terms for mentally irregular
wackier,s,"ludicrous, foolish"
wackier,s,informal or slang terms for mentally irregular
wackiest,s,"ludicrous, foolish"
wackiest,s,informal or slang terms for mentally irregular
wackily,adverb,in a mildly insane manner
waco,noun,a city in east central Texas
wacs,noun,a member of the Women's Army Corps
wacs,noun,an army corps that was organized in World War II but is no longer a separate branch of the United States Army
wad,noun,a small mass of soft material
wad,noun,(often followed by `of') a large number or amount or extent
wad,noun,a wad of something chewable as tobacco
wad,verb,compress into a wad
wad,verb,crowd or pack to capacity
wadded,verb,compress into a wad
wadded,verb,crowd or pack to capacity
wadding,noun,any material used especially to protect something
wadding,verb,compress into a wad
wadding,verb,crowd or pack to capacity
waddings,noun,any material used especially to protect something
waddle,noun,walking with short steps and the weight tilting from one foot to the other
waddle,verb,walk unsteadily
waddled,verb,walk unsteadily
waddler,noun,someone who walks with a waddling gait
waddlers,noun,someone who walks with a waddling gait
waddles,noun,walking with short steps and the weight tilting from one foot to the other
waddles,verb,walk unsteadily
waddling,verb,walk unsteadily
wade,noun,English tennis player who won many women's singles titles (born in 1945)
wade,verb,walk (through relatively shallow water)
waded,verb,walk (through relatively shallow water)
waded,verb,compress into a wad
waded,verb,crowd or pack to capacity
wader,noun,any of many long-legged birds that wade in water in search of food
waders,noun,waterproof hip boots (sometimes extending to the chest) worn by anglers
waders,noun,any of many long-legged birds that wade in water in search of food
wades,noun,English tennis player who won many women's singles titles (born in 1945)
wades,verb,walk (through relatively shallow water)
wades,verb,compress into a wad
